seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.648,0.839
2,1000,0,0.00,12.647,0.842
3,1002,0,0.00,12.648,0.830
4,1002,0,0.00,12.648,0.842
5,1004,0,0.00,12.651,0.841
6,1004,0,0.00,12.648,0.837
7,1006,0,0.00,12.653,0.844
8,1006,0,0.00,12.651,0.840
9,1008,0,0.00,12.653,0.832
10,1008,0,0.00,12.652,0.845
11,1010,0,0.00,12.646,0.839
12,1010,0,0.00,12.649,0.838
13,1012,0,0.00,12.649,0.839
14,1012,0,0.00,12.644,0.843
15,1014,0,0.00,12.648,0.846
16,1014,0,0.00,12.652,0.857
17,1016,0,0.00,12.645,0.855
18,1016,0,0.00,12.644,1.164
19,1018,0,0.00,12.638,1.605
20,1018,0,3.87,12.635,1.609
21,1020,0,10.63,12.639,1.474
22,1020,0,12.58,12.638,1.341
23,1022,0,13.75,12.642,1.241
24,1022,0,14.65,12.637,1.176
25,1024,0,14.88,12.637,1.173
26,1024,0,15.46,12.639,1.173
27,1026,0,16.07,12.638,1.141
28,1026,0,17.14,12.640,1.120
29,1028,0,16.86,12.644,1.113
30,1028,0,17.11,12.642,1.106
31,1030,0,17.12,12.637,1.094
32,1030,0,17.94,12.642,1.102
33,1032,0,17.33,12.641,1.078
34,1032,0,17.68,12.641,1.083
35,1034,0,18.07,12.645,1.088
36,1034,0,18.86,12.642,1.084
37,1036,0,18.86,12.638,1.083
38,1036,0,18.73,12.635,1.090
39,1038,0,19.23,12.640,1.090
40,1038,0,19.26,12.643,1.098
41,1040,0,19.88,12.642,1.100
42,1040,0,19.63,12.643,1.107
43,1042,0,19.85,12.637,1.102
44,1042,0,20.10,12.640,1.126
45,1044,0,20.18,12.643,1.124
46,1044,0,20.51,12.643,1.118
47,1046,0,20.43,12.640,1.115
48,1046,0,20.73,12.642,1.131
49,1048,0,21.03,12.645,1.132
50,1048,0,21.31,12.643,1.126
51,1050,0,21.42,12.642,1.129
52,1050,0,21.65,12.646,1.132
53,1052,0,21.55,12.645,1.136
54,1052,0,21.70,12.640,1.153
55,1054,0,21.88,12.638,1.153
56,1054,0,22.03,12.640,1.141
57,1056,0,22.31,12.640,1.137
58,1056,0,22.35,12.642,1.154
59,1058,0,22.95,12.642,1.171
60,1058,0,23.22,12.645,1.161
61,1060,0,23.48,12.636,1.160
62,1060,0,23.69,12.644,1.173
63,1062,0,23.82,12.640,1.163
64,1062,0,23.95,12.642,1.171
65,1064,0,25.15,12.640,1.179
66,1064,0,25.43,12.644,1.172
67,1066,0,25.73,12.640,1.186
68,1066,0,25.69,12.642,1.187
69,1068,0,25.91,12.641,1.190
70,1068,0,26.24,12.645,1.203
71,1070,0,26.42,12.638,1.213
72,1070,0,27.03,12.644,1.203
73,1072,0,27.08,12.637,1.203
74,1072,0,27.11,12.644,1.207
75,1074,0,27.54,12.639,1.218
76,1074,0,27.60,12.640,1.224
77,1076,0,27.51,12.639,1.222
78,1076,0,27.76,12.641,1.229
79,1078,0,27.95,12.640,1.228
80,1078,0,28.08,12.634,1.238
81,1080,0,28.26,12.638,1.237
82,1080,0,28.45,12.632,1.235
83,1082,0,28.68,12.637,1.232
84,1082,0,29.15,12.641,1.241
85,1084,0,29.40,12.644,1.241
86,1084,0,29.47,12.638,1.237
87,1086,0,30.59,12.643,1.226
88,1086,0,30.71,12.638,1.239
89,1088,0,30.75,12.641,1.252
90,1088,0,30.72,12.638,1.282
91,1090,3874,30.88,12.641,1.272
92,1090,3908,30.86,12.642,1.270
93,1092,3934,31.18,12.636,1.270
94,1092,3960,31.31,12.636,1.275
95,1094,3985,31.45,12.639,1.275
96,1094,4011,31.57,12.639,1.289
97,1096,4028,32.00,12.639,1.291
98,1096,4054,32.20,12.639,1.299
99,1098,4080,32.62,12.633,1.301
100,1098,4097,33.05,12.638,1.301
101,1100,4122,33.30,12.636,1.325
102,1100,4148,33.57,12.636,1.319
103,1102,4182,33.70,12.636,1.319
104,1102,4217,34.52,12.639,1.302
105,1104,4234,34.61,12.636,1.306
106,1104,4260,34.97,12.638,1.313
107,1106,4277,36.06,12.633,1.324
108,1106,4302,36.76,12.641,1.347
109,1108,4320,37.20,12.638,1.349
110,1108,4337,38.08,12.640,1.360
111,1110,4354,38.41,12.637,1.341
112,1110,4371,38.17,12.638,1.364
113,1112,4397,38.40,12.640,1.381
114,1112,4414,38.07,12.640,1.375
115,1114,4431,39.36,12.637,1.361
116,1114,4448,39.82,12.639,1.369
117,1116,4465,39.87,12.638,1.383
118,1116,4508,40.64,12.635,1.394
119,1118,4551,41.38,12.639,1.388
120,1118,4568,42.31,12.641,1.381
121,1120,4585,42.82,12.641,1.373
122,1120,4585,42.70,12.637,1.394
123,1122,4585,42.54,12.639,1.411
124,1122,4611,42.85,12.635,1.417
125,1124,4611,43.40,12.635,1.437
126,1124,4620,43.79,12.635,1.438
127,1126,4645,44.34,12.635,1.440
128,1126,4645,45.23,12.640,1.454
129,1128,4645,46.95,12.637,1.449
130,1128,4645,47.48,12.638,1.474
131,1130,4671,48.04,12.639,1.452
132,1130,4688,47.45,12.636,1.424
133,1132,4688,47.41,12.649,1.436
134,1132,4688,46.96,12.640,1.456
135,1134,4688,47.29,12.636,1.473
136,1134,4697,48.76,12.639,1.488
137,1136,4705,49.79,12.636,1.478
138,1136,4714,51.28,12.637,1.492
139,1138,4714,51.62,12.637,1.486
140,1138,4714,51.58,12.640,1.502
141,1140,4714,52.00,12.635,1.501
142,1140,4714,52.28,12.639,1.501
143,1142,4714,51.81,12.639,1.494
144,1142,4714,52.03,12.637,1.514
145,1144,4714,51.88,12.638,1.530
146,1144,4714,52.20,12.637,1.540
147,1146,4714,52.75,12.639,1.523
148,1146,4722,53.38,12.639,1.529
149,1148,4722,53.87,12.642,1.529
150,1148,4722,54.76,12.638,1.544
151,1150,4722,54.93,12.640,1.557
152,1150,4722,55.28,12.637,1.579
153,1152,4722,55.74,12.641,1.554
154,1152,4722,56.23,12.638,1.553
155,1154,4722,56.36,12.633,1.564
156,1154,4722,56.62,12.641,1.582
157,1156,4722,56.81,12.641,1.588
158,1156,4722,57.15,12.640,1.587
159,1158,4722,57.48,12.638,1.588
160,1158,4722,58.21,12.639,1.611
161,1160,4722,58.59,12.638,1.601
162,1160,4722,58.77,12.636,1.613
163,1162,4722,59.02,12.636,1.620
164,1162,4722,59.53,12.636,1.628
165,1164,4722,60.10,12.639,1.626
166,1164,4722,60.40,12.638,1.663
167,1166,4722,60.66,12.639,1.647
168,1166,4722,60.96,12.636,1.660
169,1168,4722,61.00,12.638,1.659
170,1168,4722,61.60,12.636,1.662
171,1170,4722,61.92,12.638,1.668
172,1170,4722,62.25,12.637,1.665
173,1172,4722,62.83,12.637,1.672
174,1172,4722,63.15,12.640,1.679
175,1174,4722,62.99,12.644,1.679
176,1174,4722,62.94,12.637,1.702
177,1176,4722,62.63,12.639,1.686
178,1176,4722,63.24,12.635,1.689
179,1178,4765,65.34,12.639,1.697
180,1178,4765,65.88,12.636,1.725
181,1180,4765,66.77,12.635,1.730
182,1180,4765,67.06,12.636,1.761
183,1182,4765,67.15,12.637,1.751
184,1182,4765,67.36,12.639,1.755
185,1184,4765,67.90,12.637,1.775
186,1184,4765,68.66,12.635,1.758
187,1186,4765,69.21,12.637,1.760
188,1186,4765,69.58,12.635,1.776
189,1188,4765,69.95,12.636,1.802
190,1188,4765,70.57,12.637,1.802
191,1190,4765,70.93,12.638,1.800
192,1190,4765,71.31,12.635,1.796
193,1192,4765,72.44,12.635,1.804
194,1192,4765,73.00,12.637,1.823
195,1194,4765,73.99,12.637,1.818
196,1194,4765,74.73,12.638,1.815
197,1196,4765,75.05,12.634,1.817
198,1196,4765,74.95,12.635,1.820
199,1198,4765,75.60,12.636,1.840
200,1198,4765,75.40,12.640,1.843
201,1200,4800,75.70,12.633,1.871
202,1200,4842,77.06,12.633,1.885
203,1202,4842,77.99,12.639,1.857
204,1202,4842,78.02,12.637,1.865
205,1204,4842,78.23,12.634,1.873
206,1204,4842,78.63,12.633,1.876
207,1206,4842,78.21,12.636,1.871
208,1206,4842,79.01,12.635,1.876
209,1208,4842,79.99,12.633,1.881
210,1208,4842,79.73,12.633,1.887
211,1210,4842,80.01,12.633,1.892
212,1210,4842,80.72,12.634,1.906
213,1212,4842,80.96,12.640,1.898
214,1212,4842,81.12,12.634,1.915
215,1214,4842,81.45,12.635,1.907
216,1214,4842,81.53,12.636,1.920
217,1216,4842,82.85,12.636,1.930
218,1216,4842,82.91,12.638,1.918
219,1218,4842,83.11,12.636,1.913
220,1218,4842,83.31,12.636,1.970
221,1220,4962,83.23,12.634,1.914
222,1220,5142,83.80,12.633,1.913
223,1222,5348,83.85,12.639,1.925
224,1222,5348,84.19,12.631,1.967
225,1224,5348,84.84,12.633,1.981
226,1224,5348,85.70,12.635,1.993
227,1226,5348,85.39,12.636,2.004
228,1226,5348,85.86,12.633,2.004
229,1228,5348,86.64,12.632,2.000
230,1228,5348,87.14,12.636,2.014
231,1230,5348,87.89,12.635,2.016
232,1230,5348,88.69,12.632,2.031
233,1232,5348,88.94,12.636,2.047
234,1232,5400,89.12,12.630,2.066
235,1234,5400,88.99,12.636,2.110
236,1234,5400,90.51,12.635,2.112
237,1236,5400,91.69,12.632,2.085
238,1236,5400,91.82,12.636,2.087
239,1238,5400,92.30,12.634,2.086
240,1238,5400,93.00,12.637,2.088
241,1240,5400,93.06,12.638,2.095
242,1240,5400,93.59,12.635,2.112
243,1242,5451,94.13,12.635,2.115
244,1242,5502,95.04,12.637,2.135
245,1244,5648,95.89,12.631,2.181
246,1244,5837,96.21,12.633,2.173
247,1246,6025,97.11,12.632,2.171
248,1246,6128,97.63,12.631,2.185
249,1248,6291,97.97,12.632,2.164
250,1248,6360,99.64,12.632,2.191
251,1250,6360,100.68,12.632,2.166
252,1250,6394,101.07,12.631,2.184
253,1252,6394,101.25,12.632,2.207
254,1252,6471,101.51,12.635,2.222
255,1254,6505,102.09,12.635,2.240
256,1254,6540,103.23,12.630,2.225
257,1256,6540,104.23,12.633,2.225
258,1256,6540,104.47,12.633,2.250
259,1258,6540,105.03,12.631,2.263
260,1258,6540,106.17,12.633,2.273
261,1260,6540,107.19,12.632,2.270
262,1260,6728,107.59,12.634,2.295
263,1262,6728,107.84,12.632,2.281
264,1262,6891,108.44,12.627,2.304
265,1264,7037,108.94,12.632,2.321
266,1264,7122,109.41,12.629,2.321
267,1266,7182,109.53,12.632,2.351
268,1266,7251,109.85,12.634,2.349
269,1268,7337,110.72,12.629,2.352
270,1268,7422,110.96,12.630,2.351
271,1270,7465,111.43,12.630,2.342
272,1270,7465,111.39,12.633,2.336
273,1272,7500,111.17,12.629,2.366
274,1272,7585,111.28,12.627,2.392
275,1274,7662,111.63,12.629,2.393
276,1274,7697,112.26,12.631,2.421
277,1276,7697,112.51,12.633,2.406
278,1276,7731,112.76,12.628,2.436
279,1278,7774,113.16,12.629,2.441
280,1278,7774,113.61,12.630,2.438
281,1280,7808,114.16,12.631,2.473
282,1280,7842,114.20,12.632,2.478
283,1282,7877,114.66,12.631,2.489
284,1282,7920,115.24,12.627,2.499
285,1284,7928,117.42,12.635,2.552
286,1284,7954,118.51,12.627,2.507
287,1286,7980,119.04,12.628,2.511
288,1286,8005,119.25,12.631,2.529
289,1288,8031,119.89,12.630,2.535
290,1288,8057,120.17,12.628,2.532
291,1290,8082,120.80,12.625,2.533
292,1290,8108,121.89,12.631,2.583
293,1292,8125,122.56,12.633,2.571
294,1292,8142,123.98,12.631,2.569
295,1294,8168,124.81,12.626,2.580
296,1294,8194,125.28,12.624,2.596
297,1296,8211,125.53,12.627,2.598
298,1296,8228,126.17,12.625,2.618
299,1298,8254,127.66,12.633,2.625
300,1298,8280,128.33,12.628,2.625
301,1300,8297,129.37,12.626,2.636
302,1300,8314,129.93,12.627,2.663
303,1302,8340,130.15,12.628,2.677
304,1302,8365,130.96,12.627,2.681
305,1304,8382,132.02,12.625,2.662
306,1304,8391,133.82,12.630,2.748
307,1306,8408,134.37,12.627,2.771
308,1306,8434,135.54,12.630,2.686
309,1308,8451,135.84,12.629,2.707
310,1308,8485,136.84,12.630,2.721
311,1310,8502,137.55,12.627,2.711
312,1310,8528,138.04,12.627,2.756
313,1312,8554,138.80,12.629,2.766
314,1312,8562,139.32,12.625,2.781
315,1314,8580,140.03,12.625,2.779
316,1314,8605,140.44,12.627,2.771
317,1316,8622,140.32,12.623,2.805
318,1316,8648,140.34,12.625,2.834
319,1318,8665,140.37,12.624,2.833
320,1318,8682,140.90,12.627,2.849
321,1320,8708,141.73,12.622,2.869
322,1320,8734,142.55,12.622,2.873
323,1322,8751,143.68,12.622,2.886
324,1322,8777,143.87,12.624,2.908
325,1324,8802,144.60,12.627,2.917
326,1324,8820,145.83,12.634,2.915
327,1326,8845,146.86,12.624,2.913
328,1326,8862,147.67,12.624,2.949
329,1328,8880,148.53,12.629,2.970
330,1328,8922,149.28,12.627,2.989
331,1330,8965,149.94,12.625,3.007
332,1330,8982,150.99,12.628,3.010
333,1332,9008,151.63,12.625,3.011
334,1332,9017,152.07,12.620,3.039
335,1334,9034,153.45,12.621,3.042
336,1334,9051,153.83,12.623,3.071
337,1336,9085,154.82,12.621,3.077
338,1336,9120,155.56,12.620,3.099
339,1338,9137,155.80,12.628,3.086
