seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.655,0.838
2,1000,0,0.00,12.659,0.833
3,1002,0,0.00,12.656,0.841
4,1002,0,0.00,12.660,0.840
5,1004,0,0.00,12.662,0.843
6,1004,0,0.00,12.660,0.841
7,1006,0,0.00,12.659,0.839
8,1006,0,0.00,12.661,0.841
9,1008,0,0.00,12.660,0.845
10,1008,0,0.00,12.657,0.840
11,1010,0,0.00,12.657,0.838
12,1010,0,0.00,12.659,0.839
13,1012,0,0.00,12.656,0.849
14,1012,0,0.00,12.653,0.838
15,1014,0,0.00,12.651,0.845
16,1014,0,0.00,12.653,0.848
17,1016,0,0.00,12.651,0.859
18,1016,0,0.00,12.643,1.037
19,1018,0,0.00,12.635,1.584
20,1018,0,6.24,12.642,1.709
21,1020,0,8.49,12.649,1.579
22,1020,0,10.78,12.645,1.423
23,1022,0,13.30,12.648,1.300
24,1022,0,14.93,12.648,1.220
25,1024,0,15.44,12.648,1.192
26,1024,0,15.86,12.650,1.177
27,1026,0,16.71,12.644,1.162
28,1026,0,17.61,12.649,1.126
29,1028,0,18.20,12.649,1.111
30,1028,0,18.40,12.650,1.097
31,1030,0,19.13,12.651,1.096
32,1030,0,18.84,12.648,1.089
33,1032,0,19.31,12.651,1.091
34,1032,0,19.85,12.649,1.075
35,1034,0,19.23,12.649,1.075
36,1034,0,19.89,12.647,1.081
37,1036,0,19.63,12.656,1.090
38,1036,0,20.06,12.647,1.099
39,1038,0,19.84,12.644,1.110
40,1038,0,20.48,12.652,1.113
41,1040,0,20.21,12.648,1.107
42,1040,0,20.18,12.649,1.102
43,1042,0,20.70,12.651,1.105
44,1042,0,21.28,12.648,1.102
45,1044,0,21.22,12.645,1.117
46,1044,0,21.14,12.648,1.110
47,1046,0,21.07,12.650,1.110
48,1046,0,21.79,12.651,1.123
49,1048,0,22.11,12.651,1.118
50,1048,0,21.69,12.648,1.126
51,1050,0,21.79,12.649,1.115
52,1050,0,22.26,12.648,1.128
53,1052,0,22.54,12.649,1.132
54,1052,0,22.73,12.650,1.151
55,1054,0,22.73,12.644,1.157
56,1054,0,23.34,12.647,1.140
57,1056,0,23.24,12.646,1.144
58,1056,0,23.37,12.650,1.147
59,1058,0,23.23,12.645,1.161
60,1058,0,23.25,12.651,1.162
61,1060,0,23.73,12.648,1.167
62,1060,0,24.14,12.649,1.156
63,1062,0,24.71,12.647,1.159
64,1062,0,24.47,12.647,1.177
65,1064,0,24.69,12.649,1.170
66,1064,0,25.04,12.650,1.169
67,1066,0,25.38,12.644,1.163
68,1066,0,25.69,12.646,1.184
69,1068,0,25.63,12.648,1.191
70,1068,0,25.63,12.649,1.196
71,1070,0,26.30,12.642,1.203
72,1070,0,26.38,12.649,1.194
73,1072,0,26.66,12.645,1.190
74,1072,0,27.02,12.649,1.207
75,1074,0,26.97,12.649,1.218
76,1074,0,26.75,12.645,1.203
77,1076,0,27.19,12.648,1.214
78,1076,0,28.20,12.646,1.221
79,1078,0,28.30,12.645,1.216
80,1078,0,28.63,12.644,1.227
81,1080,0,28.92,12.647,1.229
82,1080,0,29.37,12.649,1.232
83,1082,0,29.23,12.650,1.231
84,1082,0,29.40,12.647,1.244
85,1084,0,29.71,12.644,1.242
86,1084,0,30.46,12.647,1.258
87,1086,3831,31.40,12.646,1.244
88,1086,3857,31.53,12.650,1.244
89,1088,3882,31.48,12.643,1.268
90,1088,3908,31.76,12.646,1.257
91,1090,3925,32.36,12.647,1.261
92,1090,3951,33.30,12.644,1.263
93,1092,3968,33.29,12.646,1.268
94,1092,3985,33.42,12.642,1.266
95,1094,4011,33.36,12.646,1.272
96,1094,4028,33.39,12.648,1.283
97,1096,4045,33.71,12.647,1.286
98,1096,4071,34.04,12.649,1.287
99,1098,4097,33.76,12.645,1.298
100,1098,4122,34.44,12.643,1.312
101,1100,4140,34.43,12.646,1.295
102,1100,4165,34.88,12.647,1.315
103,1102,4191,35.25,12.644,1.316
104,1102,4208,36.45,12.644,1.322
105,1104,4225,37.47,12.645,1.325
106,1104,4251,38.40,12.645,1.316
107,1106,4268,39.75,12.648,1.333
108,1106,4294,39.68,12.648,1.348
109,1108,4320,39.46,12.646,1.331
110,1108,4345,39.85,12.649,1.329
111,1110,4362,39.87,12.646,1.344
112,1110,4397,40.19,12.650,1.359
113,1112,4414,40.31,12.647,1.362
114,1112,4431,41.30,12.643,1.368
115,1114,4440,41.65,12.643,1.366
116,1114,4457,42.34,12.647,1.386
117,1116,4465,42.81,12.647,1.373
118,1116,4482,42.95,12.643,1.411
119,1118,4508,42.90,12.646,1.391
120,1118,4525,43.46,12.645,1.384
121,1120,4542,44.19,12.646,1.394
122,1120,4577,44.18,12.644,1.397
123,1122,4602,44.13,12.648,1.417
124,1122,4602,44.47,12.645,1.421
125,1124,4602,44.74,12.649,1.417
126,1124,4602,45.20,12.647,1.440
