seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.844,0.841
2,1000,0,0.00,16.854,0.857
3,1002,0,0.00,16.851,0.855
4,1002,0,0.00,16.845,0.851
5,1004,0,0.00,16.847,0.851
6,1004,0,0.00,16.848,0.846
7,1006,0,0.00,16.848,0.851
8,1006,0,0.00,16.848,0.847
9,1008,0,0.00,16.851,0.850
10,1008,0,0.00,16.849,0.851
11,1010,0,0.00,16.848,0.847
12,1010,0,0.00,16.848,0.845
13,1012,0,0.00,16.849,0.849
14,1012,0,0.00,16.851,0.838
15,1014,0,0.00,16.842,0.864
16,1014,0,0.00,16.841,0.863
17,1016,0,0.00,16.841,0.872
18,1016,0,0.00,16.827,1.110
19,1018,0,0.00,16.829,1.687
20,1018,0,4.18,16.826,1.744
21,1020,0,6.66,16.833,1.593
22,1020,0,9.50,16.830,1.457
23,1022,0,11.32,16.834,1.368
24,1022,0,13.25,16.828,1.340
25,1024,0,14.00,16.832,1.308
26,1024,0,14.91,16.833,1.276
27,1026,0,15.06,16.836,1.234
28,1026,0,15.47,16.840,1.210
29,1028,0,16.23,16.835,1.175
30,1028,0,16.57,16.837,1.163
31,1030,0,17.09,16.834,1.161
32,1030,0,17.72,16.834,1.159
33,1032,0,18.02,16.834,1.154
34,1032,0,18.13,16.834,1.148
35,1034,0,18.20,16.834,1.140
36,1034,0,18.41,16.837,1.135
37,1036,0,18.50,16.835,1.126
38,1036,0,18.33,16.834,1.158
39,1038,0,18.67,16.831,1.153
40,1038,0,18.60,16.831,1.150
41,1040,0,18.83,16.835,1.151
42,1040,0,19.03,16.839,1.152
43,1042,0,18.95,16.839,1.160
44,1042,0,19.13,16.833,1.179
45,1044,0,19.40,16.835,1.178
46,1044,0,19.31,16.832,1.183
47,1046,0,19.50,16.834,1.176
48,1046,0,19.77,16.838,1.165
49,1048,0,19.94,16.834,1.172
50,1048,0,19.80,16.835,1.197
51,1050,0,19.49,16.836,1.188
52,1050,0,19.81,16.834,1.178
53,1052,0,20.97,16.831,1.197
54,1052,0,21.46,16.831,1.230
55,1054,0,21.51,16.833,1.216
56,1054,0,22.18,16.834,1.203
57,1056,0,22.53,16.838,1.205
58,1056,0,22.35,16.831,1.220
59,1058,0,22.63,16.832,1.232
60,1058,0,23.21,16.839,1.242
61,1060,0,23.73,16.837,1.240
62,1060,0,23.89,16.835,1.260
63,1062,0,23.82,16.834,1.256
64,1062,0,23.88,16.833,1.272
65,1064,0,24.40,16.836,1.276
66,1064,0,25.13,16.834,1.288
67,1066,0,25.11,16.834,1.277
68,1066,0,25.82,16.831,1.268
69,1068,0,26.14,16.834,1.274
70,1068,0,25.91,16.833,1.287
71,1070,0,25.91,16.835,1.290
72,1070,0,26.25,16.834,1.298
73,1072,0,26.52,16.836,1.293
74,1072,0,26.47,16.832,1.305
75,1074,0,28.23,16.834,1.308
76,1074,0,28.79,16.832,1.320
77,1076,0,28.96,16.835,1.332
78,1076,0,29.67,16.833,1.327
79,1078,0,29.81,16.837,1.328
80,1078,0,29.50,16.829,1.312
81,1080,0,29.32,16.833,1.309
82,1080,0,29.32,16.835,1.328
83,1082,0,29.60,16.830,1.359
84,1082,0,30.36,16.832,1.355
85,1084,0,31.40,16.834,1.359
86,1084,0,31.82,16.837,1.362
87,1086,0,32.06,16.836,1.369
88,1086,0,32.40,16.831,1.369
89,1088,0,32.96,16.833,1.360
