seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.830,0.843
2,1000,0,0.00,16.828,0.841
3,1002,0,0.00,16.837,0.844
4,1002,0,0.00,16.830,0.833
5,1004,0,0.00,16.835,0.844
6,1004,0,0.00,16.834,0.840
7,1006,0,0.00,16.833,0.827
8,1006,0,0.00,16.831,0.838
9,1008,0,0.00,16.832,0.840
10,1008,0,0.00,16.836,0.843
11,1010,0,0.00,16.836,0.844
12,1010,0,0.00,16.831,0.833
13,1012,0,0.00,16.837,0.840
14,1012,0,0.00,16.829,0.843
15,1014,0,0.00,16.828,0.858
16,1014,0,0.00,16.828,0.855
17,1016,0,0.00,16.828,0.858
18,1016,0,0.00,16.821,1.236
19,1018,0,0.00,16.810,1.684
20,1018,0,8.02,16.813,1.649
21,1020,0,14.48,16.817,1.508
22,1020,0,17.80,16.814,1.360
23,1022,0,18.01,16.816,1.324
24,1022,0,17.89,16.817,1.294
25,1024,0,18.36,16.823,1.248
26,1024,0,19.26,16.815,1.209
27,1026,0,19.66,16.818,1.192
28,1026,0,19.59,16.819,1.165
29,1028,0,20.12,16.819,1.138
30,1028,0,20.65,16.822,1.108
31,1030,0,21.33,16.820,1.111
32,1030,0,21.73,16.818,1.123
33,1032,0,21.58,16.818,1.113
34,1032,0,21.69,16.822,1.102
35,1034,0,21.92,16.821,1.100
36,1034,0,22.10,16.824,1.097
37,1036,0,22.74,16.820,1.099
38,1036,0,22.74,16.820,1.102
39,1038,0,22.46,16.823,1.120
40,1038,0,22.47,16.820,1.113
41,1040,0,22.89,16.823,1.113
42,1040,0,23.37,16.815,1.136
43,1042,0,23.67,16.818,1.132
44,1042,0,24.29,16.819,1.142
45,1044,0,24.54,16.819,1.113
46,1044,0,24.96,16.821,1.116
47,1046,0,24.73,16.817,1.120
48,1046,0,24.52,16.822,1.134
49,1048,0,24.38,16.821,1.140
50,1048,0,24.65,16.817,1.166
51,1050,0,25.58,16.820,1.166
52,1050,0,25.39,16.822,1.166
53,1052,0,25.40,16.818,1.155
54,1052,0,25.22,16.817,1.163
55,1054,0,25.40,16.816,1.169
56,1054,0,25.63,16.821,1.168
57,1056,0,25.66,16.816,1.180
58,1056,0,25.90,16.819,1.187
59,1058,0,25.73,16.822,1.175
60,1058,0,26.32,16.820,1.186
61,1060,0,26.81,16.816,1.213
62,1060,0,27.01,16.818,1.204
63,1062,0,27.50,16.825,1.206
64,1062,0,28.01,16.819,1.219
65,1064,0,28.04,16.818,1.192
66,1064,0,28.51,16.821,1.198
67,1066,0,28.46,16.814,1.235
68,1066,0,28.52,16.817,1.220
69,1068,0,28.83,16.818,1.211
70,1068,0,29.01,16.827,1.225
71,1070,0,29.16,16.814,1.233
72,1070,0,29.59,16.818,1.245
73,1072,0,29.86,16.822,1.244
74,1072,0,30.03,16.814,1.248
75,1074,0,30.66,16.819,1.265
76,1074,0,30.75,16.819,1.273
77,1076,0,30.95,16.815,1.249
78,1076,0,31.42,16.817,1.257
79,1078,0,31.95,16.819,1.262
80,1078,0,32.86,16.819,1.274
81,1080,0,33.49,16.815,1.264
82,1080,0,32.81,16.818,1.270
83,1082,0,32.51,16.817,1.284
84,1082,0,32.57,16.819,1.278
85,1084,0,33.06,16.819,1.283
86,1084,0,33.63,16.817,1.284
87,1086,0,33.84,16.813,1.299
88,1086,0,33.80,16.818,1.308
89,1088,0,34.26,16.820,1.313
90,1088,0,34.89,16.820,1.310
91,1090,0,34.98,16.818,1.315
92,1090,0,35.43,16.816,1.332
93,1092,0,36.17,16.814,1.329
94,1092,0,36.35,16.818,1.338
95,1094,0,36.33,16.816,1.328
96,1094,0,36.70,16.820,1.333
97,1096,0,36.59,16.823,1.323
98,1096,0,36.83,16.821,1.344
99,1098,0,37.78,16.812,1.337
100,1098,0,37.90,16.819,1.335
101,1100,0,38.19,16.817,1.365
102,1100,0,39.80,16.815,1.372
103,1102,0,40.50,16.815,1.381
104,1102,0,40.62,16.813,1.396
105,1104,0,40.94,16.819,1.415
106,1104,0,40.93,16.819,1.393
107,1106,0,41.39,16.813,1.399
108,1106,0,42.28,16.817,1.412
109,1108,0,42.56,16.812,1.400
110,1108,0,42.96,16.817,1.405
111,1110,0,43.66,16.821,1.409
112,1110,0,43.94,16.817,1.417
113,1112,0,43.89,16.817,1.426
114,1112,0,44.23,16.818,1.437
115,1114,0,44.84,16.815,1.417
116,1114,0,45.62,16.815,1.429
117,1116,0,45.90,16.817,1.449
118,1116,0,46.39,16.818,1.452
119,1118,0,46.97,16.816,1.453
120,1118,0,47.42,16.820,1.460
121,1120,0,47.62,16.817,1.448
122,1120,0,48.45,16.813,1.447
123,1122,0,48.90,16.812,1.462
124,1122,0,49.47,16.815,1.480
125,1124,0,50.10,16.816,1.485
126,1124,0,50.21,16.816,1.494
127,1126,0,50.59,16.818,1.487
128,1126,0,50.94,16.816,1.490
129,1128,0,51.19,16.815,1.492
130,1128,0,51.99,16.819,1.500
131,1130,0,53.46,16.814,1.508
132,1130,0,53.79,16.817,1.514
133,1132,0,53.95,16.822,1.550
134,1132,0,54.17,16.816,1.551
135,1134,0,55.11,16.814,1.524
136,1134,0,56.25,16.816,1.531
137,1136,0,57.02,16.815,1.536
138,1136,0,58.71,16.813,1.529
139,1138,0,59.04,16.811,1.516
140,1138,0,59.52,16.812,1.533
141,1140,0,60.04,16.814,1.546
142,1140,0,60.21,16.817,1.552
143,1142,0,60.52,16.811,1.553
144,1142,0,61.29,16.815,1.532
145,1144,0,61.98,16.814,1.539
146,1144,0,62.92,16.811,1.571
147,1146,0,63.35,16.814,1.576
148,1146,0,64.13,16.813,1.579
149,1148,0,64.56,16.814,1.568
