seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.64,0.85,10.74,0.000
2,1000,0,0.00,12.65,0.85,10.78,0.000
3,1002,0,0.00,12.64,0.86,10.89,0.000
4,1002,0,0.00,12.64,0.85,10.79,0.000
5,1004,0,0.00,12.65,0.86,10.82,0.000
6,1004,0,0.00,12.64,0.85,10.81,0.000
7,1006,0,0.00,12.65,0.86,10.85,0.000
8,1006,0,0.00,12.65,0.85,10.80,0.000
9,1008,0,0.00,12.64,0.85,10.76,0.000
10,1008,0,0.00,12.64,0.85,10.77,0.000
11,1010,0,0.00,12.65,0.85,10.77,0.000
12,1010,0,0.00,12.65,0.86,10.84,0.000
13,1012,0,0.00,12.65,0.85,10.79,0.000
14,1012,0,0.00,12.64,0.85,10.77,0.000
15,1014,0,0.00,12.64,0.87,10.97,0.000
16,1014,0,0.00,12.64,0.87,10.96,0.000
17,1016,0,0.00,12.64,0.87,10.96,0.000
18,1016,0,0.00,12.63,1.11,13.99,0.000
19,1018,0,1.53,12.63,1.60,20.24,0.076
20,1018,0,6.68,12.63,1.76,22.24,0.300
21,1020,0,10.43,12.63,1.71,21.55,0.484
22,1020,0,11.91,12.63,1.59,20.13,0.592
23,1022,0,14.36,12.63,1.48,18.70,0.768
24,1022,0,16.68,12.63,1.39,17.59,0.948
25,1024,0,17.38,12.63,1.33,16.77,1.036
26,1024,0,18.23,12.63,1.31,16.59,1.099
27,1026,0,19.40,12.64,1.31,16.62,1.168
28,1026,0,20.18,12.64,1.30,16.49,1.224
29,1028,0,21.48,12.64,1.27,16.10,1.335
30,1028,0,22.70,12.64,1.25,15.78,1.438
31,1030,0,24.05,12.63,1.22,15.45,1.557
32,1030,0,24.33,12.63,1.22,15.37,1.583
33,1032,0,24.41,12.64,1.21,15.23,1.603
34,1032,0,25.15,12.63,1.19,15.07,1.668
35,1034,0,25.41,12.64,1.19,15.07,1.686
36,1034,0,25.89,12.63,1.19,15.03,1.722
37,1036,0,26.06,12.64,1.19,15.07,1.730
38,1036,0,26.25,12.64,1.18,14.97,1.754
39,1038,0,26.99,12.63,1.19,15.07,1.791
40,1038,0,27.03,12.63,1.19,15.05,1.796
41,1040,0,27.32,12.64,1.19,15.08,1.812
42,1040,0,27.34,12.64,1.20,15.20,1.798
43,1042,0,27.81,12.64,1.19,15.07,1.845
44,1042,0,27.94,12.63,1.20,15.15,1.844
45,1044,0,28.43,12.64,1.21,15.28,1.860
46,1044,0,29.48,12.64,1.21,15.23,1.935
47,1046,0,29.57,12.63,1.21,15.26,1.939
48,1046,0,30.27,12.63,1.21,15.26,1.985
49,1048,0,30.39,12.63,1.22,15.43,1.970
50,1048,0,30.83,12.64,1.23,15.55,1.983
51,1050,0,31.00,12.63,1.23,15.49,2.001
52,1050,0,31.24,12.64,1.23,15.56,2.007
53,1052,0,31.97,12.63,1.24,15.63,2.046
54,1052,0,32.39,12.63,1.24,15.69,2.065
55,1054,0,33.18,12.64,1.25,15.75,2.106
56,1054,0,33.57,12.63,1.25,15.77,2.128
57,1056,0,33.52,12.64,1.25,15.79,2.122
58,1056,0,33.73,12.63,1.25,15.82,2.133
59,1058,0,34.20,12.63,1.26,15.98,2.140
60,1058,0,34.67,12.63,1.27,16.09,2.155
61,1060,0,34.75,12.63,1.27,16.10,2.158
62,1060,0,35.29,12.63,1.28,16.11,2.190
63,1062,0,35.63,12.63,1.28,16.15,2.206
64,1062,0,35.85,12.63,1.28,16.17,2.218
65,1064,0,36.16,12.64,1.29,16.32,2.216
66,1064,0,37.09,12.63,1.30,16.42,2.259
67,1066,0,37.23,12.64,1.30,16.45,2.264
68,1066,0,37.70,12.63,1.30,16.38,2.302
69,1068,0,37.76,12.63,1.31,16.51,2.287
70,1068,0,38.15,12.64,1.31,16.61,2.297
71,1070,0,38.70,12.63,1.31,16.59,2.332
