seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.669,0.566
2,1000,0,0.00,16.670,0.598
3,1002,0,0.00,16.668,0.605
4,1002,0,0.00,16.658,0.587
5,1004,0,0.00,16.656,0.599
6,1004,0,0.00,16.689,0.582
7,1006,0,0.00,16.676,0.565
8,1006,0,0.00,16.653,0.601
9,1008,0,0.00,16.658,0.574
10,1008,0,0.00,16.679,0.570
11,1010,0,0.00,16.662,0.560
12,1010,0,0.00,16.669,0.613
13,1012,0,0.00,16.684,0.587
14,1012,0,0.00,16.666,0.582
15,1014,0,0.00,16.675,0.580
16,1014,0,0.00,16.667,0.593
17,1016,0,0.00,16.661,0.577
18,1016,0,0.00,16.674,0.583
19,1018,0,0.00,16.642,0.674
20,1018,0,0.00,16.653,0.803
21,1020,0,0.00,16.592,0.982
22,1020,0,0.00,16.673,0.775
23,1022,0,1.91,16.658,0.958
24,1022,0,1.85,16.684,0.906
25,1024,0,1.99,16.625,1.176
26,1024,0,1.82,16.614,0.932
27,1026,0,1.45,16.600,1.012
28,1026,0,1.66,16.609,0.931
29,1028,0,0.00,16.564,0.994
30,1028,0,1.66,16.637,1.160
31,1030,0,0.00,16.674,1.400
32,1030,0,1.40,16.669,1.160
33,1032,0,1.60,16.638,1.176
34,1032,0,1.90,16.623,1.105
35,1034,0,3.24,16.663,1.316
36,1034,0,4.82,16.651,1.229
37,1036,0,3.79,16.686,0.956
38,1036,0,5.18,16.668,0.810
39,1038,0,5.81,16.705,0.825
40,1038,2168,8.19,16.678,0.826
41,1040,2400,10.49,16.623,0.863
42,1040,2562,8.86,16.651,0.955
43,1042,2682,9.54,16.637,0.912
44,1042,2785,12.25,16.666,0.874
45,1044,2888,11.83,16.674,0.979
46,1044,2965,13.64,16.662,0.873
47,1046,3042,12.51,16.632,0.891
48,1046,3102,13.54,16.662,0.855
49,1048,3145,13.88,16.674,0.839
50,1048,3205,13.85,16.606,1.030
51,1050,3265,13.61,16.637,0.836
52,1050,3317,15.03,16.689,0.903
53,1052,3385,15.26,16.691,0.902
