seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.644,0.584
2,1000,0,0.00,16.635,0.583
3,1002,0,0.00,16.628,0.552
4,1002,0,0.00,16.643,0.582
5,1004,0,0.00,16.642,0.598
6,1004,0,0.00,16.651,0.579
7,1006,0,0.00,16.637,0.617
8,1006,0,0.00,16.655,0.596
9,1008,0,0.00,16.649,0.587
10,1008,0,0.00,16.638,0.592
11,1010,0,0.00,16.652,0.563
12,1010,0,0.00,16.660,0.603
13,1012,0,0.00,16.644,0.559
14,1012,0,0.00,16.653,0.599
15,1014,0,0.00,16.656,0.564
16,1014,0,0.00,16.644,0.582
17,1016,0,0.00,16.671,0.571
18,1016,0,0.00,16.632,0.582
19,1018,0,0.00,16.632,0.869
20,1018,0,0.00,16.614,0.973
21,1020,0,0.00,16.646,0.893
22,1020,0,0.00,16.658,0.862
23,1022,0,0.00,16.569,0.817
24,1022,0,0.00,16.644,0.850
25,1024,0,0.00,16.537,0.908
26,1024,0,0.00,16.638,1.125
27,1026,0,1.32,16.659,1.054
28,1026,0,1.96,16.643,1.021
29,1028,0,0.00,16.645,1.327
30,1028,0,0.00,16.616,1.083
31,1030,0,2.19,16.461,1.161
32,1030,0,1.54,16.594,1.565
33,1032,0,1.43,16.621,1.465
34,1032,0,1.73,16.462,1.218
35,1034,0,1.82,16.553,1.929
36,1034,0,2.47,16.666,1.311
37,1036,0,3.11,16.693,1.149
38,1036,0,4.51,16.610,1.467
39,1038,0,5.57,16.553,1.071
40,1038,0,5.43,16.572,1.314
41,1040,0,6.73,16.660,1.106
42,1040,0,6.33,16.662,0.908
43,1042,0,6.17,16.659,0.914
44,1042,0,6.96,16.595,0.978
45,1044,2177,7.44,16.641,0.978
46,1044,2425,9.28,16.645,0.887
47,1046,2562,9.83,16.632,0.825
48,1046,2682,10.01,16.594,0.930
49,1048,2802,9.83,16.645,0.941
50,1048,2897,10.67,16.651,1.107
51,1050,3000,12.22,16.655,1.054
52,1050,3077,13.45,16.657,0.973
53,1052,3171,14.77,16.608,1.142
54,1052,3248,16.41,16.608,0.912
55,1054,3325,17.70,16.573,1.171
56,1054,3402,19.36,16.662,0.970
57,1056,3488,18.35,16.626,1.187
58,1056,3540,19.25,16.583,0.925
59,1058,3600,20.77,16.647,0.934
60,1058,3651,20.82,16.655,1.012
61,1060,3694,21.27,16.634,0.931
62,1060,3745,22.95,16.666,0.899
63,1062,3788,24.45,16.685,1.011
64,1062,3814,24.78,16.656,1.006
65,1064,3848,24.93,16.650,1.115
66,1064,3891,25.42,16.593,1.005
67,1066,3942,26.01,16.631,1.012
68,1066,3994,25.68,16.685,1.049
69,1068,4045,26.08,16.621,1.039
70,1068,4088,26.55,16.628,1.117
71,1070,4122,27.97,16.638,1.081
