seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.682,0.575
2,1000,0,0.00,16.680,0.607
3,1002,0,0.00,16.696,0.549
4,1002,0,0.00,16.716,0.585
5,1004,0,0.00,16.691,0.587
6,1004,0,0.00,16.700,0.601
7,1006,0,0.00,16.683,0.586
8,1006,0,0.00,16.673,0.571
9,1008,0,0.00,16.688,0.596
10,1008,0,0.00,16.679,0.587
11,1010,0,0.00,16.675,0.614
12,1010,0,0.00,16.689,0.579
13,1012,0,0.00,16.686,0.594
14,1012,0,0.00,16.684,0.569
15,1014,0,0.00,16.682,0.594
16,1014,0,0.00,16.695,0.583
17,1016,0,0.00,16.686,0.584
18,1016,0,0.00,16.685,0.597
19,1018,0,0.00,16.691,0.609
20,1018,0,0.00,16.715,0.814
21,1020,0,0.00,16.720,0.844
22,1020,0,1.84,16.664,0.768
23,1022,0,0.00,16.674,0.822
24,1022,0,2.15,16.709,0.844
25,1024,0,3.77,16.713,0.885
26,1024,0,4.06,16.632,0.988
27,1026,0,3.24,16.752,1.028
28,1026,0,3.08,16.623,0.979
29,1028,0,2.25,16.725,1.236
30,1028,0,3.22,16.624,1.008
31,1030,0,3.43,16.614,1.143
32,1030,0,4.07,16.619,1.152
33,1032,0,4.71,16.678,1.203
34,1032,0,4.98,16.698,1.312
35,1034,0,3.85,16.722,1.322
36,1034,0,3.70,16.695,1.009
37,1036,0,6.46,16.719,0.948
38,1036,0,8.05,16.650,1.035
39,1038,0,9.06,16.679,0.921
40,1038,2091,11.14,16.655,0.958
41,1040,2357,11.54,16.639,0.932
42,1040,2537,11.53,16.637,0.919
43,1042,2665,11.20,16.683,0.885
44,1042,2785,11.54,16.727,0.712
45,1044,2871,11.48,16.649,0.975
46,1044,2965,13.40,16.714,0.867
47,1046,3025,14.29,16.657,0.844
48,1046,3085,13.05,16.726,0.784
49,1048,3145,12.59,16.730,0.934
50,1048,3197,14.11,16.718,0.924
51,1050,3257,14.70,16.690,0.911
52,1050,3317,14.80,16.670,0.914
53,1052,3377,16.04,16.691,0.868
54,1052,3437,17.13,16.647,0.990
55,1054,3497,17.88,16.713,0.874
56,1054,3557,19.80,16.656,1.029
57,1056,3625,20.47,16.678,0.935
58,1056,3677,19.71,16.664,1.066
59,1058,3728,19.55,16.714,1.041
60,1058,3762,20.64,16.719,0.860
61,1060,3805,22.74,16.653,1.022
62,1060,3831,22.43,16.697,0.923
63,1062,3865,23.56,16.693,1.024
64,1062,3900,23.19,16.676,0.953
65,1064,3925,22.60,16.676,0.888
66,1064,3968,22.00,16.698,1.042
67,1066,4011,22.41,16.691,1.073
68,1066,4062,24.79,16.583,1.011
69,1068,4105,25.49,16.639,1.067
70,1068,4148,26.18,16.669,0.853
71,1070,4191,27.75,16.666,1.057
72,1070,4234,30.35,16.683,0.943
73,1072,4260,31.20,16.601,1.164
74,1072,4294,31.13,16.697,1.113
75,1074,4320,31.74,16.706,0.951
76,1074,4354,32.73,16.634,1.120
77,1076,4380,32.63,16.697,1.042
78,1076,4397,33.22,16.717,1.165
79,1078,4422,32.57,16.628,0.929
80,1078,4448,32.06,16.607,1.067
81,1080,4465,31.38,16.670,1.070
82,1080,4491,30.81,16.649,1.196
83,1082,4508,34.78,16.703,1.002
84,1082,4534,34.42,16.688,1.084
85,1084,4560,34.44,16.601,1.415
86,1084,4594,35.45,16.696,0.956
87,1086,4645,35.52,16.666,1.328
88,1086,4697,35.56,16.679,1.051
89,1088,4757,36.22,16.651,1.158
90,1088,4817,38.77,16.668,1.319
91,1090,4894,38.45,16.713,1.010
92,1090,4954,39.91,16.710,1.177
93,1092,4988,41.93,16.701,1.160
94,1092,5031,42.42,16.700,1.054
95,1094,5057,43.05,16.765,1.048
96,1094,5091,44.41,16.733,1.105
97,1096,5125,45.08,16.692,1.272
98,1096,5160,47.05,16.708,0.999
99,1098,5185,48.66,16.759,1.589
100,1098,5211,49.98,16.634,1.304
101,1100,5245,48.77,16.626,1.279
102,1100,5271,49.50,16.658,1.137
103,1102,5288,49.03,16.675,1.253
104,1102,5305,49.72,16.621,1.321
105,1104,5340,49.95,16.727,1.159
106,1104,5357,49.37,16.617,1.300
107,1106,5374,50.50,16.683,1.266
108,1106,5400,51.61,16.660,1.086
109,1108,5434,52.49,16.705,1.439
110,1108,5477,52.61,16.620,1.402
111,1110,5502,53.38,16.663,1.261
112,1110,5528,53.00,16.650,1.202
113,1112,5571,54.36,16.797,1.526
114,1112,5605,54.75,16.733,1.225
115,1114,5631,54.41,16.694,1.176
116,1114,5657,56.32,16.603,1.316
117,1116,5691,55.49,16.714,1.087
118,1116,5717,55.51,16.624,1.403
119,1118,5734,57.76,16.753,1.437
120,1118,5768,57.05,16.636,1.426
121,1120,5811,59.13,16.588,1.397
122,1120,5871,60.20,16.730,1.473
123,1122,5888,61.60,16.591,1.244
124,1122,5922,60.15,16.711,1.464
125,1124,5948,61.80,16.655,1.348
126,1124,5974,65.11,16.734,1.195
127,1126,6000,67.29,16.662,1.547
128,1126,6034,66.46,16.611,1.160
129,1128,6068,69.05,16.651,1.380
130,1128,6094,72.85,16.574,1.233
131,1130,6094,72.79,16.608,1.504
132,1130,6120,71.61,16.619,1.618
133,1132,6162,70.19,16.612,1.365
134,1132,6188,73.11,16.712,1.479
135,1134,6188,73.23,16.675,1.397
136,1134,6214,72.81,16.643,1.430
137,1136,6257,73.85,16.691,1.517
138,1136,6300,77.00,16.562,1.610
139,1138,6334,77.02,16.684,1.155
140,1138,6360,79.02,16.674,1.498
141,1140,6377,77.85,16.702,1.726
142,1140,6402,80.19,16.619,1.351
143,1142,6420,81.89,16.620,1.426
144,1142,6454,83.73,16.651,1.369
145,1144,6471,83.00,16.719,1.293
146,1144,6505,84.42,16.631,1.496
147,1146,6522,84.35,16.639,1.492
148,1146,6522,87.06,16.584,1.587
149,1148,6548,85.99,16.725,1.703
150,1148,6574,85.86,16.663,1.561
151,1150,6591,86.91,16.731,1.284
152,1150,6600,87.16,16.606,1.602
153,1152,6634,88.03,16.554,1.348
154,1152,6660,90.82,16.589,1.567
155,1154,6685,90.09,16.625,1.534
156,1154,6711,92.27,16.556,1.454
157,1156,6745,91.08,16.601,1.554
158,1156,6780,91.32,16.608,1.652
159,1158,6814,94.05,16.611,1.794
160,1158,6848,96.50,16.770,1.773
161,1160,6900,96.97,16.614,1.558
162,1160,6934,96.34,16.596,1.523
163,1162,6968,103.52,16.618,1.769
164,1162,7011,102.89,16.670,1.693
165,1164,7062,103.61,16.735,1.550
166,1164,7097,106.22,16.659,1.969
167,1166,7114,107.98,16.755,1.795
168,1166,7148,107.87,16.739,1.847
169,1168,7200,109.40,16.716,1.791
170,1168,7234,115.41,16.618,1.809
171,1170,7277,114.95,16.673,1.726
172,1170,7328,116.73,16.599,1.875
173,1172,7362,121.50,16.800,2.000
174,1172,7405,124.69,16.649,1.884
175,1174,7474,122.71,16.587,1.967
176,1174,7517,127.64,16.624,1.941
177,1176,7585,132.31,16.566,2.022
178,1176,7637,133.95,16.600,2.046
179,1178,7688,136.62,16.667,2.250
180,1178,7731,140.97,16.634,1.759
