seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.663,0.560
2,1000,0,0.00,16.690,0.570
3,1002,0,0.00,16.671,0.565
4,1002,0,0.00,16.654,0.598
5,1004,0,0.00,16.686,0.574
6,1004,0,0.00,16.665,0.583
7,1006,0,0.00,16.658,0.606
8,1006,0,0.00,16.666,0.584
9,1008,0,0.00,16.657,0.597
10,1008,0,0.00,16.700,0.599
11,1010,0,0.00,16.654,0.566
12,1010,0,0.00,16.691,0.601
13,1012,0,0.00,16.687,0.595
14,1012,0,0.00,16.676,0.595
15,1014,0,0.00,16.678,0.595
16,1014,0,0.00,16.666,0.607
17,1016,0,0.00,16.671,0.608
18,1016,0,0.00,16.678,0.590
19,1018,0,0.00,16.736,0.543
20,1018,0,0.00,16.681,0.846
21,1020,0,0.00,16.708,0.721
22,1020,0,0.00,16.691,0.826
23,1022,0,0.00,16.689,0.945
24,1022,0,0.00,16.609,0.834
25,1024,0,1.55,16.630,0.932
26,1024,0,1.15,16.685,0.940
27,1026,0,0.00,16.717,1.148
28,1026,0,0.00,16.635,0.939
29,1028,0,1.89,16.655,1.020
30,1028,0,2.38,16.676,1.256
31,1030,0,2.37,16.667,1.146
32,1030,0,1.13,16.616,1.273
33,1032,0,2.81,16.600,1.106
34,1032,0,5.84,16.620,1.028
35,1034,0,7.09,16.701,0.962
36,1034,0,8.28,16.639,0.862
37,1036,0,8.90,16.688,0.865
38,1036,2494,9.08,16.668,0.860
39,1038,2717,10.39,16.649,0.841
40,1038,2862,10.67,16.677,0.865
41,1040,2940,10.44,16.647,0.809
42,1040,3008,10.69,16.705,0.788
43,1042,3060,10.83,16.700,0.781
44,1042,3102,10.84,16.634,0.856
45,1044,3137,11.20,16.678,0.881
46,1044,3180,11.14,16.660,0.886
47,1046,3214,10.64,16.667,0.787
48,1046,3248,10.54,16.647,0.902
49,1048,3291,10.84,16.645,1.018
50,1048,3334,11.01,16.631,1.053
51,1050,3394,11.76,16.718,0.826
52,1050,3454,13.02,16.641,0.964
53,1052,3522,12.51,16.631,0.933
54,1052,3600,11.83,16.698,0.968
55,1054,3660,12.49,16.697,0.844
56,1054,3745,14.77,16.705,0.865
57,1056,3814,14.91,16.689,0.939
58,1056,3848,13.15,16.658,0.911
59,1058,3882,13.98,16.697,0.847
