seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.707,0.573
2,1000,0,0.00,16.692,0.562
3,1002,0,0.00,16.700,0.580
4,1002,0,0.00,16.709,0.598
5,1004,0,0.00,16.708,0.552
6,1004,0,0.00,16.709,0.590
7,1006,0,0.00,16.679,0.604
8,1006,0,0.00,16.701,0.604
9,1008,0,0.00,16.717,0.583
10,1008,0,0.00,16.682,0.604
11,1010,0,0.00,16.688,0.571
12,1010,0,0.00,16.686,0.574
13,1012,0,0.00,16.686,0.586
14,1012,0,0.00,16.727,0.588
15,1014,0,0.00,16.693,0.575
16,1014,0,0.00,16.707,0.550
17,1016,0,0.00,16.690,0.594
18,1016,0,0.00,16.690,0.595
19,1018,0,0.00,16.749,0.619
20,1018,0,0.00,16.715,0.693
21,1020,0,0.00,16.710,0.862
22,1020,0,0.00,16.723,0.868
23,1022,0,0.00,16.711,0.886
24,1022,0,0.00,16.744,0.792
25,1024,0,0.00,16.762,1.159
26,1024,0,0.00,16.724,1.188
27,1026,0,0.00,16.708,0.994
28,1026,0,0.00,16.635,1.259
29,1028,0,0.00,16.591,1.041
30,1028,0,0.00,16.772,1.439
31,1030,0,0.00,16.738,1.202
32,1030,0,0.00,16.613,1.244
33,1032,0,0.00,16.700,1.181
34,1032,0,2.34,16.647,1.204
35,1034,0,2.12,16.635,1.241
36,1034,0,2.85,16.631,1.203
37,1036,0,2.76,16.670,1.027
38,1036,0,4.22,16.690,0.994
39,1038,0,7.49,16.684,0.925
40,1038,0,8.66,16.671,0.849
41,1040,2160,8.68,16.668,0.915
42,1040,2374,8.50,16.703,0.908
43,1042,2520,8.38,16.713,0.863
44,1042,2631,9.89,16.710,0.977
45,1044,2734,10.45,16.641,1.015
46,1044,2820,10.77,16.763,0.885
47,1046,2914,13.20,16.682,0.845
48,1046,2974,12.51,16.733,0.803
49,1048,3051,11.88,16.656,1.105
50,1048,3120,13.00,16.680,0.989
51,1050,3197,13.94,16.666,0.910
52,1050,3257,15.75,16.640,0.844
53,1052,3317,15.97,16.684,0.939
54,1052,3385,17.84,16.680,1.001
55,1054,3445,18.82,16.639,0.976
56,1054,3505,18.82,16.639,1.038
57,1056,3557,18.14,16.659,1.040
58,1056,3617,18.85,16.693,1.031
59,1058,3660,20.22,16.684,0.825
60,1058,3711,20.44,16.671,0.988
61,1060,3745,21.57,16.695,1.083
62,1060,3797,21.91,16.641,0.999
63,1062,3822,21.68,16.727,1.010
64,1062,3848,22.54,16.709,0.934
65,1064,3874,23.99,16.699,1.004
66,1064,3908,25.44,16.681,0.977
67,1066,3951,25.75,16.707,1.063
68,1066,4002,26.64,16.615,1.018
69,1068,4054,26.73,16.639,1.121
70,1068,4097,27.12,16.667,1.144
71,1070,4140,28.46,16.747,0.952
72,1070,4182,30.23,16.707,1.217
73,1072,4217,30.42,16.635,1.076
