seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.55,0.72,8.99,0.000
2,1000,0,0.00,12.55,0.71,8.95,0.000
3,1002,0,0.00,12.55,0.72,9.01,0.000
4,1002,0,0.00,12.55,0.72,8.98,0.000
5,1004,0,0.00,12.55,0.72,9.00,0.000
6,1004,0,0.00,12.55,0.72,9.00,0.000
7,1006,0,0.00,12.55,0.71,8.95,0.000
8,1006,0,0.00,12.55,0.72,9.01,0.000
9,1008,0,0.00,12.55,0.71,8.97,0.000
10,1008,0,0.00,12.55,0.72,8.98,0.000
11,1010,0,0.00,12.55,0.72,8.99,0.000
12,1010,0,0.44,12.55,0.71,8.97,0.049
13,1012,0,0.00,12.55,0.72,8.98,0.000
14,1012,0,0.00,12.55,0.71,8.96,0.000
15,1014,0,0.00,12.55,0.73,9.10,0.000
16,1014,0,0.00,12.55,0.73,9.18,0.000
17,1016,0,0.00,12.55,0.73,9.13,0.000
18,1016,0,0.00,12.55,0.77,9.62,0.000
19,1018,0,0.00,12.54,0.84,10.51,0.000
20,1018,0,1.58,12.54,0.88,11.01,0.143
21,1020,0,2.42,12.54,0.89,11.17,0.216
22,1020,0,3.18,12.54,0.90,11.34,0.281
23,1022,0,3.62,12.54,0.89,11.19,0.324
24,1022,0,3.76,12.55,0.89,11.16,0.337
25,1024,0,3.68,12.55,0.88,11.02,0.334
26,1024,0,3.72,12.54,0.87,10.91,0.341
27,1026,0,4.33,12.55,0.86,10.81,0.400
28,1026,0,4.25,12.55,0.86,10.74,0.395
29,1028,0,4.28,12.55,0.84,10.54,0.406
30,1028,0,4.33,12.55,0.84,10.48,0.413
31,1030,0,4.47,12.55,0.82,10.32,0.433
32,1030,0,4.47,12.55,0.83,10.36,0.431
33,1032,0,4.52,12.55,0.82,10.26,0.441
34,1032,0,4.77,12.55,0.81,10.18,0.468
35,1034,0,4.63,12.54,0.81,10.21,0.453
36,1034,0,4.56,12.54,0.81,10.19,0.448
37,1036,0,4.67,12.55,0.81,10.22,0.457
38,1036,0,4.79,12.55,0.82,10.23,0.468
39,1038,0,4.77,12.55,0.82,10.25,0.465
40,1038,0,4.68,12.54,0.82,10.29,0.454
41,1040,0,4.71,12.54,0.82,10.30,0.457
42,1040,0,4.95,12.55,0.82,10.33,0.479
43,1042,0,4.91,12.55,0.83,10.37,0.474
44,1042,0,4.80,12.55,0.83,10.46,0.459
45,1044,0,4.89,12.54,0.83,10.43,0.469
46,1044,0,4.94,12.55,0.83,10.40,0.475
47,1046,0,4.95,12.54,0.83,10.39,0.476
48,1046,0,5.24,12.54,0.83,10.36,0.506
49,1048,0,5.40,12.55,0.84,10.48,0.515
50,1048,0,5.03,12.55,0.84,10.50,0.479
51,1050,0,5.27,12.54,0.83,10.45,0.504
52,1050,0,4.88,12.55,0.84,10.49,0.465
53,1052,0,5.50,12.55,0.84,10.53,0.522
54,1052,0,5.67,12.54,0.83,10.45,0.543
55,1054,0,5.74,12.55,0.84,10.52,0.546
56,1054,0,5.31,12.54,0.84,10.58,0.502
57,1056,0,5.82,12.55,0.84,10.54,0.552
58,1056,0,5.83,12.55,0.85,10.62,0.549
59,1058,0,5.66,12.55,0.84,10.56,0.536
60,1058,0,5.85,12.55,0.85,10.65,0.550
61,1060,0,5.94,12.55,0.85,10.68,0.556
62,1060,0,5.40,12.54,0.85,10.64,0.508
63,1062,0,5.86,12.55,0.85,10.61,0.552
64,1062,0,5.85,12.54,0.86,10.73,0.546
65,1064,0,5.91,12.55,0.85,10.71,0.552
66,1064,0,6.14,12.55,0.86,10.82,0.568
67,1066,0,6.08,12.55,0.86,10.81,0.562
68,1066,0,5.97,12.55,0.86,10.82,0.552
69,1068,0,6.13,12.55,0.86,10.82,0.567
70,1068,0,6.11,12.55,0.86,10.82,0.565
71,1070,0,6.37,12.54,0.87,10.89,0.585
72,1070,0,6.53,12.55,0.87,10.85,0.602
73,1072,0,6.55,12.55,0.87,10.90,0.601
74,1072,0,6.58,12.55,0.87,10.96,0.600
75,1074,0,6.71,12.55,0.87,10.93,0.614
76,1074,0,6.62,12.55,0.88,10.98,0.603
77,1076,0,6.77,12.55,0.88,10.99,0.616
78,1076,0,6.82,12.55,0.88,11.01,0.619
79,1078,0,6.90,12.55,0.88,10.98,0.629
80,1078,0,7.07,12.54,0.88,11.05,0.640
81,1080,0,6.99,12.54,0.88,11.02,0.634
82,1080,0,7.02,12.55,0.88,11.06,0.634
83,1082,0,7.06,12.55,0.88,11.09,0.636
84,1082,0,7.08,12.54,0.89,11.14,0.636
85,1084,0,7.36,12.55,0.89,11.14,0.661
86,1084,0,7.36,12.55,0.89,11.19,0.657
87,1086,0,7.30,12.55,0.89,11.19,0.652
88,1086,0,7.15,12.54,0.89,11.16,0.640
89,1088,0,7.19,12.55,0.89,11.17,0.644
90,1088,0,7.19,12.55,0.90,11.23,0.640
91,1090,0,7.50,12.54,0.90,11.30,0.663
92,1090,0,7.38,12.54,0.89,11.21,0.659
93,1092,0,7.54,12.54,0.90,11.29,0.668
94,1092,0,7.80,12.54,0.90,11.26,0.693
95,1094,0,7.91,12.54,0.91,11.37,0.695
96,1094,0,7.83,12.54,0.90,11.35,0.690
97,1096,0,7.98,12.55,0.90,11.33,0.705
98,1096,0,8.02,12.54,0.91,11.43,0.702
99,1098,0,8.22,12.54,0.91,11.39,0.722
100,1098,0,8.17,12.54,0.90,11.31,0.722
101,1100,0,8.26,12.55,0.91,11.42,0.723
102,1100,0,8.35,12.55,0.91,11.46,0.728
103,1102,0,8.26,12.54,0.91,11.47,0.721
104,1102,0,8.52,12.55,0.92,11.48,0.742
105,1104,0,8.82,12.55,0.92,11.52,0.766
106,1104,0,8.91,12.55,0.92,11.54,0.772
107,1106,0,9.10,12.54,0.92,11.51,0.791
108,1106,0,9.14,12.55,0.92,11.58,0.790
109,1108,0,9.24,12.54,0.93,11.61,0.796
110,1108,0,9.32,12.55,0.92,11.59,0.804
111,1110,0,9.70,12.54,0.93,11.61,0.835
112,1110,0,9.90,12.54,0.93,11.66,0.849
113,1112,0,9.93,12.55,0.93,11.63,0.854
114,1112,0,10.03,12.54,0.93,11.68,0.859
115,1114,0,10.64,12.55,0.93,11.73,0.907
116,1114,0,10.98,12.54,0.94,11.76,0.933
