seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.555,0.719
2,1000,0,0.00,12.557,0.716
3,1002,0,0.00,12.560,0.720
4,1002,0,0.00,12.558,0.726
5,1004,0,0.00,12.558,0.717
6,1004,0,0.00,12.565,0.721
7,1006,0,0.00,12.559,0.710
8,1006,0,0.00,12.557,0.719
9,1008,0,0.00,12.557,0.717
10,1008,0,0.00,12.561,0.717
11,1010,0,0.00,12.562,0.715
12,1010,0,0.00,12.556,0.708
13,1012,0,0.00,12.554,0.719
14,1012,0,0.00,12.553,0.708
15,1014,0,0.00,12.554,0.724
16,1014,0,0.00,12.555,0.735
17,1016,0,0.00,12.554,0.726
18,1016,0,0.00,12.555,0.766
19,1018,0,0.00,12.546,0.839
20,1018,0,0.00,12.551,0.886
21,1020,0,0.00,12.546,0.896
22,1020,0,0.00,12.548,0.919
23,1022,0,0.00,12.542,0.915
24,1022,0,0.00,12.550,0.915
25,1024,0,0.00,12.554,0.889
26,1024,0,0.00,12.550,0.872
27,1026,0,0.00,12.554,0.871
28,1026,0,0.00,12.552,0.857
29,1028,0,0.00,12.551,0.840
30,1028,0,0.00,12.550,0.831
31,1030,0,0.00,12.553,0.819
32,1030,0,0.00,12.553,0.827
33,1032,0,0.00,12.554,0.818
34,1032,0,0.00,12.553,0.810
35,1034,0,0.00,12.549,0.818
36,1034,0,0.00,12.551,0.813
37,1036,0,0.00,12.557,0.813
38,1036,0,0.00,12.552,0.810
39,1038,0,0.00,12.554,0.812
40,1038,0,0.00,12.549,0.826
41,1040,0,0.00,12.551,0.821
42,1040,0,0.00,12.555,0.824
43,1042,0,0.00,12.549,0.819
44,1042,0,0.00,12.553,0.838
45,1044,0,0.00,12.548,0.827
46,1044,0,0.00,12.553,0.827
47,1046,0,0.00,12.544,0.827
48,1046,0,1.06,12.549,0.826
49,1048,0,1.00,12.551,0.832
50,1048,0,0.00,12.551,0.830
51,1050,0,1.02,12.552,0.826
52,1050,0,0.00,12.555,0.836
53,1052,0,1.04,12.553,0.837
54,1052,0,1.02,12.549,0.833
55,1054,0,1.03,12.552,0.841
56,1054,0,0.00,12.550,0.847
57,1056,0,1.08,12.552,0.837
58,1056,0,1.24,12.550,0.851
59,1058,0,1.02,12.552,0.838
60,1058,0,1.33,12.553,0.850
61,1060,0,1.38,12.555,0.852
62,1060,0,0.00,12.553,0.843
63,1062,0,1.06,12.554,0.849
64,1062,0,0.99,12.551,0.849
65,1064,0,1.08,12.552,0.853
66,1064,0,1.33,12.554,0.855
67,1066,0,1.17,12.551,0.859
68,1066,0,1.00,12.553,0.852
69,1068,0,1.35,12.551,0.862
70,1068,0,1.41,12.548,0.857
71,1070,0,1.46,12.546,0.866
