seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.546,0.635
2,1000,0,0.00,12.546,0.633
3,1002,0,0.00,12.545,0.630
4,1002,0,0.00,12.546,0.640
5,1004,0,0.00,12.545,0.630
6,1004,0,0.00,12.550,0.623
7,1006,0,0.00,12.544,0.634
8,1006,0,0.00,12.550,0.633
9,1008,0,0.00,12.546,0.631
10,1008,0,0.00,12.550,0.635
11,1010,0,0.00,12.552,0.632
12,1010,0,0.00,12.552,0.635
13,1012,0,0.00,12.550,0.637
14,1012,0,0.00,12.554,0.639
15,1014,0,0.00,12.547,0.646
16,1014,0,0.00,12.542,0.651
17,1016,0,0.00,12.550,0.661
18,1016,0,0.00,12.539,0.708
19,1018,0,0.00,12.532,0.887
20,1018,0,0.00,12.530,0.946
21,1020,0,1.91,12.541,0.903
22,1020,0,2.39,12.537,0.878
23,1022,0,2.78,12.544,0.821
24,1022,0,3.50,12.544,0.792
25,1024,0,4.06,12.543,0.778
26,1024,0,3.96,12.540,0.784
27,1026,0,3.95,12.544,0.771
28,1026,0,4.34,12.540,0.749
29,1028,0,4.93,12.541,0.757
30,1028,0,5.05,12.541,0.755
31,1030,0,5.42,12.547,0.749
32,1030,0,5.46,12.544,0.746
33,1032,0,5.53,12.541,0.738
34,1032,0,5.25,12.539,0.744
35,1034,0,5.36,12.542,0.753
36,1034,0,5.72,12.540,0.735
37,1036,0,5.72,12.545,0.744
38,1036,0,5.79,12.542,0.734
39,1038,0,5.80,12.536,0.740
40,1038,0,6.02,12.542,0.758
41,1040,0,5.69,12.539,0.765
42,1040,0,5.30,12.543,0.743
43,1042,0,5.65,12.547,0.761
44,1042,0,6.10,12.539,0.763
45,1044,0,5.93,12.541,0.746
46,1044,0,6.10,12.540,0.762
47,1046,0,6.52,12.542,0.756
48,1046,0,6.51,12.543,0.764
49,1048,0,6.56,12.544,0.750
50,1048,0,6.55,12.543,0.769
51,1050,0,6.87,12.546,0.764
52,1050,0,6.90,12.544,0.770
53,1052,3788,6.52,12.541,0.778
54,1052,3822,6.59,12.540,0.793
55,1054,3848,6.74,12.540,0.774
56,1054,3865,7.04,12.537,0.772
57,1056,3900,6.63,12.539,0.772
58,1056,3925,6.59,12.544,0.773
59,1058,3960,6.66,12.543,0.765
60,1058,3985,6.89,12.544,0.795
61,1060,4011,6.93,12.540,0.772
62,1060,4037,6.95,12.543,0.784
63,1062,4062,7.23,12.538,0.788
64,1062,4088,7.40,12.546,0.775
65,1064,4122,7.50,12.541,0.790
66,1064,4148,7.92,12.537,0.806
67,1066,4165,8.40,12.539,0.794
68,1066,4200,8.70,12.541,0.804
69,1068,4225,8.62,12.540,0.794
70,1068,4242,8.58,12.541,0.800
71,1070,4251,9.02,12.541,0.806
72,1070,4260,8.97,12.548,0.795
73,1072,4277,8.89,12.538,0.799
74,1072,4285,8.79,12.540,0.802
75,1074,4320,8.93,12.540,0.803
76,1074,4328,8.99,12.544,0.805
77,1076,4362,8.86,12.539,0.813
78,1076,4405,8.84,12.538,0.811
79,1078,4440,9.12,12.533,0.806
80,1078,4465,9.71,12.544,0.821
81,1080,4508,9.87,12.544,0.832
82,1080,4534,9.98,12.537,0.811
83,1082,4577,10.28,12.541,0.802
84,1082,4628,10.41,12.539,0.798
85,1084,4688,10.55,12.536,0.804
86,1084,4740,10.72,12.531,0.807
87,1086,4782,11.67,12.537,0.826
88,1086,4808,11.86,12.540,0.824
89,1088,4842,11.37,12.536,0.839
90,1088,4868,11.32,12.537,0.841
91,1090,4902,11.71,12.540,0.831
92,1090,4945,12.13,12.534,0.841
93,1092,4980,11.96,12.538,0.842
94,1092,4997,11.76,12.533,0.837
95,1094,5031,11.96,12.531,0.845
96,1094,5065,12.19,12.536,0.859
97,1096,5082,12.06,12.540,0.838
98,1096,5108,12.00,12.537,0.863
99,1098,5134,12.19,12.537,0.843
100,1098,5160,12.51,12.541,0.856
101,1100,5194,12.90,12.536,0.856
102,1100,5220,13.40,12.540,0.854
103,1102,5245,13.49,12.537,0.851
104,1102,5271,13.49,12.533,0.856
105,1104,5288,13.53,12.535,0.862
106,1104,5314,13.77,12.537,0.877
107,1106,5331,13.69,12.540,0.882
108,1106,5357,13.79,12.531,0.886
109,1108,5374,14.13,12.531,0.868
110,1108,5408,14.50,12.533,0.874
111,1110,5425,14.91,12.531,0.885
112,1110,5451,14.93,12.530,0.883
113,1112,5468,14.43,12.539,0.875
114,1112,5494,14.80,12.543,0.884
115,1114,5502,15.13,12.539,0.865
116,1114,5528,14.61,12.540,0.896
117,1116,5554,14.16,12.547,0.887
118,1116,5580,15.13,12.534,0.889
119,1118,5597,15.31,12.535,0.895
120,1118,5614,15.08,12.534,0.911
121,1120,5648,15.32,12.531,0.892
122,1120,5665,15.83,12.530,0.905
123,1122,5700,15.34,12.534,0.916
124,1122,5734,15.22,12.534,0.913
125,1124,5751,15.66,12.529,0.905
126,1124,5768,15.75,12.534,0.904
127,1126,5794,16.04,12.528,0.907
128,1126,5802,16.14,12.529,0.909
129,1128,5828,15.87,12.528,0.920
130,1128,5854,15.75,12.526,0.926
131,1130,5871,15.90,12.525,0.910
132,1130,5897,16.25,12.538,0.921
133,1132,5914,16.15,12.535,0.920
134,1132,5931,16.39,12.542,0.938
135,1134,5957,16.56,12.538,0.927
136,1134,5974,16.76,12.541,0.925
137,1136,6000,17.10,12.530,0.936
138,1136,6025,16.95,12.538,0.946
139,1138,6042,16.74,12.533,0.947
140,1138,6068,16.93,12.532,0.937
141,1140,6077,16.84,12.526,0.947
142,1140,6111,16.85,12.526,0.965
143,1142,6128,17.22,12.530,0.959
144,1142,6154,17.07,12.531,0.948
145,1144,6180,17.71,12.529,0.953
146,1144,6197,17.59,12.531,0.947
147,1146,6214,17.67,12.532,0.952
148,1146,6240,18.13,12.528,0.957
149,1148,6257,17.94,12.530,0.975
150,1148,6274,17.81,12.527,0.976
151,1150,6300,18.40,12.528,0.945
152,1150,6308,18.02,12.542,0.961
153,1152,6317,18.24,12.532,0.971
154,1152,6342,18.38,12.523,0.981
155,1154,6368,18.73,12.523,0.985
156,1154,6394,18.83,12.534,0.976
157,1156,6411,19.02,12.528,0.982
158,1156,6428,20.59,12.535,1.002
159,1158,6454,20.68,12.531,0.984
160,1158,6471,20.39,12.530,0.983
161,1160,6480,20.65,12.528,1.001
162,1160,6505,21.06,12.536,0.987
163,1162,6522,21.16,12.529,1.000
164,1162,6548,21.41,12.535,0.979
165,1164,6557,22.11,12.534,0.979
