seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.55,0.63,7.95,0.000
2,1000,0,0.00,12.55,0.63,7.97,0.000
3,1002,0,0.00,12.55,0.63,7.89,0.000
4,1002,0,0.00,12.55,0.64,8.04,0.000
5,1004,0,0.00,12.55,0.63,7.92,0.000
6,1004,0,0.00,12.55,0.63,7.90,0.000
7,1006,0,0.00,12.55,0.63,7.93,0.000
8,1006,0,0.00,12.56,0.63,7.95,0.000
9,1008,0,0.00,12.55,0.63,7.90,0.000
10,1008,0,0.00,12.55,0.63,7.94,0.000
11,1010,0,0.00,12.56,0.63,7.92,0.000
12,1010,0,0.00,12.56,0.63,7.90,0.000
13,1012,0,0.00,12.55,0.64,8.02,0.000
14,1012,0,0.00,12.56,0.64,7.98,0.000
15,1014,0,0.00,12.55,0.64,8.08,0.000
16,1014,0,0.00,12.55,0.65,8.15,0.000
17,1016,0,0.00,12.55,0.65,8.18,0.000
18,1016,0,0.00,12.54,0.71,8.87,0.000
19,1018,0,0.00,12.54,0.87,10.85,0.000
20,1018,0,0.68,12.54,0.90,11.23,0.061
21,1020,0,2.02,12.54,0.87,10.91,0.185
22,1020,0,2.73,12.55,0.84,10.58,0.258
23,1022,0,3.39,12.55,0.80,10.04,0.338
24,1022,0,3.81,12.54,0.79,9.94,0.384
25,1024,0,4.16,12.55,0.78,9.78,0.426
26,1024,0,4.70,12.55,0.77,9.69,0.484
27,1026,0,5.02,12.55,0.76,9.58,0.524
28,1026,0,5.35,12.55,0.76,9.51,0.563
29,1028,0,5.60,12.55,0.75,9.43,0.594
30,1028,0,5.89,12.55,0.75,9.43,0.625
31,1030,0,6.19,12.55,0.74,9.27,0.668
32,1030,0,6.31,12.55,0.74,9.25,0.682
33,1032,0,6.43,12.54,0.74,9.24,0.695
34,1032,0,6.42,12.54,0.74,9.29,0.692
35,1034,0,6.66,12.54,0.74,9.33,0.714
36,1034,0,7.09,12.54,0.74,9.30,0.762
37,1036,0,7.22,12.54,0.74,9.32,0.775
38,1036,0,7.15,12.54,0.73,9.21,0.776
39,1038,0,7.15,12.54,0.74,9.31,0.769
40,1038,0,7.22,12.54,0.75,9.43,0.766
41,1040,0,7.17,12.54,0.76,9.51,0.754
42,1040,0,6.91,12.55,0.75,9.38,0.737
43,1042,0,7.19,12.55,0.76,9.53,0.755
44,1042,0,7.42,12.54,0.76,9.52,0.779
45,1044,0,7.48,12.55,0.75,9.41,0.795
46,1044,0,7.53,12.54,0.75,9.45,0.797
47,1046,0,7.79,12.55,0.75,9.46,0.823
48,1046,0,8.08,12.54,0.77,9.64,0.838
49,1048,0,8.05,12.55,0.76,9.49,0.849
50,1048,0,7.86,12.55,0.77,9.68,0.812
51,1050,0,8.29,12.55,0.76,9.57,0.866
52,1050,3780,8.52,12.55,0.77,9.68,0.880
53,1052,3805,8.37,12.55,0.77,9.64,0.868
54,1052,3831,8.28,12.54,0.77,9.70,0.853
55,1054,3857,8.40,12.54,0.78,9.79,0.858
56,1054,3882,8.77,12.54,0.77,9.70,0.903
57,1056,3908,8.78,12.54,0.77,9.68,0.907
58,1056,3934,8.71,12.55,0.77,9.70,0.898
59,1058,3960,8.59,12.55,0.78,9.79,0.878
60,1058,3985,8.49,12.55,0.78,9.83,0.864
61,1060,4011,8.63,12.54,0.78,9.73,0.887
62,1060,4037,8.73,12.54,0.78,9.82,0.890
63,1062,4062,8.89,12.54,0.79,9.87,0.902
64,1062,4088,9.09,12.55,0.78,9.73,0.934
65,1064,4122,9.32,12.55,0.79,9.89,0.942
66,1064,4148,9.86,12.54,0.80,9.99,0.987
67,1066,4165,10.20,12.54,0.80,10.02,1.018
68,1066,4200,10.21,12.54,0.80,10.04,1.016
69,1068,4225,10.27,12.54,0.79,9.95,1.033
70,1068,4242,10.14,12.54,0.80,10.05,1.009
71,1070,4251,10.59,12.54,0.80,10.09,1.049
72,1070,4260,10.61,12.55,0.79,9.94,1.067
73,1072,4277,10.89,12.54,0.80,10.03,1.086
74,1072,4294,10.86,12.54,0.80,10.05,1.081
75,1074,4320,10.75,12.54,0.80,10.02,1.072
76,1074,4328,10.89,12.54,0.81,10.21,1.068
77,1076,4362,10.93,12.54,0.82,10.23,1.068
78,1076,4405,10.87,12.54,0.81,10.15,1.071
79,1078,4440,11.24,12.54,0.81,10.10,1.112
80,1078,4465,11.79,12.55,0.81,10.19,1.157
81,1080,4508,11.84,12.54,0.82,10.31,1.149
82,1080,4534,12.03,12.54,0.81,10.18,1.181
83,1082,4577,12.29,12.55,0.81,10.22,1.203
84,1082,4628,12.64,12.54,0.81,10.18,1.242
85,1084,4697,12.81,12.54,0.81,10.16,1.261
86,1084,4765,13.14,12.54,0.82,10.27,1.278
87,1086,4808,13.57,12.54,0.83,10.46,1.297
88,1086,4842,13.78,12.54,0.83,10.37,1.329
89,1088,4877,13.66,12.54,0.83,10.46,1.307
90,1088,4902,13.66,12.54,0.83,10.41,1.312
91,1090,4920,13.96,12.54,0.83,10.45,1.336
92,1090,4954,14.25,12.54,0.85,10.62,1.342
93,1092,4988,14.16,12.54,0.85,10.70,1.322
94,1092,5005,13.95,12.54,0.84,10.56,1.322
95,1094,5040,14.04,12.54,0.85,10.63,1.321
96,1094,5065,14.34,12.54,0.85,10.70,1.341
97,1096,5082,14.38,12.54,0.84,10.49,1.371
98,1096,5108,14.28,12.54,0.86,10.76,1.328
99,1098,5142,14.36,12.54,0.84,10.59,1.356
100,1098,5160,14.72,12.54,0.85,10.69,1.377
101,1100,5194,14.95,12.54,0.85,10.64,1.405
102,1100,5220,15.43,12.54,0.86,10.73,1.438
103,1102,5245,15.56,12.54,0.85,10.72,1.451
104,1102,5271,15.50,12.53,0.86,10.78,1.437
105,1104,5288,15.71,12.54,0.86,10.77,1.458
106,1104,5314,15.88,12.54,0.87,10.86,1.462
107,1106,5331,16.29,12.54,0.87,10.94,1.488
108,1106,5357,16.45,12.54,0.88,11.03,1.491
109,1108,5374,16.53,12.54,0.87,10.91,1.515
110,1108,5408,16.62,12.54,0.87,10.86,1.530
111,1110,5425,16.66,12.54,0.87,10.90,1.529
112,1110,5451,16.73,12.54,0.88,10.97,1.526
113,1112,5468,16.66,12.54,0.88,11.06,1.506
114,1112,5494,16.94,12.54,0.88,11.07,1.531
115,1114,5502,17.18,12.54,0.88,11.03,1.557
116,1114,5528,16.84,12.54,0.89,11.13,1.512
117,1116,5554,16.60,12.54,0.89,11.22,1.480
118,1116,5580,17.39,12.54,0.90,11.28,1.541
119,1118,5597,17.55,12.54,0.90,11.31,1.552
120,1118,5614,17.40,12.54,0.90,11.32,1.537
121,1120,5648,17.52,12.53,0.90,11.29,1.553
122,1120,5665,17.98,12.54,0.91,11.38,1.580
123,1122,5700,17.77,12.54,0.91,11.40,1.559
124,1122,5734,17.70,12.54,0.92,11.49,1.541
125,1124,5751,17.80,12.54,0.90,11.30,1.576
126,1124,5768,18.09,12.54,0.90,11.28,1.604
127,1126,5794,18.59,12.54,0.91,11.41,1.629
128,1126,5802,18.75,12.54,0.92,11.54,1.624
129,1128,5828,19.00,12.54,0.93,11.62,1.635
130,1128,5854,19.24,12.53,0.93,11.63,1.654
