seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.544,0.627
2,1000,0,0.00,12.540,0.644
3,1002,0,0.00,12.546,0.630
4,1002,0,0.00,12.540,0.632
5,1004,0,0.00,12.540,0.638
6,1004,0,0.00,12.542,0.626
7,1006,0,0.00,12.545,0.641
8,1006,0,0.00,12.544,0.629
9,1008,0,0.00,12.538,0.626
10,1008,0,0.00,12.545,0.631
11,1010,0,0.00,12.543,0.638
12,1010,0,0.00,12.546,0.633
13,1012,0,0.00,12.542,0.638
14,1012,0,0.00,12.544,0.616
15,1014,0,0.00,12.544,0.644
16,1014,0,0.00,12.548,0.636
17,1016,0,0.00,12.541,0.648
18,1016,0,0.00,12.532,0.737
19,1018,0,0.00,12.528,0.887
20,1018,0,0.00,12.526,0.966
21,1020,0,0.00,12.535,0.952
22,1020,0,0.00,12.531,0.945
23,1022,0,1.25,12.528,0.879
24,1022,0,1.73,12.528,0.865
25,1024,0,1.69,12.529,0.826
26,1024,0,2.18,12.531,0.796
27,1026,0,1.89,12.541,0.811
28,1026,0,2.93,12.537,0.809
29,1028,0,2.82,12.534,0.786
30,1028,0,3.40,12.536,0.784
31,1030,0,3.32,12.535,0.776
32,1030,0,3.48,12.540,0.764
33,1032,0,3.75,12.537,0.762
34,1032,0,3.68,12.529,0.765
35,1034,0,4.29,12.534,0.751
36,1034,0,3.85,12.540,0.743
37,1036,0,3.42,12.543,0.723
38,1036,0,4.35,12.532,0.740
39,1038,0,4.45,12.536,0.749
40,1038,0,3.99,12.542,0.751
41,1040,0,4.26,12.544,0.766
42,1040,0,4.86,12.542,0.751
43,1042,0,4.60,12.537,0.752
44,1042,0,4.68,12.535,0.751
45,1044,0,5.05,12.532,0.745
46,1044,0,4.96,12.537,0.758
47,1046,0,5.11,12.532,0.754
48,1046,0,4.81,12.533,0.763
49,1048,0,5.37,12.533,0.765
50,1048,0,5.59,12.539,0.777
51,1050,0,5.70,12.532,0.743
52,1050,0,5.89,12.532,0.770
53,1052,3797,6.58,12.537,0.760
54,1052,3822,6.57,12.532,0.759
55,1054,3857,6.85,12.538,0.753
56,1054,3882,6.80,12.539,0.758
57,1056,3908,7.01,12.538,0.758
58,1056,3934,7.62,12.536,0.760
59,1058,3968,7.74,12.533,0.784
60,1058,4011,7.85,12.539,0.769
61,1060,4037,8.43,12.531,0.765
62,1060,4054,8.71,12.530,0.781
63,1062,4080,8.22,12.534,0.783
64,1062,4088,8.22,12.541,0.779
65,1064,4114,9.24,12.533,0.785
66,1064,4148,9.42,12.541,0.779
67,1066,4148,9.59,12.533,0.791
68,1066,4165,10.14,12.539,0.778
69,1068,4174,9.93,12.538,0.776
70,1068,4174,10.26,12.530,0.799
71,1070,4208,10.43,12.534,0.791
72,1070,4251,10.66,12.530,0.802
73,1072,4268,10.71,12.527,0.780
74,1072,4268,10.66,12.530,0.809
75,1074,4285,11.07,12.534,0.801
76,1074,4302,11.28,12.533,0.801
77,1076,4345,11.46,12.537,0.809
78,1076,4380,10.90,12.536,0.801
79,1078,4422,11.24,12.535,0.809
80,1078,4482,11.66,12.534,0.810
81,1080,4542,11.68,12.538,0.814
82,1080,4611,11.65,12.537,0.818
83,1082,4671,12.13,12.537,0.805
84,1082,4714,12.60,12.532,0.814
85,1084,4757,12.65,12.531,0.814
86,1084,4791,12.91,12.527,0.822
87,1086,4842,12.84,12.529,0.826
88,1086,4877,13.38,12.533,0.828
89,1088,4911,13.97,12.530,0.819
90,1088,4945,13.95,12.528,0.814
91,1090,4971,13.97,12.528,0.823
92,1090,4988,14.09,12.533,0.836
93,1092,5005,14.41,12.531,0.826
94,1092,5031,14.54,12.534,0.822
95,1094,5057,14.59,12.544,0.818
96,1094,5082,14.81,12.540,0.831
97,1096,5117,15.13,12.527,0.829
98,1096,5151,15.19,12.532,0.829
99,1098,5177,15.06,12.532,0.825
100,1098,5194,14.84,12.538,0.856
101,1100,5211,15.08,12.532,0.853
102,1100,5237,15.51,12.532,0.859
103,1102,5262,16.13,12.523,0.853
104,1102,5280,15.92,12.532,0.851
105,1104,5314,16.07,12.528,0.860
106,1104,5348,16.40,12.531,0.865
107,1106,5382,16.38,12.527,0.862
108,1106,5417,16.45,12.532,0.857
109,1108,5451,16.81,12.527,0.849
110,1108,5468,16.76,12.527,0.845
111,1110,5494,16.77,12.533,0.860
112,1110,5520,16.81,12.535,0.858
113,1112,5537,17.44,12.530,0.871
114,1112,5562,17.60,12.534,0.853
115,1114,5580,17.60,12.523,0.870
116,1114,5605,17.81,12.524,0.874
117,1116,5614,17.71,12.532,0.883
118,1116,5640,17.95,12.529,0.880
119,1118,5674,18.07,12.531,0.884
120,1118,5691,18.66,12.524,0.894
121,1120,5717,18.80,12.516,0.885
122,1120,5751,18.43,12.524,0.902
123,1122,5777,17.91,12.531,0.874
124,1122,5794,19.00,12.526,0.877
125,1124,5820,18.81,12.532,0.880
126,1124,5837,18.41,12.526,0.887
127,1126,5862,18.67,12.534,0.886
128,1126,5888,19.22,12.527,0.870
129,1128,5914,19.79,12.525,0.896
130,1128,5931,19.44,12.528,0.896
131,1130,5957,19.65,12.530,0.905
132,1130,5991,19.84,12.533,0.910
133,1132,6017,19.85,12.536,0.921
134,1132,6034,19.82,12.528,0.911
135,1134,6068,20.05,12.529,0.934
136,1134,6094,20.62,12.524,0.931
137,1136,6111,21.13,12.527,0.912
138,1136,6145,21.33,12.527,0.916
139,1138,6162,20.92,12.527,0.894
140,1138,6188,20.86,12.534,0.937
141,1140,6205,21.56,12.529,0.937
142,1140,6231,21.38,12.526,0.926
143,1142,6257,21.73,12.520,0.927
144,1142,6274,22.07,12.525,0.926
145,1144,6300,22.06,12.530,0.940
146,1144,6325,21.64,12.531,0.946
147,1146,6334,21.80,12.529,0.931
148,1146,6360,22.24,12.534,0.961
149,1148,6377,22.55,12.526,0.935
150,1148,6394,22.39,12.523,0.958
151,1150,6420,22.24,12.522,0.950
152,1150,6437,22.18,12.528,0.957
153,1152,6462,22.34,12.533,0.943
154,1152,6480,22.62,12.528,0.952
155,1154,6497,22.55,12.530,0.949
156,1154,6514,22.82,12.521,0.933
157,1156,6522,22.33,12.529,0.944
158,1156,6548,22.62,12.527,0.952
159,1158,6565,22.29,12.527,0.959
160,1158,6582,22.48,12.528,0.962
161,1160,6600,23.00,12.526,0.952
162,1160,6625,23.05,12.529,0.957
163,1162,6651,22.79,12.521,0.961
164,1162,6668,23.17,12.520,0.946
165,1164,6685,22.94,12.523,0.947
166,1164,6702,23.50,12.528,0.977
167,1166,6720,23.69,12.523,0.976
168,1166,6745,24.48,12.524,0.977
169,1168,6771,24.89,12.524,0.975
170,1168,6797,24.58,12.529,0.981
171,1170,6814,24.88,12.533,0.965
172,1170,6840,25.06,12.523,0.986
173,1172,6857,25.78,12.517,0.988
174,1172,6882,26.14,12.519,0.993
175,1174,6908,26.42,12.526,1.013
176,1174,6934,26.87,12.521,1.011
177,1176,6951,27.12,12.516,0.990
178,1176,6977,27.45,12.517,1.006
179,1178,6994,27.83,12.521,0.999
180,1178,7020,28.55,12.525,1.003
181,1180,7054,29.16,12.515,1.006
182,1180,7071,31.46,12.522,1.008
183,1182,7105,31.61,12.523,1.008
184,1182,7122,31.95,12.530,1.023
185,1184,7140,31.93,12.531,1.009
186,1184,7165,31.95,12.525,1.010
187,1186,7182,31.87,12.528,1.019
188,1186,7208,32.12,12.520,1.028
189,1188,7234,31.89,12.525,1.040
190,1188,7260,31.42,12.517,1.054
191,1190,7294,31.44,12.517,1.045
192,1190,7320,31.60,12.518,1.039
193,1192,7337,32.00,12.523,1.053
194,1192,7371,31.47,12.526,1.032
195,1194,7397,31.44,12.524,1.056
196,1194,7431,31.57,12.519,1.056
197,1196,7448,31.98,12.518,1.052
198,1196,7482,32.09,12.525,1.056
199,1198,7508,32.33,12.523,1.046
200,1198,7534,32.62,12.517,1.075
201,1200,7568,33.26,12.518,1.070
202,1200,7602,33.40,12.523,1.083
203,1202,7620,33.48,12.522,1.079
204,1202,7645,33.36,12.523,1.060
205,1204,7671,32.78,12.521,1.074
206,1204,7688,32.79,12.523,1.064
207,1206,7714,33.12,12.528,1.093
208,1206,7748,33.13,12.519,1.079
209,1208,7774,33.94,12.514,1.092
210,1208,7791,34.51,12.522,1.078
211,1210,7825,34.82,12.518,1.086
212,1210,7851,34.83,12.517,1.095
213,1212,7868,34.59,12.517,1.114
214,1212,7894,35.13,12.519,1.112
215,1214,7920,35.39,12.506,1.114
216,1214,7945,35.52,12.514,1.140
217,1216,7980,36.22,12.512,1.123
218,1216,8014,36.60,12.507,1.142
219,1218,8031,37.33,12.508,1.148
220,1218,8057,37.75,12.520,1.140
221,1220,8074,38.01,12.510,1.140
222,1220,8091,38.21,12.513,1.150
223,1222,8117,38.47,12.512,1.144
224,1222,8142,38.63,12.509,1.172
225,1224,8168,39.06,12.520,1.161
226,1224,8194,39.56,12.521,1.151
227,1226,8220,39.51,12.516,1.135
228,1226,8245,39.53,12.520,1.167
229,1228,8271,40.07,12.518,1.158
230,1228,8305,40.44,12.515,1.168
231,1230,8340,41.00,12.521,1.146
232,1230,8357,41.53,12.511,1.157
233,1232,8391,41.70,12.523,1.175
234,1232,8417,41.43,12.519,1.176
235,1234,8434,41.90,12.499,1.173
236,1234,8451,41.71,12.511,1.166
237,1236,8477,42.29,12.510,1.184
238,1236,8502,43.15,12.511,1.204
239,1238,8528,43.49,12.509,1.222
240,1238,8545,43.30,12.504,1.223
241,1240,8571,43.27,12.515,1.202
242,1240,8605,44.01,12.513,1.232
243,1242,8631,43.69,12.518,1.210
244,1242,8665,43.92,12.512,1.215
245,1244,8682,44.27,12.510,1.227
246,1244,8717,44.60,12.527,1.230
247,1246,8751,44.81,12.517,1.236
248,1246,8768,45.10,12.515,1.231
249,1248,8802,44.77,12.513,1.226
250,1248,8828,45.09,12.510,1.258
251,1250,8880,45.27,12.511,1.268
252,1250,8940,45.55,12.514,1.265
253,1252,8965,46.28,12.511,1.265
254,1252,8991,46.75,12.517,1.248
255,1254,9017,46.42,12.514,1.269
256,1254,9042,46.49,12.520,1.259
257,1256,9068,46.65,12.514,1.279
258,1256,9102,46.97,12.506,1.276
259,1258,9137,47.58,12.519,1.293
260,1258,9162,48.32,12.502,1.299
261,1260,9197,48.49,12.505,1.331
262,1260,9231,48.29,12.507,1.324
263,1262,9257,48.79,12.502,1.305
264,1262,9291,49.23,12.494,1.344
265,1264,9342,49.72,12.508,1.344
266,1264,9377,50.42,12.505,1.334
267,1266,9402,50.69,12.500,1.353
268,1266,9428,50.99,12.499,1.336
269,1268,9454,51.09,12.499,1.358
270,1268,9480,51.81,12.498,1.345
271,1270,9514,52.07,12.506,1.350
272,1270,9531,52.19,12.502,1.365
273,1272,9557,53.44,12.500,1.360
274,1272,9574,54.05,12.504,1.369
275,1274,9591,53.99,12.499,1.371
276,1274,9625,54.32,12.500,1.373
277,1276,9660,54.56,12.505,1.377
278,1276,9677,54.56,12.502,1.401
279,1278,9711,54.61,12.507,1.344
280,1278,9728,55.66,12.499,1.381
281,1280,9754,55.82,12.506,1.412
282,1280,9780,55.73,12.508,1.374
283,1282,9814,56.21,12.503,1.399
284,1282,9831,55.98,12.511,1.391
285,1284,9857,56.11,12.511,1.406
286,1284,9882,56.33,12.509,1.397
287,1286,9900,57.09,12.510,1.408
288,1286,9917,56.76,12.489,1.428
289,1288,9951,56.63,12.494,1.418
290,1288,9977,56.88,12.497,1.431
291,1290,9994,57.25,12.496,1.451
292,1290,10020,57.72,12.498,1.449
293,1292,10037,57.85,12.497,1.454
294,1292,10054,58.39,12.506,1.446
295,1294,10071,58.57,12.511,1.422
296,1294,10097,58.59,12.507,1.452
297,1296,10122,58.93,12.502,1.438
298,1296,10140,59.35,12.494,1.471
299,1298,10174,59.20,12.490,1.463
300,1298,10191,59.74,12.491,1.465
301,1300,10217,60.09,12.501,1.492
302,1300,10234,60.61,12.492,1.495
303,1302,10260,60.66,12.490,1.499
304,1302,10277,61.37,12.498,1.497
305,1304,10302,61.69,12.503,1.474
306,1304,10320,61.36,12.509,1.486
307,1306,10337,61.48,12.500,1.486
308,1306,10354,61.59,12.487,1.530
309,1308,10380,61.37,12.493,1.522
310,1308,10397,62.03,12.488,1.526
311,1310,10422,62.80,12.497,1.511
312,1310,10448,63.07,12.498,1.514
313,1312,10465,62.72,12.504,1.485
314,1312,10508,62.93,12.505,1.527
315,1314,10525,62.47,12.502,1.509
316,1314,10542,63.62,12.506,1.518
317,1316,10551,63.27,12.510,1.540
318,1316,10568,63.53,12.492,1.548
319,1318,10594,63.65,12.486,1.566
320,1318,10611,63.91,12.492,1.543
321,1320,10637,63.88,12.505,1.565
322,1320,10671,63.93,12.503,1.564
323,1322,10688,64.66,12.506,1.574
324,1322,10722,65.03,12.505,1.559
325,1324,10748,65.26,12.500,1.576
326,1324,10774,65.71,12.496,1.586
327,1326,10791,65.92,12.484,1.632
328,1326,10825,65.69,12.494,1.590
329,1328,10842,66.20,12.501,1.609
330,1328,10868,67.03,12.487,1.615
331,1330,10894,67.31,12.491,1.626
332,1330,10902,67.76,12.482,1.638
333,1332,10928,68.17,12.502,1.611
334,1332,10937,68.52,12.498,1.610
335,1334,10971,68.50,12.490,1.630
336,1334,10988,68.73,12.485,1.642
337,1336,10997,70.00,12.484,1.647
338,1336,11014,69.86,12.495,1.635
339,1338,11022,69.47,12.493,1.641
340,1338,11031,69.47,12.497,1.645
341,1340,11057,70.15,12.487,1.674
342,1340,11100,70.95,12.485,1.669
343,1342,11117,71.19,12.482,1.672
344,1342,11142,72.16,12.481,1.691
345,1344,11160,72.34,12.483,1.688
346,1344,11194,72.75,12.491,1.703
347,1346,11194,72.96,12.491,1.712
348,1346,11220,73.06,12.485,1.722
349,1348,11262,73.08,12.485,1.739
350,1348,11288,73.22,12.488,1.743
351,1350,11288,73.55,12.492,1.693
352,1350,11314,74.30,12.482,1.706
353,1352,11357,74.85,12.485,1.709
354,1352,11374,74.57,12.484,1.724
355,1354,11400,74.70,12.480,1.710
356,1354,11425,74.86,12.484,1.726
357,1356,11417,75.36,12.478,1.724
358,1356,11434,75.58,12.489,1.747
359,1358,11434,76.10,12.479,1.748
360,1358,11434,76.17,12.478,1.743
361,1360,11451,76.82,12.489,1.744
362,1360,11451,77.08,12.487,1.759
363,1362,11468,77.51,12.490,1.777
364,1362,11511,77.93,12.494,1.760
365,1364,11528,77.92,12.492,1.780
366,1364,11554,78.77,12.491,1.782
367,1366,11580,79.16,12.492,1.799
368,1366,11614,79.41,12.497,1.789
369,1368,11682,79.33,12.493,1.789
370,1368,11682,79.11,12.484,1.775
371,1370,11682,79.56,12.485,1.762
372,1370,11691,79.13,12.492,1.813
373,1372,11700,80.15,12.487,1.800
374,1372,11854,80.75,12.481,1.831
375,1374,11871,80.56,12.479,1.815
376,1374,11897,80.79,12.474,1.815
377,1376,11905,80.76,12.468,1.855
378,1376,11905,81.13,12.473,1.847
379,1378,11914,81.54,12.473,1.854
380,1378,11940,81.48,12.479,1.845
381,1380,11940,82.06,12.476,1.836
382,1380,11948,81.86,12.479,1.844
383,1382,11974,82.25,12.484,1.853
384,1382,12000,82.60,12.486,1.867
385,1384,11888,83.26,12.491,1.860
386,1384,11897,83.40,12.495,1.857
387,1386,11905,83.41,12.484,1.877
388,1386,11905,83.96,12.483,1.888
389,1388,11905,84.43,12.489,1.883
390,1388,11905,84.53,12.481,1.892
391,1390,11905,84.33,12.489,1.904
392,1390,11948,84.19,12.486,1.904
393,1392,12008,84.55,12.484,1.902
394,1392,12034,84.66,12.480,1.913
395,1394,12068,85.06,12.467,1.908
396,1394,12094,84.88,12.470,1.923
397,1396,12128,84.71,12.465,1.924
398,1396,12214,85.18,12.485,1.956
399,1398,12240,85.59,12.481,1.932
400,1398,12257,85.75,12.485,1.936
401,1400,12248,86.48,12.486,1.943
402,1400,12257,86.70,12.475,1.943
403,1402,12274,86.50,12.472,1.940
404,1402,12282,86.85,12.469,1.958
405,1404,12282,86.85,12.474,1.949
406,1404,12308,87.02,12.476,1.949
407,1406,12334,87.88,12.476,1.964
408,1406,12368,87.99,12.483,1.964
409,1408,12394,88.10,12.487,1.977
410,1408,12420,88.04,12.471,1.993
411,1410,12428,88.50,12.474,1.983
412,1410,12445,88.16,12.480,1.990
413,1412,12462,88.56,12.475,2.017
414,1412,12471,89.17,12.470,1.999
415,1414,12505,89.27,12.476,1.984
416,1414,12522,89.33,12.474,2.028
417,1416,12540,89.40,12.471,2.014
418,1416,12557,89.33,12.481,2.032
419,1418,12565,90.42,12.474,2.022
420,1418,12582,91.06,12.473,2.024
421,1420,12608,90.51,12.476,2.032
422,1420,12617,90.56,12.474,2.052
423,1422,12634,90.57,12.482,2.040
424,1422,12642,91.10,12.471,2.032
425,1424,12660,91.32,12.464,2.039
426,1424,12702,91.40,12.452,2.150
427,1426,12754,91.75,12.459,2.088
428,1426,12754,93.39,12.458,2.101
429,1428,12771,93.69,12.474,2.092
430,1428,12771,94.08,12.450,2.068
431,1430,12780,93.85,12.463,2.101
432,1430,12797,93.98,12.461,2.084
433,1432,12805,93.64,12.466,2.079
434,1432,12814,93.27,12.459,2.126
435,1434,12822,94.02,12.464,2.107
436,1434,12840,94.40,12.474,2.114
437,1436,12865,94.34,12.466,2.115
438,1436,12865,94.50,12.479,2.139
439,1438,12882,94.74,12.475,2.111
440,1438,12908,94.74,12.475,2.146
441,1440,12917,95.03,12.466,2.153
442,1440,12942,95.67,12.468,2.149
443,1442,12968,95.99,12.464,2.132
444,1442,12977,95.90,12.469,2.143
445,1444,12985,95.42,12.470,2.165
446,1444,12994,95.90,12.459,2.157
447,1446,13020,96.98,12.462,2.217
448,1446,13080,97.03,12.456,2.177
449,1448,13080,97.03,12.462,2.213
450,1448,13097,96.69,12.458,2.172
451,1450,13105,97.21,12.477,2.209
452,1450,13088,98.06,12.466,2.172
453,1452,13105,98.00,12.456,2.166
454,1452,13114,97.81,12.458,2.196
455,1454,13140,98.45,12.464,2.190
456,1454,13174,98.64,12.462,2.224
457,1456,13191,98.51,12.459,2.237
458,1456,13217,99.55,12.461,2.236
459,1458,13242,99.38,12.459,2.223
460,1458,13268,99.41,12.471,2.233
461,1460,13277,99.52,12.476,2.277
462,1460,13277,99.80,12.460,2.260
463,1462,13285,100.20,12.465,2.233
464,1462,13311,100.77,12.471,2.254
465,1464,13337,100.76,12.465,2.274
466,1464,13371,101.26,12.469,2.301
467,1466,13388,101.69,12.457,2.277
468,1466,13380,102.02,12.454,2.298
469,1468,13388,102.68,12.442,2.329
470,1468,13414,103.11,12.455,2.304
471,1470,13414,103.50,12.464,2.295
472,1470,13414,103.91,12.465,2.295
473,1472,13448,104.05,12.461,2.310
474,1472,13457,104.78,12.466,2.334
475,1474,13525,105.17,12.467,2.325
476,1474,13525,105.21,12.460,2.349
477,1476,13517,106.01,12.456,2.359
478,1476,13500,106.46,12.457,2.358
479,1478,13500,106.71,12.446,2.365
480,1478,13500,106.77,12.451,2.392
481,1480,13500,106.83,12.456,2.388
482,1480,13525,106.72,12.451,2.379
483,1482,13542,107.15,12.451,2.351
484,1482,13560,107.92,12.455,2.383
485,1484,13577,107.87,12.449,2.397
486,1484,13594,107.87,12.452,2.361
487,1486,13628,108.09,12.457,2.379
488,1486,13671,108.39,12.462,2.393
489,1488,13714,108.66,12.442,2.412
490,1488,13757,108.77,12.444,2.449
491,1490,13765,109.81,12.444,2.431
492,1490,13842,110.37,12.460,2.435
493,1492,13842,110.21,12.438,2.444
494,1492,13877,110.15,12.452,2.421
495,1494,13825,110.76,12.450,2.456
496,1494,13842,110.95,12.452,2.452
497,1496,13885,111.50,12.437,2.412
498,1496,13902,110.71,12.440,2.438
499,1498,13911,111.51,12.452,2.457
500,1498,13885,111.47,12.442,2.465
501,1500,13877,111.80,12.451,2.502
502,1500,13877,112.72,12.442,2.481
503,1502,13902,113.19,12.443,2.513
504,1502,13937,113.98,12.456,2.502
505,1504,13954,114.56,12.439,2.521
506,1504,13954,113.48,12.440,2.512
507,1506,13980,114.39,12.440,2.532
508,1506,13988,114.83,12.439,2.541
509,1508,14005,114.65,12.446,2.533
510,1508,14005,114.25,12.444,2.546
511,1510,14022,114.76,12.434,2.536
512,1510,14065,114.37,12.444,2.571
513,1512,14091,114.03,12.450,2.547
514,1512,14100,113.69,12.439,2.571
515,1514,14108,114.57,12.434,2.582
516,1514,14100,115.47,12.448,2.547
517,1516,14082,115.58,12.442,2.570
518,1516,14091,115.84,12.437,2.624
519,1518,14134,116.21,12.447,2.594
520,1518,14134,116.57,12.431,2.618
521,1520,14142,116.14,12.439,2.657
522,1520,14202,115.66,12.438,2.604
523,1522,14228,116.52,12.422,2.651
524,1522,14228,117.72,12.446,2.624
525,1524,14220,116.98,12.426,2.648
526,1524,14245,117.70,12.446,2.620
527,1526,14245,117.31,12.429,2.662
528,1526,14254,117.29,12.438,2.688
529,1528,14288,118.09,12.432,2.643
530,1528,14374,118.59,12.425,2.715
531,1530,14434,118.89,12.436,2.706
532,1530,14520,118.72,12.428,2.694
533,1532,14502,119.74,12.416,2.709
534,1532,14451,119.63,12.446,2.696
535,1534,14434,119.80,12.428,2.732
536,1534,14460,120.12,12.429,2.712
537,1536,14434,120.34,12.427,2.737
538,1536,14425,120.51,12.428,2.737
539,1538,14460,120.66,12.437,2.705
540,1538,14511,121.21,12.425,2.739
541,1540,14528,121.35,12.423,2.777
542,1540,14614,121.28,12.432,2.739
543,1542,14682,122.07,12.434,2.777
544,1542,14734,123.08,12.420,2.789
545,1544,14742,122.57,12.434,2.745
546,1544,14734,122.91,12.424,2.784
547,1546,14777,123.31,12.419,2.803
548,1546,14777,123.53,12.454,2.798
549,1548,14777,124.10,12.413,2.819
550,1548,14777,124.19,12.424,2.823
551,1550,14785,124.52,12.428,2.806
552,1550,14785,124.49,12.420,2.861
553,1552,14862,124.22,12.432,2.831
554,1552,14914,124.42,12.422,2.848
555,1554,14931,124.60,12.439,2.842
556,1554,14965,125.65,12.425,2.819
557,1556,14991,125.81,12.410,2.888
558,1556,15000,125.50,12.433,2.859
559,1558,15008,125.25,12.416,2.874
560,1558,15025,126.07,12.420,2.871
561,1560,15068,127.08,12.424,2.918
562,1560,15102,127.29,12.435,2.890
563,1562,15145,126.56,12.413,2.926
564,1562,15154,127.40,12.446,2.908
565,1564,15171,127.80,12.419,2.919
566,1564,15188,128.25,12.432,2.929
567,1566,15188,128.93,12.402,2.956
568,1566,15205,128.89,12.419,2.963
569,1568,15231,129.75,12.411,3.009
570,1568,15291,130.27,12.433,2.950
571,1570,15300,129.97,12.414,2.965
572,1570,15317,129.83,12.414,2.966
573,1572,15308,129.64,12.435,2.959
574,1572,15334,130.82,12.414,2.988
575,1574,15342,131.72,12.419,2.976
576,1574,15351,132.14,12.408,2.987
577,1576,15368,132.19,12.426,2.970
578,1576,15394,132.32,12.404,3.006
579,1578,15420,132.35,12.417,3.026
580,1578,15445,132.73,12.427,3.013
581,1580,15462,133.24,12.424,3.042
582,1580,15505,134.27,12.440,3.037
583,1582,15497,133.84,12.404,3.056
584,1582,15505,133.82,12.427,3.020
585,1584,15522,134.87,12.411,3.090
586,1584,15540,134.73,12.418,3.051
587,1586,15565,135.51,12.406,3.116
588,1586,15591,135.43,12.418,3.081
589,1588,15591,135.91,12.411,3.079
590,1588,15617,136.45,12.406,3.066
591,1590,15634,136.96,12.412,3.090
592,1590,15617,137.29,12.410,3.074
593,1592,15625,137.56,12.424,3.082
594,1592,15625,138.04,12.407,3.115
595,1594,15651,137.78,12.403,3.105
596,1594,15694,138.03,12.403,3.154
597,1596,15711,138.67,12.424,3.135
598,1596,15720,139.35,12.412,3.158
599,1598,15754,139.60,12.425,3.105
600,1598,15737,139.39,12.424,3.159
601,1600,15737,139.06,12.396,3.166
602,1600,15745,139.40,12.412,3.151
603,1602,15780,139.90,12.426,3.170
604,1602,15831,141.34,12.407,3.199
605,1604,15848,141.13,12.404,3.216
606,1604,15874,141.49,12.411,3.223
607,1606,15900,141.72,12.410,3.188
608,1606,15917,142.06,12.406,3.211
609,1608,15908,142.89,12.410,3.212
610,1608,15934,142.55,12.404,3.259
611,1610,15951,142.23,12.399,3.263
612,1610,15977,142.43,12.398,3.203
613,1612,15994,143.40,12.419,3.270
614,1612,15977,143.26,12.397,3.258
615,1614,16062,144.05,12.398,3.302
616,1614,16114,144.22,12.409,3.290
617,1616,16037,144.14,12.399,3.282
618,1616,16062,144.87,12.415,3.306
619,1618,16122,145.16,12.403,3.300
620,1618,16140,145.01,12.398,3.305
621,1620,16131,145.06,12.398,3.254
622,1620,16157,145.77,12.384,3.336
623,1622,16174,146.49,12.402,3.322
624,1622,16165,146.17,12.415,3.312
625,1624,16208,147.22,12.398,3.355
626,1624,16234,147.13,12.392,3.384
627,1626,16260,148.13,12.394,3.336
628,1626,16234,148.98,12.404,3.368
629,1628,16225,148.88,12.400,3.343
630,1628,16268,148.85,12.397,3.410
631,1630,16302,149.37,12.397,3.361
632,1630,16294,150.39,12.404,3.386
633,1632,16302,149.94,12.389,3.408
634,1632,16285,150.20,12.400,3.387
635,1634,16354,150.26,12.404,3.438
636,1634,16397,150.74,12.382,3.463
637,1636,16397,151.23,12.391,3.450
638,1636,16397,151.51,12.401,3.448
639,1638,16431,151.80,12.390,3.441
640,1638,16431,152.50,12.387,3.476
641,1640,16431,152.77,12.404,3.449
642,1640,16465,152.78,12.402,3.467
643,1642,16482,152.72,12.379,3.492
644,1642,16482,153.55,12.394,3.499
645,1644,16482,153.85,12.382,3.532
646,1644,16500,153.53,12.387,3.507
647,1646,16534,153.47,12.395,3.524
648,1646,16585,153.69,12.404,3.547
649,1648,16628,153.93,12.393,3.512
650,1648,16637,153.85,12.377,3.524
651,1650,16662,154.11,12.384,3.564
652,1650,16705,154.75,12.381,3.540
653,1652,16697,154.87,12.386,3.520
654,1652,16714,155.83,12.396,3.568
655,1654,16731,156.20,12.377,3.575
656,1654,16765,155.78,12.376,3.593
657,1656,16782,155.09,12.378,3.592
658,1656,16808,155.80,12.380,3.619
659,1658,16834,156.45,12.381,3.639
660,1658,16834,157.15,12.386,3.596
661,1660,16842,157.12,12.373,3.619
662,1660,16885,157.52,12.382,3.637
663,1662,16902,158.17,12.372,3.675
664,1662,16945,158.79,12.384,3.657
665,1664,16971,159.08,12.371,3.715
666,1664,16997,159.94,12.371,3.709
667,1666,16997,159.53,12.394,3.648
668,1666,16980,159.38,12.384,3.603
669,1668,16980,160.07,12.384,3.642
670,1668,16980,159.62,12.377,3.661
671,1670,16988,160.15,12.381,3.682
672,1670,17005,160.11,12.367,3.731
673,1672,17022,159.76,12.380,3.710
674,1672,17040,160.14,12.376,3.721
675,1674,17074,161.06,12.382,3.730
676,1674,17091,161.56,12.380,3.737
677,1676,17100,161.71,12.368,3.786
678,1676,17142,161.72,12.363,3.806
679,1678,17151,162.12,12.384,3.776
680,1678,17151,162.47,12.377,3.786
681,1680,17168,162.49,12.376,3.772
682,1680,17202,162.00,12.361,3.798
683,1682,17220,163.46,12.363,3.834
684,1682,17237,163.97,12.382,3.766
685,1684,17237,164.82,12.371,3.837
686,1684,17271,164.88,12.379,3.817
687,1686,17288,165.40,12.396,3.814
688,1686,17297,165.18,12.371,3.823
689,1688,17297,165.38,12.371,3.901
690,1688,17305,165.83,12.362,3.801
691,1690,17340,166.08,12.397,3.871
692,1690,17365,166.21,12.345,3.858
693,1692,17382,166.91,12.353,3.936
694,1692,17408,166.71,12.356,3.952
695,1694,17417,167.38,12.364,3.903
696,1694,17434,168.13,12.380,3.917
