seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.55,0.63,7.86,0.000
2,1000,0,0.00,12.54,0.64,8.00,0.000
3,1002,0,0.00,12.54,0.63,7.91,0.000
4,1002,0,0.00,12.54,0.63,7.96,0.000
5,1004,0,0.00,12.54,0.64,8.07,0.000
6,1004,0,0.00,12.54,0.63,7.86,0.000
7,1006,0,0.00,12.55,0.64,7.99,0.000
8,1006,0,0.00,12.55,0.64,8.01,0.000
9,1008,0,0.00,12.54,0.62,7.82,0.000
10,1008,0,0.00,12.55,0.63,7.87,0.000
11,1010,0,0.00,12.55,0.64,8.00,0.000
12,1010,0,0.00,12.55,0.63,7.91,0.000
13,1012,0,0.00,12.55,0.63,7.92,0.000
14,1012,0,0.00,12.55,0.62,7.82,0.000
15,1014,0,0.00,12.55,0.64,8.05,0.000
16,1014,0,0.00,12.55,0.65,8.12,0.000
17,1016,0,0.00,12.54,0.65,8.20,0.000
18,1016,0,0.00,12.54,0.70,8.77,0.000
19,1018,0,0.00,12.53,0.88,11.08,0.000
20,1018,0,0.94,12.53,0.96,12.09,0.078
21,1020,0,1.24,12.53,0.96,12.06,0.102
22,1020,0,1.55,12.53,0.94,11.77,0.132
23,1022,0,2.77,12.53,0.89,11.18,0.248
24,1022,0,3.18,12.53,0.87,10.92,0.291
25,1024,0,3.46,12.54,0.83,10.41,0.332
26,1024,0,3.71,12.54,0.80,10.04,0.369
27,1026,0,4.08,12.54,0.81,10.13,0.403
28,1026,0,4.43,12.54,0.81,10.11,0.438
29,1028,0,4.66,12.54,0.78,9.79,0.476
30,1028,0,5.07,12.54,0.79,9.86,0.514
31,1030,0,5.17,12.54,0.78,9.72,0.532
32,1030,0,5.20,12.54,0.77,9.60,0.541
33,1032,0,5.55,12.54,0.76,9.57,0.580
34,1032,0,5.61,12.54,0.77,9.59,0.584
35,1034,0,5.88,12.54,0.75,9.41,0.625
36,1034,0,5.76,12.54,0.75,9.38,0.614
37,1036,0,5.57,12.54,0.74,9.27,0.601
38,1036,0,6.23,12.54,0.74,9.34,0.668
39,1038,0,6.37,12.54,0.76,9.47,0.673
40,1038,0,6.15,12.54,0.75,9.35,0.658
41,1040,0,6.13,12.54,0.76,9.51,0.644
42,1040,0,6.53,12.54,0.75,9.36,0.697
43,1042,0,6.58,12.54,0.75,9.41,0.700
44,1042,0,6.58,12.54,0.76,9.55,0.690
45,1044,0,6.74,12.54,0.75,9.38,0.718
46,1044,0,6.74,12.54,0.76,9.49,0.711
47,1046,0,6.82,12.54,0.75,9.46,0.721
48,1046,0,6.86,12.54,0.76,9.51,0.721
49,1048,0,7.21,12.54,0.76,9.56,0.754
50,1048,0,7.50,12.54,0.78,9.72,0.772
51,1050,0,7.64,12.54,0.75,9.40,0.814
52,1050,0,7.77,12.54,0.77,9.62,0.807
53,1052,3797,8.29,12.54,0.76,9.58,0.866
54,1052,3822,8.25,12.54,0.75,9.46,0.872
55,1054,3857,8.86,12.54,0.76,9.47,0.935
56,1054,3882,8.88,12.54,0.76,9.52,0.932
57,1056,3908,8.95,12.54,0.76,9.56,0.937
58,1056,3934,9.29,12.54,0.77,9.60,0.967
59,1058,3968,9.46,12.53,0.77,9.67,0.978
60,1058,4011,9.71,12.54,0.77,9.68,1.003
61,1060,4037,10.20,12.54,0.77,9.69,1.052
62,1060,4054,10.48,12.53,0.78,9.79,1.071
