seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.53,0.62,7.83,0.000
2,1000,0,0.00,12.54,0.62,7.75,0.000
3,1002,0,0.00,12.53,0.63,7.86,0.000
4,1002,0,0.00,12.53,0.63,7.93,0.000
5,1004,0,0.00,12.54,0.63,7.90,0.000
6,1004,0,0.00,12.53,0.63,7.86,0.000
7,1006,0,0.00,12.53,0.63,7.94,0.000
8,1006,0,0.00,12.53,0.63,7.92,0.000
9,1008,0,0.00,12.54,0.62,7.83,0.000
10,1008,0,0.00,12.53,0.63,7.91,0.000
11,1010,0,0.00,12.53,0.62,7.81,0.000
12,1010,0,0.00,12.54,0.63,7.85,0.000
13,1012,0,0.00,12.53,0.63,7.95,0.000
14,1012,0,0.00,12.53,0.63,7.92,0.000
15,1014,0,0.00,12.53,0.64,8.06,0.000
16,1014,0,0.00,12.53,0.65,8.18,0.000
17,1016,0,0.00,12.53,0.66,8.23,0.000
18,1016,0,0.00,12.52,0.72,8.99,0.000
19,1018,0,0.00,12.51,0.86,10.75,0.000
20,1018,0,0.89,12.52,0.95,11.87,0.075
21,1020,0,1.57,12.52,0.96,12.05,0.130
22,1020,0,2.20,12.51,0.95,11.93,0.184
23,1022,0,2.43,12.52,0.94,11.73,0.207
24,1022,0,2.54,12.52,0.90,11.32,0.224
25,1024,0,2.50,12.52,0.88,10.99,0.227
26,1024,0,2.38,12.52,0.86,10.80,0.221
27,1026,0,2.88,12.52,0.86,10.77,0.268
28,1026,0,3.11,12.53,0.85,10.67,0.291
29,1028,0,3.27,12.53,0.85,10.63,0.308
30,1028,0,3.77,12.53,0.83,10.36,0.364
31,1030,0,4.14,12.53,0.82,10.24,0.404
32,1030,0,3.85,12.53,0.81,10.15,0.379
33,1032,0,4.05,12.52,0.80,10.01,0.405
34,1032,0,4.04,12.52,0.80,9.99,0.405
35,1034,0,4.48,12.52,0.79,9.87,0.454
36,1034,0,4.71,12.53,0.80,9.98,0.472
37,1036,0,4.96,12.52,0.79,9.86,0.503
38,1036,0,5.04,12.52,0.78,9.74,0.518
39,1038,0,5.12,12.53,0.77,9.68,0.529
40,1038,0,5.42,12.52,0.78,9.71,0.558
41,1040,0,5.80,12.53,0.79,9.84,0.590
42,1040,0,5.80,12.52,0.79,9.88,0.587
43,1042,0,5.58,12.52,0.79,9.85,0.567
44,1042,0,5.62,12.53,0.79,9.91,0.567
45,1044,0,5.80,12.53,0.77,9.67,0.600
46,1044,0,5.95,12.52,0.79,9.84,0.604
47,1046,0,5.96,12.52,0.77,9.68,0.616
48,1046,0,6.03,12.52,0.77,9.66,0.624
49,1048,0,6.20,12.53,0.76,9.56,0.649
50,1048,0,6.48,12.52,0.79,9.95,0.651
51,1050,0,6.38,12.52,0.78,9.74,0.654
52,1050,0,6.46,12.52,0.78,9.72,0.664
53,1052,0,6.76,12.53,0.78,9.81,0.690
54,1052,0,6.84,12.53,0.78,9.71,0.704
55,1054,3728,6.90,12.53,0.78,9.78,0.705
56,1054,3771,6.91,12.52,0.79,9.89,0.699
57,1056,3805,7.00,12.53,0.77,9.65,0.726
58,1056,3822,7.20,12.52,0.77,9.70,0.742
59,1058,3848,7.74,12.52,0.78,9.77,0.791
60,1058,3874,8.07,12.52,0.79,9.84,0.821
61,1060,3900,8.48,12.52,0.79,9.94,0.853
62,1060,3925,9.09,12.52,0.79,9.83,0.925
63,1062,3951,9.32,12.53,0.79,9.86,0.945
64,1062,3985,9.28,12.52,0.80,9.97,0.930
65,1064,4011,9.44,12.52,0.79,9.83,0.960
66,1064,4037,9.29,12.53,0.80,10.03,0.927
67,1066,4071,9.54,12.52,0.80,10.02,0.953
68,1066,4088,10.21,12.52,0.80,10.03,1.019
69,1068,4114,9.74,12.52,0.81,10.12,0.962
70,1068,4148,9.94,12.52,0.81,10.13,0.982
71,1070,4165,10.67,12.52,0.80,10.05,1.061
72,1070,4165,10.71,12.52,0.81,10.13,1.057
73,1072,4174,11.08,12.53,0.81,10.19,1.087
74,1072,4182,11.11,12.52,0.81,10.11,1.099
75,1074,4182,11.22,12.52,0.81,10.21,1.100
76,1074,4182,11.27,12.52,0.82,10.32,1.092
77,1076,4182,11.44,12.52,0.82,10.24,1.117
78,1076,4182,11.59,12.52,0.81,10.19,1.138
79,1078,4208,11.99,12.52,0.82,10.29,1.165
80,1078,4234,11.90,12.52,0.82,10.26,1.160
81,1080,4277,11.92,12.52,0.82,10.25,1.163
82,1080,4345,11.89,12.53,0.82,10.29,1.156
83,1082,4397,11.71,12.52,0.83,10.44,1.123
84,1082,4414,11.53,12.52,0.85,10.63,1.084
85,1084,4457,11.64,12.52,0.85,10.65,1.093
86,1084,4517,12.09,12.52,0.84,10.55,1.147
87,1086,4585,12.14,12.52,0.84,10.50,1.156
88,1086,4637,12.05,12.52,0.84,10.54,1.144
89,1088,4688,12.23,12.52,0.83,10.33,1.184
90,1088,4774,12.36,12.52,0.84,10.46,1.181
91,1090,4817,12.36,12.52,0.85,10.62,1.163
92,1090,4860,12.46,12.52,0.84,10.55,1.181
93,1092,4894,12.89,12.52,0.84,10.53,1.224
94,1092,4920,12.77,12.53,0.85,10.64,1.200
95,1094,4945,12.80,12.52,0.86,10.71,1.195
96,1094,4971,13.34,12.52,0.85,10.70,1.248
97,1096,4988,13.90,12.52,0.85,10.65,1.305
98,1096,5022,14.22,12.52,0.86,10.80,1.316
99,1098,5048,14.36,12.52,0.86,10.80,1.330
100,1098,5074,14.71,12.52,0.86,10.82,1.360
101,1100,5100,14.75,12.52,0.86,10.81,1.363
102,1100,5125,14.62,12.52,0.86,10.73,1.363
103,1102,5151,15.01,12.52,0.87,10.87,1.381
104,1102,5177,14.91,12.52,0.87,10.87,1.371
105,1104,5202,14.58,12.52,0.85,10.65,1.369
106,1104,5228,14.70,12.52,0.87,10.88,1.351
107,1106,5254,14.88,12.52,0.86,10.83,1.374
108,1106,5288,15.09,12.52,0.88,11.03,1.368
109,1108,5305,15.10,12.52,0.88,10.99,1.374
110,1108,5340,14.98,12.52,0.87,10.90,1.375
111,1110,5365,15.32,12.52,0.88,10.95,1.399
112,1110,5382,15.48,12.51,0.88,11.02,1.405
113,1112,5408,15.29,12.52,0.89,11.12,1.374
114,1112,5434,15.53,12.52,0.90,11.30,1.375
115,1114,5451,15.82,12.53,0.88,11.01,1.437
116,1114,5477,15.68,12.52,0.89,11.08,1.415
117,1116,5502,15.83,12.52,0.89,11.12,1.423
118,1116,5528,16.09,12.52,0.90,11.24,1.431
119,1118,5545,16.62,12.52,0.88,11.04,1.505
120,1118,5571,16.81,12.52,0.89,11.13,1.510
121,1120,5597,17.18,12.52,0.89,11.19,1.535
122,1120,5622,16.92,12.51,0.92,11.56,1.464
123,1122,5640,17.13,12.51,0.91,11.34,1.510
124,1122,5665,17.57,12.51,0.90,11.30,1.555
125,1124,5691,17.36,12.52,0.90,11.28,1.539
126,1124,5708,17.57,12.52,0.90,11.23,1.565
127,1126,5734,17.92,12.52,0.90,11.28,1.589
128,1126,5760,18.02,12.52,0.91,11.33,1.591
129,1128,5785,18.01,12.52,0.92,11.48,1.568
130,1128,5802,18.14,12.52,0.92,11.50,1.578
131,1130,5820,18.36,12.52,0.92,11.53,1.592
132,1130,5837,19.09,12.52,0.92,11.46,1.666
133,1132,5862,19.18,12.51,0.93,11.67,1.644
134,1132,5880,19.30,12.51,0.94,11.70,1.650
135,1134,5897,19.38,12.52,0.93,11.66,1.662
136,1134,5922,19.11,12.52,0.95,11.90,1.607
137,1136,5957,19.30,12.52,0.94,11.80,1.635
138,1136,5982,19.84,12.51,0.93,11.63,1.705
139,1138,6008,19.95,12.51,0.95,11.88,1.679
140,1138,6025,20.10,12.52,0.95,11.89,1.691
141,1140,6051,19.83,12.52,0.94,11.80,1.680
142,1140,6068,19.99,12.52,0.95,11.83,1.689
143,1142,6094,20.46,12.52,0.95,11.88,1.722
144,1142,6120,20.43,12.52,0.95,11.93,1.713
145,1144,6145,20.35,12.52,0.95,11.83,1.720
146,1144,6171,19.91,12.52,0.94,11.81,1.687
147,1146,6197,20.55,12.52,0.96,11.97,1.717
148,1146,6222,20.32,12.51,0.96,11.96,1.699
149,1148,6248,20.59,12.52,0.96,12.00,1.716
150,1148,6265,20.99,12.51,0.97,12.15,1.728
151,1150,6282,21.50,12.52,0.97,12.09,1.779
152,1150,6300,22.09,12.52,0.97,12.11,1.824
153,1152,6325,23.30,12.52,0.96,12.05,1.932
154,1152,6334,23.07,12.51,0.97,12.09,1.908
155,1154,6360,22.97,12.51,0.98,12.21,1.881
156,1154,6385,22.58,12.51,0.97,12.15,1.858
157,1156,6402,22.73,12.51,0.98,12.26,1.854
158,1156,6428,23.27,12.51,0.99,12.38,1.880
159,1158,6445,23.53,12.52,0.99,12.35,1.905
160,1158,6480,23.80,12.51,1.00,12.51,1.902
161,1160,6488,23.93,12.51,1.00,12.49,1.915
162,1160,6505,24.22,12.51,0.99,12.43,1.948
163,1162,6531,24.45,12.52,0.98,12.32,1.985
164,1162,6540,24.58,12.52,0.96,12.07,2.036
165,1164,6565,24.41,12.51,0.98,12.27,1.989
166,1164,6582,24.92,12.51,1.00,12.57,1.983
167,1166,6591,25.89,12.52,1.00,12.47,2.076
168,1166,6608,26.25,12.51,1.01,12.60,2.083
169,1168,6625,27.27,12.51,1.00,12.45,2.189
170,1168,6642,28.02,12.50,1.00,12.51,2.239
171,1170,6660,28.20,12.52,1.02,12.79,2.205
172,1170,6685,28.55,12.51,1.02,12.79,2.232
173,1172,6702,29.10,12.51,1.01,12.69,2.293
174,1172,6720,29.10,12.51,1.04,12.97,2.243
175,1174,6737,29.16,12.51,1.03,12.87,2.267
176,1174,6762,29.62,12.51,1.02,12.79,2.316
177,1176,6788,29.82,12.51,1.01,12.66,2.355
178,1176,6814,30.09,12.52,1.03,12.86,2.339
179,1178,6831,30.88,12.51,1.02,12.81,2.411
180,1178,6857,30.84,12.51,1.03,12.85,2.401
181,1180,6882,31.19,12.51,1.04,13.01,2.398
182,1180,6891,31.94,12.51,1.04,13.03,2.451
183,1182,6908,32.28,12.51,1.04,12.95,2.493
184,1182,6934,32.89,12.51,1.04,13.03,2.525
185,1184,6960,33.20,12.51,1.03,12.89,2.576
186,1184,6994,33.34,12.51,1.04,13.04,2.557
187,1186,7020,33.44,12.51,1.05,13.11,2.550
188,1186,7037,34.17,12.50,1.06,13.22,2.584
189,1188,7062,34.25,12.50,1.06,13.31,2.573
190,1188,7080,34.30,12.51,1.05,13.15,2.609
191,1190,7105,34.41,12.50,1.05,13.14,2.620
192,1190,7131,34.68,12.51,1.07,13.36,2.596
193,1192,7157,35.20,12.51,1.06,13.32,2.642
194,1192,7182,35.73,12.51,1.08,13.47,2.652
195,1194,7208,35.92,12.51,1.07,13.40,2.681
196,1194,7234,36.30,12.51,1.08,13.48,2.692
197,1196,7260,36.41,12.51,1.10,13.74,2.650
198,1196,7294,36.72,12.51,1.09,13.60,2.701
199,1198,7320,36.79,12.51,1.10,13.74,2.678
200,1198,7354,37.27,12.51,1.10,13.79,2.703
201,1200,7371,37.40,12.50,1.11,13.93,2.684
202,1200,7405,37.72,12.51,1.10,13.80,2.732
203,1202,7431,37.58,12.50,1.10,13.73,2.737
204,1202,7457,37.64,12.50,1.10,13.79,2.730
205,1204,7482,37.67,12.50,1.12,14.00,2.691
206,1204,7508,37.78,12.51,1.10,13.81,2.735
207,1206,7534,38.28,12.51,1.11,13.88,2.759
208,1206,7551,38.57,12.51,1.11,13.88,2.778
209,1208,7585,38.65,12.51,1.12,14.05,2.750
210,1208,7620,39.08,12.50,1.12,14.00,2.791
211,1210,7645,39.14,12.51,1.13,14.08,2.780
212,1210,7662,39.23,12.51,1.13,14.14,2.775
213,1212,7680,39.78,12.51,1.13,14.19,2.804
214,1212,7714,40.55,12.50,1.16,14.51,2.796
215,1214,7740,40.31,12.50,1.15,14.36,2.808
216,1214,7774,40.15,12.50,1.16,14.47,2.775
217,1216,7800,39.97,12.51,1.15,14.36,2.784
218,1216,7825,40.40,12.50,1.15,14.32,2.820
219,1218,7851,40.62,12.50,1.16,14.50,2.800
220,1218,7868,41.08,12.50,1.17,14.59,2.817
221,1220,7894,40.95,12.50,1.17,14.58,2.809
222,1220,7928,41.30,12.50,1.16,14.46,2.857
223,1222,7945,41.55,12.50,1.17,14.57,2.851
224,1222,7971,41.98,12.51,1.17,14.59,2.878
225,1224,7997,42.15,12.50,1.17,14.69,2.870
226,1224,8014,42.33,12.51,1.19,14.83,2.855
227,1226,8040,42.84,12.50,1.20,14.98,2.860
228,1226,8057,43.24,12.51,1.19,14.90,2.903
229,1228,8074,43.33,12.50,1.20,15.05,2.879
230,1228,8100,43.68,12.49,1.20,15.05,2.903
231,1230,8125,43.76,12.50,1.20,15.01,2.916
232,1230,8151,44.31,12.50,1.22,15.28,2.900
233,1232,8177,44.51,12.50,1.22,15.20,2.928
234,1232,8220,44.80,12.50,1.21,15.12,2.962
235,1234,8245,45.00,12.50,1.20,15.04,2.991
236,1234,8271,45.08,12.50,1.23,15.32,2.942
237,1236,8288,45.62,12.50,1.22,15.19,3.003
238,1236,8305,46.22,12.50,1.24,15.47,2.988
239,1238,8331,46.65,12.50,1.25,15.57,2.997
240,1238,8357,46.64,12.51,1.24,15.45,3.018
241,1240,8374,47.11,12.50,1.23,15.39,3.061
242,1240,8408,47.23,12.50,1.24,15.45,3.058
243,1242,8460,47.46,12.49,1.25,15.65,3.033
244,1242,8485,47.63,12.50,1.26,15.74,3.027
245,1244,8511,48.11,12.50,1.26,15.73,3.058
246,1244,8528,48.42,12.50,1.26,15.70,3.085
247,1246,8545,48.39,12.50,1.26,15.80,3.062
248,1246,8562,48.46,12.50,1.26,15.80,3.068
249,1248,8588,48.54,12.50,1.27,15.83,3.066
250,1248,8605,48.86,12.50,1.29,16.06,3.042
251,1250,8640,49.55,12.50,1.29,16.06,3.084
252,1250,8657,49.38,12.50,1.29,16.16,3.056
253,1252,8682,49.62,12.51,1.28,16.03,3.095
254,1252,8717,50.25,12.50,1.28,16.02,3.135
255,1254,8742,50.48,12.50,1.29,16.11,3.133
256,1254,8768,50.65,12.49,1.30,16.25,3.116
257,1256,8794,50.57,12.50,1.31,16.31,3.100
258,1256,8828,50.49,12.50,1.32,16.46,3.068
259,1258,8845,51.24,12.50,1.33,16.58,3.091
260,1258,8880,51.14,12.50,1.33,16.65,3.070
261,1260,8914,51.13,12.50,1.33,16.59,3.082
