seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.535,0.631
2,1000,0,0.00,12.545,0.614
3,1002,0,0.00,12.538,0.620
4,1002,0,0.00,12.536,0.637
5,1004,0,0.00,12.541,0.631
6,1004,0,0.00,12.534,0.635
7,1006,0,0.00,12.536,0.639
8,1006,0,0.00,12.538,0.641
9,1008,0,0.00,12.538,0.626
10,1008,0,0.00,12.533,0.630
11,1010,0,0.00,12.533,0.633
12,1010,0,0.00,12.539,0.625
13,1012,0,0.00,12.535,0.630
14,1012,0,0.00,12.531,0.630
15,1014,0,0.00,12.535,0.649
16,1014,0,0.00,12.533,0.653
17,1016,0,0.00,12.536,0.653
18,1016,0,0.00,12.523,0.718
19,1018,0,0.00,12.517,0.859
20,1018,0,1.78,12.525,0.934
21,1020,0,3.14,12.521,0.933
22,1020,0,4.40,12.521,0.939
23,1022,0,4.86,12.524,0.917
24,1022,0,5.08,12.521,0.892
25,1024,0,4.99,12.524,0.862
26,1024,0,4.77,12.525,0.850
27,1026,0,5.77,12.530,0.852
28,1026,0,6.22,12.533,0.837
29,1028,0,6.54,12.524,0.837
30,1028,0,7.55,12.531,0.814
31,1030,0,8.28,12.534,0.819
32,1030,0,7.69,12.529,0.799
33,1032,0,8.10,12.528,0.793
34,1032,0,8.09,12.526,0.792
35,1034,0,8.96,12.526,0.782
36,1034,0,9.41,12.532,0.796
37,1036,0,9.93,12.528,0.778
38,1036,0,10.09,12.529,0.762
39,1038,0,10.25,12.529,0.769
40,1038,0,10.84,12.529,0.787
41,1040,0,11.61,12.532,0.805
42,1040,0,11.60,12.525,0.776
43,1042,0,11.17,12.529,0.784
44,1042,0,11.24,12.533,0.786
45,1044,0,11.60,12.535,0.774
46,1044,0,11.89,12.527,0.782
47,1046,0,11.92,12.527,0.778
48,1046,0,12.06,12.520,0.774
49,1048,0,12.40,12.533,0.768
50,1048,0,12.96,12.521,0.801
51,1050,0,12.75,12.531,0.772
52,1050,0,12.91,12.526,0.769
53,1052,0,13.53,12.532,0.788
54,1052,0,13.68,12.532,0.783
55,1054,3728,13.80,12.528,0.793
56,1054,3737,13.82,12.526,0.787
57,1056,3771,14.01,12.535,0.771
58,1056,3788,14.39,12.533,0.776
59,1058,3822,15.47,12.528,0.783
60,1058,3848,16.15,12.525,0.792
61,1060,3874,16.96,12.524,0.804
62,1060,3900,17.04,12.529,0.790
63,1062,3934,17.08,12.537,0.786
64,1062,3985,17.30,12.520,0.783
65,1064,4011,17.73,12.528,0.783
66,1064,4037,18.59,12.533,0.800
67,1066,4071,19.09,12.525,0.807
68,1066,4088,19.19,12.527,0.800
69,1068,4114,19.48,12.522,0.814
70,1068,4148,19.88,12.526,0.803
71,1070,4165,19.88,12.529,0.799
72,1070,4165,19.78,12.530,0.815
73,1072,4165,20.20,12.524,0.800
74,1072,4174,20.15,12.519,0.800
75,1074,4174,20.41,12.527,0.817
76,1074,4182,20.51,12.526,0.826
77,1076,4182,20.60,12.531,0.818
78,1076,4182,20.98,12.528,0.815
79,1078,4182,21.24,12.527,0.826
80,1078,4191,21.39,12.528,0.826
81,1080,4234,21.25,12.524,0.825
82,1080,4285,21.13,12.526,0.808
83,1082,4328,20.97,12.523,0.832
84,1082,4371,20.98,12.524,0.854
85,1084,4405,21.07,12.523,0.843
86,1084,4405,21.45,12.529,0.846
87,1086,4465,21.21,12.523,0.839
88,1086,4568,21.25,12.525,0.836
89,1088,4680,21.27,12.519,0.825
90,1088,4774,21.48,12.528,0.840
91,1090,4817,21.77,12.521,0.850
92,1090,4860,21.41,12.528,0.844
93,1092,4894,21.85,12.527,0.835
94,1092,4920,21.83,12.529,0.850
95,1094,4937,21.76,12.525,0.869
96,1094,4971,22.68,12.527,0.870
97,1096,4988,23.73,12.519,0.850
98,1096,5022,24.18,12.523,0.861
99,1098,5048,23.93,12.518,0.861
100,1098,5074,24.09,12.524,0.869
101,1100,5100,24.26,12.523,0.867
102,1100,5125,24.00,12.531,0.864
103,1102,5151,24.23,12.527,0.859
104,1102,5168,24.22,12.523,0.864
105,1104,5202,24.26,12.525,0.857
106,1104,5228,24.16,12.519,0.872
107,1106,5254,24.54,12.523,0.869
108,1106,5288,24.69,12.522,0.874
109,1108,5305,25.10,12.525,0.880
110,1108,5340,24.65,12.523,0.866
111,1110,5365,24.93,12.521,0.873
112,1110,5382,24.98,12.517,0.885
113,1112,5408,25.04,12.523,0.889
114,1112,5434,24.93,12.522,0.902
115,1114,5451,25.46,12.530,0.881
116,1114,5477,25.36,12.519,0.890
117,1116,5502,25.53,12.523,0.882
118,1116,5520,25.86,12.524,0.890
119,1118,5545,26.37,12.526,0.866
120,1118,5571,26.63,12.529,0.879
121,1120,5597,27.27,12.521,0.886
122,1120,5622,27.02,12.517,0.920
123,1122,5640,26.86,12.523,0.903
124,1122,5665,27.66,12.516,0.899
125,1124,5691,27.03,12.524,0.898
126,1124,5700,27.27,12.525,0.886
127,1126,5725,27.74,12.524,0.896
128,1126,5760,28.23,12.526,0.909
129,1128,5777,28.48,12.521,0.914
130,1128,5802,28.20,12.521,0.928
131,1130,5820,28.38,12.518,0.928
132,1130,5828,29.76,12.524,0.923
133,1132,5845,29.73,12.514,0.929
134,1132,5871,30.03,12.511,0.939
135,1134,5897,30.36,12.518,0.937
136,1134,5922,29.65,12.515,0.946
