seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.532,0.618
2,1000,0,0.00,12.532,0.622
3,1002,0,0.00,12.522,0.635
4,1002,0,0.00,12.524,0.629
5,1004,0,0.00,12.537,0.629
6,1004,0,0.00,12.531,0.620
7,1006,0,0.00,12.528,0.628
8,1006,0,0.00,12.529,0.623
9,1008,0,0.00,12.533,0.624
10,1008,0,0.00,12.526,0.633
11,1010,0,0.00,12.529,0.613
12,1010,0,0.00,12.533,0.627
13,1012,0,0.00,12.527,0.639
14,1012,0,0.00,12.526,0.635
15,1014,0,0.00,12.528,0.637
16,1014,0,0.00,12.528,0.653
17,1016,0,0.00,12.529,0.660
18,1016,0,0.00,12.511,0.718
19,1018,0,0.00,12.511,0.859
20,1018,0,0.00,12.513,0.963
21,1020,0,0.00,12.513,0.993
22,1020,0,0.00,12.507,0.968
23,1022,0,0.00,12.509,0.957
24,1022,0,0.00,12.515,0.916
25,1024,0,0.00,12.517,0.893
26,1024,0,0.00,12.512,0.876
27,1026,0,0.00,12.519,0.868
28,1026,0,0.00,12.521,0.867
29,1028,0,0.00,12.530,0.860
30,1028,0,0.00,12.519,0.841
31,1030,0,0.00,12.519,0.816
32,1030,0,0.00,12.525,0.822
33,1032,0,0.00,12.519,0.805
34,1032,0,0.00,12.519,0.804
35,1034,0,0.00,12.513,0.794
36,1034,0,0.00,12.519,0.797
37,1036,0,0.00,12.521,0.797
38,1036,0,0.00,12.517,0.793
39,1038,0,0.00,12.529,0.777
40,1038,0,0.00,12.518,0.764
41,1040,0,0.00,12.527,0.765
42,1040,0,0.00,12.517,0.802
43,1042,0,0.00,12.520,0.789
44,1042,0,0.00,12.520,0.796
45,1044,0,0.00,12.521,0.769
46,1044,0,0.00,12.519,0.790
47,1046,0,0.00,12.523,0.767
48,1046,0,0.00,12.528,0.768
49,1048,0,0.00,12.524,0.758
50,1048,0,0.00,12.526,0.788
51,1050,0,0.00,12.514,0.784
52,1050,0,0.00,12.516,0.784
53,1052,0,0.00,12.521,0.778
54,1052,0,0.00,12.520,0.768
55,1054,0,0.00,12.522,0.769
56,1054,3771,0.00,12.515,0.793
57,1056,3805,0.00,12.516,0.770
58,1056,3822,0.00,12.516,0.773
59,1058,3848,0.00,12.519,0.778
60,1058,3874,0.00,12.518,0.779
61,1060,3900,0.00,12.523,0.784
62,1060,3925,1.15,12.517,0.780
63,1062,3951,1.56,12.521,0.788
64,1062,3977,1.25,12.517,0.810
65,1064,4002,1.15,12.518,0.787
66,1064,4028,0.00,12.522,0.801
67,1066,4054,0.00,12.523,0.793
68,1066,4071,1.24,12.521,0.801
69,1068,4088,0.00,12.521,0.803
70,1068,4122,0.00,12.510,0.815
71,1070,4157,1.46,12.514,0.807
72,1070,4157,1.64,12.520,0.803
73,1072,4174,1.96,12.530,0.827
74,1072,4182,2.08,12.515,0.816
75,1074,4182,2.04,12.519,0.813
76,1074,4182,2.03,12.522,0.822
77,1076,4182,2.27,12.518,0.817
78,1076,4182,2.20,12.518,0.812
79,1078,4208,2.74,12.520,0.818
80,1078,4234,2.41,12.519,0.813
81,1080,4277,2.59,12.522,0.812
82,1080,4345,2.66,12.527,0.835
83,1082,4397,2.46,12.517,0.835
84,1082,4414,2.07,12.522,0.844
85,1084,4457,2.21,12.514,0.858
86,1084,4517,2.74,12.513,0.839
87,1086,4585,3.07,12.512,0.839
88,1086,4637,2.86,12.516,0.847
89,1088,4688,3.20,12.515,0.826
90,1088,4740,3.23,12.512,0.831
91,1090,4791,2.94,12.513,0.847
92,1090,4842,3.51,12.516,0.841
93,1092,4877,3.92,12.520,0.846
94,1092,4911,3.71,12.522,0.849
95,1094,4945,3.84,12.518,0.842
96,1094,4971,4.01,12.510,0.839
97,1096,4988,4.07,12.515,0.852
98,1096,5022,4.26,12.516,0.865
99,1098,5048,4.78,12.515,0.864
100,1098,5074,5.33,12.514,0.859
101,1100,5100,5.23,12.511,0.861
102,1100,5125,5.25,12.517,0.850
103,1102,5151,5.79,12.522,0.876
104,1102,5177,5.60,12.518,0.873
105,1104,5202,4.89,12.516,0.844
106,1104,5228,5.23,12.515,0.866
107,1106,5254,5.22,12.523,0.861
108,1106,5280,5.48,12.519,0.888
109,1108,5305,5.10,12.520,0.875
110,1108,5331,5.31,12.509,0.875
111,1110,5357,5.71,12.515,0.877
112,1110,5382,5.98,12.510,0.876
113,1112,5408,5.53,12.523,0.887
114,1112,5434,6.13,12.515,0.903
115,1114,5451,6.18,12.521,0.877
116,1114,5477,6.00,12.515,0.880
117,1116,5502,6.12,12.519,0.894
118,1116,5528,6.31,12.518,0.906
119,1118,5545,6.88,12.518,0.898
120,1118,5571,6.99,12.520,0.899
121,1120,5597,7.09,12.515,0.902
122,1120,5622,6.82,12.509,0.927
123,1122,5640,7.40,12.504,0.910
124,1122,5665,7.48,12.512,0.907
125,1124,5691,7.69,12.518,0.904
126,1124,5708,7.87,12.519,0.907
127,1126,5734,8.11,12.514,0.906
128,1126,5760,7.82,12.518,0.901
129,1128,5785,7.54,12.513,0.921
130,1128,5802,8.08,12.516,0.909
131,1130,5820,8.35,12.516,0.915
132,1130,5837,8.43,12.516,0.908
133,1132,5862,8.63,12.513,0.936
134,1132,5880,8.56,12.507,0.931
135,1134,5897,8.41,12.513,0.927
136,1134,5922,8.58,12.516,0.955
137,1136,5957,8.79,12.511,0.939
138,1136,5974,8.90,12.510,0.931
139,1138,5991,8.69,12.513,0.964
140,1138,6017,8.68,12.518,0.948
141,1140,6042,8.26,12.509,0.926
142,1140,6068,8.58,12.515,0.939
143,1142,6094,9.01,12.510,0.953
144,1142,6120,8.82,12.518,0.962
145,1144,6145,9.06,12.517,0.937
146,1144,6162,8.65,12.508,0.936
147,1146,6188,9.35,12.514,0.948
148,1146,6214,8.96,12.514,0.948
149,1148,6231,9.16,12.519,0.948
150,1148,6257,9.63,12.509,0.958
151,1150,6274,10.13,12.513,0.988
152,1150,6291,10.33,12.512,0.981
153,1152,6325,10.57,12.518,0.962
154,1152,6334,10.32,12.515,0.955
155,1154,6360,10.16,12.516,0.966
156,1154,6385,10.17,12.514,0.964
157,1156,6394,10.15,12.517,0.983
158,1156,6411,10.49,12.516,0.993
159,1158,6437,11.10,12.511,0.980
160,1158,6462,11.14,12.506,1.006
161,1160,6480,10.92,12.502,0.997
162,1160,6505,11.08,12.509,0.998
163,1162,6522,11.51,12.512,0.972
164,1162,6531,11.66,12.519,0.960
165,1164,6548,11.26,12.506,0.994
166,1164,6574,11.50,12.504,1.007
167,1166,6591,12.22,12.519,1.018
168,1166,6608,13.02,12.502,1.018
169,1168,6625,13.85,12.501,0.998
170,1168,6642,14.80,12.501,0.986
171,1170,6651,14.99,12.518,1.007
172,1170,6677,15.59,12.505,1.015
173,1172,6694,16.33,12.512,1.011
174,1172,6702,16.22,12.512,1.042
175,1174,6737,15.62,12.507,1.020
176,1174,6762,16.23,12.510,1.012
177,1176,6771,16.53,12.513,1.010
178,1176,6797,16.69,12.513,1.029
179,1178,6814,17.48,12.513,1.026
180,1178,6840,16.97,12.508,1.014
