seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.519,0.638
2,1000,0,0.00,12.524,0.637
3,1002,0,0.00,12.522,0.635
4,1002,0,0.00,12.518,0.634
5,1004,0,0.00,12.525,0.639
6,1004,0,0.00,12.520,0.632
7,1006,0,0.00,12.525,0.639
8,1006,0,0.00,12.524,0.630
9,1008,0,0.00,12.521,0.627
10,1008,0,0.00,12.526,0.625
11,1010,0,0.00,12.523,0.617
12,1010,0,0.00,12.525,0.630
13,1012,0,0.00,12.527,0.630
14,1012,0,0.00,12.524,0.632
15,1014,0,0.00,12.519,0.634
16,1014,0,0.00,12.513,0.652
17,1016,0,0.00,12.525,0.653
18,1016,0,0.00,12.519,0.704
19,1018,0,0.00,12.519,0.840
20,1018,0,0.00,12.512,0.905
21,1020,0,0.00,12.516,0.871
22,1020,0,0.00,12.517,0.862
23,1022,0,0.00,12.509,0.836
24,1022,0,0.00,12.506,0.812
25,1024,0,0.00,12.505,0.802
26,1024,0,1.33,12.517,0.788
27,1026,0,0.00,12.518,0.775
28,1026,0,0.00,12.513,0.777
29,1028,0,0.00,12.509,0.769
30,1028,0,2.10,12.518,0.759
31,1030,0,2.62,12.515,0.759
32,1030,0,2.76,12.514,0.766
33,1032,0,3.03,12.512,0.768
34,1032,0,3.15,12.528,0.736
35,1034,0,3.69,12.518,0.727
36,1034,0,3.35,12.521,0.767
37,1036,0,3.28,12.520,0.752
38,1036,0,4.07,12.508,0.752
39,1038,0,4.68,12.513,0.741
40,1038,0,4.86,12.513,0.762
41,1040,0,4.87,12.517,0.729
42,1040,0,4.72,12.513,0.758
43,1042,0,4.79,12.523,0.751
44,1042,0,4.80,12.522,0.753
45,1044,0,4.90,12.519,0.760
46,1044,0,4.99,12.523,0.764
47,1046,0,5.77,12.518,0.775
48,1046,0,5.98,12.515,0.765
49,1048,0,5.97,12.515,0.744
50,1048,0,6.40,12.517,0.765
51,1050,0,6.87,12.513,0.753
52,1050,0,6.91,12.519,0.751
53,1052,0,7.21,12.515,0.765
54,1052,3805,7.98,12.519,0.764
55,1054,3831,7.85,12.515,0.755
56,1054,3857,8.54,12.515,0.757
57,1056,3882,8.39,12.520,0.771
58,1056,3908,7.88,12.512,0.764
59,1058,3934,8.42,12.515,0.760
60,1058,3968,8.54,12.513,0.785
61,1060,3994,8.92,12.518,0.787
62,1060,4020,9.79,12.519,0.781
63,1062,4045,9.60,12.514,0.780
64,1062,4080,9.82,12.519,0.773
65,1064,4105,9.57,12.513,0.790
66,1064,4131,10.08,12.513,0.789
67,1066,4165,10.83,12.508,0.801
68,1066,4191,10.66,12.517,0.778
69,1068,4200,10.66,12.515,0.778
70,1068,4217,10.99,12.515,0.793
71,1070,4225,11.09,12.515,0.817
72,1070,4251,11.21,12.519,0.815
73,1072,4277,10.88,12.516,0.800
74,1072,4302,10.70,12.515,0.800
75,1074,4311,10.97,12.514,0.804
76,1074,4311,11.21,12.514,0.807
77,1076,4345,11.46,12.516,0.810
78,1076,4354,11.60,12.521,0.779
79,1078,4371,11.90,12.515,0.801
80,1078,4405,12.11,12.520,0.804
81,1080,4482,12.35,12.510,0.835
82,1080,4491,12.65,12.516,0.810
83,1082,4542,12.84,12.509,0.811
84,1082,4611,12.50,12.510,0.808
85,1084,4688,12.85,12.513,0.829
86,1084,4740,13.40,12.515,0.819
87,1086,4800,13.22,12.519,0.818
88,1086,4851,13.24,12.516,0.839
89,1088,4885,13.58,12.515,0.835
90,1088,4920,14.37,12.515,0.824
91,1090,4954,14.54,12.517,0.825
92,1090,4962,14.79,12.516,0.842
93,1092,4988,15.40,12.508,0.836
94,1092,5014,15.97,12.511,0.817
95,1094,5040,15.79,12.511,0.855
96,1094,5074,15.90,12.508,0.828
97,1096,5100,15.95,12.510,0.839
98,1096,5125,16.18,12.518,0.855
99,1098,5160,16.56,12.512,0.834
100,1098,5185,16.97,12.514,0.839
101,1100,5211,16.94,12.511,0.838
102,1100,5237,16.28,12.512,0.858
103,1102,5254,16.37,12.515,0.849
104,1102,5280,16.42,12.499,0.857
105,1104,5297,16.72,12.501,0.857
106,1104,5322,17.32,12.507,0.859
107,1106,5348,17.71,12.507,0.866
108,1106,5382,17.81,12.505,0.856
109,1108,5408,17.88,12.509,0.871
110,1108,5442,17.98,12.517,0.863
111,1110,5460,18.27,12.510,0.847
112,1110,5485,18.38,12.511,0.858
113,1112,5511,18.12,12.511,0.861
114,1112,5528,18.16,12.513,0.876
115,1114,5545,17.93,12.510,0.878
116,1114,5571,18.41,12.507,0.879
117,1116,5597,18.33,12.507,0.883
118,1116,5614,18.61,12.511,0.887
119,1118,5640,18.89,12.507,0.893
120,1118,5665,19.15,12.509,0.882
121,1120,5691,19.60,12.511,0.858
122,1120,5708,20.15,12.502,0.882
