seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.52,0.63,7.89,0.000
2,1000,0,0.00,12.52,0.63,7.87,0.000
3,1002,0,0.00,12.52,0.63,7.94,0.000
4,1002,0,0.00,12.52,0.63,7.91,0.000
5,1004,0,0.00,12.52,0.63,7.91,0.000
6,1004,0,0.00,12.52,0.64,7.95,0.000
7,1006,0,0.00,12.52,0.63,7.88,0.000
8,1006,0,0.00,12.52,0.63,7.93,0.000
9,1008,0,0.00,12.52,0.63,7.92,0.000
10,1008,0,0.00,12.52,0.63,7.85,0.000
11,1010,0,0.00,12.52,0.62,7.76,0.000
12,1010,0,0.00,12.52,0.63,7.88,0.000
13,1012,0,0.00,12.52,0.63,7.94,0.000
14,1012,0,0.00,12.52,0.63,7.88,0.000
15,1014,0,0.00,12.52,0.64,7.99,0.000
16,1014,0,0.00,12.51,0.66,8.19,0.000
17,1016,0,0.00,12.52,0.65,8.18,0.000
18,1016,0,0.00,12.51,0.70,8.80,0.000
19,1018,0,0.00,12.51,0.85,10.69,0.000
20,1018,0,0.00,12.51,0.93,11.62,0.000
21,1020,0,0.00,12.51,0.92,11.52,0.000
22,1020,0,0.71,12.51,0.90,11.25,0.064
23,1022,0,0.00,12.51,0.86,10.78,0.000
24,1022,0,1.16,12.51,0.83,10.32,0.112
25,1024,0,1.24,12.51,0.81,10.13,0.122
26,1024,0,1.97,12.51,0.81,10.15,0.194
27,1026,0,1.47,12.52,0.79,9.94,0.147
28,1026,0,1.73,12.51,0.79,9.85,0.175
29,1028,0,1.68,12.50,0.77,9.68,0.173
30,1028,0,3.25,12.51,0.77,9.61,0.338
31,1030,0,3.67,12.51,0.76,9.54,0.384
32,1030,0,4.11,12.51,0.76,9.53,0.431
33,1032,0,4.33,12.51,0.76,9.53,0.455
34,1032,0,4.62,12.52,0.74,9.30,0.497
35,1034,0,4.97,12.52,0.74,9.27,0.536
36,1034,0,5.09,12.52,0.76,9.54,0.534
37,1036,0,5.03,12.52,0.75,9.37,0.537
38,1036,0,5.46,12.51,0.75,9.35,0.585
39,1038,0,5.92,12.51,0.74,9.32,0.636
40,1038,0,6.29,12.51,0.76,9.47,0.664
41,1040,0,6.55,12.52,0.74,9.29,0.705
42,1040,0,6.42,12.51,0.75,9.40,0.683
43,1042,0,6.66,12.52,0.75,9.42,0.707
44,1042,0,6.60,12.51,0.76,9.51,0.694
45,1044,0,6.72,12.52,0.76,9.50,0.707
46,1044,0,6.98,12.52,0.76,9.57,0.729
47,1046,0,7.56,12.52,0.77,9.61,0.786
48,1046,0,7.75,12.51,0.75,9.44,0.822
49,1048,0,7.91,12.51,0.75,9.37,0.845
50,1048,0,8.05,12.52,0.77,9.59,0.840
51,1050,0,8.46,12.51,0.76,9.53,0.887
52,1050,3788,8.52,12.51,0.76,9.53,0.893
53,1052,3814,8.88,12.51,0.76,9.55,0.929
54,1052,3831,9.35,12.51,0.76,9.52,0.981
55,1054,3857,9.40,12.51,0.76,9.46,0.994
56,1054,3874,9.74,12.51,0.76,9.55,1.020
57,1056,3908,9.75,12.52,0.77,9.62,1.013
58,1056,3934,9.43,12.51,0.76,9.56,0.987
59,1058,3951,9.74,12.51,0.77,9.66,1.008
60,1058,3985,10.15,12.51,0.79,9.84,1.031
61,1060,4011,10.49,12.52,0.79,9.84,1.066
62,1060,4037,11.04,12.52,0.77,9.69,1.139
63,1062,4045,11.03,12.51,0.78,9.72,1.134
64,1062,4080,11.37,12.52,0.78,9.78,1.162
65,1064,4105,11.48,12.51,0.78,9.78,1.174
66,1064,4131,11.67,12.51,0.79,9.84,1.186
67,1066,4165,12.06,12.51,0.79,9.90,1.218
68,1066,4191,12.14,12.51,0.78,9.73,1.248
69,1068,4200,12.63,12.52,0.78,9.72,1.299
70,1068,4217,12.50,12.51,0.79,9.90,1.263
71,1070,4225,12.55,12.51,0.80,10.02,1.252
72,1070,4251,12.76,12.51,0.81,10.16,1.256
73,1072,4277,12.62,12.51,0.80,10.06,1.255
74,1072,4302,12.59,12.52,0.80,10.06,1.251
75,1074,4328,12.66,12.51,0.80,9.97,1.269
76,1074,4354,12.94,12.51,0.81,10.16,1.274
77,1076,4388,13.33,12.51,0.80,10.05,1.326
78,1076,4448,13.41,12.51,0.79,9.87,1.359
79,1078,4482,13.32,12.51,0.82,10.24,1.300
80,1078,4517,13.35,12.51,0.81,10.12,1.319
81,1080,4568,13.81,12.51,0.83,10.39,1.329
82,1080,4645,14.13,12.51,0.82,10.20,1.385
83,1082,4688,14.27,12.51,0.82,10.20,1.399
84,1082,4722,14.05,12.51,0.81,10.07,1.395
85,1084,4740,14.09,12.51,0.82,10.23,1.377
86,1084,4782,14.59,12.51,0.82,10.30,1.417
87,1086,4825,14.62,12.51,0.83,10.39,1.407
88,1086,4860,14.76,12.51,0.82,10.32,1.431
89,1088,4885,15.38,12.51,0.83,10.45,1.472
90,1088,4920,16.06,12.51,0.83,10.41,1.543
91,1090,4954,16.62,12.51,0.82,10.21,1.629
92,1090,4962,16.86,12.51,0.83,10.42,1.619
93,1092,4997,17.25,12.51,0.83,10.41,1.657
94,1092,5022,17.70,12.51,0.83,10.33,1.713
95,1094,5057,17.52,12.51,0.84,10.56,1.660
96,1094,5091,17.52,12.50,0.83,10.33,1.695
97,1096,5117,17.71,12.51,0.84,10.47,1.692
98,1096,5142,18.00,12.51,0.86,10.77,1.671
99,1098,5168,18.00,12.51,0.84,10.52,1.711
100,1098,5194,18.54,12.50,0.84,10.56,1.755
101,1100,5211,18.52,12.51,0.84,10.49,1.766
102,1100,5237,18.46,12.51,0.85,10.67,1.731
103,1102,5254,18.44,12.51,0.85,10.66,1.730
104,1102,5280,18.45,12.51,0.86,10.70,1.723
105,1104,5297,18.77,12.51,0.86,10.74,1.748
106,1104,5322,19.09,12.51,0.85,10.68,1.787
107,1106,5348,19.38,12.50,0.86,10.70,1.811
108,1106,5382,19.33,12.50,0.86,10.74,1.800
109,1108,5417,19.25,12.51,0.87,10.92,1.763
110,1108,5451,19.65,12.51,0.87,10.89,1.804
111,1110,5477,19.88,12.51,0.86,10.70,1.858
112,1110,5494,19.73,12.51,0.86,10.71,1.843
113,1112,5520,19.70,12.51,0.86,10.78,1.828
114,1112,5545,19.86,12.50,0.88,10.98,1.808
115,1114,5562,19.72,12.51,0.88,11.01,1.792
116,1114,5588,20.08,12.51,0.88,11.01,1.823
117,1116,5597,20.24,12.51,0.88,11.03,1.835
118,1116,5622,20.48,12.51,0.87,10.92,1.876
119,1118,5640,20.54,12.50,0.89,11.09,1.853
120,1118,5665,20.71,12.50,0.88,10.99,1.885
121,1120,5691,20.84,12.51,0.86,10.79,1.932
122,1120,5708,21.31,12.50,0.89,11.08,1.923
123,1122,5742,21.67,12.50,0.88,10.98,1.974
124,1122,5768,21.70,12.51,0.89,11.11,1.954
125,1124,5794,21.89,12.51,0.89,11.15,1.964
126,1124,5820,22.40,12.50,0.90,11.29,1.985
127,1126,5845,22.33,12.51,0.89,11.18,1.997
128,1126,5862,22.29,12.50,0.89,11.17,1.995
129,1128,5880,22.40,12.51,0.89,11.16,2.006
130,1128,5905,22.70,12.51,0.90,11.28,2.012
131,1130,5931,23.25,12.51,0.91,11.34,2.051
132,1130,5957,23.36,12.51,0.91,11.37,2.053
133,1132,5982,23.16,12.51,0.91,11.36,2.038
134,1132,6000,23.45,12.50,0.91,11.38,2.061
135,1134,6025,23.32,12.50,0.92,11.45,2.036
136,1134,6051,23.55,12.51,0.92,11.54,2.042
137,1136,6077,23.89,12.50,0.93,11.61,2.058
138,1136,6102,24.09,12.50,0.93,11.58,2.082
139,1138,6128,24.24,12.50,0.92,11.54,2.100
140,1138,6162,24.87,12.51,0.92,11.54,2.154
141,1140,6180,25.63,12.51,0.93,11.61,2.208
142,1140,6205,25.70,12.50,0.93,11.66,2.204
143,1142,6231,25.67,12.50,0.93,11.61,2.211
144,1142,6248,26.30,12.50,0.92,11.52,2.283
145,1144,6274,26.61,12.50,0.93,11.69,2.277
146,1144,6291,26.38,12.50,0.94,11.75,2.245
147,1146,6308,27.01,12.50,0.94,11.72,2.303
148,1146,6342,27.28,12.50,0.94,11.74,2.325
149,1148,6342,27.85,12.51,0.94,11.77,2.366
150,1148,6377,27.94,12.50,0.95,11.83,2.361
151,1150,6394,27.86,12.50,0.94,11.78,2.366
152,1150,6394,28.10,12.50,0.95,11.89,2.364
153,1152,6428,27.99,12.51,0.95,11.92,2.349
154,1152,6445,28.43,12.51,0.96,11.96,2.377
155,1154,6462,29.06,12.51,0.94,11.81,2.460
156,1154,6480,29.05,12.50,0.94,11.80,2.463
157,1156,6497,29.29,12.50,0.95,11.94,2.452
158,1156,6514,29.46,12.50,0.95,11.91,2.473
159,1158,6531,29.52,12.50,0.97,12.13,2.433
160,1158,6557,29.59,12.50,0.97,12.16,2.434
161,1160,6574,29.70,12.50,0.96,12.03,2.469
162,1160,6591,29.77,12.50,0.97,12.14,2.452
163,1162,6617,30.25,12.50,0.98,12.30,2.458
164,1162,6634,30.31,12.51,0.96,12.06,2.514
165,1164,6660,30.68,12.50,0.97,12.12,2.531
166,1164,6677,31.27,12.50,0.97,12.15,2.575
167,1166,6694,31.65,12.50,0.97,12.10,2.615
168,1166,6720,31.84,12.50,0.98,12.23,2.604
169,1168,6737,32.35,12.50,0.99,12.34,2.622
170,1168,6754,32.86,12.50,0.98,12.22,2.690
171,1170,6780,33.22,12.50,0.99,12.41,2.676
172,1170,6797,33.29,12.50,0.99,12.32,2.701
173,1172,6822,33.34,12.50,1.00,12.55,2.657
174,1172,6840,33.41,12.50,0.99,12.44,2.687
175,1174,6865,34.16,12.50,1.00,12.55,2.722
176,1174,6891,34.83,12.50,1.00,12.49,2.788
177,1176,6917,34.92,12.50,1.01,12.61,2.769
178,1176,6934,35.04,12.49,1.00,12.45,2.815
179,1178,6960,35.43,12.49,1.01,12.61,2.809
180,1178,6985,36.00,12.50,1.01,12.58,2.861
181,1180,7011,36.42,12.50,1.03,12.87,2.830
182,1180,7037,36.84,12.50,1.03,12.86,2.865
183,1182,7062,36.88,12.50,1.03,12.88,2.862
184,1182,7088,37.80,12.50,1.02,12.78,2.958
185,1184,7122,38.09,12.50,1.04,12.95,2.941
186,1184,7148,38.41,12.50,1.04,13.03,2.947
187,1186,7174,38.67,12.50,1.02,12.75,3.033
188,1186,7191,39.08,12.50,1.03,12.93,3.022
189,1188,7217,38.97,12.50,1.03,12.94,3.012
190,1188,7234,39.19,12.50,1.04,12.97,3.022
191,1190,7260,39.84,12.50,1.03,12.92,3.083
192,1190,7294,39.97,12.50,1.04,12.94,3.088
193,1192,7328,39.99,12.50,1.05,13.12,3.049
194,1192,7354,40.37,12.50,1.05,13.11,3.079
195,1194,7380,40.75,12.50,1.05,13.12,3.107
196,1194,7405,40.93,12.49,1.07,13.38,3.059
197,1196,7431,41.03,12.50,1.06,13.31,3.083
198,1196,7465,41.55,12.50,1.07,13.36,3.112
199,1198,7491,41.80,12.50,1.05,13.14,3.181
200,1198,7517,42.28,12.50,1.06,13.28,3.184
201,1200,7534,42.19,12.50,1.06,13.26,3.182
202,1200,7560,41.88,12.50,1.07,13.34,3.140
203,1202,7577,41.92,12.50,1.06,13.31,3.150
204,1202,7594,42.95,12.50,1.07,13.36,3.216
205,1204,7611,43.10,12.50,1.09,13.60,3.168
206,1204,7628,43.06,12.50,1.08,13.45,3.202
207,1206,7671,43.08,12.50,1.09,13.62,3.162
208,1206,7688,43.48,12.50,1.09,13.68,3.178
209,1208,7722,43.70,12.49,1.11,13.83,3.159
210,1208,7757,43.95,12.49,1.10,13.73,3.202
211,1210,7782,44.27,12.49,1.11,13.81,3.206
212,1210,7808,44.70,12.49,1.10,13.78,3.245
213,1212,7834,44.66,12.50,1.12,14.04,3.181
214,1212,7860,44.98,12.49,1.11,13.93,3.230
215,1214,7877,45.30,12.50,1.11,13.83,3.276
216,1214,7920,45.45,12.49,1.11,13.85,3.280
217,1216,7945,45.55,12.49,1.12,14.04,3.243
218,1216,7980,46.02,12.50,1.12,13.97,3.295
219,1218,7997,46.65,12.50,1.15,14.39,3.243
