seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.539,0.633
2,1000,0,0.00,12.536,0.623
3,1002,0,0.00,12.539,0.633
4,1002,0,0.00,12.544,0.628
5,1004,0,0.00,12.544,0.629
6,1004,0,0.00,12.545,0.625
7,1006,0,0.00,12.537,0.629
8,1006,0,0.00,12.540,0.625
9,1008,0,0.00,12.548,0.637
10,1008,0,0.00,12.540,0.636
11,1010,0,0.00,12.542,0.624
12,1010,0,0.00,12.537,0.630
13,1012,0,0.00,12.540,0.633
14,1012,0,0.00,12.545,0.638
15,1014,0,0.00,12.541,0.647
16,1014,0,0.00,12.540,0.652
17,1016,0,0.00,12.535,0.656
18,1016,0,0.00,12.525,0.700
19,1018,0,0.00,12.531,0.850
20,1018,0,0.00,12.529,0.914
21,1020,0,1.32,12.527,0.956
22,1020,0,1.53,12.520,0.938
23,1022,0,2.04,12.524,0.921
24,1022,0,2.24,12.528,0.903
25,1024,0,2.67,12.532,0.898
26,1024,0,2.57,12.530,0.873
27,1026,0,3.08,12.524,0.875
28,1026,0,3.49,12.520,0.871
29,1028,0,4.07,12.527,0.885
30,1028,0,5.29,12.532,0.864
31,1030,0,5.50,12.532,0.851
32,1030,0,5.52,12.532,0.846
33,1032,0,6.00,12.535,0.839
34,1032,0,6.78,12.528,0.815
35,1034,0,6.82,12.530,0.819
36,1034,0,7.02,12.525,0.824
37,1036,0,7.35,12.536,0.827
38,1036,0,7.41,12.533,0.823
39,1038,0,8.09,12.527,0.810
40,1038,0,8.16,12.534,0.820
41,1040,0,8.73,12.528,0.815
42,1040,0,8.83,12.534,0.805
43,1042,0,8.93,12.533,0.824
44,1042,0,9.58,12.525,0.817
45,1044,0,9.94,12.534,0.801
46,1044,0,10.44,12.533,0.825
47,1046,0,10.44,12.527,0.807
48,1046,0,10.58,12.534,0.807
49,1048,0,10.79,12.531,0.813
50,1048,0,11.01,12.531,0.808
51,1050,0,11.14,12.533,0.823
52,1050,0,11.71,12.532,0.825
53,1052,0,11.88,12.532,0.810
54,1052,0,12.62,12.528,0.829
55,1054,0,12.97,12.530,0.829
56,1054,0,12.96,12.533,0.828
57,1056,0,13.04,12.530,0.817
58,1056,0,13.62,12.529,0.814
59,1058,0,13.48,12.529,0.834
60,1058,0,13.57,12.529,0.826
61,1060,0,13.88,12.529,0.845
62,1060,0,14.05,12.533,0.852
63,1062,0,14.20,12.530,0.858
64,1062,0,13.76,12.530,0.842
65,1064,0,13.95,12.527,0.863
66,1064,0,14.95,12.530,0.858
67,1066,0,14.87,12.524,0.856
68,1066,0,15.21,12.530,0.852
69,1068,3685,15.85,12.530,0.865
70,1068,3702,16.24,12.523,0.861
71,1070,3728,16.29,12.530,0.847
72,1070,3745,16.28,12.533,0.853
73,1072,3762,16.00,12.528,0.871
74,1072,3788,16.22,12.526,0.873
75,1074,3805,16.83,12.524,0.878
76,1074,3831,16.88,12.527,0.873
77,1076,3848,17.76,12.527,0.876
78,1076,3874,17.51,12.530,0.874
79,1078,3891,17.59,12.528,0.875
80,1078,3917,18.03,12.528,0.880
81,1080,3934,17.67,12.521,0.895
82,1080,3960,18.57,12.522,0.910
83,1082,3977,18.85,12.524,0.917
84,1082,4002,18.87,12.527,0.902
85,1084,4020,18.77,12.520,0.914
86,1084,4037,19.03,12.526,0.907
87,1086,4062,19.45,12.527,0.912
88,1086,4080,19.84,12.523,0.892
89,1088,4105,20.26,12.527,0.910
90,1088,4122,20.53,12.527,0.918
91,1090,4148,20.51,12.527,0.910
92,1090,4174,20.54,12.524,0.911
93,1092,4191,20.44,12.529,0.908
94,1092,4208,21.19,12.523,0.929
95,1094,4217,21.51,12.527,0.918
96,1094,4242,21.43,12.521,0.936
97,1096,4260,21.57,12.525,0.953
98,1096,4277,22.01,12.523,0.974
99,1098,4277,22.33,12.526,0.968
100,1098,4294,22.37,12.524,0.965
101,1100,4302,22.94,12.520,0.961
102,1100,4311,22.91,12.510,0.966
103,1102,4328,23.04,12.521,0.966
104,1102,4328,23.18,12.516,0.962
105,1104,4328,23.48,12.520,0.983
106,1104,4337,23.39,12.523,0.974
107,1106,4354,23.39,12.522,0.991
108,1106,4371,23.41,12.518,0.987
109,1108,4405,23.58,12.516,0.986
110,1108,4422,23.77,12.517,0.979
111,1110,4431,24.33,12.523,0.992
112,1110,4457,24.76,12.523,0.990
113,1112,4500,24.57,12.518,1.002
114,1112,4517,24.84,12.525,0.998
115,1114,4534,24.76,12.527,0.993
116,1114,4551,25.58,12.520,0.982
117,1116,4585,25.67,12.519,0.985
118,1116,4620,25.39,12.518,1.015
119,1118,4645,25.11,12.523,1.013
120,1118,4688,25.79,12.520,1.028
121,1120,4722,25.93,12.520,1.034
122,1120,4757,25.87,12.524,1.012
123,1122,4800,26.88,12.521,1.037
124,1122,4817,27.00,12.520,1.048
125,1124,4817,26.79,12.522,1.020
126,1124,4842,27.26,12.525,1.058
127,1126,4868,27.46,12.524,1.047
128,1126,4911,28.10,12.525,1.050
129,1128,4945,28.57,12.522,1.049
130,1128,4971,28.68,12.521,1.061
131,1130,4997,29.13,12.512,1.072
132,1130,5014,29.50,12.518,1.050
133,1132,5031,29.55,12.511,1.049
134,1132,5040,29.97,12.521,1.067
135,1134,5057,30.15,12.523,1.065
136,1134,5074,29.66,12.524,1.077
