seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.54,0.63,7.94,0.000
2,1000,0,0.00,12.54,0.62,7.81,0.000
3,1002,0,0.00,12.54,0.63,7.94,0.000
4,1002,0,0.00,12.54,0.63,7.88,0.000
5,1004,0,0.00,12.54,0.63,7.89,0.000
6,1004,0,0.00,12.54,0.62,7.84,0.000
7,1006,0,0.00,12.54,0.63,7.89,0.000
8,1006,0,0.00,12.54,0.62,7.84,0.000
9,1008,0,0.00,12.55,0.64,7.99,0.000
10,1008,0,0.00,12.54,0.64,7.98,0.000
11,1010,0,0.00,12.54,0.62,7.83,0.000
12,1010,0,0.00,12.54,0.63,7.90,0.000
13,1012,0,0.00,12.54,0.63,7.94,0.000
14,1012,0,0.00,12.54,0.64,8.00,0.000
15,1014,0,0.00,12.54,0.65,8.11,0.000
16,1014,0,0.00,12.54,0.65,8.18,0.000
17,1016,0,0.00,12.54,0.66,8.22,0.000
18,1016,0,0.00,12.53,0.70,8.77,0.000
19,1018,0,0.00,12.53,0.85,10.65,0.000
20,1018,0,0.00,12.53,0.91,11.45,0.000
21,1020,0,1.32,12.53,0.96,11.98,0.110
22,1020,0,1.53,12.52,0.94,11.74,0.130
23,1022,0,2.04,12.52,0.92,11.53,0.177
24,1022,0,2.24,12.53,0.90,11.31,0.198
25,1024,0,2.67,12.53,0.90,11.25,0.237
26,1024,0,2.57,12.53,0.87,10.94,0.235
27,1026,0,3.08,12.52,0.88,10.96,0.281
28,1026,0,3.49,12.52,0.87,10.90,0.320
29,1028,0,4.07,12.53,0.89,11.09,0.367
30,1028,0,5.29,12.53,0.86,10.83,0.489
31,1030,0,5.50,12.53,0.85,10.66,0.516
32,1030,0,5.52,12.53,0.85,10.60,0.521
33,1032,0,6.00,12.54,0.84,10.52,0.571
34,1032,0,6.78,12.53,0.81,10.21,0.664
35,1034,0,6.82,12.53,0.82,10.26,0.665
36,1034,0,7.02,12.53,0.82,10.32,0.680
37,1036,0,7.35,12.54,0.83,10.37,0.709
38,1036,0,7.41,12.53,0.82,10.31,0.718
39,1038,0,8.09,12.53,0.81,10.15,0.797
40,1038,0,8.16,12.53,0.82,10.28,0.794
41,1040,0,8.73,12.53,0.81,10.21,0.855
42,1040,0,8.83,12.53,0.81,10.09,0.875
43,1042,0,8.93,12.53,0.82,10.33,0.865
44,1042,0,9.58,12.53,0.82,10.23,0.936
45,1044,0,9.94,12.53,0.80,10.04,0.990
46,1044,0,10.44,12.53,0.82,10.34,1.010
47,1046,0,10.44,12.53,0.81,10.11,1.033
48,1046,0,10.58,12.53,0.81,10.11,1.046
49,1048,0,10.79,12.53,0.81,10.19,1.059
50,1048,0,11.01,12.53,0.81,10.13,1.087
51,1050,0,11.14,12.53,0.82,10.31,1.080
52,1050,0,11.71,12.53,0.82,10.34,1.133
53,1052,0,11.88,12.53,0.81,10.15,1.170
54,1052,0,12.62,12.53,0.83,10.39,1.215
55,1054,0,12.97,12.53,0.83,10.39,1.249
56,1054,0,12.96,12.53,0.83,10.38,1.249
57,1056,0,13.04,12.53,0.82,10.24,1.274
58,1056,0,13.62,12.53,0.81,10.20,1.335
59,1058,0,13.48,12.53,0.83,10.45,1.290
60,1058,0,13.57,12.53,0.83,10.35,1.311
61,1060,0,13.88,12.53,0.84,10.59,1.311
62,1060,0,14.05,12.53,0.85,10.68,1.316
63,1062,0,14.20,12.53,0.86,10.75,1.321
64,1062,0,13.76,12.53,0.84,10.55,1.304
65,1064,0,13.95,12.53,0.86,10.81,1.290
66,1064,0,14.95,12.53,0.86,10.75,1.391
67,1066,0,14.87,12.52,0.86,10.72,1.387
68,1066,0,15.21,12.53,0.85,10.68,1.425
69,1068,3685,15.85,12.53,0.86,10.84,1.462
70,1068,3702,16.24,12.52,0.86,10.78,1.506
71,1070,3728,16.29,12.53,0.85,10.61,1.535
72,1070,3745,16.28,12.53,0.85,10.69,1.523
73,1072,3762,16.00,12.53,0.87,10.91,1.466
74,1072,3788,16.22,12.53,0.87,10.94,1.483
75,1074,3805,16.83,12.52,0.88,11.00,1.531
76,1074,3831,16.88,12.53,0.87,10.94,1.544
77,1076,3848,17.76,12.53,0.88,10.97,1.618
78,1076,3874,17.51,12.53,0.87,10.95,1.599
79,1078,3891,17.59,12.53,0.88,10.96,1.605
80,1078,3917,18.03,12.53,0.88,11.02,1.635
81,1080,3934,17.67,12.52,0.90,11.21,1.577
82,1080,3960,18.57,12.52,0.91,11.40,1.630
83,1082,3977,18.85,12.52,0.92,11.48,1.641
84,1082,4002,18.87,12.53,0.90,11.30,1.670
85,1084,4020,18.77,12.52,0.91,11.44,1.640
86,1084,4037,19.03,12.53,0.91,11.36,1.675
87,1086,4062,19.45,12.53,0.91,11.42,1.702
88,1086,4080,19.84,12.52,0.89,11.17,1.776
89,1088,4105,20.26,12.53,0.91,11.40,1.777
90,1088,4122,20.53,12.53,0.92,11.50,1.785
91,1090,4148,20.51,12.53,0.91,11.40,1.799
92,1090,4174,20.54,12.52,0.91,11.41,1.800
