seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.505,0.627
2,1000,0,0.00,12.503,0.646
3,1002,0,0.00,12.502,0.628
4,1002,0,0.00,12.504,0.618
5,1004,0,0.00,12.501,0.626
6,1004,0,0.00,12.506,0.626
7,1006,0,0.00,12.507,0.637
8,1006,0,0.00,12.501,0.631
9,1008,0,0.00,12.502,0.630
10,1008,0,0.00,12.506,0.643
11,1010,0,0.00,12.501,0.625
12,1010,0,0.00,12.501,0.631
13,1012,0,0.00,12.505,0.629
14,1012,0,0.00,12.505,0.632
15,1014,0,0.00,12.502,0.652
16,1014,0,0.00,12.504,0.656
17,1016,0,0.00,12.505,0.647
18,1016,0,0.00,12.488,0.729
19,1018,0,0.00,12.484,0.863
20,1018,0,0.00,12.495,0.916
21,1020,0,0.00,12.487,0.914
22,1020,0,0.00,12.496,0.897
23,1022,0,1.66,12.493,0.871
24,1022,0,2.09,12.493,0.863
25,1024,0,1.96,12.495,0.813
26,1024,0,1.90,12.487,0.832
27,1026,0,2.07,12.492,0.841
28,1026,0,2.05,12.497,0.814
29,1028,0,2.20,12.499,0.801
30,1028,0,3.57,12.496,0.797
31,1030,0,3.83,12.493,0.777
32,1030,0,3.67,12.499,0.768
33,1032,0,3.69,12.499,0.787
34,1032,0,4.79,12.497,0.764
35,1034,0,4.49,12.497,0.780
36,1034,0,4.62,12.502,0.767
37,1036,0,4.80,12.496,0.757
38,1036,0,4.93,12.489,0.766
39,1038,0,5.73,12.493,0.776
40,1038,0,5.72,12.495,0.767
41,1040,0,5.85,12.494,0.771
42,1040,0,5.72,12.497,0.777
43,1042,0,6.07,12.493,0.775
44,1042,0,6.10,12.491,0.777
45,1044,0,6.31,12.500,0.788
46,1044,0,6.54,12.496,0.773
47,1046,0,6.71,12.504,0.771
48,1046,0,7.03,12.496,0.761
49,1048,0,6.96,12.493,0.775
50,1048,0,7.13,12.495,0.780
51,1050,0,7.33,12.494,0.781
52,1050,3702,6.99,12.495,0.791
53,1052,3720,7.22,12.500,0.776
54,1052,3737,7.77,12.494,0.782
55,1054,3762,8.08,12.496,0.777
56,1054,3788,7.99,12.498,0.782
57,1056,3805,8.26,12.491,0.775
58,1056,3840,8.14,12.496,0.774
59,1058,3865,8.70,12.494,0.789
60,1058,3891,8.79,12.499,0.782
61,1060,3917,9.23,12.493,0.790
62,1060,3942,9.96,12.495,0.800
63,1062,3968,9.97,12.491,0.795
64,1062,3994,10.09,12.495,0.813
65,1064,4020,9.91,12.496,0.800
66,1064,4037,10.08,12.496,0.806
67,1066,4062,10.03,12.496,0.788
68,1066,4088,10.48,12.493,0.809
69,1068,4114,10.72,12.495,0.829
70,1068,4140,10.76,12.493,0.789
71,1070,4140,10.87,12.489,0.817
72,1070,4174,10.93,12.492,0.801
73,1072,4200,11.41,12.491,0.801
74,1072,4208,11.91,12.501,0.815
75,1074,4234,11.85,12.493,0.811
76,1074,4260,11.62,12.493,0.826
77,1076,4277,12.27,12.492,0.821
