seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.50,0.63,7.86,0.000
2,1000,0,0.00,12.50,0.64,7.98,0.000
3,1002,0,0.68,12.50,0.62,7.74,0.087
4,1002,0,0.61,12.50,0.62,7.80,0.078
5,1004,0,0.00,12.50,0.62,7.74,0.000
6,1004,0,0.00,12.50,0.63,7.92,0.000
7,1006,0,0.00,12.50,0.63,7.91,0.000
8,1006,0,0.00,12.50,0.63,7.90,0.000
9,1008,0,0.00,12.50,0.62,7.79,0.000
10,1008,0,0.00,12.50,0.65,8.09,0.000
11,1010,0,0.00,12.50,0.64,7.94,0.000
12,1010,0,0.00,12.50,0.63,7.92,0.000
13,1012,0,0.00,12.50,0.63,7.86,0.000
14,1012,0,0.00,12.50,0.63,7.89,0.000
15,1014,0,0.63,12.50,0.65,8.12,0.078
16,1014,0,0.71,12.50,0.66,8.23,0.087
17,1016,0,0.64,12.50,0.65,8.12,0.078
18,1016,0,0.00,12.49,0.72,9.01,0.000
19,1018,0,0.00,12.48,0.87,10.90,0.000
20,1018,0,1.58,12.49,0.92,11.53,0.137
21,1020,0,2.10,12.48,0.91,11.37,0.185
22,1020,0,2.36,12.48,0.91,11.34,0.208
23,1022,0,3.16,12.49,0.87,10.91,0.290
24,1022,0,3.38,12.49,0.86,10.76,0.314
25,1024,0,3.34,12.49,0.82,10.30,0.324
26,1024,0,3.83,12.49,0.83,10.40,0.369
27,1026,0,4.08,12.49,0.84,10.44,0.390
28,1026,0,4.11,12.49,0.82,10.29,0.400
29,1028,0,4.23,12.49,0.80,9.94,0.426
30,1028,0,5.24,12.50,0.80,9.98,0.525
31,1030,0,5.31,12.49,0.78,9.71,0.547
32,1030,0,5.58,12.49,0.78,9.74,0.572
33,1032,0,5.45,12.50,0.78,9.76,0.558
34,1032,0,6.14,12.49,0.77,9.58,0.641
35,1034,0,6.36,12.49,0.77,9.66,0.659
36,1034,0,6.65,12.49,0.77,9.62,0.691
37,1036,0,6.80,12.49,0.77,9.61,0.708
38,1036,0,6.97,12.49,0.77,9.63,0.724
39,1038,0,7.37,12.49,0.77,9.66,0.762
40,1038,0,7.90,12.49,0.77,9.57,0.826
41,1040,0,7.96,12.49,0.76,9.52,0.836
42,1040,0,8.02,12.49,0.77,9.60,0.835
43,1042,0,8.32,12.49,0.78,9.70,0.857
44,1042,0,8.54,12.49,0.77,9.66,0.884
45,1044,0,8.60,12.49,0.78,9.70,0.886
46,1044,0,8.61,12.49,0.77,9.64,0.893
47,1046,0,8.66,12.50,0.77,9.67,0.896
48,1046,0,9.38,12.49,0.77,9.63,0.974
49,1048,0,9.39,12.49,0.76,9.55,0.983
50,1048,0,9.25,12.49,0.77,9.66,0.958
51,1050,0,9.32,12.50,0.78,9.72,0.959
52,1050,3702,9.45,12.49,0.79,9.86,0.958
53,1052,3720,9.63,12.49,0.77,9.68,0.995
54,1052,3737,9.95,12.49,0.78,9.77,1.018
55,1054,3762,10.36,12.49,0.77,9.66,1.072
56,1054,3788,10.23,12.49,0.78,9.78,1.047
57,1056,3805,10.54,12.49,0.77,9.66,1.091
58,1056,3848,10.50,12.50,0.78,9.79,1.072
59,1058,3874,10.87,12.49,0.78,9.77,1.112
60,1058,3900,11.12,12.50,0.78,9.78,1.138
61,1060,3925,11.37,12.49,0.79,9.91,1.147
62,1060,3951,11.84,12.49,0.79,9.89,1.197
63,1062,3968,11.82,12.49,0.79,9.84,1.202
64,1062,3994,12.22,12.49,0.80,9.99,1.223
65,1064,4020,12.46,12.49,0.80,9.93,1.255
66,1064,4037,12.73,12.50,0.81,10.08,1.263
67,1066,4062,12.63,12.49,0.80,9.94,1.271
68,1066,4088,12.79,12.49,0.80,10.02,1.276
69,1068,4114,12.82,12.49,0.82,10.23,1.253
70,1068,4140,12.91,12.49,0.80,9.97,1.295
71,1070,4165,12.77,12.49,0.81,10.12,1.262
72,1070,4174,13.11,12.49,0.80,10.03,1.307
73,1072,4200,13.60,12.49,0.81,10.07,1.350
74,1072,4208,14.08,12.49,0.81,10.17,1.384
75,1074,4234,14.11,12.49,0.82,10.20,1.384
76,1074,4260,14.14,12.49,0.83,10.33,1.369
77,1076,4277,14.38,12.49,0.82,10.30,1.397
78,1076,4294,14.45,12.49,0.82,10.26,1.408
79,1078,4294,14.64,12.49,0.81,10.14,1.443
80,1078,4294,14.70,12.50,0.83,10.33,1.422
81,1080,4294,14.92,12.49,0.82,10.20,1.463
82,1080,4345,15.40,12.49,0.83,10.32,1.492
83,1082,4380,15.57,12.49,0.85,10.59,1.470
84,1082,4422,15.77,12.49,0.84,10.48,1.504
85,1084,4457,15.43,12.49,0.83,10.36,1.489
86,1084,4508,15.25,12.49,0.84,10.48,1.455
87,1086,4568,15.32,12.49,0.84,10.44,1.467
88,1086,4611,15.71,12.49,0.84,10.50,1.496
89,1088,4671,15.80,12.49,0.84,10.51,1.503
90,1088,4671,15.98,12.50,0.84,10.55,1.514
91,1090,4740,16.16,12.49,0.84,10.51,1.538
92,1090,4800,16.39,12.49,0.84,10.49,1.563
93,1092,4842,16.50,12.49,0.84,10.50,1.572
94,1092,4885,16.69,12.49,0.85,10.66,1.565
95,1094,4920,17.43,12.49,0.85,10.60,1.645
96,1094,4962,17.79,12.49,0.86,10.79,1.648
97,1096,4988,17.96,12.48,0.86,10.68,1.682
98,1096,5014,17.94,12.49,0.86,10.80,1.660
99,1098,5022,18.19,12.48,0.87,10.86,1.675
100,1098,5048,18.62,12.49,0.87,10.84,1.718
101,1100,5082,18.63,12.49,0.87,10.83,1.721
102,1100,5108,18.66,12.49,0.86,10.71,1.742
103,1102,5142,18.88,12.49,0.88,10.94,1.726
104,1102,5160,19.22,12.49,0.86,10.74,1.789
105,1104,5185,19.46,12.49,0.88,10.93,1.781
106,1104,5202,19.35,12.49,0.86,10.74,1.801
107,1106,5202,19.77,12.49,0.86,10.70,1.847
108,1106,5220,20.20,12.49,0.88,10.98,1.840
109,1108,5262,20.38,12.49,0.88,10.94,1.863
110,1108,5288,20.31,12.48,0.88,10.99,1.848
111,1110,5314,20.42,12.48,0.88,10.92,1.870
112,1110,5340,20.87,12.49,0.88,11.01,1.896
113,1112,5365,21.03,12.49,0.89,11.14,1.887
114,1112,5382,20.84,12.49,0.89,11.13,1.874
115,1114,5400,21.04,12.49,0.88,11.03,1.908
116,1114,5417,21.57,12.49,0.89,11.06,1.951
117,1116,5442,21.43,12.49,0.88,11.02,1.944
118,1116,5468,21.71,12.48,0.89,11.05,1.965
119,1118,5494,21.73,12.49,0.90,11.28,1.927
120,1118,5520,21.83,12.49,0.90,11.27,1.937
121,1120,5545,22.06,12.49,0.91,11.32,1.949
122,1120,5571,22.12,12.49,0.90,11.29,1.959
123,1122,5605,22.58,12.48,0.90,11.19,2.018
124,1122,5622,22.40,12.48,0.91,11.39,1.966
125,1124,5640,22.30,12.49,0.90,11.27,1.978
126,1124,5674,22.55,12.48,0.91,11.41,1.977
127,1126,5691,22.89,12.49,0.92,11.45,2.000
128,1126,5717,23.12,12.49,0.93,11.57,1.998
129,1128,5742,23.44,12.49,0.93,11.63,2.015
130,1128,5768,23.91,12.49,0.95,11.83,2.021
131,1130,5785,23.95,12.48,0.92,11.50,2.082
132,1130,5820,24.19,12.48,0.92,11.45,2.113
133,1132,5837,24.14,12.48,0.92,11.49,2.102
134,1132,5854,24.34,12.48,0.95,11.85,2.054
135,1134,5880,24.70,12.49,0.95,11.84,2.086
136,1134,5905,24.88,12.49,0.95,11.82,2.105
137,1136,5922,25.03,12.48,0.95,11.90,2.104
138,1136,5948,24.83,12.49,0.95,11.86,2.094
139,1138,5974,24.82,12.48,0.94,11.67,2.126
140,1138,5991,25.11,12.49,0.95,11.89,2.113
141,1140,6017,25.00,12.48,0.97,12.13,2.060
142,1140,6042,24.98,12.49,0.96,12.01,2.080
143,1142,6068,25.09,12.48,0.95,11.81,2.125
144,1142,6094,25.35,12.48,0.96,12.01,2.111
145,1144,6120,26.07,12.48,0.95,11.91,2.189
146,1144,6137,26.66,12.49,0.97,12.11,2.202
147,1146,6162,27.02,12.48,0.98,12.18,2.218
148,1146,6180,27.16,12.49,0.96,12.04,2.255
149,1148,6205,27.60,12.49,0.97,12.14,2.273
150,1148,6222,27.49,12.49,0.97,12.14,2.265
151,1150,6240,27.69,12.48,0.98,12.29,2.253
152,1150,6265,27.68,12.48,0.98,12.28,2.254
153,1152,6282,27.94,12.48,0.97,12.09,2.310
154,1152,6308,28.16,12.48,0.97,12.16,2.316
155,1154,6325,28.40,12.48,0.97,12.11,2.345
156,1154,6342,28.23,12.49,0.97,12.15,2.324
157,1156,6360,28.18,12.48,0.97,12.12,2.325
158,1156,6377,28.94,12.48,0.98,12.24,2.365
159,1158,6394,29.48,12.48,0.99,12.33,2.390
160,1158,6411,29.45,12.48,0.99,12.40,2.376
161,1160,6428,29.79,12.48,0.99,12.38,2.407
162,1160,6445,29.96,12.48,0.99,12.37,2.423
163,1162,6471,30.12,12.49,1.00,12.44,2.421
164,1162,6488,30.23,12.48,1.00,12.45,2.429
165,1164,6505,30.32,12.48,1.00,12.42,2.441
166,1164,6531,30.42,12.48,0.99,12.30,2.473
167,1166,6540,30.84,12.47,1.00,12.53,2.461
168,1166,6557,31.12,12.48,1.01,12.66,2.459
169,1168,6574,31.30,12.48,1.00,12.52,2.501
170,1168,6600,31.31,12.48,1.00,12.54,2.497
171,1170,6608,31.53,12.48,1.00,12.43,2.537
172,1170,6634,31.59,12.49,1.02,12.73,2.482
173,1172,6651,31.45,12.49,1.02,12.78,2.461
174,1172,6668,32.02,12.48,1.03,12.84,2.494
175,1174,6685,32.05,12.48,1.03,12.81,2.501
176,1174,6702,32.34,12.48,1.02,12.78,2.530
177,1176,6737,32.71,12.48,1.02,12.76,2.564
178,1176,6762,32.87,12.48,1.02,12.78,2.571
179,1178,6780,33.02,12.48,1.02,12.79,2.583
180,1178,6797,33.53,12.48,1.04,12.94,2.591
181,1180,6822,34.16,12.49,1.03,12.82,2.665
182,1180,6840,34.54,12.48,1.04,12.95,2.666
183,1182,6874,34.99,12.48,1.04,12.91,2.710
184,1182,6900,35.67,12.48,1.05,13.15,2.713
185,1184,6917,36.00,12.48,1.05,13.07,2.754
186,1184,6934,36.45,12.48,1.04,12.97,2.811
187,1186,6960,36.86,12.47,1.04,13.02,2.832
188,1186,6977,36.98,12.48,1.05,13.12,2.819
189,1188,7002,37.58,12.47,1.07,13.33,2.820
190,1188,7028,38.23,12.48,1.08,13.42,2.848
191,1190,7054,38.65,12.48,1.07,13.39,2.886
192,1190,7080,39.13,12.48,1.09,13.64,2.869
193,1192,7105,39.30,12.47,1.09,13.56,2.898
194,1192,7131,40.02,12.47,1.08,13.53,2.959
195,1194,7165,39.87,12.48,1.09,13.59,2.934
196,1194,7191,40.14,12.48,1.09,13.60,2.952
197,1196,7208,40.81,12.48,1.09,13.64,2.993
198,1196,7225,41.02,12.48,1.10,13.77,2.979
199,1198,7251,41.16,12.48,1.08,13.44,3.063
200,1198,7294,41.08,12.48,1.09,13.64,3.011
