seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.493,0.631
2,1000,0,0.00,12.500,0.630
3,1002,0,1.35,12.501,0.611
4,1002,0,1.22,12.503,0.630
5,1004,0,0.00,12.499,0.612
6,1004,0,0.00,12.492,0.641
7,1006,0,0.00,12.493,0.628
8,1006,0,0.00,12.501,0.633
9,1008,0,0.00,12.499,0.616
10,1008,0,0.00,12.497,0.652
11,1010,0,0.00,12.498,0.646
12,1010,0,0.00,12.497,0.636
13,1012,0,0.00,12.500,0.629
14,1012,0,0.00,12.499,0.630
15,1014,0,1.26,12.496,0.648
16,1014,0,1.43,12.497,0.661
17,1016,0,1.27,12.496,0.652
18,1016,0,0.00,12.492,0.713
19,1018,0,0.00,12.474,0.884
20,1018,0,3.16,12.481,0.930
21,1020,0,4.20,12.482,0.907
22,1020,0,4.72,12.474,0.919
23,1022,0,4.66,12.487,0.876
24,1022,0,4.66,12.491,0.859
25,1024,0,4.72,12.482,0.836
26,1024,0,5.77,12.485,0.834
27,1026,0,6.08,12.491,0.830
28,1026,0,6.17,12.485,0.833
29,1028,0,6.27,12.487,0.791
30,1028,0,6.91,12.495,0.800
31,1030,0,6.80,12.489,0.778
32,1030,0,7.48,12.487,0.791
33,1032,0,7.21,12.498,0.775
34,1032,0,7.50,12.489,0.770
35,1034,0,8.23,12.487,0.766
36,1034,0,8.68,12.486,0.773
37,1036,0,8.81,12.490,0.781
38,1036,0,9.02,12.490,0.776
39,1038,0,9.00,12.492,0.771
40,1038,0,10.08,12.491,0.765
41,1040,0,10.07,12.485,0.753
42,1040,0,10.31,12.490,0.760
43,1042,0,10.56,12.486,0.778
44,1042,0,10.98,12.487,0.770
45,1044,0,10.88,12.482,0.765
46,1044,0,10.68,12.491,0.771
47,1046,0,10.62,12.493,0.776
48,1046,0,11.73,12.489,0.780
49,1048,0,11.82,12.490,0.754
50,1048,0,11.37,12.486,0.766
51,1050,0,11.32,12.496,0.775
52,1050,0,11.90,12.485,0.788
53,1052,0,12.04,12.488,0.773
54,1052,0,12.12,12.490,0.782
55,1054,3745,12.63,12.490,0.769
56,1054,3780,12.48,12.489,0.783
57,1056,3805,12.81,12.494,0.771
58,1056,3848,12.86,12.497,0.793
59,1058,3874,13.04,12.484,0.776
60,1058,3900,13.46,12.491,0.783
61,1060,3925,13.50,12.495,0.796
62,1060,3951,13.72,12.490,0.784
63,1062,3968,13.68,12.488,0.780
64,1062,3994,14.36,12.489,0.787
65,1064,4011,15.01,12.488,0.790
66,1064,4037,15.39,12.495,0.808
67,1066,4062,15.24,12.491,0.804
68,1066,4088,15.09,12.492,0.795
69,1068,4114,14.91,12.482,0.809
70,1068,4140,15.07,12.490,0.808
71,1070,4165,14.68,12.492,0.804
72,1070,4174,15.29,12.495,0.805
73,1072,4191,15.79,12.493,0.812
74,1072,4208,16.25,12.488,0.813
75,1074,4234,16.38,12.490,0.822
76,1074,4260,16.66,12.486,0.828
77,1076,4260,16.50,12.487,0.828
78,1076,4260,16.65,12.488,0.823
79,1078,4260,17.07,12.490,0.813
80,1078,4268,17.08,12.497,0.828
81,1080,4294,17.31,12.489,0.805
82,1080,4345,17.81,12.490,0.828
83,1082,4380,18.16,12.487,0.841
84,1082,4422,18.38,12.490,0.836
85,1084,4440,18.05,12.484,0.836
86,1084,4474,17.98,12.486,0.843
87,1086,4474,18.04,12.486,0.830
88,1086,4525,18.24,12.487,0.841
89,1088,4594,18.71,12.484,0.847
90,1088,4662,18.77,12.492,0.841
91,1090,4740,18.78,12.493,0.839
92,1090,4800,18.85,12.489,0.838
93,1092,4825,18.86,12.491,0.849
94,1092,4860,19.05,12.493,0.847
95,1094,4894,19.41,12.490,0.847
96,1094,4920,19.70,12.484,0.848
97,1096,4954,19.82,12.484,0.858
98,1096,4980,19.53,12.486,0.873
99,1098,5022,19.91,12.482,0.866
100,1098,5048,20.78,12.492,0.871
101,1100,5082,20.80,12.486,0.869
102,1100,5108,20.58,12.484,0.861
103,1102,5142,20.75,12.488,0.883
104,1102,5160,21.39,12.487,0.868
105,1104,5185,21.78,12.479,0.872
106,1104,5202,21.81,12.482,0.864
107,1106,5202,22.63,12.491,0.856
108,1106,5220,23.30,12.484,0.887
109,1108,5245,23.60,12.484,0.878
110,1108,5280,23.33,12.479,0.885
111,1110,5305,23.29,12.482,0.873
112,1110,5331,23.78,12.487,0.876
113,1112,5357,24.03,12.487,0.897
114,1112,5374,23.76,12.478,0.895
115,1114,5400,24.00,12.476,0.895
116,1114,5417,24.31,12.482,0.892
117,1116,5442,23.78,12.486,0.894
118,1116,5468,24.31,12.485,0.898
119,1118,5494,24.60,12.484,0.905
120,1118,5520,24.56,12.489,0.900
121,1120,5545,24.75,12.482,0.917
122,1120,5571,25.23,12.490,0.900
123,1122,5597,25.31,12.479,0.892
