seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.77,0.74,12.37,0.000
2,1000,0,0.00,16.77,0.74,12.35,0.000
3,1002,0,0.00,16.77,0.74,12.44,0.000
4,1002,0,0.00,16.78,0.74,12.42,0.000
5,1004,0,0.00,16.77,0.74,12.38,0.000
6,1004,0,0.00,16.77,0.74,12.39,0.000
7,1006,0,0.00,16.77,0.74,12.41,0.000
8,1006,0,0.00,16.77,0.74,12.39,0.000
9,1008,0,0.00,16.77,0.74,12.35,0.000
10,1008,0,0.00,16.77,0.74,12.41,0.000
11,1010,0,0.00,16.77,0.74,12.34,0.000
12,1010,0,0.00,16.77,0.73,12.30,0.000
13,1012,0,0.00,16.77,0.74,12.36,0.000
14,1012,0,0.00,16.77,0.74,12.34,0.000
15,1014,0,0.00,16.76,0.76,12.72,0.000
16,1014,0,0.00,16.77,0.76,12.78,0.000
17,1016,0,0.00,16.77,0.76,12.76,0.000
18,1016,0,0.00,16.76,0.95,15.89,0.000
19,1018,0,0.56,16.75,1.32,22.04,0.026
20,1018,0,2.33,16.75,1.45,24.27,0.096
21,1020,0,3.40,16.75,1.39,23.22,0.146
22,1020,0,4.83,16.76,1.29,21.62,0.223
23,1022,0,6.44,16.76,1.19,19.91,0.323
24,1022,0,7.96,16.76,1.12,18.83,0.423
25,1024,0,8.56,16.76,1.08,18.03,0.475
26,1024,0,9.46,16.76,1.06,17.74,0.533
27,1026,0,10.19,16.76,1.03,17.33,0.588
28,1026,0,11.02,16.76,1.01,16.87,0.654
29,1028,0,11.48,16.76,0.98,16.43,0.699
30,1028,0,12.04,16.76,0.97,16.19,0.743
31,1030,0,12.84,16.76,0.95,15.96,0.805
32,1030,0,13.29,16.76,0.95,15.88,0.837
33,1032,0,13.52,16.76,0.94,15.82,0.854
34,1032,0,13.43,16.76,0.94,15.71,0.855
35,1034,0,13.44,16.76,0.93,15.66,0.858
36,1034,0,13.60,16.76,0.93,15.52,0.876
37,1036,0,13.93,16.76,0.93,15.64,0.891
38,1036,0,13.85,16.76,0.94,15.71,0.881
39,1038,0,13.91,16.76,0.94,15.77,0.882
40,1038,0,14.12,16.76,0.93,15.63,0.904
41,1040,0,14.49,16.76,0.93,15.54,0.933
42,1040,0,14.50,16.76,0.94,15.76,0.920
43,1042,0,14.71,16.76,0.94,15.73,0.935
44,1042,0,14.86,16.76,0.94,15.84,0.938
