seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.779,0.729
2,1000,0,0.00,16.776,0.734
3,1002,0,0.00,16.782,0.740
4,1002,0,0.00,16.787,0.741
5,1004,0,0.00,16.779,0.740
6,1004,0,0.00,16.778,0.735
7,1006,0,0.00,16.781,0.745
8,1006,0,0.00,16.780,0.738
9,1008,0,0.00,16.781,0.738
10,1008,0,0.00,16.777,0.742
11,1010,0,0.00,16.778,0.737
12,1010,0,0.00,16.780,0.733
13,1012,0,0.00,16.779,0.740
14,1012,0,0.00,16.775,0.735
15,1014,0,0.00,16.770,0.759
16,1014,0,0.00,16.772,0.766
17,1016,0,0.00,16.778,0.764
18,1016,0,0.00,16.769,0.968
19,1018,0,1.13,16.757,1.329
20,1018,0,4.66,16.758,1.446
21,1020,0,6.80,16.764,1.370
22,1020,0,8.00,16.762,1.267
23,1022,0,8.88,16.766,1.170
24,1022,0,10.21,16.767,1.107
25,1024,0,10.81,16.768,1.074
26,1024,0,11.31,16.768,1.053
27,1026,0,12.10,16.767,1.036
28,1026,0,12.79,16.766,1.005
29,1028,0,13.01,16.769,0.971
30,1028,0,13.65,16.773,0.964
31,1030,0,14.37,16.769,0.948
32,1030,0,14.65,16.767,0.945
33,1032,0,14.88,16.768,0.943
34,1032,0,14.85,16.771,0.933
35,1034,0,14.53,16.771,0.934
36,1034,0,14.80,16.768,0.924
37,1036,0,15.24,16.773,0.925
38,1036,0,15.26,16.771,0.939
39,1038,0,15.43,16.769,0.937
40,1038,0,15.78,16.771,0.925
41,1040,0,15.92,16.767,0.923
42,1040,0,15.97,16.768,0.941
43,1042,0,16.37,16.769,0.943
44,1042,0,16.32,16.771,0.943
45,1044,0,16.22,16.771,0.954
46,1044,0,16.35,16.766,0.949
47,1046,0,17.02,16.768,0.960
48,1046,0,17.17,16.768,0.954
49,1048,0,17.31,16.768,0.959
50,1048,0,17.29,16.773,0.964
51,1050,0,17.09,16.769,0.956
52,1050,0,17.30,16.779,0.960
53,1052,0,17.53,16.768,0.959
54,1052,0,17.66,16.771,0.971
55,1054,0,18.11,16.771,0.969
56,1054,0,18.36,16.767,0.959
57,1056,0,18.93,16.770,0.963
58,1056,0,19.33,16.767,0.969
59,1058,0,19.46,16.766,0.989
60,1058,0,19.84,16.770,0.985
61,1060,0,19.97,16.767,0.973
62,1060,0,19.88,16.771,0.994
63,1062,0,20.19,16.766,0.998
64,1062,0,20.49,16.766,1.009
65,1064,0,20.52,16.771,1.006
66,1064,0,20.93,16.772,1.009
67,1066,0,20.73,16.771,1.011
68,1066,0,20.91,16.770,1.008
69,1068,0,21.26,16.775,1.003
70,1068,0,21.28,16.769,1.022
71,1070,0,21.68,16.768,1.016
72,1070,0,22.20,16.770,1.020
73,1072,0,22.08,16.770,1.029
74,1072,0,22.01,16.769,1.027
75,1074,0,22.10,16.769,1.031
76,1074,0,22.41,16.768,1.039
77,1076,0,22.66,16.768,1.039
78,1076,0,22.59,16.769,1.035
79,1078,0,22.69,16.768,1.038
80,1078,0,22.78,16.767,1.049
81,1080,0,23.00,16.770,1.056
82,1080,0,23.38,16.769,1.063
83,1082,0,23.79,16.767,1.052
84,1082,0,24.02,16.768,1.054
85,1084,0,23.90,16.769,1.061
86,1084,0,24.35,16.764,1.057
87,1086,0,24.62,16.769,1.066
88,1086,0,25.16,16.766,1.069
89,1088,0,25.20,16.768,1.073
90,1088,0,25.31,16.770,1.081
91,1090,0,26.33,16.767,1.080
92,1090,0,26.72,16.768,1.084
93,1092,0,26.98,16.763,1.088
94,1092,0,27.25,16.769,1.095
95,1094,0,27.42,16.766,1.103
96,1094,0,27.48,16.770,1.104
97,1096,0,28.30,16.768,1.103
98,1096,0,29.08,16.766,1.114
99,1098,0,29.20,16.767,1.110
100,1098,0,29.66,16.767,1.101
101,1100,0,29.81,16.766,1.111
102,1100,0,30.15,16.765,1.121
103,1102,0,30.70,16.765,1.129
104,1102,0,31.14,16.772,1.131
105,1104,0,32.37,16.765,1.120
106,1104,0,32.43,16.767,1.140
107,1106,0,32.21,16.764,1.142
108,1106,0,32.56,16.763,1.164
109,1108,0,32.96,16.767,1.159
110,1108,0,32.86,16.770,1.151
111,1110,0,32.79,16.764,1.143
112,1110,0,33.12,16.763,1.164
113,1112,0,33.81,16.767,1.162
114,1112,0,33.83,16.767,1.166
115,1114,0,34.26,16.764,1.156
116,1114,0,34.79,16.771,1.179
117,1116,0,35.13,16.763,1.180
118,1116,0,35.76,16.765,1.176
119,1118,0,35.55,16.768,1.191
120,1118,0,36.07,16.762,1.181
121,1120,0,36.57,16.766,1.183
122,1120,0,36.78,16.765,1.196
123,1122,0,37.03,16.763,1.194
124,1122,0,37.55,16.765,1.191
125,1124,0,37.91,16.767,1.207
126,1124,0,38.31,16.768,1.203
127,1126,0,38.23,16.764,1.198
128,1126,0,38.50,16.765,1.203
129,1128,0,38.51,16.767,1.195
130,1128,0,38.65,16.769,1.223
131,1130,0,39.06,16.770,1.228
132,1130,0,39.37,16.768,1.222
133,1132,0,39.50,16.767,1.249
134,1132,0,40.42,16.763,1.235
135,1134,0,41.69,16.762,1.231
136,1134,0,41.88,16.759,1.228
137,1136,0,41.84,16.766,1.244
138,1136,0,41.79,16.766,1.243
139,1138,0,42.38,16.767,1.234
140,1138,0,43.34,16.766,1.253
141,1140,0,43.80,16.766,1.239
142,1140,0,43.59,16.764,1.246
143,1142,0,43.54,16.763,1.242
144,1142,0,44.14,16.761,1.264
145,1144,0,44.21,16.767,1.273
146,1144,0,44.31,16.763,1.280
147,1146,0,44.15,16.766,1.281
148,1146,0,44.49,16.763,1.285
149,1148,0,45.02,16.762,1.274
150,1148,0,45.35,16.762,1.319
151,1150,0,45.87,16.760,1.297
152,1150,0,46.92,16.762,1.307
153,1152,0,47.32,16.763,1.301
154,1152,0,47.73,16.761,1.313
155,1154,0,48.18,16.766,1.313
156,1154,0,47.98,16.764,1.336
157,1156,0,48.26,16.765,1.339
158,1156,0,49.02,16.764,1.351
159,1158,0,49.86,16.765,1.340
160,1158,0,50.70,16.763,1.345
161,1160,0,50.94,16.763,1.340
162,1160,0,51.57,16.767,1.346
163,1162,0,51.75,16.765,1.340
164,1162,0,52.29,16.763,1.344
165,1164,0,53.05,16.763,1.352
166,1164,0,53.48,16.759,1.370
167,1166,0,53.08,16.762,1.364
168,1166,0,53.38,16.763,1.375
169,1168,0,54.18,16.762,1.391
170,1168,0,54.29,16.763,1.399
171,1170,0,55.62,16.761,1.418
172,1170,0,56.49,16.761,1.405
173,1172,0,57.58,16.762,1.404
174,1172,0,57.84,16.761,1.407
175,1174,0,58.56,16.762,1.422
176,1174,0,59.20,16.760,1.423
177,1176,0,59.95,16.761,1.435
178,1176,0,61.41,16.767,1.417
179,1178,0,62.03,16.765,1.427
180,1178,0,62.83,16.761,1.435
181,1180,0,63.74,16.760,1.436
182,1180,0,64.23,16.761,1.460
183,1182,0,64.56,16.762,1.457
184,1182,0,65.37,16.762,1.487
185,1184,0,66.54,16.757,1.484
186,1184,0,67.02,16.760,1.476
187,1186,0,67.59,16.758,1.471
188,1186,0,67.87,16.755,1.490
189,1188,0,68.55,16.763,1.500
190,1188,0,69.67,16.765,1.496
191,1190,0,70.15,16.758,1.507
192,1190,0,70.83,16.762,1.507
193,1192,0,71.65,16.762,1.523
194,1192,0,72.31,16.759,1.529
195,1194,0,73.03,16.758,1.540
196,1194,0,73.69,16.760,1.553
197,1196,0,74.66,16.759,1.565
198,1196,0,75.20,16.761,1.599
199,1198,0,75.49,16.758,1.597
200,1198,0,77.13,16.756,1.594
201,1200,0,77.80,16.756,1.597
202,1200,0,78.16,16.757,1.600
203,1202,0,78.38,16.760,1.615
204,1202,0,79.00,16.757,1.605
205,1204,0,79.57,16.760,1.614
206,1204,0,79.84,16.759,1.645
207,1206,0,80.58,16.760,1.661
208,1206,0,81.54,16.753,1.657
209,1208,0,81.92,16.758,1.664
210,1208,0,82.05,16.757,1.683
211,1210,0,82.63,16.754,1.700
212,1210,8974,83.38,16.753,1.689
213,1212,9454,83.78,16.753,1.724
214,1212,9557,85.32,16.756,1.706
215,1214,9634,85.86,16.755,1.699
216,1214,9677,85.87,16.753,1.698
217,1216,9728,86.44,16.752,1.706
218,1216,9754,86.95,16.760,1.714
219,1218,9788,87.09,16.757,1.718
220,1218,9814,87.24,16.760,1.736
221,1220,9848,87.81,16.754,1.723
222,1220,9874,88.28,16.756,1.743
223,1222,9908,88.85,16.753,1.741
224,1222,9934,88.94,16.755,1.743
225,1224,9960,89.27,16.759,1.760
226,1224,9994,89.75,16.751,1.759
227,1226,10011,90.00,16.757,1.765
228,1226,10037,90.80,16.751,1.783
229,1228,10071,91.21,16.752,1.772
230,1228,10114,91.59,16.755,1.816
231,1230,10140,91.85,16.752,1.807
232,1230,10174,92.44,16.752,1.801
233,1232,10208,92.99,16.753,1.808
234,1232,10234,93.22,16.753,1.815
235,1234,10277,93.38,16.755,1.825
236,1234,10302,93.85,16.755,1.824
237,1236,10328,94.39,16.754,1.835
238,1236,10354,94.52,16.756,1.847
239,1238,10380,94.79,16.756,1.857
240,1238,10405,95.46,16.751,1.873
