seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.60,0.73,9.24,0.000
2,1000,0,0.00,12.60,0.73,9.14,0.000
3,1002,0,0.00,12.60,0.73,9.21,0.000
4,1002,0,0.00,12.60,0.73,9.23,0.000
5,1004,0,0.00,12.60,0.73,9.23,0.000
6,1004,0,0.00,12.60,0.72,9.10,0.000
7,1006,0,0.00,12.60,0.72,9.13,0.000
8,1006,0,0.00,12.60,0.73,9.17,0.000
9,1008,0,0.00,12.60,0.73,9.17,0.000
10,1008,0,0.00,12.60,0.73,9.23,0.000
11,1010,0,0.00,12.60,0.73,9.17,0.000
12,1010,0,0.00,12.60,0.73,9.20,0.000
13,1012,0,0.00,12.60,0.73,9.19,0.000
14,1012,0,0.00,12.60,0.72,9.13,0.000
15,1014,0,0.00,12.60,0.74,9.34,0.000
16,1014,0,0.00,12.60,0.75,9.41,0.000
17,1016,0,0.00,12.60,0.74,9.39,0.000
18,1016,0,0.00,12.60,0.86,10.80,0.000
19,1018,0,0.00,12.59,1.09,13.69,0.000
20,1018,0,1.74,12.59,1.16,14.62,0.119
21,1020,0,3.97,12.59,1.14,14.31,0.278
22,1020,0,6.25,12.59,1.09,13.72,0.455
23,1022,0,7.99,12.59,1.03,13.01,0.614
24,1022,0,8.95,12.59,0.99,12.53,0.714
25,1024,0,9.56,12.59,0.97,12.22,0.783
26,1024,0,10.14,12.59,0.95,11.99,0.846
27,1026,0,10.27,12.59,0.94,11.87,0.865
28,1026,0,10.77,12.59,0.93,11.74,0.917
29,1028,0,11.06,12.59,0.92,11.53,0.959
30,1028,0,11.14,12.60,0.91,11.44,0.974
31,1030,0,11.57,12.59,0.90,11.39,1.016
32,1030,0,11.74,12.59,0.89,11.20,1.048
33,1032,0,11.68,12.59,0.89,11.19,1.043
34,1032,0,11.97,12.59,0.89,11.17,1.072
35,1034,0,11.93,12.59,0.88,11.10,1.075
36,1034,0,12.22,12.59,0.88,11.03,1.108
37,1036,0,12.12,12.59,0.89,11.18,1.085
38,1036,0,11.96,12.60,0.89,11.17,1.071
39,1038,0,12.05,12.60,0.89,11.19,1.077
40,1038,0,12.29,12.59,0.89,11.25,1.093
41,1040,0,12.35,12.59,0.87,11.01,1.121
42,1040,0,12.45,12.60,0.89,11.18,1.114
43,1042,0,12.35,12.60,0.89,11.22,1.101
44,1042,0,12.50,12.59,0.89,11.24,1.112
45,1044,0,12.49,12.59,0.89,11.25,1.111
46,1044,0,12.73,12.60,0.88,11.13,1.144
47,1046,0,12.69,12.59,0.89,11.21,1.132
48,1046,0,12.46,12.59,0.90,11.29,1.104
49,1048,0,12.71,12.59,0.89,11.22,1.133
50,1048,0,12.92,12.59,0.90,11.35,1.139
51,1050,0,12.85,12.59,0.90,11.34,1.133
52,1050,0,12.78,12.59,0.90,11.38,1.122
53,1052,0,12.86,12.60,0.91,11.42,1.126
54,1052,0,12.92,12.60,0.92,11.53,1.121
55,1054,0,13.10,12.59,0.90,11.35,1.154
56,1054,0,13.29,12.59,0.91,11.47,1.159
57,1056,0,13.37,12.59,0.90,11.38,1.175
58,1056,0,13.53,12.59,0.91,11.49,1.177
59,1058,0,13.30,12.59,0.92,11.53,1.154
60,1058,0,13.24,12.59,0.92,11.54,1.148
61,1060,0,13.27,12.59,0.92,11.55,1.149
62,1060,0,13.42,12.60,0.91,11.51,1.167
63,1062,0,13.68,12.59,0.92,11.52,1.188
