seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.609,0.735
2,1000,0,0.00,12.609,0.725
3,1002,0,0.00,12.610,0.730
4,1002,0,0.00,12.612,0.733
5,1004,0,0.00,12.609,0.735
6,1004,0,0.00,12.611,0.721
7,1006,0,0.00,12.606,0.730
8,1006,0,0.00,12.610,0.728
9,1008,0,0.00,12.610,0.731
10,1008,0,0.00,12.606,0.729
11,1010,0,0.00,12.610,0.727
12,1010,0,0.00,12.608,0.728
13,1012,0,0.00,12.606,0.732
14,1012,0,0.00,12.609,0.726
15,1014,0,0.00,12.604,0.738
16,1014,0,0.00,12.605,0.741
17,1016,0,0.00,12.607,0.739
18,1016,0,0.00,12.603,0.849
19,1018,0,0.00,12.602,1.134
20,1018,0,3.47,12.594,1.247
21,1020,0,6.85,12.598,1.228
22,1020,0,10.21,12.595,1.164
23,1022,0,12.95,12.599,1.097
24,1022,0,14.21,12.597,1.036
25,1024,0,15.61,12.600,0.989
26,1024,0,16.03,12.603,0.968
27,1026,0,15.95,12.603,0.956
28,1026,0,16.39,12.601,0.947
29,1028,0,16.83,12.601,0.931
30,1028,0,17.17,12.605,0.929
31,1030,0,17.73,12.601,0.913
32,1030,0,17.78,12.601,0.895
33,1032,0,17.70,12.600,0.895
34,1032,0,17.95,12.601,0.892
35,1034,0,17.95,12.600,0.886
36,1034,0,18.50,12.600,0.879
37,1036,0,18.28,12.601,0.888
38,1036,0,17.97,12.604,0.888
39,1038,0,17.88,12.603,0.888
40,1038,0,18.16,12.603,0.891
41,1040,0,18.30,12.602,0.877
42,1040,0,18.37,12.604,0.886
43,1042,0,18.24,12.605,0.896
44,1042,0,18.34,12.602,0.886
45,1044,0,18.53,12.602,0.894
46,1044,0,18.74,12.602,0.881
47,1046,0,18.62,12.604,0.892
48,1046,0,18.35,12.598,0.897
49,1048,0,18.81,12.600,0.895
50,1048,0,18.84,12.604,0.906
51,1050,0,18.75,12.601,0.900
52,1050,0,18.66,12.604,0.904
53,1052,0,18.67,12.606,0.907
54,1052,0,18.90,12.606,0.910
55,1054,0,19.16,12.597,0.902
56,1054,0,19.10,12.601,0.910
57,1056,0,19.45,12.601,0.908
58,1056,0,19.66,12.602,0.911
59,1058,0,19.26,12.599,0.917
60,1058,0,19.31,12.601,0.917
61,1060,0,19.06,12.597,0.919
62,1060,0,19.13,12.605,0.914
63,1062,0,19.45,12.601,0.917
64,1062,0,19.67,12.601,0.916
65,1064,0,19.54,12.599,0.919
66,1064,0,19.35,12.602,0.928
67,1066,0,19.35,12.598,0.932
68,1066,0,19.51,12.600,0.933
