seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.78,0.74,12.38,0.000
2,1000,0,0.00,16.78,0.74,12.36,0.000
3,1002,0,0.00,16.78,0.74,12.47,0.000
4,1002,0,0.00,16.78,0.73,12.27,0.000
5,1004,0,0.00,16.78,0.74,12.41,0.000
6,1004,0,0.00,16.78,0.74,12.39,0.000
7,1006,0,0.00,16.78,0.74,12.49,0.000
8,1006,0,0.00,16.79,0.74,12.39,0.000
9,1008,0,0.00,16.78,0.73,12.34,0.000
10,1008,0,0.00,16.78,0.74,12.37,0.000
11,1010,0,0.00,16.78,0.74,12.38,0.000
12,1010,0,0.00,16.78,0.74,12.44,0.000
13,1012,0,0.00,16.78,0.74,12.36,0.000
14,1012,0,0.00,16.78,0.74,12.39,0.000
15,1014,0,0.00,16.78,0.76,12.74,0.000
16,1014,0,0.00,16.78,0.76,12.82,0.000
17,1016,0,0.00,16.78,0.77,12.91,0.000
18,1016,0,0.00,16.77,0.94,15.78,0.000
19,1018,0,0.00,16.77,1.23,20.55,0.000
20,1018,0,1.42,16.77,1.27,21.25,0.067
21,1020,0,2.69,16.77,1.18,19.77,0.136
22,1020,0,3.28,16.77,1.09,18.30,0.179
23,1022,0,3.48,16.77,1.04,17.37,0.200
24,1022,0,4.10,16.77,1.00,16.72,0.245
25,1024,0,5.03,16.77,0.97,16.31,0.308
26,1024,0,5.46,16.77,0.95,15.95,0.342
27,1026,0,5.98,16.77,0.93,15.53,0.385
28,1026,0,6.62,16.77,0.92,15.41,0.429
29,1028,0,7.04,16.77,0.91,15.21,0.463
30,1028,0,7.37,16.77,0.91,15.22,0.484
31,1030,0,7.46,16.77,0.90,15.02,0.497
32,1030,0,7.24,16.77,0.90,15.13,0.479
33,1032,0,7.68,16.77,0.90,15.05,0.510
34,1032,0,7.96,16.77,0.90,15.03,0.530
35,1034,0,8.36,16.78,0.89,14.96,0.558
36,1034,0,8.63,16.77,0.89,15.00,0.575
37,1036,0,8.97,16.78,0.90,15.10,0.594
38,1036,0,9.14,16.77,0.90,15.16,0.603
39,1038,0,9.60,16.77,0.91,15.20,0.631
40,1038,0,9.80,16.78,0.91,15.31,0.641
41,1040,0,9.96,16.77,0.90,15.11,0.660
42,1040,0,10.11,16.77,0.91,15.31,0.660
43,1042,0,10.40,16.77,0.92,15.37,0.676
44,1042,0,10.72,16.77,0.93,15.53,0.690
45,1044,0,10.68,16.77,0.92,15.43,0.692
46,1044,0,10.88,16.77,0.92,15.42,0.706
47,1046,0,10.80,16.77,0.92,15.38,0.702
48,1046,0,11.07,16.77,0.93,15.55,0.712
49,1048,0,11.16,16.77,0.92,15.48,0.720
50,1048,0,11.20,16.77,0.93,15.55,0.720
51,1050,0,11.51,16.77,0.93,15.62,0.737
52,1050,0,11.74,16.77,0.93,15.67,0.750
53,1052,0,11.79,16.78,0.94,15.70,0.751
54,1052,0,12.09,16.77,0.94,15.78,0.766
55,1054,0,12.79,16.77,0.94,15.71,0.814
56,1054,0,13.39,16.77,0.93,15.62,0.858
57,1056,0,13.73,16.77,0.94,15.71,0.874
58,1056,0,13.89,16.77,0.94,15.83,0.878
59,1058,0,14.60,16.77,0.95,15.92,0.917
60,1058,0,14.89,16.77,0.95,15.94,0.934
61,1060,0,15.17,16.77,0.95,15.97,0.950
62,1060,0,15.23,16.77,0.95,15.99,0.953
63,1062,0,15.62,16.77,0.96,16.08,0.971
64,1062,0,15.87,16.77,0.97,16.20,0.979
65,1064,0,16.09,16.77,0.97,16.23,0.991
66,1064,0,16.30,16.77,0.96,16.12,1.011
67,1066,0,16.50,16.77,0.96,16.17,1.020
68,1066,0,16.34,16.77,0.96,16.17,1.011
69,1068,0,16.55,16.78,0.97,16.28,1.016
70,1068,0,16.96,16.78,0.97,16.26,1.043
71,1070,0,17.32,16.77,0.97,16.34,1.060
72,1070,0,17.26,16.77,0.98,16.36,1.055
73,1072,0,17.40,16.77,0.98,16.45,1.058
74,1072,0,17.69,16.77,0.99,16.65,1.063
75,1074,0,17.76,16.77,0.99,16.60,1.069
76,1074,0,17.84,16.78,0.99,16.61,1.074
77,1076,0,17.78,16.77,0.98,16.52,1.076
