seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.707,0.742
2,1000,0,0.00,16.706,0.743
3,1002,0,0.00,16.705,0.731
4,1002,0,0.00,16.711,0.740
5,1004,0,0.00,16.708,0.744
6,1004,0,0.00,16.710,0.733
7,1006,0,0.00,16.709,0.736
8,1006,0,0.00,16.710,0.745
9,1008,0,0.00,16.708,0.733
10,1008,0,0.00,16.709,0.745
11,1010,0,0.00,16.712,0.736
12,1010,0,0.00,16.708,0.744
13,1012,0,0.00,16.707,0.737
14,1012,0,0.00,16.705,0.736
15,1014,0,0.00,16.704,0.759
16,1014,0,0.00,16.704,0.762
17,1016,0,0.00,16.702,0.760
18,1016,0,0.00,16.693,0.945
19,1018,0,0.00,16.690,1.308
20,1018,0,0.00,16.691,1.417
21,1020,0,0.00,16.693,1.330
22,1020,0,0.00,16.696,1.200
23,1022,0,0.00,16.697,1.114
24,1022,0,0.00,16.699,1.041
25,1024,0,0.00,16.701,1.026
26,1024,0,0.00,16.696,0.999
27,1026,0,0.00,16.702,0.970
28,1026,0,0.00,16.704,0.956
29,1028,0,0.00,16.701,0.936
30,1028,0,0.00,16.700,0.943
31,1030,0,0.00,16.699,0.924
32,1030,0,0.00,16.699,0.931
33,1032,0,0.00,16.699,0.920
34,1032,0,0.00,16.700,0.928
35,1034,0,0.00,16.696,0.908
36,1034,0,0.00,16.699,0.909
37,1036,0,0.00,16.698,0.911
38,1036,0,0.00,16.704,0.925
39,1038,0,0.00,16.699,0.917
40,1038,0,0.00,16.697,0.930
41,1040,0,0.00,16.699,0.917
42,1040,0,0.00,16.705,0.930
43,1042,0,0.00,16.698,0.938
44,1042,0,0.00,16.697,0.947
45,1044,0,0.00,16.696,0.941
46,1044,0,0.00,16.704,0.949
47,1046,0,0.00,16.696,0.944
48,1046,0,0.00,16.699,0.951
49,1048,0,1.47,16.700,0.946
50,1048,0,1.64,16.695,0.948
51,1050,0,1.42,16.703,0.956
52,1050,0,1.68,16.701,0.951
53,1052,0,1.72,16.696,0.957
54,1052,0,2.10,16.697,0.963
55,1054,0,2.04,16.699,0.963
56,1054,0,2.03,16.699,0.972
57,1056,0,2.24,16.699,0.965
58,1056,0,2.26,16.699,0.974
59,1058,0,2.63,16.701,0.979
60,1058,0,3.06,16.701,0.982
61,1060,0,3.06,16.701,0.977
62,1060,0,3.55,16.697,0.991
63,1062,0,4.01,16.700,0.992
64,1062,0,3.94,16.696,1.003
65,1064,0,4.44,16.698,1.004
66,1064,0,4.82,16.699,0.996
67,1066,0,4.44,16.695,0.989
68,1066,0,5.25,16.700,0.997
69,1068,0,5.43,16.699,0.997
70,1068,0,5.91,16.694,1.011
71,1070,0,5.99,16.699,1.004
72,1070,0,6.00,16.697,1.015
73,1072,0,6.20,16.703,1.004
74,1072,0,6.00,16.698,1.012
75,1074,0,6.05,16.697,1.026
76,1074,0,6.32,16.696,1.019
77,1076,0,6.49,16.699,1.030
78,1076,0,6.44,16.704,1.028
79,1078,0,7.06,16.700,1.026
80,1078,0,7.54,16.694,1.039
81,1080,0,7.98,16.700,1.032
82,1080,0,8.58,16.696,1.036
83,1082,0,8.88,16.690,1.026
84,1082,0,8.84,16.699,1.043
85,1084,0,8.65,16.699,1.046
86,1084,0,9.05,16.699,1.055
87,1086,0,9.12,16.697,1.062
88,1086,0,9.46,16.700,1.050
89,1088,0,9.84,16.698,1.053
90,1088,0,9.56,16.698,1.065
91,1090,0,9.73,16.700,1.072
92,1090,0,9.85,16.696,1.079
93,1092,0,10.58,16.702,1.086
94,1092,0,11.06,16.695,1.094
95,1094,0,11.91,16.697,1.107
96,1094,0,12.37,16.700,1.092
97,1096,0,12.93,16.696,1.099
98,1096,0,13.21,16.693,1.097
99,1098,0,13.68,16.698,1.091
100,1098,0,14.33,16.697,1.100
101,1100,0,15.10,16.698,1.107
102,1100,0,15.66,16.704,1.117
103,1102,0,15.64,16.700,1.128
104,1102,0,15.89,16.698,1.110
105,1104,0,15.87,16.698,1.111
106,1104,0,16.40,16.695,1.125
107,1106,0,16.89,16.697,1.124
108,1106,0,17.08,16.696,1.136
109,1108,0,17.60,16.698,1.138
110,1108,0,18.00,16.698,1.130
111,1110,0,18.35,16.696,1.152
112,1110,0,18.52,16.699,1.149
113,1112,0,19.03,16.694,1.160
114,1112,0,19.46,16.694,1.158
115,1114,0,19.56,16.696,1.156
116,1114,0,19.51,16.696,1.165
117,1116,0,19.66,16.699,1.155
118,1116,0,20.07,16.694,1.173
119,1118,0,19.92,16.698,1.177
120,1118,0,20.07,16.699,1.183
121,1120,0,20.28,16.699,1.168
122,1120,0,20.52,16.698,1.174
123,1122,0,20.67,16.693,1.173
124,1122,0,20.99,16.700,1.179
125,1124,0,22.34,16.699,1.175
126,1124,0,22.68,16.695,1.177
127,1126,0,22.70,16.698,1.196
128,1126,0,22.93,16.699,1.205
129,1128,0,23.47,16.696,1.203
130,1128,0,23.69,16.695,1.209
131,1130,0,24.06,16.695,1.235
132,1130,0,24.97,16.696,1.230
133,1132,0,25.18,16.695,1.215
134,1132,0,25.45,16.695,1.208
135,1134,0,25.58,16.694,1.210
136,1134,0,25.60,16.693,1.226
137,1136,0,26.09,16.693,1.222
138,1136,0,26.66,16.699,1.235
139,1138,0,27.08,16.694,1.230
140,1138,0,27.23,16.700,1.235
141,1140,0,27.13,16.693,1.224
142,1140,0,27.34,16.692,1.228
143,1142,0,27.70,16.699,1.232
144,1142,0,27.83,16.695,1.250
145,1144,0,28.03,16.696,1.249
146,1144,0,28.43,16.690,1.264
147,1146,0,28.62,16.695,1.271
148,1146,0,28.94,16.690,1.282
149,1148,0,29.94,16.696,1.273
150,1148,0,30.16,16.689,1.289
151,1150,0,30.68,16.695,1.277
152,1150,0,31.59,16.694,1.279
153,1152,0,32.12,16.692,1.295
154,1152,0,32.39,16.700,1.281
155,1154,0,32.98,16.695,1.288
156,1154,0,33.62,16.694,1.311
157,1156,0,34.29,16.692,1.294
158,1156,0,34.59,16.692,1.301
159,1158,0,34.95,16.693,1.305
160,1158,0,35.43,16.695,1.334
161,1160,0,36.82,16.697,1.333
162,1160,0,36.81,16.691,1.341
163,1162,0,36.99,16.689,1.336
164,1162,0,37.83,16.692,1.333
165,1164,0,39.07,16.689,1.341
166,1164,0,40.21,16.689,1.358
167,1166,0,40.51,16.691,1.345
168,1166,0,41.26,16.693,1.368
169,1168,0,42.18,16.688,1.355
170,1168,0,42.72,16.692,1.387
171,1170,0,43.51,16.692,1.361
172,1170,0,43.93,16.695,1.388
173,1172,0,43.96,16.696,1.383
174,1172,0,44.58,16.692,1.382
175,1174,0,45.14,16.692,1.404
176,1174,0,45.95,16.694,1.399
177,1176,0,46.49,16.688,1.406
178,1176,0,47.41,16.691,1.411
179,1178,0,48.16,16.691,1.427
180,1178,0,48.13,16.690,1.414
181,1180,0,48.55,16.692,1.419
182,1180,0,49.05,16.690,1.435
183,1182,0,49.97,16.687,1.463
184,1182,0,50.56,16.689,1.468
185,1184,0,51.52,16.690,1.447
186,1184,0,51.99,16.691,1.458
187,1186,0,51.87,16.689,1.466
188,1186,0,52.10,16.688,1.465
189,1188,0,52.49,16.688,1.457
190,1188,0,52.67,16.688,1.472
191,1190,0,53.03,16.688,1.490
192,1190,0,53.91,16.690,1.490
193,1192,0,54.79,16.688,1.520
194,1192,0,55.26,16.692,1.529
195,1194,0,55.97,16.687,1.525
