seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.56,0.73,9.15,0.000
2,1000,0,0.00,12.56,0.73,9.21,0.000
3,1002,0,0.00,12.56,0.73,9.17,0.000
4,1002,0,0.00,12.56,0.73,9.19,0.000
5,1004,0,0.00,12.56,0.73,9.18,0.000
6,1004,0,0.00,12.56,0.73,9.19,0.000
7,1006,0,0.00,12.56,0.72,9.10,0.000
8,1006,0,0.00,12.56,0.73,9.14,0.000
9,1008,0,0.00,12.56,0.73,9.21,0.000
10,1008,0,0.00,12.56,0.73,9.18,0.000
11,1010,0,0.00,12.56,0.73,9.19,0.000
12,1010,0,0.00,12.56,0.73,9.18,0.000
13,1012,0,0.00,12.56,0.73,9.13,0.000
14,1012,0,0.00,12.56,0.73,9.20,0.000
15,1014,0,0.00,12.56,0.75,9.38,0.000
16,1014,0,0.00,12.56,0.74,9.29,0.000
17,1016,0,0.00,12.55,0.75,9.41,0.000
18,1016,0,0.00,12.56,0.91,11.36,0.000
19,1018,0,0.00,12.55,1.10,13.84,0.000
20,1018,0,1.74,12.55,1.19,14.92,0.117
21,1020,0,2.73,12.55,1.19,14.91,0.183
22,1020,0,2.56,12.55,1.20,15.00,0.171
23,1022,0,2.36,12.55,1.15,14.43,0.164
24,1022,0,2.42,12.55,1.09,13.73,0.176
25,1024,0,2.50,12.55,1.05,13.23,0.189
26,1024,0,3.02,12.56,1.03,12.93,0.233
27,1026,0,3.38,12.55,1.01,12.65,0.267
28,1026,0,3.64,12.55,0.97,12.24,0.297
29,1028,0,3.65,12.56,0.96,12.08,0.302
30,1028,0,3.79,12.55,0.94,11.86,0.320
31,1030,0,4.01,12.55,0.94,11.79,0.340
32,1030,0,4.42,12.55,0.94,11.79,0.374
33,1032,0,4.29,12.55,0.93,11.61,0.369
34,1032,0,5.44,12.56,0.91,11.48,0.474
35,1034,0,4.86,12.56,0.91,11.44,0.424
36,1034,0,5.65,12.56,0.91,11.40,0.496
37,1036,0,6.18,12.56,0.90,11.35,0.544
38,1036,0,6.01,12.56,0.90,11.31,0.531
39,1038,0,6.17,12.56,0.91,11.39,0.542
40,1038,0,6.26,12.56,0.90,11.29,0.555
41,1040,0,6.65,12.56,0.89,11.21,0.593
42,1040,0,6.71,12.56,0.91,11.43,0.587
43,1042,0,7.06,12.55,0.91,11.41,0.619
44,1042,0,6.99,12.55,0.91,11.47,0.609
45,1044,0,7.34,12.56,0.91,11.39,0.644
46,1044,0,7.40,12.56,0.90,11.31,0.654
47,1046,0,7.60,12.55,0.91,11.38,0.668
48,1046,0,7.96,12.56,0.91,11.42,0.696
49,1048,0,8.02,12.56,0.92,11.51,0.697
50,1048,0,7.88,12.56,0.92,11.51,0.684
51,1050,0,8.53,12.55,0.92,11.51,0.741
52,1050,0,8.59,12.55,0.92,11.50,0.747
53,1052,0,9.11,12.55,0.92,11.56,0.787
54,1052,0,8.91,12.55,0.92,11.58,0.770
55,1054,0,9.03,12.55,0.92,11.54,0.782
56,1054,0,9.24,12.55,0.93,11.62,0.796
57,1056,0,9.23,12.56,0.93,11.67,0.791
58,1056,0,9.51,12.55,0.93,11.73,0.811
59,1058,0,9.38,12.56,0.94,11.78,0.796
60,1058,0,9.59,12.56,0.94,11.76,0.815
61,1060,0,9.71,12.56,0.94,11.79,0.824
62,1060,0,9.62,12.55,0.95,11.87,0.811
63,1062,0,9.62,12.56,0.94,11.82,0.813
64,1062,0,9.82,12.55,0.94,11.80,0.832
65,1064,0,10.11,12.56,0.94,11.85,0.852
66,1064,0,10.14,12.56,0.95,11.93,0.850
67,1066,0,10.12,12.55,0.96,12.01,0.843
68,1066,0,10.48,12.56,0.95,11.90,0.881
