seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.588,0.727
2,1000,0,0.00,12.587,0.733
3,1002,0,0.00,12.589,0.729
4,1002,0,0.00,12.590,0.730
5,1004,0,0.00,12.593,0.724
6,1004,0,0.00,12.592,0.730
7,1006,0,0.00,12.594,0.731
8,1006,0,0.00,12.588,0.729
9,1008,0,0.00,12.593,0.726
10,1008,0,0.00,12.591,0.728
11,1010,0,0.00,12.589,0.731
12,1010,0,0.00,12.589,0.729
13,1012,0,0.00,12.594,0.724
14,1012,0,0.00,12.587,0.733
15,1014,0,0.00,12.586,0.744
16,1014,0,0.00,12.588,0.743
17,1016,0,0.00,12.589,0.746
18,1016,0,0.00,12.587,0.887
19,1018,0,0.00,12.583,1.061
20,1018,0,0.00,12.582,1.113
21,1020,0,1.73,12.580,1.082
22,1020,0,1.81,12.580,1.062
23,1022,0,2.71,12.580,1.032
24,1022,0,3.20,12.583,1.000
25,1024,0,3.90,12.582,0.976
26,1024,0,4.31,12.585,0.962
27,1026,0,4.85,12.585,0.963
28,1026,0,5.24,12.581,0.948
29,1028,0,5.00,12.584,0.929
30,1028,0,6.11,12.583,0.926
31,1030,0,6.02,12.581,0.920
32,1030,0,6.36,12.584,0.916
33,1032,0,6.91,12.584,0.904
34,1032,0,7.17,12.581,0.898
35,1034,0,7.96,12.582,0.891
36,1034,0,8.20,12.586,0.896
37,1036,0,8.79,12.584,0.892
38,1036,0,8.89,12.586,0.899
39,1038,0,9.31,12.584,0.893
40,1038,0,9.73,12.582,0.890
41,1040,0,9.57,12.583,0.897
42,1040,0,10.09,12.585,0.898
43,1042,0,10.09,12.585,0.895
44,1042,0,10.51,12.587,0.904
45,1044,0,10.50,12.587,0.909
46,1044,0,10.86,12.586,0.905
47,1046,0,10.64,12.584,0.906
48,1046,0,10.91,12.584,0.906
49,1048,0,11.03,12.582,0.905
50,1048,0,11.32,12.585,0.915
51,1050,0,11.50,12.582,0.917
52,1050,0,11.83,12.586,0.918
53,1052,0,11.94,12.583,0.932
54,1052,0,11.95,12.578,0.922
55,1054,0,12.04,12.581,0.929
56,1054,0,11.99,12.587,0.927
57,1056,0,12.16,12.584,0.928
58,1056,0,12.48,12.583,0.921
59,1058,0,12.48,12.583,0.927
60,1058,0,12.68,12.587,0.934
61,1060,0,13.03,12.583,0.927
62,1060,0,13.68,12.585,0.933
63,1062,0,13.71,12.580,0.933
64,1062,0,13.87,12.584,0.946
65,1064,0,14.15,12.579,0.937
66,1064,0,14.17,12.584,0.938
67,1066,0,14.43,12.582,0.937
68,1066,0,14.91,12.586,0.947
69,1068,0,14.91,12.586,0.950
70,1068,0,15.64,12.579,0.951
71,1070,0,15.89,12.580,0.956
72,1070,0,15.75,12.582,0.968
73,1072,0,15.98,12.582,0.964
74,1072,0,16.20,12.580,0.966
75,1074,0,16.11,12.583,0.963
76,1074,0,16.24,12.584,0.966
77,1076,0,16.74,12.585,0.967
78,1076,0,17.02,12.584,0.978
79,1078,0,17.15,12.585,0.964
80,1078,0,17.28,12.583,0.980
81,1080,0,17.30,12.583,0.979
82,1080,0,17.73,12.581,0.976
83,1082,0,18.08,12.579,0.975
84,1082,0,17.80,12.584,0.999
85,1084,0,18.02,12.584,0.996
86,1084,0,18.59,12.584,0.996
87,1086,0,18.99,12.584,0.987
88,1086,0,19.02,12.586,0.998
89,1088,0,19.07,12.583,0.995
90,1088,0,19.84,12.585,1.009
91,1090,0,19.70,12.582,1.003
92,1090,0,19.82,12.581,1.008
93,1092,0,20.08,12.581,1.015
94,1092,0,20.43,12.583,1.024
95,1094,0,20.60,12.583,1.017
96,1094,0,20.24,12.584,1.018
97,1096,0,20.12,12.583,1.027
98,1096,0,20.58,12.580,1.031
99,1098,0,21.41,12.580,1.028
100,1098,0,21.63,12.575,1.015
101,1100,0,21.65,12.585,1.019
102,1100,0,22.03,12.584,1.030
103,1102,4277,22.11,12.582,1.028
104,1102,4311,22.49,12.584,1.038
105,1104,4337,23.00,12.582,1.042
106,1104,4337,23.56,12.582,1.042
107,1106,4337,23.83,12.578,1.045
108,1106,4345,23.80,12.581,1.055
109,1108,4345,23.54,12.581,1.052
110,1108,4345,23.79,12.582,1.045
111,1110,4345,24.27,12.588,1.052
112,1110,4345,24.66,12.578,1.059
113,1112,4345,24.91,12.583,1.066
114,1112,4362,24.81,12.585,1.074
115,1114,4362,24.76,12.580,1.078
116,1114,4448,25.28,12.582,1.071
117,1116,4448,25.25,12.585,1.080
118,1116,4448,25.10,12.581,1.086
119,1118,4448,26.97,12.583,1.076
120,1118,4448,27.85,12.579,1.085
121,1120,4448,27.67,12.580,1.087
122,1120,4465,27.67,12.580,1.097
123,1122,4525,27.89,12.582,1.102
124,1122,4525,28.01,12.582,1.099
125,1124,4525,28.20,12.585,1.101
126,1124,4525,28.92,12.579,1.111
127,1126,4525,29.39,12.582,1.098
128,1126,4525,29.66,12.580,1.110
129,1128,4525,29.38,12.583,1.120
130,1128,4525,29.30,12.584,1.116
131,1130,4525,29.63,12.583,1.122
132,1130,4525,29.61,12.580,1.130
133,1132,4525,29.88,12.578,1.121
134,1132,4525,30.49,12.590,1.132
135,1134,4525,30.68,12.577,1.132
136,1134,4525,30.74,12.580,1.131
137,1136,4525,30.72,12.585,1.144
138,1136,4525,30.74,12.586,1.153
139,1138,4525,31.23,12.582,1.150
140,1138,4525,31.47,12.583,1.132
141,1140,4525,32.11,12.583,1.145
142,1140,4525,32.58,12.581,1.153
143,1142,4525,33.05,12.581,1.148
144,1142,4525,33.59,12.580,1.158
145,1144,4525,33.41,12.582,1.154
146,1144,4525,33.02,12.581,1.172
147,1146,4525,33.53,12.578,1.169
148,1146,4525,33.50,12.578,1.184
149,1148,4525,33.94,12.577,1.179
150,1148,4525,34.12,12.580,1.183
151,1150,4525,34.11,12.587,1.186
152,1150,4525,34.30,12.580,1.186
153,1152,4525,34.65,12.578,1.184
154,1152,4525,34.88,12.582,1.188
155,1154,4525,35.00,12.582,1.189
156,1154,4525,35.10,12.580,1.192
157,1156,4525,35.20,12.583,1.206
158,1156,4525,35.11,12.584,1.205
159,1158,4525,35.24,12.581,1.206
160,1158,4525,35.42,12.579,1.218
161,1160,4525,35.83,12.580,1.215
162,1160,4525,36.96,12.581,1.235
163,1162,4525,38.18,12.581,1.240
164,1162,4525,38.77,12.578,1.227
165,1164,4525,39.58,12.580,1.223
166,1164,4525,40.59,12.582,1.252
167,1166,4525,41.25,12.588,1.239
168,1166,4525,41.61,12.579,1.220
169,1168,4525,41.94,12.579,1.228
170,1168,4525,41.88,12.581,1.251
171,1170,4525,41.79,12.579,1.259
172,1170,4525,42.10,12.581,1.265
173,1172,4525,42.27,12.581,1.263
174,1172,4525,42.56,12.578,1.257
175,1174,4525,42.62,12.572,1.279
176,1174,4525,42.88,12.578,1.285
177,1176,4525,43.09,12.578,1.296
178,1176,4525,43.42,12.577,1.280
179,1178,4525,43.40,12.579,1.297
180,1178,4525,43.79,12.580,1.291
181,1180,4525,43.94,12.576,1.292
182,1180,4525,44.15,12.578,1.291
183,1182,4525,44.72,12.577,1.289
184,1182,4525,44.42,12.574,1.296
185,1184,4525,44.64,12.580,1.315
186,1184,4525,45.07,12.580,1.326
187,1186,4525,45.24,12.575,1.298
188,1186,4525,45.69,12.580,1.307
189,1188,4525,46.30,12.577,1.323
190,1188,4525,46.63,12.577,1.309
191,1190,4525,46.17,12.580,1.335
192,1190,4525,46.22,12.580,1.328
193,1192,4525,46.57,12.579,1.327
194,1192,4525,46.68,12.578,1.333
195,1194,4525,46.95,12.583,1.335
196,1194,4525,47.77,12.580,1.337
197,1196,4525,48.89,12.585,1.340
198,1196,4525,48.95,12.576,1.350
199,1198,4525,48.39,12.577,1.347
200,1198,4525,48.31,12.578,1.355
201,1200,4525,48.77,12.582,1.359
202,1200,4525,49.66,12.581,1.358
203,1202,4525,49.65,12.581,1.367
204,1202,4525,50.36,12.578,1.380
205,1204,4525,50.37,12.577,1.367
206,1204,4525,50.60,12.578,1.382
207,1206,4525,50.85,12.577,1.377
208,1206,4525,51.18,12.582,1.379
209,1208,4525,51.52,12.576,1.384
210,1208,4525,51.91,12.579,1.361
211,1210,4525,52.83,12.575,1.391
212,1210,4525,52.86,12.578,1.406
213,1212,4525,53.02,12.578,1.425
214,1212,4525,53.59,12.579,1.415
215,1214,4525,53.97,12.579,1.418
216,1214,4542,54.25,12.576,1.425
217,1216,4542,54.82,12.578,1.427
218,1216,4542,55.85,12.580,1.414
219,1218,4542,56.13,12.573,1.429
220,1218,4542,56.54,12.580,1.429
221,1220,4542,56.75,12.578,1.436
222,1220,4542,57.13,12.577,1.439
223,1222,4542,57.26,12.578,1.444
224,1222,4542,57.67,12.576,1.455
225,1224,4542,58.73,12.577,1.448
226,1224,4542,58.99,12.578,1.462
227,1226,4542,58.85,12.574,1.467
228,1226,4542,59.14,12.575,1.474
229,1228,4542,59.68,12.578,1.487
230,1228,4542,60.58,12.576,1.478
231,1230,4542,61.38,12.576,1.483
232,1230,4542,62.09,12.575,1.500
233,1232,4542,62.21,12.576,1.512
234,1232,4568,62.48,12.579,1.509
235,1234,4568,63.30,12.573,1.518
236,1234,4568,63.90,12.572,1.509
237,1236,4594,64.87,12.574,1.513
238,1236,4594,65.15,12.572,1.543
239,1238,4594,65.41,12.574,1.550
240,1238,4594,65.90,12.574,1.534
241,1240,4594,66.68,12.574,1.540
242,1240,4594,66.97,12.575,1.539
243,1242,4594,67.66,12.576,1.545
244,1242,4594,68.19,12.574,1.564
245,1244,4594,68.15,12.574,1.573
246,1244,4594,69.10,12.573,1.594
247,1246,4594,69.85,12.576,1.579
248,1246,4594,70.29,12.573,1.579
249,1248,4594,70.34,12.572,1.580
250,1248,4594,70.79,12.572,1.590
251,1250,4594,71.40,12.575,1.592
252,1250,4594,71.91,12.576,1.593
253,1252,4594,72.19,12.578,1.587
254,1252,4594,72.60,12.569,1.599
255,1254,4594,73.50,12.575,1.594
256,1254,4594,73.67,12.572,1.606
257,1256,4594,73.57,12.575,1.605
258,1256,4594,73.76,12.571,1.612
259,1258,4594,74.00,12.574,1.631
260,1258,4620,75.19,12.573,1.634
261,1260,4671,75.73,12.573,1.644
262,1260,4705,76.00,12.574,1.652
263,1262,4705,76.19,12.572,1.643
264,1262,4705,77.15,12.574,1.647
265,1264,4851,77.39,12.571,1.658
266,1264,4851,78.26,12.576,1.667
267,1266,4945,78.67,12.574,1.683
268,1266,5040,79.98,12.571,1.680
269,1268,5040,80.10,12.570,1.684
270,1268,5040,80.88,12.573,1.704
271,1270,5211,81.11,12.574,1.716
272,1270,5434,81.22,12.576,1.713
273,1272,6437,81.76,12.572,1.710
274,1272,7482,82.47,12.576,1.713
275,1274,7971,83.69,12.572,1.728
276,1274,8022,84.08,12.570,1.722
277,1276,8031,84.14,12.574,1.741
278,1276,8040,85.11,12.570,1.744
279,1278,8057,85.82,12.574,1.745
280,1278,8057,86.83,12.571,1.754
281,1280,8065,86.99,12.569,1.774
282,1280,8082,87.78,12.570,1.778
283,1282,8108,88.54,12.573,1.780
284,1282,8134,89.45,12.568,1.773
285,1284,8168,90.65,12.570,1.783
286,1284,8202,91.01,12.567,1.796
287,1286,8245,91.96,12.568,1.805
288,1286,8288,92.64,12.573,1.810
289,1288,8314,92.37,12.573,1.800
290,1288,8340,92.80,12.572,1.817
291,1290,8365,92.93,12.573,1.824
292,1290,8374,93.00,12.575,1.853
293,1292,8382,92.94,12.566,1.814
294,1292,8400,93.29,12.570,1.781
295,1294,8434,93.36,12.571,1.778
296,1294,8460,92.80,12.571,1.826
297,1296,8477,93.16,12.568,1.826
298,1296,8485,93.08,12.572,1.873
299,1298,8502,93.57,12.567,1.879
300,1298,8511,94.48,12.569,1.883
301,1300,8537,95.12,12.569,1.876
302,1300,8562,95.53,12.570,1.892
303,1302,8588,95.67,12.569,1.910
304,1302,8614,95.99,12.569,1.918
305,1304,8648,96.68,12.568,1.906
306,1304,8682,97.49,12.568,1.906
307,1306,8700,97.45,12.574,1.912
308,1306,8725,97.56,12.572,1.941
309,1308,8742,97.86,12.570,1.965
310,1308,8760,98.74,12.566,1.954
311,1310,8768,99.01,12.569,1.945
312,1310,8785,99.49,12.569,1.978
313,1312,8802,99.65,12.570,1.984
314,1312,8820,100.36,12.570,1.996
315,1314,8854,101.06,12.571,1.990
316,1314,8845,101.36,12.575,2.035
317,1316,8871,102.11,12.568,2.020
318,1316,8888,102.75,12.566,2.025
319,1318,8931,102.95,12.571,2.038
320,1318,8974,103.34,12.570,2.042
321,1320,9017,103.96,12.570,2.060
322,1320,9051,104.62,12.571,2.056
323,1322,9094,105.27,12.567,2.060
324,1322,9128,105.62,12.568,2.070
325,1324,9154,106.05,12.568,2.079
326,1324,9171,106.60,12.564,2.095
327,1326,9180,106.95,12.569,2.090
328,1326,9205,107.38,12.565,2.105
329,1328,9231,108.00,12.564,2.121
330,1328,9265,108.27,12.567,2.124
331,1330,9282,109.37,12.563,2.117
332,1330,9317,109.78,12.567,2.122
333,1332,9342,110.48,12.564,2.140
334,1332,9360,110.43,12.567,2.149
335,1334,9385,110.95,12.566,2.160
336,1334,9411,111.59,12.565,2.176
337,1336,9437,112.19,12.566,2.168
338,1336,9462,113.32,12.574,2.175
339,1338,9505,113.98,12.564,2.189
340,1338,9540,114.22,12.566,2.192
341,1340,9557,114.35,12.570,2.207
342,1340,9565,114.87,12.567,2.226
343,1342,9574,115.84,12.562,2.219
344,1342,9591,116.46,12.565,2.223
345,1344,9608,116.80,12.565,2.214
346,1344,9634,117.28,12.565,2.233
347,1346,9660,117.46,12.562,2.242
348,1346,9677,118.04,12.569,2.252
349,1348,9694,118.63,12.563,2.254
350,1348,9720,118.89,12.565,2.265
351,1350,9737,119.31,12.564,2.279
352,1350,9754,120.31,12.564,2.282
353,1352,9780,120.69,12.561,2.286
354,1352,9797,120.75,12.567,2.296
355,1354,9822,121.14,12.562,2.298
356,1354,9840,121.51,12.562,2.298
357,1356,9865,122.05,12.563,2.312
358,1356,9891,122.65,12.562,2.324
359,1358,9908,123.41,12.560,2.321
360,1358,9917,123.73,12.559,2.326
361,1360,9934,123.92,12.566,2.342
362,1360,9960,124.33,12.567,2.338
363,1362,9985,124.80,12.566,2.345
364,1362,9994,125.09,12.563,2.353
365,1364,10011,125.97,12.562,2.361
366,1364,10020,126.03,12.563,2.367
367,1366,10028,126.51,12.559,2.374
368,1366,10045,126.83,12.562,2.382
369,1368,10071,127.41,12.559,2.396
370,1368,10080,127.86,12.560,2.396
371,1370,10105,128.13,12.558,2.410
372,1370,10122,128.70,12.563,2.403
373,1372,10157,128.95,12.560,2.459
374,1372,10174,129.89,12.558,2.445
375,1374,10200,130.33,12.563,2.432
376,1374,10208,130.22,12.563,2.439
377,1376,10225,130.71,12.564,2.435
378,1376,10242,131.62,12.562,2.456
379,1378,10251,132.06,12.559,2.451
380,1378,10268,132.29,12.562,2.461
381,1380,10285,132.69,12.560,2.468
382,1380,10294,133.36,12.559,2.488
383,1382,10302,133.21,12.563,2.499
384,1382,10328,133.56,12.558,2.508
385,1384,10354,134.26,12.563,2.512
386,1384,10388,134.84,12.559,2.530
387,1386,10397,134.77,12.562,2.531
388,1386,10414,134.97,12.561,2.537
389,1388,10422,135.51,12.561,2.543
390,1388,10440,135.93,12.567,2.559
391,1390,10474,136.40,12.563,2.576
392,1390,10482,137.13,12.560,2.567
393,1392,10500,137.51,12.562,2.565
