seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.797,0.743
2,1000,0,0.00,16.800,0.744
3,1002,0,0.00,16.795,0.734
4,1002,0,0.00,16.798,0.737
5,1004,0,0.00,16.795,0.741
6,1004,0,0.00,16.800,0.738
7,1006,0,0.00,16.800,0.732
8,1006,0,0.00,16.799,0.735
9,1008,0,0.00,16.796,0.740
10,1008,0,0.00,16.802,0.739
11,1010,0,0.00,16.792,0.740
12,1010,0,0.00,16.792,0.743
13,1012,0,0.00,16.795,0.738
14,1012,0,0.00,16.788,0.735
15,1014,0,0.00,16.790,0.757
16,1014,0,0.00,16.793,0.766
17,1016,0,0.00,16.795,0.768
18,1016,0,0.00,16.783,0.924
19,1018,0,0.00,16.783,1.222
20,1018,0,0.00,16.782,1.284
21,1020,0,2.17,16.780,1.263
22,1020,0,3.26,16.781,1.196
23,1022,0,4.02,16.787,1.149
24,1022,0,4.53,16.783,1.098
25,1024,0,4.47,16.784,1.094
26,1024,0,5.15,16.789,1.066
27,1026,0,6.40,16.786,1.041
28,1026,0,7.68,16.785,1.015
29,1028,0,8.51,16.783,1.006
30,1028,0,9.38,16.787,0.989
31,1030,0,9.96,16.787,0.984
32,1030,0,10.40,16.789,0.968
33,1032,0,11.21,16.787,0.967
34,1032,0,11.61,16.783,0.964
35,1034,0,11.88,16.788,0.957
36,1034,0,12.52,16.787,0.954
37,1036,0,13.38,16.787,0.956
38,1036,0,14.03,16.788,0.964
39,1038,0,14.12,16.790,0.967
40,1038,0,14.35,16.787,0.958
41,1040,0,14.95,16.785,0.956
42,1040,0,15.17,16.787,0.961
43,1042,0,15.48,16.788,0.962
44,1042,0,15.88,16.785,0.969
45,1044,0,16.04,16.789,0.970
46,1044,0,16.04,16.784,0.966
47,1046,0,16.84,16.789,0.970
48,1046,0,17.32,16.787,0.974
49,1048,0,17.93,16.785,0.978
50,1048,0,18.70,16.784,0.979
51,1050,0,18.69,16.785,0.976
52,1050,0,18.49,16.788,1.001
53,1052,0,19.40,16.783,0.987
54,1052,0,20.09,16.785,1.005
55,1054,0,20.28,16.791,1.002
56,1054,0,20.43,16.791,0.997
57,1056,0,20.41,16.784,1.008
58,1056,0,20.55,16.781,1.010
59,1058,0,21.25,16.785,1.024
60,1058,0,21.71,16.785,1.017
61,1060,0,21.89,16.789,1.014
62,1060,0,22.15,16.786,1.015
63,1062,0,23.31,16.786,1.013
64,1062,0,23.27,16.783,1.017
65,1064,0,23.70,16.784,1.032
66,1064,0,24.31,16.788,1.034
67,1066,0,25.28,16.784,1.030
68,1066,0,25.71,16.787,1.044
69,1068,0,26.11,16.785,1.035
70,1068,0,26.21,16.786,1.040
71,1070,0,26.75,16.784,1.060
72,1070,0,27.05,16.784,1.059
73,1072,0,27.43,16.787,1.057
74,1072,0,27.59,16.787,1.078
75,1074,0,27.78,16.785,1.065
76,1074,0,28.63,16.785,1.066
77,1076,0,29.00,16.788,1.073
78,1076,0,28.79,16.781,1.068
79,1078,0,29.11,16.788,1.066
80,1078,0,29.91,16.783,1.077
81,1080,0,30.36,16.788,1.083
82,1080,0,30.24,16.783,1.090
83,1082,0,30.67,16.788,1.079
84,1082,0,30.82,16.787,1.079
85,1084,0,30.73,16.781,1.091
86,1084,0,30.65,16.790,1.091
87,1086,0,31.43,16.782,1.123
88,1086,0,31.76,16.784,1.105
89,1088,0,32.33,16.784,1.102
90,1088,0,32.86,16.784,1.106
91,1090,0,32.81,16.786,1.120
92,1090,0,33.04,16.783,1.120
93,1092,0,33.26,16.782,1.119
94,1092,0,33.20,16.787,1.124
95,1094,0,33.30,16.784,1.140
96,1094,0,33.66,16.785,1.136
97,1096,0,34.34,16.787,1.136
98,1096,0,34.78,16.784,1.155
99,1098,0,35.18,16.784,1.160
100,1098,0,36.41,16.784,1.147
101,1100,0,37.72,16.783,1.157
102,1100,0,38.93,16.791,1.177
103,1102,0,39.75,16.784,1.170
104,1102,0,39.67,16.783,1.182
105,1104,0,39.85,16.787,1.180
106,1104,0,40.07,16.786,1.180
107,1106,0,40.51,16.780,1.171
108,1106,0,40.71,16.779,1.194
109,1108,0,40.71,16.784,1.197
110,1108,0,41.24,16.784,1.207
111,1110,0,41.71,16.785,1.195
112,1110,0,41.82,16.782,1.195
113,1112,0,42.34,16.786,1.216
114,1112,0,43.03,16.784,1.223
115,1114,0,43.59,16.782,1.217
116,1114,0,44.32,16.781,1.224
117,1116,0,44.23,16.780,1.225
118,1116,0,44.06,16.781,1.229
119,1118,0,44.21,16.784,1.245
120,1118,0,44.50,16.783,1.250
121,1120,0,45.23,16.787,1.250
122,1120,0,45.79,16.785,1.245
123,1122,0,45.89,16.786,1.243
124,1122,0,46.18,16.779,1.252
125,1124,0,46.49,16.784,1.262
126,1124,0,46.43,16.781,1.261
127,1126,0,46.38,16.780,1.264
128,1126,0,47.80,16.783,1.279
129,1128,0,48.19,16.785,1.263
130,1128,0,48.49,16.782,1.309
131,1130,0,48.73,16.779,1.279
132,1130,0,48.86,16.781,1.272
133,1132,0,49.07,16.780,1.270
134,1132,0,49.24,16.781,1.279
135,1134,0,49.58,16.779,1.279
136,1134,0,50.14,16.781,1.292
137,1136,0,50.81,16.780,1.286
138,1136,0,51.66,16.784,1.301
139,1138,0,51.57,16.781,1.308
140,1138,0,51.59,16.781,1.316
141,1140,0,52.20,16.783,1.328
142,1140,0,52.59,16.779,1.336
143,1142,0,53.81,16.779,1.347
144,1142,0,55.04,16.781,1.337
145,1144,0,55.51,16.779,1.331
146,1144,0,55.70,16.779,1.326
147,1146,0,55.98,16.782,1.351
148,1146,0,56.43,16.781,1.349
149,1148,0,57.04,16.784,1.344
150,1148,0,58.20,16.782,1.359
151,1150,0,58.83,16.777,1.365
152,1150,0,59.23,16.777,1.390
153,1152,0,59.46,16.781,1.391
154,1152,0,60.27,16.782,1.387
155,1154,0,61.31,16.780,1.377
156,1154,0,62.43,16.784,1.395
157,1156,0,63.03,16.776,1.413
158,1156,0,63.22,16.780,1.411
159,1158,0,63.90,16.777,1.420
160,1158,0,64.38,16.779,1.417
161,1160,0,64.98,16.775,1.423
162,1160,0,65.95,16.783,1.436
163,1162,0,66.69,16.781,1.435
164,1162,0,67.35,16.779,1.448
165,1164,0,68.15,16.784,1.444
166,1164,0,68.56,16.779,1.462
167,1166,0,68.93,16.779,1.473
168,1166,0,69.37,16.779,1.484
169,1168,0,70.44,16.780,1.478
170,1168,0,71.19,16.778,1.468
171,1170,0,71.87,16.782,1.472
172,1170,0,72.61,16.777,1.471
173,1172,0,73.46,16.780,1.497
174,1172,0,74.59,16.785,1.500
175,1174,0,75.49,16.779,1.507
176,1174,0,76.53,16.780,1.518
177,1176,0,77.34,16.779,1.523
178,1176,0,78.32,16.779,1.518
179,1178,0,79.73,16.780,1.521
180,1178,0,80.42,16.778,1.520
181,1180,0,81.60,16.782,1.517
182,1180,0,82.17,16.775,1.549
183,1182,0,82.78,16.776,1.567
184,1182,0,83.96,16.778,1.574
185,1184,0,84.67,16.777,1.577
186,1184,0,85.75,16.777,1.570
187,1186,0,87.53,16.778,1.577
188,1186,0,87.91,16.774,1.579
189,1188,0,88.67,16.774,1.591
190,1188,0,89.14,16.776,1.592
191,1190,0,89.75,16.770,1.592
192,1190,0,90.52,16.777,1.605
193,1192,0,91.62,16.773,1.619
194,1192,0,93.13,16.770,1.619
195,1194,0,94.05,16.773,1.635
196,1194,0,94.67,16.776,1.636
197,1196,0,94.59,16.785,1.612
198,1196,0,94.74,16.773,1.637
199,1198,0,94.34,16.775,1.614
200,1198,0,95.16,16.779,1.673
201,1200,0,96.50,16.775,1.685
202,1200,0,96.98,16.777,1.703
203,1202,0,97.42,16.777,1.713
204,1202,0,97.83,16.775,1.727
205,1204,0,98.37,16.773,1.721
206,1204,0,98.86,16.770,1.749
207,1206,0,99.39,16.776,1.763
208,1206,0,101.13,16.770,1.755
209,1208,0,102.45,16.773,1.760
210,1208,0,102.63,16.776,1.789
211,1210,0,103.68,16.774,1.782
212,1210,0,104.79,16.773,1.823
213,1212,0,104.98,16.773,1.814
214,1212,0,105.95,16.769,1.823
215,1214,0,106.72,16.772,1.845
216,1214,0,108.17,16.771,1.856
217,1216,0,108.78,16.772,1.862
218,1216,0,109.40,16.772,1.861
219,1218,0,110.29,16.773,1.865
220,1218,0,110.94,16.772,1.885
221,1220,0,111.51,16.772,1.898
222,1220,0,112.25,16.770,1.907
223,1222,0,114.52,16.766,1.918
224,1222,0,115.05,16.769,1.916
225,1224,0,115.35,16.769,1.908
226,1224,8922,115.86,16.768,1.941
227,1226,9240,116.62,16.769,1.944
228,1226,9480,117.05,16.770,1.964
229,1228,9574,118.05,16.769,1.973
230,1228,9617,119.76,16.771,1.969
231,1230,9651,120.18,16.773,1.981
232,1230,9685,120.91,16.768,1.985
233,1232,9720,121.76,16.766,1.987
234,1232,9762,122.11,16.768,2.002
235,1234,9788,122.84,16.765,2.007
236,1234,9814,123.39,16.766,2.007
237,1236,9840,124.42,16.767,2.027
238,1236,9865,125.20,16.766,2.038
239,1238,9891,125.80,16.769,2.042
