seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.708,0.744
2,1000,0,0.00,16.710,0.737
3,1002,0,0.00,16.707,0.739
4,1002,0,0.00,16.712,0.741
5,1004,0,0.00,16.709,0.737
6,1004,0,0.00,16.711,0.735
7,1006,0,0.00,16.712,0.742
8,1006,0,0.00,16.710,0.745
9,1008,0,0.00,16.709,0.736
10,1008,0,0.00,16.707,0.748
11,1010,0,0.00,16.709,0.749
12,1010,0,0.00,16.710,0.737
13,1012,0,0.00,16.711,0.737
14,1012,0,0.00,16.704,0.742
15,1014,0,0.00,16.704,0.754
16,1014,0,0.00,16.706,0.765
17,1016,0,0.00,16.698,0.764
18,1016,0,0.00,16.696,0.905
19,1018,0,0.00,16.693,1.306
20,1018,0,3.32,16.695,1.457
21,1020,0,6.93,16.696,1.412
22,1020,0,8.15,16.692,1.306
23,1022,0,11.47,16.698,1.199
24,1022,0,12.60,16.694,1.123
25,1024,0,13.40,16.698,1.079
26,1024,0,14.13,16.699,1.067
27,1026,0,14.90,16.704,1.034
28,1026,0,15.62,16.699,1.006
29,1028,0,16.31,16.702,0.996
30,1028,0,16.85,16.701,0.969
31,1030,0,17.36,16.701,0.955
32,1030,0,17.54,16.695,0.957
33,1032,0,17.56,16.698,0.950
34,1032,0,17.79,16.703,0.944
35,1034,0,17.95,16.704,0.944
36,1034,0,18.24,16.700,0.941
37,1036,0,18.58,16.696,0.941
38,1036,0,18.84,16.699,0.944
39,1038,0,18.93,16.699,0.941
40,1038,0,19.19,16.701,0.940
41,1040,0,19.52,16.701,0.944
42,1040,0,19.64,16.694,0.948
43,1042,0,19.87,16.695,0.946
44,1042,0,20.00,16.700,0.959
45,1044,0,20.27,16.700,0.956
46,1044,0,20.50,16.697,0.961
47,1046,0,20.61,16.699,0.962
48,1046,0,20.54,16.701,0.969
49,1048,0,20.52,16.698,0.972
50,1048,0,20.61,16.703,0.964
51,1050,0,20.77,16.702,0.977
52,1050,0,20.91,16.695,0.976
53,1052,0,21.34,16.705,1.010
54,1052,0,21.11,16.698,0.994
55,1054,0,21.16,16.700,0.996
56,1054,0,21.02,16.702,0.988
57,1056,0,21.23,16.699,0.987
58,1056,0,21.40,16.700,0.994
59,1058,0,22.30,16.699,0.986
60,1058,0,22.73,16.701,1.000
61,1060,0,22.75,16.698,1.012
62,1060,0,23.23,16.701,1.012
63,1062,0,23.75,16.698,1.008
64,1062,0,23.71,16.701,1.016
65,1064,0,23.84,16.701,1.026
66,1064,0,24.30,16.700,1.039
67,1066,0,24.80,16.699,1.024
68,1066,0,25.40,16.697,1.027
69,1068,0,25.91,16.701,1.019
70,1068,0,26.53,16.704,1.036
71,1070,0,26.72,16.700,1.034
72,1070,0,27.07,16.698,1.043
73,1072,0,26.89,16.697,1.048
74,1072,0,27.61,16.699,1.051
75,1074,0,27.53,16.694,1.066
76,1074,0,27.33,16.699,1.063
77,1076,0,27.59,16.698,1.068
78,1076,0,27.97,16.697,1.056
79,1078,0,29.19,16.698,1.062
80,1078,0,29.85,16.697,1.066
81,1080,0,30.48,16.697,1.072
82,1080,0,30.27,16.696,1.072
83,1082,0,30.24,16.699,1.081
84,1082,0,30.75,16.698,1.084
85,1084,0,30.75,16.698,1.087
86,1084,0,30.78,16.701,1.091
87,1086,0,31.75,16.700,1.111
88,1086,0,33.28,16.698,1.098
89,1088,0,33.60,16.701,1.098
90,1088,0,33.71,16.694,1.104
91,1090,0,33.77,16.701,1.111
92,1090,0,33.90,16.699,1.107
93,1092,0,34.52,16.702,1.112
94,1092,0,34.93,16.699,1.122
95,1094,0,34.96,16.698,1.123
96,1094,0,35.38,16.694,1.126
97,1096,0,35.62,16.697,1.140
98,1096,0,35.53,16.695,1.144
99,1098,0,35.91,16.695,1.148
100,1098,0,36.18,16.699,1.152
101,1100,0,36.66,16.698,1.148
102,1100,0,37.36,16.701,1.153
103,1102,0,39.23,16.700,1.150
104,1102,0,39.96,16.699,1.160
105,1104,0,40.00,16.698,1.175
106,1104,0,40.49,16.698,1.185
107,1106,0,40.81,16.695,1.187
108,1106,0,41.02,16.693,1.189
109,1108,0,40.97,16.693,1.184
110,1108,0,41.77,16.694,1.187
111,1110,0,41.71,16.694,1.186
112,1110,0,41.93,16.695,1.202
113,1112,0,41.86,16.694,1.197
114,1112,0,42.17,16.694,1.201
115,1114,0,42.54,16.698,1.200
116,1114,0,42.93,16.695,1.211
117,1116,0,43.59,16.697,1.214
118,1116,0,43.96,16.695,1.232
119,1118,0,44.71,16.699,1.234
120,1118,0,44.78,16.694,1.232
121,1120,0,44.64,16.696,1.239
122,1120,0,45.11,16.699,1.234
123,1122,0,45.09,16.697,1.224
124,1122,0,45.35,16.694,1.243
125,1124,0,46.47,16.690,1.251
126,1124,0,46.76,16.694,1.249
127,1126,0,46.95,16.692,1.256
128,1126,0,47.03,16.694,1.263
129,1128,0,47.16,16.702,1.272
130,1128,0,48.33,16.697,1.277
131,1130,0,49.22,16.694,1.287
132,1130,0,49.97,16.695,1.275
133,1132,0,50.28,16.694,1.271
134,1132,0,50.53,16.702,1.273
135,1134,0,50.31,16.693,1.282
136,1134,0,50.85,16.698,1.293
137,1136,0,51.13,16.691,1.290
138,1136,0,51.27,16.694,1.292
139,1138,0,51.85,16.695,1.289
140,1138,0,51.94,16.696,1.310
141,1140,0,52.13,16.694,1.318
142,1140,0,52.67,16.696,1.310
143,1142,0,53.31,16.693,1.317
144,1142,0,53.43,16.691,1.331
145,1144,0,54.18,16.692,1.351
146,1144,0,55.26,16.694,1.339
147,1146,0,55.49,16.694,1.333
148,1146,0,55.65,16.697,1.329
149,1148,0,55.82,16.693,1.336
150,1148,0,56.32,16.696,1.352
151,1150,0,56.77,16.694,1.364
152,1150,0,56.75,16.694,1.357
153,1152,0,57.28,16.695,1.367
154,1152,0,58.45,16.696,1.382
155,1154,0,58.52,16.693,1.378
156,1154,0,58.62,16.692,1.391
157,1156,0,59.33,16.694,1.407
158,1156,0,59.99,16.694,1.403
159,1158,0,60.21,16.693,1.403
160,1158,0,60.81,16.693,1.411
161,1160,0,62.26,16.692,1.419
162,1160,0,62.82,16.695,1.420
163,1162,0,63.63,16.691,1.430
164,1162,0,64.69,16.693,1.419
165,1164,0,65.73,16.692,1.433
166,1164,0,66.06,16.690,1.433
167,1166,0,66.08,16.692,1.434
168,1166,0,66.96,16.691,1.462
169,1168,0,67.98,16.687,1.460
170,1168,0,68.94,16.694,1.478
171,1170,0,69.01,16.690,1.472
172,1170,0,69.38,16.693,1.475
173,1172,0,69.95,16.691,1.491
174,1172,0,70.88,16.687,1.492
175,1174,0,73.09,16.692,1.488
176,1174,0,74.12,16.689,1.502
177,1176,0,74.96,16.694,1.507
178,1176,0,75.81,16.694,1.517
179,1178,0,76.27,16.693,1.521
180,1178,0,77.13,16.688,1.525
181,1180,0,78.10,16.695,1.532
182,1180,0,79.01,16.691,1.542
183,1182,0,80.60,16.691,1.549
184,1182,0,81.25,16.689,1.556
185,1184,0,82.02,16.691,1.558
186,1184,0,82.84,16.690,1.561
187,1186,0,83.87,16.688,1.569
188,1186,0,84.41,16.694,1.586
189,1188,0,85.03,16.691,1.567
190,1188,0,86.71,16.687,1.603
191,1190,0,87.68,16.687,1.601
192,1190,0,88.14,16.687,1.611
193,1192,0,88.77,16.691,1.619
194,1192,0,90.04,16.691,1.627
195,1194,0,90.78,16.694,1.612
196,1194,0,91.66,16.685,1.620
197,1196,0,92.54,16.688,1.623
198,1196,0,92.56,16.686,1.680
199,1198,0,93.10,16.689,1.666
200,1198,0,93.86,16.692,1.662
201,1200,0,93.98,16.690,1.678
202,1200,0,94.38,16.688,1.678
203,1202,0,95.19,16.686,1.683
204,1202,0,95.95,16.689,1.696
205,1204,0,97.28,16.686,1.700
206,1204,0,98.15,16.682,1.722
207,1206,0,99.02,16.686,1.741
208,1206,0,99.56,16.689,1.752
209,1208,0,100.66,16.688,1.750
210,1208,0,101.29,16.686,1.759
211,1210,0,101.79,16.688,1.775
212,1210,0,103.64,16.686,1.776
213,1212,0,104.66,16.685,1.777
214,1212,0,105.01,16.685,1.763
215,1214,8468,105.22,16.685,1.818
216,1214,8468,105.37,16.693,1.839
217,1216,8468,106.19,16.687,1.864
218,1216,8468,107.51,16.686,1.855
219,1218,8485,109.64,16.681,1.854
220,1218,8528,109.90,16.684,1.872
221,1220,8682,110.95,16.681,1.892
222,1220,8794,111.49,16.685,1.901
223,1222,8940,112.09,16.685,1.906
224,1222,9137,113.46,16.687,1.918
225,1224,9291,114.08,16.685,1.921
226,1224,9394,115.34,16.683,1.935
227,1226,9497,116.03,16.680,1.922
228,1226,9548,116.55,16.680,1.937
229,1228,9548,116.65,16.690,1.954
230,1228,9574,117.36,16.683,1.962
231,1230,9582,118.28,16.685,1.956
232,1230,9600,118.80,16.679,1.976
233,1232,9617,119.69,16.684,1.976
234,1232,9651,119.95,16.684,1.985
235,1234,9685,120.57,16.682,1.994
236,1234,9720,121.20,16.684,2.013
237,1236,9754,122.24,16.682,2.012
238,1236,9805,122.86,16.680,2.023
239,1238,9840,122.75,16.681,2.037
240,1238,9865,123.75,16.685,2.045
241,1240,9891,124.43,16.684,2.042
242,1240,9925,124.67,16.683,2.050
243,1242,9951,124.98,16.679,2.054
244,1242,9968,125.69,16.680,2.074
245,1244,9994,126.03,16.680,2.086
246,1244,10028,126.79,16.680,2.090
247,1246,10045,128.00,16.681,2.094
248,1246,10071,127.57,16.680,2.082
249,1248,10097,127.76,16.681,2.106
250,1248,10157,128.62,16.685,2.153
251,1250,10165,128.93,16.678,2.115
252,1250,10191,129.47,16.683,2.124
253,1252,10200,129.09,16.680,2.139
254,1252,10217,130.50,16.675,2.158
255,1254,10242,131.10,16.681,2.160
256,1254,10268,132.24,16.678,2.176
257,1256,10302,132.67,16.679,2.182
258,1256,10320,133.05,16.677,2.187
259,1258,10345,133.45,16.681,2.200
260,1258,10380,133.87,16.677,2.235
261,1260,10405,134.38,16.674,2.227
262,1260,10431,134.53,16.680,2.240
263,1262,10474,135.18,16.676,2.259
264,1262,10491,135.88,16.675,2.266
265,1264,10517,136.68,16.678,2.260
266,1264,10542,137.35,16.678,2.275
267,1266,10551,137.63,16.674,2.289
268,1266,10551,139.44,16.680,2.293
269,1268,10560,139.85,16.680,2.304
270,1268,10577,140.21,16.677,2.322
271,1270,10620,140.47,16.676,2.323
272,1270,10680,140.79,16.677,2.335
273,1272,10722,141.42,16.675,2.336
274,1272,10748,142.03,16.677,2.363
275,1274,10765,143.64,16.674,2.384
276,1274,10774,143.79,16.674,2.406
277,1276,10774,144.43,16.675,2.391
278,1276,10808,145.38,16.672,2.420
279,1278,10817,146.19,16.678,2.400
280,1278,10834,146.62,16.678,2.419
281,1280,10885,147.85,16.671,2.430
282,1280,10954,148.91,16.671,2.438
283,1282,10988,149.83,16.677,2.453
284,1282,11005,151.13,16.668,2.448
285,1284,11048,151.72,16.673,2.470
286,1284,11065,152.12,16.674,2.484
287,1286,11082,153.32,16.674,2.483
288,1286,11117,154.06,16.673,2.496
289,1288,11117,154.89,16.677,2.507
290,1288,11134,155.36,16.671,2.511
291,1290,11185,155.83,16.673,2.517
292,1290,11194,156.07,16.672,2.534
293,1292,11254,156.58,16.675,2.525
294,1292,11262,157.04,16.671,2.548
295,1294,11305,157.87,16.672,2.548
296,1294,11305,158.65,16.673,2.560
297,1296,11340,159.24,16.674,2.572
298,1296,11348,159.91,16.673,2.585
299,1298,11357,160.55,16.671,2.590
300,1298,11365,160.98,16.670,2.601
301,1300,11382,161.23,16.669,2.598
302,1300,11391,161.85,16.675,2.601
303,1302,11417,162.47,16.674,2.631
304,1302,11442,162.92,16.668,2.643
305,1304,11460,163.51,16.667,2.651
306,1304,11468,164.06,16.668,2.658
307,1306,11520,164.79,16.671,2.649
308,1306,11528,164.95,16.667,2.657
309,1308,11562,165.31,16.667,2.665
310,1308,11605,165.97,16.668,2.676
311,1310,11614,166.29,16.668,2.676
312,1310,11648,166.63,16.671,2.695
313,1312,11657,167.15,16.666,2.715
314,1312,11700,167.88,16.669,2.728
315,1314,11717,168.29,16.670,2.716
316,1314,11734,168.81,16.668,2.736
317,1316,11742,169.21,16.667,2.743
318,1316,11751,170.07,16.665,2.757
319,1318,11760,170.66,16.668,2.766
320,1318,11794,171.07,16.670,2.786
321,1320,11811,171.94,16.670,2.790
322,1320,11845,172.53,16.664,2.791
323,1322,11888,172.80,16.665,2.796
324,1322,11914,173.10,16.667,2.811
325,1324,11922,174.37,16.668,2.826
326,1324,11948,174.69,16.666,2.818
327,1326,11957,175.09,16.667,2.828
328,1326,11991,175.98,16.665,2.845
329,1328,12008,176.50,16.668,2.851
330,1328,12025,177.38,16.665,2.849
331,1330,12042,177.20,16.667,2.866
