seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.75,0.74,12.44,0.000
2,1000,0,0.00,16.75,0.74,12.42,0.000
3,1002,0,0.00,16.76,0.74,12.45,0.000
4,1002,0,0.00,16.76,0.75,12.49,0.000
5,1004,0,0.00,16.75,0.74,12.34,0.000
6,1004,0,0.00,16.76,0.74,12.42,0.000
7,1006,0,0.00,16.76,0.74,12.44,0.000
8,1006,0,0.00,16.75,0.74,12.34,0.000
9,1008,0,0.00,16.76,0.74,12.38,0.000
10,1008,0,0.00,16.75,0.73,12.28,0.000
11,1010,0,0.00,16.75,0.74,12.41,0.000
12,1010,0,0.00,16.76,0.74,12.37,0.000
13,1012,0,0.00,16.76,0.75,12.54,0.000
14,1012,0,0.00,16.75,0.74,12.34,0.000
15,1014,0,0.00,16.75,0.76,12.66,0.000
16,1014,0,0.00,16.75,0.77,12.97,0.000
17,1016,0,0.00,16.75,0.77,12.84,0.000
18,1016,0,0.00,16.75,0.89,14.87,0.000
19,1018,0,0.00,16.74,1.24,20.78,0.000
20,1018,0,1.97,16.74,1.37,23.01,0.086
21,1020,0,3.35,16.74,1.37,22.91,0.146
22,1020,0,3.85,16.74,1.31,21.95,0.176
23,1022,0,4.16,16.74,1.22,20.48,0.203
24,1022,0,5.49,16.74,1.16,19.40,0.283
25,1024,0,5.90,16.74,1.11,18.61,0.317
26,1024,0,6.70,16.74,1.09,18.18,0.369
27,1026,0,7.08,16.75,1.06,17.79,0.398
28,1026,0,7.87,16.75,1.03,17.33,0.454
29,1028,0,8.79,16.75,1.01,16.88,0.520
30,1028,0,9.41,16.74,1.00,16.68,0.565
31,1030,0,10.50,16.75,0.98,16.50,0.637
32,1030,0,11.18,16.74,0.98,16.39,0.682
33,1032,0,11.80,16.75,0.97,16.22,0.728
34,1032,0,11.76,16.74,0.96,16.05,0.733
35,1034,0,11.89,16.75,0.96,16.09,0.739
36,1034,0,12.02,16.74,0.95,15.96,0.753
37,1036,0,11.93,16.74,0.95,15.94,0.748
38,1036,0,12.25,16.74,0.96,16.12,0.760
39,1038,0,12.71,16.75,0.96,16.08,0.791
40,1038,0,12.95,16.75,0.96,16.09,0.805
41,1040,0,13.11,16.75,0.96,16.00,0.819
42,1040,0,13.31,16.75,0.96,16.12,0.826
43,1042,0,13.79,16.75,0.97,16.18,0.852
44,1042,0,14.16,16.74,0.97,16.17,0.876
45,1044,0,14.30,16.75,0.97,16.22,0.882
46,1044,0,15.04,16.74,0.97,16.26,0.925
47,1046,0,15.61,16.74,0.97,16.29,0.958
48,1046,0,16.02,16.75,0.98,16.49,0.972
49,1048,0,16.16,16.75,0.97,16.29,0.992
50,1048,0,16.26,16.74,0.98,16.43,0.990
51,1050,0,16.79,16.74,0.98,16.48,1.018
52,1050,0,17.21,16.75,0.99,16.56,1.039
53,1052,0,17.55,16.75,1.00,16.78,1.046
54,1052,0,17.56,16.74,1.00,16.76,1.048
55,1054,0,17.64,16.74,1.01,16.85,1.047
56,1054,0,18.11,16.74,1.00,16.73,1.082
57,1056,0,18.11,16.74,1.00,16.74,1.082
