seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.745,0.740
2,1000,0,0.00,16.744,0.742
3,1002,0,0.00,16.744,0.745
4,1002,0,0.00,16.745,0.740
5,1004,0,0.00,16.742,0.740
6,1004,0,0.00,16.744,0.738
7,1006,0,0.00,16.745,0.739
8,1006,0,0.00,16.743,0.737
9,1008,0,0.00,16.742,0.739
10,1008,0,0.00,16.743,0.734
11,1010,0,0.00,16.745,0.742
12,1010,0,0.00,16.744,0.737
13,1012,0,0.00,16.747,0.743
14,1012,0,0.00,16.741,0.737
15,1014,0,0.00,16.739,0.756
16,1014,0,0.00,16.737,0.773
17,1016,0,0.00,16.742,0.772
18,1016,0,0.00,16.736,0.879
19,1018,0,0.00,16.731,1.296
20,1018,0,1.28,16.726,1.490
21,1020,0,2.12,16.730,1.520
22,1020,0,2.40,16.726,1.439
23,1022,0,2.36,16.731,1.326
24,1022,0,3.89,16.733,1.230
25,1024,0,4.43,16.733,1.156
26,1024,0,5.12,16.734,1.114
27,1026,0,5.32,16.738,1.098
28,1026,0,5.95,16.734,1.069
29,1028,0,6.81,16.736,1.036
30,1028,0,7.43,16.735,1.018
31,1030,0,8.42,16.741,1.004
32,1030,0,8.96,16.736,0.996
33,1032,0,9.76,16.736,0.973
34,1032,0,10.05,16.735,0.970
35,1034,0,10.24,16.737,0.964
36,1034,0,10.35,16.734,0.954
37,1036,0,10.40,16.737,0.952
38,1036,0,10.58,16.731,0.969
39,1038,0,10.82,16.734,0.963
40,1038,0,11.13,16.742,0.966
41,1040,0,11.21,16.737,0.952
42,1040,0,11.44,16.740,0.962
43,1042,0,12.11,16.739,0.962
44,1042,0,12.43,16.736,0.963
45,1044,0,12.44,16.736,0.971
46,1044,0,13.27,16.733,0.971
47,1046,0,13.94,16.736,0.972
48,1046,0,14.59,16.737,0.985
49,1048,0,14.58,16.738,0.974
50,1048,0,14.43,16.732,0.975
51,1050,0,15.00,16.731,0.980
52,1050,0,15.47,16.735,0.983
53,1052,0,16.43,16.736,1.007
54,1052,0,16.73,16.738,1.006
55,1054,0,16.58,16.736,1.011
56,1054,0,16.96,16.733,0.999
57,1056,0,16.88,16.735,1.001
58,1056,0,17.13,16.733,1.001
59,1058,0,17.30,16.733,1.007
60,1058,0,18.05,16.733,1.028
61,1060,0,18.11,16.735,1.020
62,1060,0,17.70,16.734,1.032
63,1062,0,18.15,16.738,1.018
64,1062,0,18.70,16.741,1.025
65,1064,0,18.79,16.735,1.026
66,1064,0,18.98,16.736,1.023
67,1066,0,20.66,16.735,1.037
68,1066,0,21.16,16.739,1.043
69,1068,0,21.25,16.734,1.044
70,1068,0,20.86,16.735,1.055
71,1070,0,21.25,16.735,1.047
72,1070,0,21.62,16.735,1.059
73,1072,0,21.97,16.738,1.067
74,1072,0,22.50,16.735,1.066
75,1074,0,23.11,16.731,1.066
76,1074,0,22.94,16.735,1.075
77,1076,0,22.73,16.736,1.063
78,1076,0,22.98,16.738,1.074
79,1078,0,23.35,16.733,1.076
80,1078,0,23.63,16.735,1.073
81,1080,0,24.00,16.729,1.083
82,1080,0,24.38,16.734,1.081
83,1082,0,24.32,16.737,1.087
84,1082,0,24.75,16.734,1.094
85,1084,0,24.91,16.735,1.105
86,1084,0,24.96,16.732,1.114
87,1086,0,25.11,16.731,1.112
88,1086,0,25.14,16.735,1.107
89,1088,0,26.42,16.735,1.103
90,1088,0,26.26,16.730,1.108
91,1090,0,26.04,16.733,1.116
92,1090,0,26.11,16.731,1.132
93,1092,0,26.27,16.733,1.128
94,1092,0,26.68,16.733,1.129
95,1094,0,26.87,16.733,1.136
96,1094,0,26.82,16.736,1.140
97,1096,0,27.16,16.732,1.129
98,1096,0,27.96,16.730,1.140
99,1098,0,28.72,16.735,1.148
100,1098,0,29.63,16.737,1.152
101,1100,0,29.50,16.733,1.160
102,1100,0,29.42,16.736,1.165
103,1102,0,29.56,16.733,1.156
104,1102,0,31.70,16.733,1.157
105,1104,0,32.25,16.731,1.176
106,1104,0,32.53,16.736,1.177
107,1106,0,32.64,16.731,1.197
108,1106,0,33.00,16.732,1.199
109,1108,0,32.95,16.731,1.194
110,1108,0,33.12,16.734,1.193
111,1110,0,33.43,16.735,1.203
112,1110,0,34.10,16.730,1.205
113,1112,0,34.16,16.734,1.216
114,1112,0,34.20,16.731,1.226
115,1114,0,34.24,16.726,1.234
116,1114,0,34.20,16.734,1.234
117,1116,0,34.28,16.732,1.221
118,1116,0,35.53,16.729,1.230
119,1118,0,36.20,16.726,1.227
120,1118,0,36.61,16.732,1.237
121,1120,0,36.73,16.732,1.242
122,1120,0,36.78,16.734,1.232
123,1122,0,36.72,16.731,1.252
124,1122,0,36.89,16.734,1.247
125,1124,0,37.28,16.730,1.262
126,1124,0,38.42,16.733,1.263
127,1126,0,38.31,16.731,1.264
128,1126,0,38.55,16.735,1.271
129,1128,0,38.79,16.731,1.280
130,1128,0,38.57,16.733,1.291
131,1130,0,38.93,16.729,1.298
132,1130,0,39.83,16.731,1.289
133,1132,0,40.36,16.732,1.284
134,1132,0,40.70,16.739,1.274
135,1134,0,41.02,16.729,1.289
136,1134,0,41.13,16.732,1.289
137,1136,0,41.16,16.731,1.297
138,1136,0,41.90,16.730,1.290
139,1138,0,42.45,16.731,1.298
140,1138,0,43.21,16.732,1.317
141,1140,0,43.26,16.729,1.323
142,1140,0,43.19,16.732,1.319
143,1142,0,43.66,16.730,1.311
144,1142,0,43.91,16.732,1.321
145,1144,0,44.14,16.730,1.346
146,1144,0,44.35,16.730,1.347
147,1146,0,45.12,16.731,1.345
148,1146,0,45.27,16.732,1.339
149,1148,0,45.31,16.724,1.358
150,1148,0,45.14,16.727,1.359
151,1150,0,45.86,16.730,1.365
152,1150,0,46.57,16.731,1.372
153,1152,0,46.53,16.730,1.377
154,1152,0,46.79,16.730,1.366
155,1154,0,47.37,16.731,1.386
156,1154,0,47.97,16.729,1.383
157,1156,0,48.64,16.731,1.400
158,1156,0,49.17,16.731,1.394
159,1158,0,49.39,16.729,1.405
160,1158,0,49.67,16.726,1.432
161,1160,0,50.07,16.728,1.421
162,1160,0,50.63,16.727,1.416
163,1162,0,51.45,16.730,1.437
164,1162,0,51.92,16.729,1.440
165,1164,0,52.46,16.731,1.434
166,1164,0,52.86,16.739,1.441
167,1166,0,53.00,16.731,1.449
168,1166,0,53.46,16.729,1.452
169,1168,0,55.32,16.728,1.484
170,1168,0,55.87,16.721,1.478
171,1170,0,56.54,16.725,1.473
172,1170,0,57.01,16.729,1.481
173,1172,0,57.32,16.728,1.492
174,1172,0,57.53,16.729,1.498
175,1174,0,58.26,16.729,1.508
176,1174,0,58.92,16.730,1.498
177,1176,0,59.73,16.730,1.492
178,1176,0,60.20,16.727,1.508
179,1178,0,61.06,16.726,1.505
180,1178,0,61.57,16.730,1.519
181,1180,0,62.15,16.726,1.528
182,1180,0,62.68,16.728,1.558
183,1182,0,63.02,16.723,1.558
184,1182,0,64.70,16.727,1.558
185,1184,0,65.34,16.727,1.559
186,1184,0,65.34,16.726,1.555
187,1186,0,65.82,16.730,1.565
188,1186,0,66.18,16.729,1.571
189,1188,0,66.55,16.728,1.590
190,1188,0,67.26,16.728,1.610
191,1190,0,68.32,16.724,1.603
192,1190,0,68.59,16.728,1.588
193,1192,0,69.62,16.728,1.614
194,1192,0,70.58,16.723,1.605
195,1194,0,70.92,16.725,1.626
196,1194,0,71.85,16.725,1.622
197,1196,0,73.24,16.728,1.659
198,1196,0,74.14,16.722,1.664
199,1198,0,74.83,16.728,1.658
200,1198,0,75.54,16.727,1.665
201,1200,0,75.57,16.725,1.658
202,1200,0,76.01,16.724,1.659
203,1202,0,76.28,16.728,1.686
204,1202,0,76.05,16.724,1.711
205,1204,0,77.15,16.727,1.704
206,1204,0,77.30,16.723,1.725
207,1206,0,77.59,16.720,1.732
208,1206,0,77.92,16.724,1.742
209,1208,0,78.45,16.723,1.753
210,1208,0,79.07,16.724,1.760
211,1210,0,79.40,16.719,1.767
212,1210,0,79.67,16.721,1.805
213,1212,0,80.70,16.725,1.804
214,1212,0,81.69,16.726,1.821
215,1214,0,82.15,16.722,1.816
216,1214,0,82.38,16.722,1.836
217,1216,0,83.30,16.723,1.836
218,1216,0,84.05,16.719,1.846
219,1218,0,84.54,16.720,1.863
220,1218,0,85.34,16.723,1.861
221,1220,0,85.98,16.723,1.864
222,1220,0,86.55,16.720,1.891
223,1222,0,87.27,16.725,1.894
224,1222,8974,87.83,16.720,1.905
225,1224,9240,88.21,16.716,1.901
226,1224,9445,88.70,16.716,1.917
227,1226,9497,90.10,16.722,1.925
228,1226,9540,90.54,16.722,1.936
229,1228,9574,91.23,16.725,1.950
230,1228,9608,91.78,16.722,1.960
231,1230,9634,92.22,16.722,1.961
232,1230,9668,92.61,16.717,1.965
233,1232,9702,92.73,16.717,1.971
234,1232,9737,93.86,16.714,1.976
235,1234,9762,94.39,16.722,1.982
236,1234,9788,94.73,16.723,1.981
237,1236,9814,94.92,16.715,1.991
