seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.584,0.722
2,1000,0,0.00,12.587,0.729
3,1002,0,0.00,12.587,0.739
4,1002,0,0.00,12.591,0.732
5,1004,0,0.00,12.587,0.728
6,1004,0,0.00,12.590,0.729
7,1006,0,0.00,12.591,0.723
8,1006,0,0.00,12.589,0.730
9,1008,0,0.00,12.587,0.730
10,1008,0,0.00,12.594,0.731
11,1010,0,0.00,12.589,0.732
12,1010,0,0.00,12.589,0.731
13,1012,0,0.00,12.590,0.722
14,1012,0,0.00,12.584,0.729
15,1014,0,0.00,12.584,0.729
16,1014,0,0.00,12.584,0.751
17,1016,0,0.00,12.587,0.750
18,1016,0,0.00,12.581,0.844
19,1018,0,0.00,12.575,1.121
20,1018,0,1.59,12.576,1.254
21,1020,0,3.68,12.570,1.295
22,1020,0,3.79,12.572,1.237
23,1022,0,3.83,12.578,1.180
24,1022,0,4.08,12.574,1.121
25,1024,0,4.92,12.580,1.066
26,1024,0,5.62,12.575,1.028
27,1026,0,5.46,12.580,0.994
28,1026,0,5.61,12.580,0.983
29,1028,0,6.25,12.578,0.963
30,1028,0,6.57,12.581,0.954
31,1030,0,7.04,12.580,0.938
32,1030,0,7.13,12.582,0.937
33,1032,0,7.26,12.581,0.930
34,1032,0,7.43,12.582,0.911
35,1034,0,7.66,12.585,0.907
36,1034,0,8.12,12.581,0.904
37,1036,0,8.35,12.580,0.897
38,1036,0,8.50,12.578,0.900
39,1038,0,8.66,12.578,0.894
40,1038,0,8.99,12.579,0.897
41,1040,0,9.48,12.581,0.904
42,1040,0,9.31,12.578,0.898
43,1042,0,9.85,12.578,0.898
44,1042,0,9.76,12.580,0.903
45,1044,0,10.32,12.583,0.906
46,1044,0,10.38,12.582,0.900
47,1046,0,10.68,12.583,0.903
48,1046,0,11.04,12.580,0.917
49,1048,0,11.31,12.581,0.915
50,1048,0,11.68,12.580,0.905
51,1050,0,11.62,12.584,0.913
52,1050,0,11.54,12.581,0.910
53,1052,0,11.78,12.579,0.916
54,1052,0,11.74,12.580,0.935
55,1054,0,11.53,12.583,0.921
56,1054,0,12.00,12.577,0.932
57,1056,0,12.53,12.577,0.932
58,1056,0,12.86,12.578,0.926
59,1058,0,13.09,12.581,0.925
60,1058,0,12.94,12.585,0.936
61,1060,0,12.58,12.582,0.939
62,1060,0,12.26,12.583,0.931
63,1062,0,12.41,12.577,0.935
64,1062,0,12.68,12.584,0.939
65,1064,0,12.73,12.581,0.940
66,1064,0,13.14,12.582,0.942
67,1066,0,13.42,12.580,0.937
68,1066,0,13.14,12.584,0.942
69,1068,0,12.80,12.581,0.949
70,1068,0,13.09,12.581,0.958
71,1070,0,13.57,12.574,0.955
72,1070,0,13.57,12.577,0.961
73,1072,0,13.59,12.577,0.954
74,1072,0,13.61,12.580,0.949
75,1074,0,13.19,12.579,0.952
76,1074,0,13.40,12.580,0.970
77,1076,0,13.90,12.581,0.967
78,1076,0,13.96,12.580,0.969
79,1078,0,14.12,12.580,0.976
80,1078,0,14.42,12.576,0.971
81,1080,0,14.77,12.581,0.982
82,1080,0,15.06,12.579,0.981
83,1082,0,15.48,12.578,0.985
84,1082,0,15.53,12.580,0.992
85,1084,0,15.64,12.574,0.990
86,1084,0,16.05,12.580,0.994
87,1086,0,16.25,12.578,0.979
88,1086,0,16.32,12.584,0.991
89,1088,0,16.49,12.582,0.994
90,1088,0,16.95,12.578,0.993
91,1090,0,17.53,12.580,1.009
92,1090,0,18.06,12.580,1.008
93,1092,0,18.72,12.577,1.007
94,1092,0,19.37,12.578,1.002
95,1094,0,19.77,12.579,1.014
96,1094,0,19.74,12.576,1.018
97,1096,0,19.57,12.578,1.025
98,1096,0,19.90,12.574,1.032
99,1098,4208,20.06,12.580,1.027
100,1098,4251,19.82,12.581,1.029
101,1100,4294,20.25,12.578,1.021
102,1100,4311,20.30,12.576,1.029
103,1102,4345,20.19,12.582,1.046
104,1102,4354,20.02,12.576,1.041
105,1104,4371,19.86,12.578,1.033
106,1104,4371,20.03,12.578,1.038
107,1106,4388,20.33,12.576,1.030
108,1106,4397,20.92,12.576,1.052
109,1108,4414,21.09,12.577,1.051
110,1108,4440,21.17,12.577,1.052
111,1110,4448,21.41,12.574,1.068
112,1110,4474,21.33,12.576,1.067
113,1112,4508,21.19,12.576,1.072
114,1112,4525,21.42,12.574,1.077
115,1114,4551,21.90,12.583,1.061
116,1114,4585,22.12,12.579,1.077
117,1116,4585,22.46,12.581,1.094
118,1116,4620,22.70,12.574,1.079
119,1118,4620,22.85,12.576,1.079
120,1118,4620,23.39,12.579,1.081
121,1120,4620,23.61,12.574,1.085
122,1120,4620,23.47,12.573,1.096
123,1122,4620,23.80,12.579,1.102
124,1122,4620,24.39,12.575,1.104
125,1124,4620,24.69,12.578,1.105
126,1124,4620,24.89,12.576,1.094
127,1126,4620,25.56,12.578,1.103
128,1126,4620,26.05,12.581,1.112
129,1128,4620,25.83,12.575,1.115
130,1128,4620,25.53,12.576,1.124
131,1130,4620,25.85,12.577,1.128
132,1130,4620,26.15,12.576,1.130
133,1132,4620,26.38,12.576,1.116
134,1132,4620,26.48,12.582,1.130
135,1134,4620,26.98,12.578,1.126
136,1134,4620,27.19,12.576,1.128
137,1136,4620,26.51,12.578,1.144
138,1136,4620,26.37,12.576,1.144
139,1138,4620,26.75,12.575,1.156
140,1138,4620,26.99,12.578,1.149
141,1140,4620,27.21,12.581,1.143
142,1140,4620,27.61,12.578,1.145
143,1142,4620,28.03,12.583,1.148
144,1142,4620,27.29,12.573,1.143
145,1144,4620,27.06,12.576,1.156
146,1144,4620,27.69,12.581,1.166
147,1146,4620,27.91,12.578,1.195
148,1146,4620,28.07,12.574,1.185
149,1148,4620,28.81,12.580,1.171
150,1148,4620,28.40,12.575,1.175
151,1150,4620,28.60,12.580,1.187
152,1150,4620,28.64,12.580,1.186
153,1152,4620,28.79,12.576,1.189
154,1152,4620,29.33,12.573,1.185
155,1154,4620,29.38,12.575,1.189
156,1154,4620,28.98,12.571,1.192
157,1156,4620,29.06,12.575,1.186
158,1156,4620,29.09,12.573,1.197
159,1158,4620,29.54,12.577,1.201
160,1158,4620,30.08,12.577,1.221
161,1160,4620,30.58,12.576,1.223
162,1160,4620,30.94,12.576,1.229
163,1162,4620,31.05,12.578,1.227
164,1162,4620,31.14,12.576,1.240
165,1164,4620,32.41,12.573,1.232
166,1164,4620,33.19,12.573,1.241
167,1166,4620,33.71,12.574,1.237
168,1166,4620,33.77,12.576,1.247
169,1168,4620,33.85,12.576,1.252
170,1168,4620,33.79,12.574,1.250
171,1170,4620,34.04,12.576,1.256
172,1170,4620,34.36,12.575,1.259
173,1172,4620,34.67,12.572,1.266
174,1172,4620,34.67,12.575,1.266
175,1174,4620,35.07,12.579,1.273
176,1174,4620,35.13,12.573,1.271
177,1176,4620,35.27,12.575,1.275
178,1176,4620,35.30,12.572,1.271
179,1178,4620,35.43,12.576,1.258
180,1178,4620,35.86,12.575,1.259
181,1180,4620,36.34,12.574,1.286
182,1180,4620,36.41,12.573,1.296
183,1182,4620,36.04,12.576,1.309
184,1182,4620,35.86,12.576,1.307
185,1184,4620,35.95,12.576,1.315
186,1184,4620,37.35,12.570,1.312
187,1186,4620,38.09,12.573,1.316
188,1186,4620,38.42,12.576,1.315
189,1188,4620,38.88,12.571,1.319
190,1188,4620,38.96,12.568,1.326
191,1190,4620,38.92,12.575,1.335
192,1190,4620,38.90,12.574,1.332
193,1192,4620,39.59,12.573,1.334
194,1192,4620,40.00,12.572,1.328
195,1194,4620,40.45,12.573,1.325
196,1194,4620,40.51,12.568,1.331
197,1196,4620,40.03,12.574,1.344
198,1196,4620,39.96,12.579,1.350
199,1198,4620,40.03,12.572,1.355
200,1198,4620,41.35,12.572,1.354
201,1200,4620,41.58,12.572,1.352
202,1200,4620,41.62,12.567,1.355
203,1202,4620,41.29,12.574,1.351
204,1202,4620,41.25,12.569,1.353
205,1204,4620,41.48,12.575,1.367
206,1204,4620,41.84,12.571,1.381
207,1206,4620,43.20,12.577,1.357
208,1206,4620,43.64,12.575,1.405
209,1208,4620,43.59,12.568,1.370
210,1208,4620,43.28,12.573,1.387
211,1210,4620,43.18,12.571,1.403
212,1210,4620,43.16,12.574,1.396
213,1212,4620,43.24,12.573,1.399
214,1212,4620,44.90,12.569,1.412
215,1214,4620,45.37,12.572,1.422
216,1214,4620,45.47,12.575,1.406
217,1216,4620,45.53,12.571,1.402
218,1216,4620,45.60,12.574,1.415
219,1218,4620,45.86,12.574,1.442
220,1218,4620,46.46,12.577,1.445
221,1220,4620,47.27,12.573,1.440
222,1220,4620,46.85,12.572,1.448
223,1222,4620,46.95,12.574,1.480
224,1222,4620,47.15,12.576,1.472
225,1224,4620,47.67,12.569,1.453
226,1224,4620,48.11,12.572,1.460
227,1226,4620,48.56,12.573,1.464
228,1226,4620,48.37,12.567,1.487
229,1228,4620,48.73,12.570,1.474
230,1228,4620,49.35,12.571,1.484
231,1230,4620,49.69,12.575,1.476
232,1230,4620,50.38,12.571,1.486
233,1232,4620,51.09,12.568,1.497
234,1232,4620,50.84,12.571,1.493
235,1234,4620,50.71,12.571,1.500
236,1234,4620,51.44,12.569,1.501
237,1236,4645,51.62,12.568,1.504
238,1236,4894,51.76,12.564,1.537
239,1238,4894,52.26,12.567,1.536
240,1238,4894,52.84,12.568,1.531
241,1240,4894,52.69,12.569,1.528
242,1240,4894,53.66,12.572,1.536
243,1242,4894,53.88,12.569,1.553
244,1242,4894,54.18,12.572,1.548
245,1244,4894,54.77,12.567,1.555
246,1244,4894,54.82,12.565,1.554
247,1246,4894,55.24,12.570,1.570
248,1246,4894,55.42,12.566,1.573
249,1248,4894,56.62,12.568,1.577
250,1248,4894,57.06,12.566,1.588
251,1250,4894,56.90,12.570,1.573
252,1250,4894,56.97,12.569,1.588
253,1252,4894,57.51,12.561,1.598
254,1252,5091,58.74,12.570,1.620
255,1254,5125,59.03,12.565,1.612
256,1254,5125,59.48,12.566,1.613
257,1256,5125,59.99,12.568,1.609
258,1256,5125,60.42,12.569,1.617
259,1258,5125,60.86,12.564,1.639
260,1258,5125,61.34,12.568,1.628
261,1260,5125,61.79,12.578,1.634
262,1260,5125,62.32,12.573,1.630
263,1262,5185,62.47,12.569,1.640
264,1262,5280,63.18,12.565,1.643
265,1264,5280,63.77,12.565,1.651
266,1264,5280,63.82,12.567,1.665
267,1266,5280,63.75,12.567,1.669
268,1266,5280,64.23,12.565,1.682
269,1268,5348,64.87,12.565,1.684
270,1268,5382,65.28,12.567,1.700
271,1270,5382,65.60,12.566,1.690
272,1270,5382,66.42,12.570,1.700
273,1272,5382,66.64,12.567,1.735
274,1272,5562,67.23,12.567,1.724
275,1274,5905,67.63,12.565,1.711
276,1274,6111,67.48,12.566,1.733
277,1276,6377,67.84,12.568,1.738
278,1276,6702,68.70,12.566,1.737
279,1278,7062,69.17,12.561,1.737
280,1278,7337,69.53,12.562,1.736
281,1280,7697,69.77,12.564,1.755
282,1280,7962,69.82,12.567,1.757
283,1282,8091,70.02,12.566,1.760
284,1282,8160,70.64,12.568,1.778
285,1284,8194,71.54,12.563,1.772
286,1284,8245,71.59,12.566,1.784
287,1286,8271,71.95,12.563,1.782
288,1286,8314,72.69,12.568,1.796
289,1288,8340,73.45,12.565,1.793
290,1288,8365,73.72,12.563,1.811
291,1290,8382,74.02,12.564,1.818
292,1290,8408,75.43,12.555,1.832
293,1292,8434,75.72,12.563,1.859
294,1292,8460,76.33,12.563,1.846
295,1294,8485,76.87,12.564,1.830
296,1294,8502,76.80,12.560,1.844
297,1296,8520,77.01,12.562,1.847
298,1296,8545,77.04,12.565,1.858
299,1298,8562,77.26,12.564,1.853
300,1298,8588,77.62,12.561,1.860
301,1300,8605,77.80,12.563,1.861
302,1300,8614,77.82,12.560,1.866
303,1302,8640,78.08,12.560,1.887
304,1302,8640,78.42,12.560,1.889
305,1304,8657,78.60,12.564,1.894
306,1304,8665,79.51,12.564,1.905
307,1306,8682,79.53,12.560,1.919
308,1306,8700,79.60,12.563,1.921
309,1308,8725,79.81,12.556,1.930
310,1308,8751,79.95,12.556,1.959
311,1310,8768,80.31,12.563,1.950
312,1310,8802,80.66,12.565,1.954
313,1312,8828,81.55,12.560,1.958
314,1312,8854,82.07,12.561,1.969
315,1314,8854,82.26,12.562,2.014
316,1314,8871,82.54,12.563,2.008
317,1316,8880,83.14,12.554,1.990
318,1316,8897,83.49,12.556,2.002
319,1318,8940,83.80,12.560,2.013
320,1318,8991,84.34,12.558,2.030
321,1320,9034,84.87,12.558,2.039
322,1320,9077,85.29,12.557,2.041
323,1322,9111,85.51,12.558,2.043
324,1322,9154,85.60,12.555,2.061
325,1324,9180,85.93,12.558,2.056
326,1324,9205,86.47,12.556,2.074
327,1326,9222,87.08,12.559,2.081
328,1326,9248,87.17,12.558,2.093
329,1328,9274,87.75,12.555,2.092
330,1328,9300,88.51,12.558,2.109
331,1330,9325,88.95,12.556,2.106
332,1330,9342,89.27,12.559,2.097
333,1332,9368,89.30,12.558,2.116
334,1332,9394,89.69,12.558,2.133
335,1334,9411,90.16,12.555,2.145
336,1334,9437,90.37,12.559,2.154
337,1336,9471,90.87,12.554,2.162
338,1336,9480,91.47,12.558,2.166
339,1338,9480,91.70,12.557,2.162
340,1338,9505,92.03,12.550,2.156
341,1340,9531,92.51,12.554,2.183
342,1340,9548,92.75,12.555,2.186
343,1342,9574,93.14,12.551,2.182
344,1342,9600,93.55,12.554,2.208
345,1344,9625,93.80,12.557,2.206
346,1344,9651,94.00,12.555,2.212
347,1346,9677,94.68,12.557,2.222
348,1346,9694,95.50,12.554,2.224
349,1348,9728,95.82,12.556,2.242
350,1348,9754,95.68,12.552,2.245
351,1350,9771,95.67,12.549,2.254
352,1350,9788,95.60,12.551,2.271
353,1352,9814,96.27,12.554,2.276
354,1352,9831,97.06,12.553,2.264
355,1354,9848,97.30,12.554,2.278
356,1354,9865,97.62,12.555,2.278
357,1356,9874,97.96,12.554,2.279
358,1356,9891,98.08,12.553,2.303
359,1358,9917,98.34,12.548,2.314
360,1358,9942,98.55,12.552,2.299
361,1360,9951,99.20,12.552,2.312
362,1360,9968,99.76,12.556,2.328
363,1362,9985,100.13,12.552,2.328
364,1362,10011,99.99,12.551,2.340
365,1364,10028,100.04,12.554,2.348
366,1364,10054,100.59,12.551,2.351
367,1366,10071,100.80,12.551,2.368
368,1366,10088,101.06,12.551,2.365
369,1368,10097,101.84,12.549,2.371
370,1368,10114,102.12,12.551,2.386
371,1370,10140,102.56,12.552,2.398
372,1370,10165,102.83,12.553,2.437
373,1372,10182,102.68,12.553,2.418
374,1372,10200,103.22,12.550,2.416
375,1374,10217,104.09,12.554,2.417
376,1374,10217,104.52,12.552,2.414
377,1376,10251,104.40,12.554,2.427
378,1376,10260,104.90,12.558,2.440
379,1378,10277,105.05,12.547,2.444
380,1378,10294,104.86,12.549,2.458
381,1380,10311,105.13,12.549,2.465
382,1380,10320,105.48,12.550,2.464
383,1382,10345,105.25,12.548,2.476
384,1382,10362,106.36,12.550,2.489
385,1384,10371,106.36,12.547,2.506
386,1384,10397,106.63,12.546,2.504
387,1386,10405,107.14,12.553,2.494
388,1386,10431,107.49,12.553,2.509
389,1388,10457,107.52,12.548,2.518
390,1388,10474,107.95,12.550,2.531
391,1390,10500,107.96,12.547,2.547
392,1390,10508,108.33,12.549,2.545
393,1392,10534,108.76,12.549,2.545
394,1392,10551,109.04,12.543,2.558
395,1394,10560,109.14,12.545,2.574
396,1394,10585,109.06,12.544,2.590
397,1396,10602,109.53,12.547,2.593
398,1396,10628,110.53,12.543,2.589
399,1398,10637,110.86,12.548,2.597
400,1398,10662,110.81,12.549,2.622
401,1400,10671,110.87,12.546,2.632
402,1400,10697,111.47,12.545,2.627
403,1402,10714,111.70,12.547,2.632
404,1402,10731,111.95,12.548,2.649
405,1404,10757,112.08,12.546,2.650
406,1404,10774,112.38,12.545,2.659
407,1406,10800,112.86,12.545,2.657
408,1406,10808,113.35,12.547,2.675
409,1408,10834,113.72,12.546,2.672
410,1408,10851,113.80,12.546,2.691
411,1410,10877,114.13,12.543,2.693
412,1410,10902,114.87,12.543,2.699
413,1412,10894,114.76,12.546,2.712
414,1412,10928,114.79,12.547,2.720
415,1414,10928,115.38,12.540,2.729
416,1414,10937,115.95,12.543,2.735
417,1416,10971,116.11,12.542,2.745
418,1416,11005,116.37,12.542,2.742
419,1418,11022,117.26,12.544,2.756
420,1418,11031,117.49,12.543,2.779
421,1420,11031,117.54,12.542,2.785
422,1420,11065,118.17,12.541,2.787
423,1422,11082,118.62,12.540,2.795
424,1422,11100,119.30,12.540,2.799
425,1424,11108,119.76,12.542,2.801
426,1424,11125,119.97,12.544,2.817
427,1426,11142,120.00,12.540,2.832
428,1426,11160,120.46,12.540,2.846
429,1428,11185,121.28,12.547,2.841
430,1428,11202,121.86,12.540,2.846
431,1430,11228,122.22,12.539,2.848
432,1430,11262,122.40,12.547,2.864
433,1432,11271,122.74,12.541,2.880
434,1432,11288,123.17,12.541,2.874
435,1434,11297,123.21,12.540,2.863
436,1434,11305,122.95,12.536,2.856
437,1436,11322,123.25,12.538,2.884
438,1436,11331,123.80,12.535,2.912
439,1438,11348,123.96,12.536,2.927
440,1438,11365,124.83,12.539,2.934
441,1440,11382,125.15,12.540,2.929
442,1440,11400,125.41,12.542,2.953
443,1442,11408,125.73,12.542,2.962
444,1442,11425,126.19,12.537,2.973
445,1444,11451,126.34,12.539,2.967
446,1444,11468,126.55,12.536,2.965
447,1446,11477,127.12,12.533,2.984
448,1446,11502,127.23,12.538,2.990
449,1448,11520,127.10,12.540,3.001
450,1448,11528,127.63,12.541,3.001
451,1450,11562,128.25,12.539,2.998
452,1450,11580,128.59,12.537,3.022
453,1452,11588,129.00,12.534,3.019
454,1452,11605,128.91,12.540,3.040
455,1454,11614,128.96,12.535,3.040
456,1454,11622,129.53,12.537,3.049
457,1456,11631,129.86,12.533,3.056
458,1456,11648,129.93,12.534,3.058
459,1458,11691,130.33,12.535,3.072
460,1458,11691,130.99,12.539,3.082
461,1460,11691,131.03,12.537,3.114
462,1460,11691,131.46,12.534,3.110
463,1462,11708,131.99,12.535,3.088
464,1462,11742,132.13,12.533,3.099
465,1464,11768,132.00,12.537,3.108
466,1464,11760,132.17,12.536,3.121
467,1466,11802,132.75,12.537,3.127
468,1466,11828,132.88,12.535,3.132
469,1468,11837,133.07,12.536,3.139
470,1468,11837,133.44,12.535,3.154
471,1470,11854,133.87,12.531,3.170
472,1470,11888,134.05,12.534,3.163
473,1472,11897,134.17,12.539,3.159
