seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.67,0.74,12.31,0.000
2,1000,0,0.00,16.68,0.74,12.42,0.000
3,1002,0,0.00,16.68,0.73,12.22,0.000
4,1002,0,0.00,16.68,0.74,12.41,0.000
5,1004,0,0.00,16.68,0.74,12.35,0.000
6,1004,0,0.00,16.69,0.74,12.42,0.000
7,1006,0,0.00,16.68,0.74,12.43,0.000
8,1006,0,0.00,16.68,0.74,12.29,0.000
9,1008,0,0.00,16.68,0.74,12.41,0.000
10,1008,0,0.00,16.68,0.74,12.40,0.000
11,1010,0,0.00,16.68,0.74,12.34,0.000
12,1010,0,0.00,16.68,0.74,12.36,0.000
13,1012,0,0.00,16.68,0.74,12.31,0.000
14,1012,0,0.00,16.68,0.74,12.32,0.000
15,1014,0,0.00,16.67,0.76,12.62,0.000
16,1014,0,0.00,16.67,0.76,12.71,0.000
17,1016,0,0.00,16.67,0.76,12.70,0.000
18,1016,0,0.00,16.66,1.00,16.59,0.000
19,1018,0,0.00,16.66,1.36,22.73,0.000
20,1018,0,0.00,16.66,1.50,24.91,0.000
21,1020,0,0.00,16.66,1.43,23.79,0.000
22,1020,0,0.00,16.67,1.32,22.07,0.000
23,1022,0,0.59,16.66,1.21,20.24,0.029
24,1022,0,1.25,16.67,1.13,18.92,0.066
25,1024,0,1.28,16.67,1.09,18.10,0.071
26,1024,0,1.32,16.66,1.06,17.69,0.075
27,1026,0,1.57,16.67,1.05,17.47,0.090
28,1026,0,2.00,16.67,1.01,16.84,0.119
29,1028,0,2.23,16.67,1.00,16.61,0.134
30,1028,0,2.50,16.67,0.97,16.23,0.154
31,1030,0,2.83,16.67,0.95,15.90,0.178
32,1030,0,2.90,16.67,0.95,15.90,0.182
33,1032,0,2.97,16.67,0.94,15.72,0.189
34,1032,0,3.03,16.67,0.93,15.54,0.195
35,1034,0,2.94,16.67,0.93,15.54,0.189
36,1034,0,2.95,16.67,0.93,15.57,0.189
37,1036,0,3.23,16.67,0.93,15.43,0.210
38,1036,0,3.31,16.66,0.93,15.52,0.213
39,1038,0,3.37,16.67,0.93,15.42,0.219
40,1038,0,3.36,16.66,0.93,15.46,0.217
41,1040,0,3.43,16.67,0.93,15.50,0.221
42,1040,0,3.54,16.67,0.93,15.57,0.228
43,1042,0,3.63,16.67,0.94,15.64,0.232
44,1042,0,3.69,16.67,0.94,15.70,0.235
45,1044,0,3.73,16.67,0.95,15.77,0.237
46,1044,0,3.88,16.67,0.94,15.73,0.247
47,1046,0,4.00,16.67,0.94,15.65,0.256
48,1046,0,3.96,16.67,0.95,15.87,0.250
49,1048,0,3.85,16.67,0.95,15.87,0.243
50,1048,0,4.50,16.67,0.95,15.89,0.283
51,1050,0,4.79,16.67,0.96,16.03,0.299
52,1050,0,5.18,16.67,0.96,16.02,0.324
53,1052,0,5.38,16.67,0.96,15.94,0.337
54,1052,0,5.57,16.67,0.97,16.09,0.346
