seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.55,0.72,9.08,0.000
2,1000,0,0.00,12.55,0.73,9.22,0.000
3,1002,0,0.00,12.55,0.73,9.14,0.000
4,1002,0,0.00,12.55,0.73,9.14,0.000
5,1004,0,0.00,12.55,0.73,9.11,0.000
6,1004,0,0.00,12.55,0.73,9.22,0.000
7,1006,0,0.00,12.55,0.73,9.20,0.000
8,1006,0,0.00,12.55,0.74,9.23,0.000
9,1008,0,0.00,12.55,0.73,9.18,0.000
10,1008,0,0.00,12.55,0.73,9.13,0.000
11,1010,0,0.00,12.55,0.73,9.19,0.000
12,1010,0,0.00,12.55,0.73,9.17,0.000
13,1012,0,0.00,12.55,0.73,9.14,0.000
14,1012,0,0.00,12.55,0.73,9.22,0.000
15,1014,0,0.00,12.55,0.74,9.27,0.000
16,1014,0,0.00,12.54,0.75,9.40,0.000
17,1016,0,0.00,12.54,0.75,9.40,0.000
18,1016,0,0.00,12.54,0.87,10.87,0.000
19,1018,0,0.00,12.54,1.05,13.15,0.000
20,1018,0,1.12,12.54,1.08,13.60,0.083
21,1020,0,1.39,12.54,1.06,13.27,0.104
22,1020,0,1.72,12.54,1.02,12.80,0.134
23,1022,0,1.78,12.54,0.98,12.33,0.144
24,1022,0,2.10,12.54,0.96,12.01,0.174
25,1024,0,2.21,12.54,0.94,11.84,0.187
26,1024,0,2.10,12.54,0.94,11.81,0.178
27,1026,0,2.41,12.54,0.93,11.68,0.206
28,1026,0,2.35,12.54,0.91,11.42,0.206
29,1028,0,2.60,12.54,0.90,11.30,0.230
30,1028,0,3.04,12.54,0.90,11.26,0.269
31,1030,0,3.38,12.54,0.88,11.09,0.304
32,1030,0,3.55,12.54,0.89,11.14,0.319
33,1032,0,4.01,12.54,0.88,11.01,0.364
34,1032,0,3.80,12.54,0.87,10.96,0.347
35,1034,0,4.52,12.54,0.87,10.94,0.413
36,1034,0,4.46,12.54,0.87,10.92,0.408
37,1036,0,4.35,12.55,0.88,10.99,0.396
38,1036,0,4.67,12.54,0.88,11.04,0.423
39,1038,0,4.52,12.54,0.88,10.97,0.412
40,1038,0,5.04,12.54,0.87,10.95,0.460
41,1040,0,5.07,12.54,0.87,10.97,0.462
42,1040,0,5.12,12.54,0.88,11.03,0.464
43,1042,0,5.12,12.54,0.88,11.00,0.465
44,1042,0,5.47,12.54,0.89,11.14,0.491
45,1044,0,5.23,12.54,0.89,11.20,0.467
46,1044,0,5.45,12.54,0.89,11.15,0.488
47,1046,0,5.62,12.54,0.89,11.15,0.504
48,1046,0,5.58,12.54,0.89,11.21,0.498
49,1048,0,5.68,12.54,0.89,11.15,0.509
50,1048,0,5.81,12.54,0.90,11.27,0.515
51,1050,0,5.93,12.54,0.89,11.16,0.532
52,1050,0,5.96,12.54,0.89,11.16,0.535
53,1052,0,6.07,12.54,0.90,11.27,0.539
54,1052,0,5.96,12.54,0.91,11.42,0.522
55,1054,0,6.15,12.54,0.89,11.19,0.549
56,1054,0,6.11,12.54,0.90,11.29,0.541
57,1056,0,6.12,12.54,0.90,11.31,0.541
58,1056,0,6.25,12.54,0.91,11.36,0.550
59,1058,0,6.31,12.54,0.90,11.33,0.557
60,1058,0,6.53,12.54,0.91,11.45,0.570
61,1060,0,6.52,12.54,0.91,11.44,0.570
62,1060,0,6.50,12.54,0.91,11.45,0.568
63,1062,0,6.58,12.54,0.91,11.47,0.574
64,1062,0,6.76,12.54,0.92,11.50,0.588
65,1064,0,6.92,12.54,0.92,11.52,0.600
66,1064,0,6.91,12.54,0.92,11.56,0.598
67,1066,0,7.14,12.54,0.91,11.46,0.624
68,1066,0,7.37,12.54,0.92,11.52,0.640
69,1068,0,7.47,12.54,0.92,11.52,0.649
70,1068,0,7.30,12.54,0.93,11.64,0.627
71,1070,0,7.46,12.54,0.92,11.52,0.648
72,1070,0,7.60,12.54,0.93,11.64,0.653
73,1072,0,7.82,12.54,0.93,11.66,0.670
74,1072,0,7.74,12.54,0.93,11.71,0.661
75,1074,0,7.68,12.54,0.94,11.84,0.649
76,1074,0,7.67,12.54,0.95,11.86,0.646
77,1076,0,7.72,12.54,0.94,11.81,0.654
78,1076,0,8.26,12.54,0.95,11.91,0.693
79,1078,0,8.49,12.54,0.95,11.93,0.712
80,1078,0,8.78,12.54,0.95,11.92,0.737
81,1080,0,9.08,12.54,0.95,11.87,0.764
82,1080,0,9.11,12.54,0.95,11.97,0.761
83,1082,0,9.02,12.54,0.95,11.95,0.754
84,1082,0,9.24,12.54,0.95,11.97,0.772
85,1084,0,9.53,12.54,0.95,11.92,0.799
86,1084,0,9.40,12.54,0.96,12.05,0.780
87,1086,0,9.57,12.54,0.96,12.04,0.794
88,1086,0,9.69,12.54,0.96,12.05,0.804
89,1088,0,10.07,12.54,0.96,12.08,0.834
90,1088,4088,10.25,12.54,0.96,12.07,0.849
91,1090,4140,10.22,12.54,0.97,12.17,0.840
92,1090,4182,10.32,12.54,0.98,12.23,0.843
93,1092,4217,10.45,12.54,0.98,12.25,0.853
94,1092,4260,10.46,12.54,0.97,12.18,0.858
95,1094,4277,10.78,12.54,0.97,12.22,0.882
96,1094,4285,10.90,12.54,0.97,12.23,0.891
97,1096,4294,10.98,12.54,0.98,12.29,0.893
98,1096,4311,11.14,12.53,0.99,12.46,0.895
99,1098,4328,11.16,12.54,0.98,12.34,0.904
100,1098,4337,11.55,12.54,0.99,12.42,0.930
101,1100,4337,11.71,12.54,1.00,12.49,0.937
102,1100,4345,11.85,12.54,0.99,12.41,0.955
103,1102,4345,12.27,12.54,0.99,12.36,0.992
104,1102,4380,12.34,12.54,1.00,12.51,0.987
105,1104,4380,12.52,12.54,1.00,12.55,0.997
106,1104,4380,12.71,12.54,1.00,12.57,1.012
107,1106,4380,12.79,12.54,1.01,12.69,1.008
108,1106,4380,13.09,12.54,1.01,12.69,1.032
109,1108,4380,13.33,12.54,1.02,12.78,1.043
110,1108,4388,13.61,12.54,1.01,12.70,1.072
111,1110,4474,13.91,12.54,1.01,12.70,1.096
112,1110,4474,14.08,12.54,1.02,12.78,1.101
113,1112,4474,14.21,12.54,1.02,12.79,1.110
114,1112,4474,14.54,12.54,1.02,12.85,1.132
115,1114,4474,14.34,12.54,1.02,12.85,1.116
116,1114,4474,14.36,12.54,1.02,12.84,1.118
117,1116,4534,14.52,12.53,1.04,13.02,1.115
118,1116,4542,14.86,12.54,1.04,13.08,1.135
119,1118,4542,14.86,12.54,1.04,13.06,1.138
120,1118,4542,15.19,12.54,1.04,13.07,1.162
121,1120,4542,15.53,12.54,1.04,13.08,1.188
122,1120,4542,15.58,12.54,1.04,13.01,1.198
123,1122,4542,15.65,12.54,1.05,13.16,1.189
124,1122,4542,15.53,12.54,1.05,13.18,1.178
125,1124,4542,15.43,12.54,1.05,13.18,1.171
126,1124,4542,15.80,12.54,1.05,13.19,1.198
127,1126,4542,15.76,12.54,1.05,13.19,1.195
128,1126,4542,16.10,12.54,1.06,13.25,1.215
129,1128,4542,16.29,12.54,1.05,13.22,1.232
130,1128,4542,16.09,12.54,1.07,13.41,1.201
131,1130,4542,16.27,12.54,1.07,13.45,1.210
132,1130,4542,16.73,12.54,1.06,13.35,1.253
133,1132,4542,16.78,12.54,1.07,13.41,1.251
