seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.665,0.736
2,1000,0,0.00,16.668,0.744
3,1002,0,0.00,16.670,0.735
4,1002,0,0.00,16.667,0.745
5,1004,0,0.00,16.669,0.743
6,1004,0,0.00,16.672,0.747
7,1006,0,0.00,16.672,0.745
8,1006,0,0.00,16.671,0.741
9,1008,0,0.00,16.675,0.740
10,1008,0,0.00,16.672,0.742
11,1010,0,0.00,16.672,0.740
12,1010,0,0.00,16.670,0.736
13,1012,0,0.00,16.672,0.744
14,1012,0,0.00,16.665,0.737
15,1014,0,0.00,16.666,0.758
16,1014,0,0.00,16.665,0.762
17,1016,0,0.00,16.663,0.764
18,1016,0,0.00,16.658,1.010
19,1018,0,0.00,16.653,1.370
20,1018,0,0.00,16.656,1.509
21,1020,0,0.00,16.656,1.441
22,1020,0,0.00,16.658,1.325
23,1022,0,0.00,16.654,1.216
24,1022,0,0.00,16.657,1.144
25,1024,0,0.00,16.658,1.084
26,1024,0,0.00,16.654,1.069
27,1026,0,0.00,16.666,1.050
28,1026,0,0.00,16.660,1.009
29,1028,0,0.00,16.662,0.994
30,1028,0,0.00,16.661,0.973
31,1030,0,0.00,16.656,0.954
32,1030,0,0.00,16.661,0.953
33,1032,0,0.00,16.661,0.942
34,1032,0,0.00,16.661,0.935
35,1034,0,0.00,16.660,0.932
36,1034,0,0.00,16.657,0.939
37,1036,0,0.00,16.662,0.928
38,1036,0,0.00,16.656,0.932
39,1038,0,0.00,16.663,0.924
40,1038,0,0.00,16.657,0.927
41,1040,0,0.00,16.662,0.930
42,1040,0,0.00,16.657,0.939
43,1042,0,0.00,16.661,0.936
44,1042,0,0.00,16.659,0.946
45,1044,0,0.00,16.661,0.946
46,1044,0,0.00,16.657,0.946
47,1046,0,0.00,16.664,0.942
48,1046,0,0.00,16.660,0.951
49,1048,0,0.00,16.659,0.949
50,1048,0,1.20,16.658,0.951
51,1050,0,1.55,16.658,0.958
52,1050,0,2.10,16.662,0.961
53,1052,0,2.36,16.664,0.958
54,1052,0,2.19,16.657,0.964
55,1054,0,2.18,16.659,0.971
56,1054,0,2.76,16.659,0.967
57,1056,0,2.93,16.656,0.961
58,1056,0,3.15,16.664,0.972
59,1058,0,3.44,16.658,0.978
60,1058,0,3.68,16.659,0.980
61,1060,0,4.00,16.662,0.974
62,1060,0,4.13,16.658,0.985
63,1062,0,3.80,16.663,0.981
64,1062,0,4.06,16.664,0.994
65,1064,0,4.59,16.663,0.980
66,1064,0,4.81,16.657,0.986
67,1066,0,5.13,16.662,1.000
68,1066,0,5.39,16.658,1.006
69,1068,0,5.72,16.658,0.992
70,1068,0,5.19,16.666,1.010
71,1070,0,5.00,16.659,1.011
72,1070,0,5.26,16.662,1.010
73,1072,0,5.71,16.658,1.014
74,1072,0,6.21,16.661,1.015
75,1074,0,6.15,16.660,1.023
76,1074,0,6.18,16.662,1.030
77,1076,0,6.76,16.663,1.025
78,1076,0,7.13,16.658,1.028
79,1078,0,7.18,16.659,1.022
80,1078,0,7.52,16.659,1.034
81,1080,0,7.38,16.656,1.030
82,1080,0,7.28,16.657,1.025
83,1082,0,7.66,16.656,1.039
84,1082,0,7.59,16.654,1.047
85,1084,0,7.93,16.656,1.044
86,1084,0,8.40,16.659,1.051
87,1086,0,8.63,16.659,1.057
88,1086,0,8.15,16.657,1.062
89,1088,0,8.51,16.659,1.071
90,1088,0,8.98,16.654,1.070
91,1090,0,9.00,16.658,1.064
92,1090,0,9.09,16.656,1.077
93,1092,0,9.68,16.658,1.067
94,1092,0,9.88,16.656,1.075
95,1094,0,10.21,16.657,1.076
96,1094,0,10.53,16.653,1.083
97,1096,0,11.18,16.659,1.094
98,1096,0,11.53,16.658,1.088
99,1098,0,11.75,16.660,1.102
100,1098,0,11.78,16.657,1.101
101,1100,0,11.99,16.660,1.094
102,1100,0,12.00,16.658,1.105
103,1102,0,12.34,16.660,1.100
104,1102,0,12.61,16.658,1.109
105,1104,0,12.48,16.654,1.107
106,1104,0,12.56,16.657,1.121
107,1106,0,12.73,16.662,1.124
108,1106,0,12.85,16.658,1.123
109,1108,0,13.01,16.657,1.126
110,1108,0,13.07,16.656,1.137
111,1110,0,13.63,16.656,1.112
112,1110,0,14.00,16.659,1.141
113,1112,0,14.30,16.653,1.149
114,1112,0,14.40,16.655,1.149
115,1114,0,14.60,16.657,1.159
116,1114,0,14.58,16.654,1.158
117,1116,0,14.68,16.656,1.158
118,1116,0,14.96,16.657,1.164
119,1118,0,15.34,16.657,1.179
120,1118,0,15.71,16.656,1.154
121,1120,0,16.04,16.658,1.158
122,1120,0,15.85,16.658,1.154
123,1122,0,16.29,16.658,1.156
124,1122,0,16.87,16.650,1.168
125,1124,0,17.14,16.654,1.192
126,1124,0,17.65,16.656,1.185
127,1126,0,18.42,16.658,1.177
128,1126,0,18.00,16.658,1.176
129,1128,0,17.81,16.660,1.190
130,1128,0,18.20,16.658,1.212
131,1130,0,18.67,16.657,1.209
132,1130,0,19.88,16.653,1.189
133,1132,0,20.29,16.664,1.185
134,1132,0,20.51,16.655,1.206
135,1134,0,20.82,16.661,1.185
136,1134,0,20.93,16.657,1.204
137,1136,0,20.84,16.656,1.207
138,1136,0,21.39,16.655,1.207
139,1138,0,21.64,16.648,1.211
140,1138,0,21.65,16.654,1.223
141,1140,0,21.86,16.656,1.219
142,1140,0,22.13,16.659,1.228
143,1142,0,22.52,16.656,1.221
144,1142,0,22.80,16.653,1.241
145,1144,0,23.05,16.658,1.245
146,1144,0,23.85,16.659,1.240
147,1146,0,23.96,16.656,1.250
148,1146,0,24.03,16.657,1.243
149,1148,0,24.17,16.655,1.253
150,1148,0,24.80,16.655,1.269
151,1150,0,25.14,16.657,1.274
152,1150,0,25.56,16.655,1.273
153,1152,0,26.08,16.657,1.286
154,1152,0,26.31,16.655,1.278
155,1154,0,26.80,16.655,1.279
156,1154,0,26.92,16.657,1.298
157,1156,0,27.52,16.657,1.279
158,1156,0,28.07,16.659,1.285
159,1158,0,28.20,16.651,1.286
160,1158,0,28.51,16.658,1.304
161,1160,0,29.79,16.656,1.295
162,1160,0,30.05,16.654,1.300
163,1162,0,29.97,16.660,1.304
164,1162,0,30.37,16.653,1.327
165,1164,0,30.88,16.653,1.320
166,1164,0,31.56,16.651,1.323
167,1166,0,31.67,16.650,1.323
168,1166,0,32.01,16.656,1.358
169,1168,0,32.58,16.654,1.346
170,1168,0,33.24,16.656,1.342
171,1170,0,33.00,16.655,1.334
172,1170,0,33.42,16.654,1.355
173,1172,0,33.63,16.656,1.367
174,1172,0,34.66,16.658,1.370
175,1174,0,35.47,16.651,1.375
176,1174,0,35.68,16.652,1.371
177,1176,0,36.28,16.654,1.379
178,1176,0,36.89,16.649,1.384
179,1178,0,37.66,16.652,1.393
180,1178,0,37.95,16.651,1.381
181,1180,0,38.14,16.654,1.387
182,1180,0,38.52,16.655,1.420
183,1182,0,39.23,16.655,1.417
184,1182,0,39.76,16.653,1.423
185,1184,0,39.78,16.655,1.433
186,1184,0,40.34,16.650,1.433
187,1186,0,40.18,16.658,1.438
188,1186,0,40.65,16.651,1.443
189,1188,0,40.82,16.654,1.460
190,1188,0,42.13,16.657,1.449
191,1190,0,42.32,16.652,1.461
192,1190,0,43.00,16.651,1.484
193,1192,0,43.54,16.651,1.486
194,1192,0,43.75,16.649,1.503
195,1194,0,44.30,16.651,1.512
196,1194,0,45.16,16.652,1.515
197,1196,0,46.61,16.654,1.506
198,1196,0,47.24,16.652,1.522
199,1198,0,47.62,16.651,1.532
200,1198,0,48.16,16.647,1.544
