seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.727,0.729
2,1000,0,0.00,16.733,0.740
3,1002,0,0.00,16.730,0.745
4,1002,0,0.00,16.733,0.744
5,1004,0,0.00,16.731,0.743
6,1004,0,0.00,16.733,0.738
7,1006,0,0.00,16.725,0.737
8,1006,0,0.00,16.730,0.742
9,1008,0,0.00,16.729,0.733
10,1008,0,0.00,16.732,0.736
11,1010,0,0.00,16.730,0.741
12,1010,0,0.00,16.736,0.737
13,1012,0,0.00,16.733,0.740
14,1012,0,0.00,16.727,0.735
15,1014,0,0.00,16.724,0.744
16,1014,0,0.00,16.727,0.759
17,1016,0,0.00,16.727,0.768
18,1016,0,0.00,16.720,0.905
19,1018,0,0.00,16.720,1.173
20,1018,0,0.00,16.716,1.240
21,1020,0,0.00,16.716,1.196
22,1020,0,0.00,16.716,1.129
23,1022,0,1.33,16.719,1.074
24,1022,0,1.77,16.722,1.054
25,1024,0,1.73,16.722,1.035
26,1024,0,2.14,16.720,1.012
27,1026,0,3.35,16.723,0.989
28,1026,0,3.41,16.722,0.973
29,1028,0,3.89,16.721,0.962
30,1028,0,3.83,16.721,0.937
31,1030,0,4.29,16.726,0.930
32,1030,0,4.77,16.719,0.934
33,1032,0,4.69,16.724,0.931
34,1032,0,4.75,16.723,0.922
35,1034,0,5.36,16.724,0.920
36,1034,0,5.72,16.721,0.927
37,1036,0,5.49,16.722,0.925
38,1036,0,5.83,16.722,0.938
39,1038,0,6.52,16.722,0.922
40,1038,0,6.47,16.724,0.922
41,1040,0,6.97,16.725,0.930
42,1040,0,7.40,16.725,0.922
43,1042,0,7.38,16.721,0.929
44,1042,0,7.66,16.721,0.937
45,1044,0,7.79,16.725,0.934
46,1044,0,7.46,16.723,0.935
47,1046,0,8.04,16.726,0.937
48,1046,0,8.27,16.723,0.955
49,1048,0,8.40,16.719,0.942
50,1048,0,8.77,16.721,0.949
51,1050,0,8.85,16.724,0.944
52,1050,0,8.82,16.724,0.949
53,1052,0,8.83,16.724,0.967
54,1052,0,9.89,16.722,0.973
55,1054,0,9.93,16.725,0.967
56,1054,0,10.33,16.720,0.962
57,1056,0,10.89,16.719,0.961
58,1056,0,11.39,16.722,0.966
59,1058,0,11.78,16.720,0.969
60,1058,0,11.89,16.721,0.966
61,1060,0,11.78,16.718,0.976
62,1060,0,12.04,16.724,0.976
63,1062,0,12.22,16.725,0.989
64,1062,0,12.39,16.720,0.981
65,1064,0,13.10,16.719,0.986
66,1064,0,13.58,16.721,0.996
67,1066,0,13.88,16.724,0.988
68,1066,0,14.44,16.723,0.988
69,1068,0,14.71,16.725,0.993
70,1068,0,14.47,16.723,0.997
71,1070,0,14.58,16.723,1.018
72,1070,0,14.95,16.721,1.022
73,1072,0,15.53,16.722,1.005
74,1072,0,15.92,16.720,1.013
75,1074,0,16.40,16.722,1.008
76,1074,0,16.40,16.721,1.009
77,1076,0,16.60,16.720,1.015
78,1076,0,16.67,16.724,1.011
79,1078,0,16.75,16.721,1.024
80,1078,0,17.05,16.724,1.034
81,1080,0,17.97,16.726,1.040
82,1080,0,18.01,16.722,1.038
83,1082,0,18.97,16.721,1.040
84,1082,0,18.61,16.728,1.036
85,1084,0,18.65,16.720,1.044
86,1084,0,18.77,16.722,1.055
87,1086,0,18.68,16.724,1.038
