seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.746,0.741
2,1000,0,0.00,16.748,0.744
3,1002,0,0.00,16.743,0.743
4,1002,0,0.00,16.744,0.743
5,1004,0,0.00,16.743,0.739
6,1004,0,0.00,16.746,0.731
7,1006,0,0.00,16.742,0.733
8,1006,0,0.00,16.743,0.737
9,1008,0,0.00,16.742,0.734
10,1008,0,0.00,16.745,0.740
11,1010,0,0.00,16.741,0.738
12,1010,0,0.00,16.743,0.738
13,1012,0,0.00,16.742,0.741
14,1012,0,0.00,16.743,0.734
15,1014,0,0.00,16.745,0.752
16,1014,0,0.00,16.739,0.764
17,1016,0,0.00,16.739,0.768
18,1016,0,0.00,16.735,0.952
19,1018,0,0.00,16.732,1.168
20,1018,0,4.17,16.732,1.195
21,1020,0,6.36,16.732,1.141
22,1020,0,8.52,16.735,1.087
23,1022,0,10.01,16.731,1.052
24,1022,0,11.65,16.735,1.039
25,1024,0,12.28,16.735,1.016
26,1024,0,12.99,16.730,0.998
27,1026,0,13.66,16.738,0.980
28,1026,0,14.64,16.740,0.955
29,1028,0,14.80,16.734,0.961
30,1028,0,15.51,16.733,0.938
31,1030,0,15.89,16.733,0.936
32,1030,0,15.84,16.738,0.943
33,1032,0,15.97,16.735,0.941
34,1032,0,16.33,16.740,0.943
35,1034,0,16.13,16.732,0.940
36,1034,0,16.34,16.735,0.941
37,1036,0,17.14,16.733,0.940
38,1036,0,17.35,16.734,0.943
39,1038,0,17.66,16.738,0.944
40,1038,0,17.96,16.735,0.954
41,1040,0,18.16,16.735,0.952
42,1040,0,18.26,16.737,0.959
43,1042,0,18.40,16.738,0.969
44,1042,0,18.31,16.735,0.970
45,1044,0,18.85,16.735,0.964
46,1044,0,18.96,16.735,0.967
47,1046,0,19.44,16.735,0.970
48,1046,0,19.85,16.737,0.975
49,1048,0,20.18,16.737,0.987
50,1048,0,20.18,16.735,0.976
51,1050,0,20.33,16.734,0.973
52,1050,0,21.19,16.735,0.992
53,1052,0,21.35,16.739,1.009
54,1052,0,21.43,16.728,0.993
55,1054,0,21.65,16.732,0.996
56,1054,0,21.72,16.736,0.999
57,1056,0,22.22,16.737,1.006
58,1056,0,22.59,16.736,0.998
59,1058,0,23.49,16.734,1.007
60,1058,0,24.39,16.733,1.004
61,1060,0,24.52,16.732,1.012
62,1060,0,24.66,16.737,1.021
63,1062,0,24.93,16.736,1.025
64,1062,0,24.85,16.734,1.022
65,1064,0,25.08,16.733,1.032
66,1064,0,25.85,16.735,1.041
67,1066,0,26.65,16.735,1.047
68,1066,0,27.09,16.737,1.034
69,1068,0,27.65,16.730,1.040
70,1068,0,27.90,16.731,1.043
71,1070,0,28.30,16.731,1.044
72,1070,0,28.41,16.733,1.049
73,1072,0,28.61,16.733,1.053
74,1072,0,29.62,16.735,1.060
75,1074,0,30.06,16.729,1.073
76,1074,0,29.97,16.727,1.076
77,1076,0,30.25,16.735,1.072
78,1076,0,30.46,16.734,1.076
79,1078,0,30.66,16.739,1.076
80,1078,0,31.11,16.733,1.076
81,1080,0,31.24,16.733,1.082
82,1080,0,31.49,16.733,1.092
83,1082,0,31.71,16.732,1.094
84,1082,0,32.00,16.734,1.094
85,1084,0,32.27,16.733,1.098
86,1084,0,32.65,16.732,1.104
87,1086,0,33.33,16.731,1.110
88,1086,0,33.61,16.733,1.111
89,1088,0,34.32,16.730,1.094
90,1088,0,34.75,16.731,1.097
91,1090,0,34.90,16.734,1.109
92,1090,0,35.78,16.736,1.116
93,1092,0,36.49,16.734,1.115
94,1092,0,36.89,16.727,1.126
95,1094,0,37.19,16.731,1.136
96,1094,0,37.23,16.730,1.142
97,1096,0,37.66,16.732,1.132
98,1096,0,37.89,16.733,1.146
99,1098,0,38.02,16.733,1.149
100,1098,0,38.10,16.734,1.147
101,1100,0,38.54,16.728,1.160
102,1100,0,39.21,16.730,1.169
103,1102,0,39.73,16.731,1.169
104,1102,0,40.38,16.727,1.172
105,1104,0,41.04,16.731,1.171
106,1104,0,41.39,16.730,1.177
107,1106,0,41.80,16.733,1.193
108,1106,0,42.55,16.736,1.198
109,1108,0,42.79,16.732,1.203
110,1108,0,42.85,16.729,1.203
111,1110,0,42.92,16.734,1.199
112,1110,0,43.40,16.733,1.206
113,1112,0,44.24,16.729,1.204
114,1112,0,44.67,16.730,1.224
115,1114,0,44.34,16.730,1.232
116,1114,0,44.64,16.731,1.237
117,1116,0,44.91,16.730,1.235
118,1116,0,45.72,16.729,1.242
119,1118,0,46.17,16.729,1.236
120,1118,0,46.83,16.724,1.250
121,1120,0,47.23,16.727,1.243
122,1120,0,47.25,16.729,1.247
123,1122,0,47.23,16.733,1.246
124,1122,0,47.73,16.734,1.257
125,1124,0,48.54,16.732,1.266
126,1124,0,49.06,16.727,1.275
127,1126,0,49.49,16.732,1.269
128,1126,0,49.90,16.732,1.273
129,1128,0,49.98,16.729,1.284
130,1128,0,49.86,16.730,1.286
131,1130,0,50.21,16.729,1.292
132,1130,0,51.24,16.732,1.311
133,1132,0,51.35,16.731,1.285
134,1132,0,51.23,16.738,1.302
135,1134,0,51.50,16.731,1.297
136,1134,0,51.67,16.730,1.303
137,1136,0,51.99,16.731,1.302
138,1136,0,52.38,16.730,1.303
139,1138,0,53.29,16.726,1.309
140,1138,0,52.93,16.726,1.313
141,1140,0,53.43,16.731,1.320
142,1140,0,54.03,16.729,1.330
143,1142,0,54.23,16.731,1.335
144,1142,0,54.94,16.730,1.335
145,1144,0,55.48,16.730,1.375
146,1144,0,55.84,16.726,1.364
147,1146,0,56.31,16.730,1.355
148,1146,0,56.75,16.730,1.361
149,1148,0,57.10,16.726,1.352
150,1148,0,56.97,16.730,1.369
151,1150,0,57.60,16.727,1.379
152,1150,0,58.08,16.730,1.389
153,1152,0,58.32,16.735,1.395
154,1152,0,59.83,16.728,1.385
155,1154,0,60.22,16.731,1.394
156,1154,0,60.44,16.731,1.400
157,1156,0,61.12,16.727,1.416
158,1156,0,61.52,16.728,1.425
159,1158,0,61.77,16.728,1.432
160,1158,0,62.40,16.726,1.425
161,1160,0,62.40,16.723,1.425
162,1160,0,62.86,16.730,1.437
163,1162,0,63.26,16.725,1.448
164,1162,0,63.66,16.727,1.441
165,1164,0,64.59,16.726,1.451
166,1164,0,65.50,16.729,1.462
167,1166,0,65.63,16.727,1.464
168,1166,0,66.02,16.731,1.471
169,1168,0,67.35,16.728,1.486
170,1168,0,67.99,16.724,1.487
171,1170,0,68.60,16.727,1.490
172,1170,0,69.11,16.726,1.478
173,1172,0,69.35,16.724,1.481
174,1172,0,69.64,16.727,1.494
175,1174,0,70.57,16.726,1.499
176,1174,0,71.32,16.726,1.501
177,1176,0,72.00,16.727,1.501
178,1176,0,72.71,16.726,1.523
179,1178,0,73.33,16.725,1.539
180,1178,0,74.25,16.727,1.525
181,1180,0,74.99,16.724,1.534
182,1180,0,75.51,16.725,1.557
183,1182,0,77.35,16.727,1.558
184,1182,0,78.25,16.727,1.578
185,1184,0,79.08,16.724,1.578
186,1184,0,79.81,16.721,1.587
187,1186,0,80.87,16.723,1.589
188,1186,0,82.23,16.728,1.603
189,1188,0,83.42,16.728,1.594
190,1188,0,84.91,16.725,1.627
191,1190,0,85.81,16.724,1.631
192,1190,0,87.47,16.724,1.627
193,1192,0,88.97,16.723,1.613
194,1192,0,89.73,16.720,1.630
195,1194,0,90.22,16.718,1.629
196,1194,0,91.21,16.726,1.648
197,1196,0,91.69,16.733,1.647
198,1196,0,92.33,16.722,1.691
199,1198,0,93.59,16.722,1.680
200,1198,0,94.54,16.726,1.672
201,1200,0,95.09,16.723,1.685
202,1200,0,96.30,16.723,1.679
203,1202,0,97.71,16.722,1.695
204,1202,0,98.23,16.721,1.707
205,1204,0,99.46,16.724,1.721
206,1204,0,100.14,16.720,1.738
207,1206,0,100.66,16.718,1.727
208,1206,0,100.76,16.727,1.749
209,1208,0,101.52,16.722,1.747
210,1208,0,102.07,16.724,1.767
211,1210,0,102.46,16.719,1.782
212,1210,0,103.99,16.720,1.797
213,1212,0,105.10,16.722,1.787
214,1212,0,105.32,16.725,1.798
215,1214,0,105.26,16.719,1.841
216,1214,0,105.93,16.722,1.856
217,1216,0,107.06,16.722,1.862
218,1216,0,108.38,16.719,1.865
219,1218,0,109.46,16.719,1.865
220,1218,0,110.25,16.719,1.887
221,1220,0,111.34,16.718,1.903
222,1220,0,111.96,16.718,1.911
223,1222,0,112.47,16.721,1.914
224,1222,8742,113.54,16.716,1.914
225,1224,8991,113.93,16.721,1.924
226,1224,9282,115.59,16.717,1.941
227,1226,9445,116.36,16.718,1.930
228,1226,9514,116.65,16.720,1.922
229,1228,9540,116.89,16.720,1.951
230,1228,9574,117.11,16.719,1.967
231,1230,9591,117.78,16.721,1.971
232,1230,9617,118.72,16.715,1.988
233,1232,9651,118.99,16.719,1.998
234,1232,9685,119.84,16.718,2.005
235,1234,9728,120.16,16.717,2.010
236,1234,9771,120.79,16.721,2.012
237,1236,9805,121.82,16.720,2.019
238,1236,9831,121.96,16.712,2.047
239,1238,9865,122.29,16.718,2.046
240,1238,9874,122.93,16.718,2.043
241,1240,9900,123.34,16.718,2.046
242,1240,9934,124.19,16.717,2.067
243,1242,9960,124.55,16.719,2.069
244,1242,9985,124.47,16.714,2.078
245,1244,10011,124.94,16.710,2.078
246,1244,10045,125.58,16.713,2.100
247,1246,10062,125.78,16.715,2.108
248,1246,10088,126.54,16.714,2.118
249,1248,10114,127.23,16.714,2.096
250,1248,10165,127.74,16.717,2.135
251,1250,10200,127.82,16.714,2.104
252,1250,10191,128.27,16.709,2.112
253,1252,10191,127.91,16.717,2.102
254,1252,10174,127.54,16.717,2.111
255,1254,10174,127.65,16.715,2.097
256,1254,10165,127.76,16.719,2.088
257,1256,10165,127.99,16.712,2.111
258,1256,10174,127.91,16.715,2.160
259,1258,10191,128.15,16.715,2.224
260,1258,10242,128.82,16.715,2.273
261,1260,10277,129.99,16.713,2.265
262,1260,10328,132.00,16.715,2.268
263,1262,10397,132.48,16.714,2.258
264,1262,10440,132.87,16.709,2.284
265,1264,10482,133.46,16.711,2.278
266,1264,10534,133.90,16.713,2.296
267,1266,10568,134.14,16.710,2.301
268,1266,10585,135.30,16.708,2.311
269,1268,10620,136.38,16.713,2.325
270,1268,10628,136.79,16.715,2.335
271,1270,10645,137.33,16.710,2.326
272,1270,10654,137.50,16.715,2.344
273,1272,10662,137.92,16.710,2.364
274,1272,10697,138.49,16.711,2.362
275,1274,10740,138.98,16.704,2.399
276,1274,10740,139.71,16.711,2.421
277,1276,10757,140.41,16.710,2.416
278,1276,10834,141.55,16.707,2.409
279,1278,10920,142.57,16.710,2.409
280,1278,10971,143.28,16.711,2.416
