seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.720,0.740
2,1000,0,0.00,16.727,0.736
3,1002,0,0.00,16.726,0.737
4,1002,0,0.00,16.727,0.737
5,1004,0,0.00,16.729,0.734
6,1004,0,0.00,16.727,0.730
7,1006,0,0.00,16.724,0.740
8,1006,0,0.00,16.719,0.738
9,1008,0,0.00,16.730,0.736
10,1008,0,0.00,16.723,0.733
11,1010,0,0.00,16.728,0.737
12,1010,0,0.00,16.722,0.739
13,1012,0,0.00,16.724,0.734
14,1012,0,0.00,16.724,0.737
15,1014,0,0.00,16.719,0.759
16,1014,0,0.00,16.721,0.768
17,1016,0,0.00,16.716,0.764
18,1016,0,0.00,16.714,0.982
19,1018,0,0.00,16.711,1.257
20,1018,0,3.97,16.709,1.312
21,1020,0,5.81,16.716,1.292
22,1020,0,7.18,16.715,1.239
23,1022,0,7.55,16.712,1.184
24,1022,0,7.92,16.713,1.138
25,1024,0,8.63,16.718,1.129
26,1024,0,8.85,16.713,1.114
27,1026,0,9.81,16.710,1.101
28,1026,0,10.46,16.714,1.073
29,1028,0,11.48,16.713,1.059
30,1028,0,11.96,16.719,1.041
31,1030,0,12.97,16.713,1.030
32,1030,0,13.42,16.714,1.012
33,1032,0,14.34,16.717,1.012
34,1032,0,15.66,16.717,0.996
35,1034,0,16.09,16.719,0.994
36,1034,0,16.24,16.717,0.997
37,1036,0,17.13,16.715,0.981
38,1036,0,17.69,16.722,0.994
39,1038,0,18.36,16.720,0.995
40,1038,0,18.84,16.715,0.996
41,1040,0,19.12,16.712,0.990
42,1040,0,20.48,16.718,0.998
43,1042,0,20.75,16.716,0.985
44,1042,0,20.98,16.713,1.004
45,1044,0,21.25,16.719,1.007
46,1044,0,21.55,16.714,0.994
47,1046,0,22.22,16.717,0.991
48,1046,0,22.75,16.714,1.005
49,1048,0,22.66,16.714,1.004
50,1048,0,23.20,16.716,1.008
51,1050,0,23.48,16.717,1.003
52,1050,0,23.55,16.714,1.019
53,1052,0,23.81,16.713,1.014
54,1052,0,24.36,16.717,1.035
55,1054,0,24.54,16.718,1.029
56,1054,0,25.59,16.715,1.034
57,1056,0,25.61,16.715,1.032
58,1056,0,25.36,16.719,1.044
59,1058,0,26.22,16.710,1.053
60,1058,0,26.60,16.717,1.054
61,1060,0,26.70,16.719,1.058
62,1060,0,26.99,16.720,1.060
63,1062,0,27.07,16.715,1.059
64,1062,0,27.59,16.717,1.060
65,1064,0,28.07,16.713,1.059
66,1064,0,28.31,16.714,1.060
67,1066,0,28.34,16.718,1.071
68,1066,0,28.02,16.714,1.073
69,1068,0,28.42,16.716,1.079
70,1068,0,28.83,16.718,1.090
71,1070,0,30.15,16.713,1.081
72,1070,0,30.51,16.714,1.094
73,1072,0,30.80,16.711,1.098
74,1072,0,31.68,16.714,1.111
75,1074,0,32.32,16.713,1.108
76,1074,0,32.96,16.714,1.116
77,1076,0,33.43,16.716,1.111
78,1076,0,34.17,16.714,1.108
79,1078,0,34.27,16.714,1.121
80,1078,0,34.73,16.715,1.124
81,1080,0,34.96,16.712,1.143
82,1080,0,35.22,16.715,1.157
83,1082,0,35.92,16.717,1.150
84,1082,0,36.45,16.718,1.145
85,1084,0,37.36,16.713,1.150
86,1084,0,37.81,16.717,1.153
87,1086,0,37.75,16.712,1.154
88,1086,0,38.16,16.715,1.160
89,1088,0,38.51,16.713,1.160
90,1088,0,38.92,16.712,1.159
91,1090,0,39.69,16.713,1.183
92,1090,0,39.95,16.712,1.185
93,1092,0,40.28,16.715,1.185
94,1092,0,40.56,16.715,1.191
95,1094,0,40.62,16.713,1.186
96,1094,0,40.89,16.715,1.217
97,1096,0,41.16,16.715,1.200
98,1096,0,41.55,16.713,1.208
99,1098,0,41.87,16.712,1.216
100,1098,0,42.14,16.713,1.207
101,1100,0,42.08,16.710,1.218
102,1100,0,41.88,16.713,1.227
103,1102,0,41.75,16.714,1.225
104,1102,0,41.78,16.710,1.248
105,1104,0,42.32,16.709,1.238
106,1104,0,42.64,16.712,1.234
107,1106,0,42.85,16.713,1.245
108,1106,0,43.16,16.712,1.253
109,1108,0,43.92,16.712,1.251
110,1108,0,44.71,16.709,1.255
111,1110,0,44.94,16.710,1.263
112,1110,0,45.17,16.712,1.263
113,1112,0,45.59,16.709,1.274
114,1112,0,47.07,16.714,1.285
115,1114,0,47.89,16.708,1.298
116,1114,0,48.46,16.708,1.301
117,1116,0,49.04,16.711,1.322
118,1116,0,48.73,16.711,1.308
119,1118,0,48.62,16.711,1.314
120,1118,0,48.66,16.708,1.321
121,1120,0,48.72,16.710,1.320
122,1120,0,49.69,16.709,1.331
123,1122,0,50.14,16.711,1.331
124,1122,0,50.36,16.712,1.345
125,1124,0,50.52,16.713,1.338
126,1124,0,50.92,16.714,1.357
127,1126,0,51.18,16.708,1.343
128,1126,0,51.21,16.709,1.364
129,1128,0,51.51,16.706,1.358
130,1128,0,51.51,16.708,1.383
131,1130,0,51.97,16.710,1.373
132,1130,0,52.31,16.711,1.373
133,1132,0,52.79,16.711,1.392
134,1132,0,53.54,16.712,1.397
135,1134,0,54.09,16.709,1.390
136,1134,0,54.78,16.708,1.407
137,1136,0,54.71,16.714,1.403
138,1136,0,55.37,16.711,1.394
139,1138,0,55.54,16.706,1.411
140,1138,0,55.96,16.706,1.421
141,1140,0,56.45,16.710,1.407
142,1140,0,56.84,16.711,1.419
143,1142,0,56.67,16.706,1.419
144,1142,0,57.47,16.709,1.427
145,1144,0,57.43,16.707,1.424
146,1144,0,57.92,16.710,1.423
147,1146,0,58.12,16.708,1.478
148,1146,0,58.59,16.708,1.460
149,1148,0,59.26,16.701,1.451
150,1148,0,59.71,16.713,1.451
151,1150,0,60.86,16.711,1.460
152,1150,0,61.53,16.708,1.469
153,1152,0,61.92,16.710,1.470
154,1152,0,61.71,16.704,1.472
155,1154,0,62.01,16.709,1.470
156,1154,0,62.73,16.708,1.484
157,1156,0,63.18,16.708,1.490
158,1156,0,64.46,16.712,1.492
159,1158,0,65.01,16.708,1.506
160,1158,0,64.92,16.717,1.514
161,1160,0,65.04,16.709,1.524
162,1160,0,65.93,16.710,1.538
163,1162,0,66.83,16.709,1.525
164,1162,0,67.84,16.704,1.536
165,1164,0,69.22,16.709,1.538
166,1164,0,69.36,16.700,1.547
167,1166,0,69.48,16.706,1.558
168,1166,0,70.11,16.709,1.557
169,1168,0,71.26,16.707,1.572
170,1168,0,72.26,16.706,1.580
171,1170,0,72.53,16.706,1.578
172,1170,0,72.89,16.706,1.606
173,1172,0,73.37,16.705,1.612
174,1172,0,74.09,16.702,1.612
175,1174,0,74.30,16.703,1.636
176,1174,0,75.07,16.705,1.624
177,1176,0,75.47,16.707,1.623
178,1176,0,75.81,16.704,1.634
179,1178,0,76.00,16.700,1.656
180,1178,0,77.00,16.702,1.651
181,1180,0,77.35,16.706,1.659
182,1180,0,77.96,16.703,1.668
183,1182,0,78.43,16.705,1.676
184,1182,0,79.09,16.704,1.681
185,1184,0,79.93,16.706,1.679
186,1184,0,80.53,16.705,1.699
187,1186,0,81.67,16.703,1.690
188,1186,0,81.84,16.699,1.707
189,1188,0,82.61,16.701,1.717
190,1188,0,83.65,16.703,1.729
191,1190,0,84.46,16.711,1.747
192,1190,0,85.04,16.702,1.758
193,1192,0,85.90,16.701,1.755
194,1192,0,86.92,16.699,1.770
195,1194,0,88.20,16.703,1.777
196,1194,0,89.57,16.699,1.775
197,1196,0,90.08,16.703,1.778
198,1196,0,90.18,16.711,1.793
199,1198,0,90.56,16.700,1.799
200,1198,0,91.21,16.706,1.811
201,1200,0,92.00,16.700,1.820
202,1200,0,93.81,16.698,1.857
203,1202,0,94.61,16.700,1.845
204,1202,0,94.81,16.702,1.860
205,1204,0,95.08,16.703,1.868
206,1204,0,96.11,16.705,1.878
207,1206,0,96.43,16.704,1.867
208,1206,0,96.54,16.701,1.877
209,1208,0,97.54,16.701,1.892
210,1208,0,98.40,16.701,1.912
211,1210,0,99.63,16.700,1.909
212,1210,0,99.70,16.702,1.907
213,1212,0,100.35,16.701,1.935
214,1212,0,100.88,16.697,1.949
215,1214,0,101.64,16.702,1.939
216,1214,0,102.39,16.702,1.956
217,1216,0,102.51,16.696,1.959
218,1216,0,102.66,16.703,1.983
219,1218,0,102.55,16.697,2.001
220,1218,0,103.52,16.701,2.009
221,1220,0,104.27,16.697,2.015
222,1220,0,104.85,16.700,2.012
223,1222,0,105.57,16.699,2.033
224,1222,0,106.18,16.698,2.037
225,1224,0,107.18,16.695,2.054
226,1224,0,107.87,16.698,2.057
227,1226,0,108.13,16.699,2.084
228,1226,0,109.21,16.701,2.100
229,1228,0,110.31,16.697,2.088
230,1228,0,111.06,16.699,2.093
231,1230,0,112.04,16.696,2.113
232,1230,0,112.83,16.696,2.134
233,1232,0,113.31,16.694,2.126
234,1232,0,114.26,16.700,2.137
235,1234,0,114.85,16.697,2.156
236,1234,0,115.56,16.698,2.195
237,1236,0,116.46,16.694,2.172
238,1236,0,117.71,16.695,2.203
239,1238,0,118.60,16.689,2.213
240,1238,0,119.01,16.691,2.223
241,1240,0,119.07,16.694,2.231
242,1240,0,119.69,16.692,2.248
243,1242,0,120.61,16.698,2.266
244,1242,0,121.64,16.697,2.295
245,1244,0,122.47,16.694,2.304
246,1244,0,123.25,16.688,2.285
247,1246,0,123.89,16.692,2.307
248,1246,0,124.17,16.690,2.324
249,1248,0,124.80,16.693,2.327
250,1248,0,125.50,16.695,2.338
251,1250,0,126.58,16.688,2.344
252,1250,9085,126.84,16.694,2.357
253,1252,9145,127.54,16.692,2.354
254,1252,9205,128.48,16.692,2.375
255,1254,9342,128.57,16.689,2.412
256,1254,9402,128.96,16.691,2.413
257,1256,9505,129.69,16.693,2.411
258,1256,9582,130.09,16.693,2.417
259,1258,9591,130.22,16.690,2.427
260,1258,9600,131.36,16.691,2.434
261,1260,9600,131.48,16.697,2.442
