seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.72,0.74,12.37,0.000
2,1000,0,0.00,16.73,0.74,12.31,0.000
3,1002,0,0.00,16.73,0.74,12.33,0.000
4,1002,0,0.00,16.73,0.74,12.33,0.000
5,1004,0,0.00,16.73,0.73,12.28,0.000
6,1004,0,0.00,16.73,0.73,12.21,0.000
7,1006,0,0.00,16.72,0.74,12.38,0.000
8,1006,0,0.00,16.72,0.74,12.34,0.000
9,1008,0,0.00,16.73,0.74,12.31,0.000
10,1008,0,0.00,16.72,0.73,12.26,0.000
11,1010,0,0.00,16.73,0.74,12.33,0.000
12,1010,0,0.00,16.72,0.74,12.36,0.000
13,1012,0,0.00,16.72,0.73,12.28,0.000
14,1012,0,0.00,16.72,0.74,12.33,0.000
15,1014,0,0.00,16.72,0.76,12.69,0.000
16,1014,0,0.00,16.72,0.77,12.84,0.000
17,1016,0,0.00,16.72,0.76,12.77,0.000
18,1016,0,0.00,16.71,0.98,16.41,0.000
19,1018,0,0.00,16.71,1.26,21.01,0.000
20,1018,0,3.97,16.71,1.31,21.92,0.181
21,1020,0,5.81,16.72,1.29,21.60,0.269
22,1020,0,7.18,16.71,1.24,20.71,0.347
23,1022,0,7.55,16.71,1.18,19.79,0.382
24,1022,0,7.92,16.71,1.14,19.02,0.416
25,1024,0,8.63,16.72,1.13,18.87,0.457
26,1024,0,8.85,16.71,1.11,18.62,0.475
27,1026,0,9.81,16.71,1.10,18.40,0.533
28,1026,0,10.46,16.71,1.07,17.93,0.583
29,1028,0,11.48,16.71,1.06,17.70,0.649
30,1028,0,11.96,16.72,1.04,17.40,0.687
31,1030,0,12.97,16.71,1.03,17.21,0.753
32,1030,0,13.42,16.71,1.01,16.91,0.793
33,1032,0,14.34,16.72,1.01,16.92,0.848
34,1032,0,15.66,16.72,1.00,16.65,0.941
35,1034,0,16.09,16.72,0.99,16.62,0.968
36,1034,0,16.24,16.72,1.00,16.67,0.974
37,1036,0,17.13,16.71,0.98,16.40,1.045
38,1036,0,17.69,16.72,0.99,16.62,1.064
39,1038,0,18.36,16.72,0.99,16.64,1.104
40,1038,0,18.84,16.71,1.00,16.65,1.132
41,1040,0,19.12,16.71,0.99,16.54,1.156
42,1040,0,20.48,16.72,1.00,16.68,1.227
43,1042,0,20.75,16.72,0.98,16.47,1.260
44,1042,0,20.98,16.71,1.00,16.78,1.250
45,1044,0,21.25,16.72,1.01,16.84,1.262
46,1044,0,21.55,16.71,0.99,16.61,1.297
47,1046,0,22.22,16.72,0.99,16.57,1.341
48,1046,0,22.75,16.71,1.00,16.80,1.354
49,1048,0,22.66,16.71,1.00,16.78,1.350
50,1048,0,23.20,16.72,1.01,16.85,1.377
51,1050,0,23.48,16.72,1.00,16.77,1.400
52,1050,0,23.55,16.71,1.02,17.03,1.383
53,1052,0,23.81,16.71,1.01,16.95,1.405
54,1052,0,24.36,16.72,1.03,17.30,1.408
55,1054,0,24.54,16.72,1.03,17.20,1.427
56,1054,0,25.59,16.71,1.03,17.28,1.481
57,1056,0,25.61,16.71,1.03,17.25,1.485
58,1056,0,25.36,16.72,1.04,17.45,1.453
59,1058,0,26.22,16.71,1.05,17.60,1.490
60,1058,0,26.60,16.72,1.05,17.62,1.510
61,1060,0,26.70,16.72,1.06,17.69,1.509
62,1060,0,26.99,16.72,1.06,17.72,1.523
63,1062,0,27.07,16.71,1.06,17.70,1.529
64,1062,0,27.59,16.72,1.06,17.72,1.557
65,1064,0,28.07,16.71,1.06,17.70,1.586
66,1064,0,28.31,16.71,1.06,17.72,1.598
67,1066,0,28.34,16.72,1.07,17.90,1.583
68,1066,0,28.02,16.71,1.07,17.93,1.562
69,1068,0,28.42,16.72,1.08,18.04,1.576
70,1068,0,28.83,16.72,1.09,18.22,1.582
71,1070,0,30.15,16.71,1.08,18.07,1.669
72,1070,0,30.51,16.71,1.09,18.29,1.669
73,1072,0,30.80,16.71,1.10,18.35,1.679
