seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.57,0.73,9.15,0.000
2,1000,0,0.00,12.57,0.73,9.22,0.000
3,1002,0,0.00,12.57,0.73,9.18,0.000
4,1002,0,0.00,12.57,0.73,9.23,0.000
5,1004,0,0.00,12.57,0.73,9.13,0.000
6,1004,0,0.00,12.57,0.73,9.13,0.000
7,1006,0,0.00,12.57,0.73,9.20,0.000
8,1006,0,0.00,12.57,0.73,9.15,0.000
9,1008,0,0.00,12.57,0.72,9.11,0.000
10,1008,0,0.00,12.57,0.73,9.15,0.000
11,1010,0,0.00,12.57,0.73,9.22,0.000
12,1010,0,0.00,12.57,0.73,9.14,0.000
13,1012,0,0.00,12.57,0.73,9.21,0.000
14,1012,0,0.00,12.57,0.73,9.19,0.000
15,1014,0,0.00,12.56,0.73,9.20,0.000
16,1014,0,0.00,12.57,0.75,9.39,0.000
17,1016,0,0.00,12.57,0.75,9.39,0.000
18,1016,0,0.00,12.56,0.89,11.18,0.000
19,1018,0,0.00,12.56,1.10,13.88,0.000
20,1018,0,2.88,12.56,1.17,14.73,0.195
21,1020,0,3.56,12.56,1.15,14.46,0.246
22,1020,0,4.14,12.56,1.09,13.67,0.303
23,1022,0,4.57,12.56,1.04,13.02,0.351
24,1022,0,5.71,12.56,0.99,12.49,0.457
25,1024,0,5.82,12.56,0.97,12.16,0.479
26,1024,0,5.79,12.56,0.96,12.11,0.478
27,1026,0,6.25,12.56,0.94,11.83,0.528
28,1026,0,6.48,12.56,0.94,11.80,0.549
29,1028,0,6.80,12.56,0.92,11.58,0.587
30,1028,0,7.23,12.57,0.90,11.33,0.639
31,1030,0,7.77,12.57,0.90,11.31,0.686
32,1030,0,8.06,12.56,0.90,11.28,0.714
33,1032,0,8.78,12.56,0.89,11.12,0.789
34,1032,0,8.96,12.56,0.89,11.18,0.802
35,1034,0,9.20,12.56,0.89,11.22,0.820
36,1034,0,9.50,12.56,0.88,11.08,0.857
37,1036,0,9.73,12.56,0.89,11.16,0.872
38,1036,0,9.63,12.56,0.90,11.26,0.855
39,1038,0,9.56,12.56,0.89,11.19,0.854
40,1038,0,9.96,12.56,0.89,11.14,0.894
41,1040,0,10.16,12.56,0.89,11.14,0.913
42,1040,0,10.57,12.56,0.89,11.19,0.945
43,1042,0,10.55,12.56,0.90,11.32,0.932
44,1042,0,10.80,12.56,0.90,11.30,0.956
45,1044,0,10.81,12.57,0.90,11.30,0.957
46,1044,0,11.21,12.56,0.90,11.35,0.988
47,1046,0,11.27,12.56,0.90,11.29,0.998
48,1046,0,11.43,12.56,0.91,11.41,1.001
49,1048,0,11.50,12.56,0.91,11.37,1.011
50,1048,0,11.42,12.56,0.91,11.41,1.001
51,1050,0,11.66,12.56,0.91,11.44,1.019
52,1050,0,11.70,12.56,0.91,11.44,1.022
53,1052,0,11.87,12.56,0.92,11.51,1.031
54,1052,0,12.11,12.57,0.92,11.60,1.044
55,1054,0,12.43,12.56,0.91,11.46,1.084
56,1054,0,12.64,12.56,0.92,11.56,1.094
57,1056,0,12.68,12.56,0.92,11.53,1.100
58,1056,0,12.62,12.56,0.93,11.63,1.085
59,1058,0,12.68,12.56,0.92,11.61,1.091
60,1058,0,12.81,12.57,0.93,11.66,1.099
61,1060,0,12.93,12.56,0.93,11.64,1.111
62,1060,0,13.07,12.56,0.93,11.66,1.122
63,1062,0,13.43,12.56,0.93,11.67,1.151
64,1062,0,13.24,12.56,0.94,11.85,1.118
65,1064,0,13.44,12.56,0.94,11.79,1.140
66,1064,0,13.56,12.56,0.94,11.84,1.146
67,1066,0,13.47,12.56,0.94,11.82,1.140
68,1066,0,13.73,12.56,0.94,11.85,1.159
69,1068,0,13.93,12.56,0.94,11.82,1.178
70,1068,0,13.93,12.56,0.95,11.94,1.166
71,1070,0,14.08,12.56,0.95,11.92,1.181
72,1070,0,14.30,12.56,0.95,11.93,1.199
73,1072,0,14.70,12.56,0.96,12.03,1.221
74,1072,0,15.00,12.56,0.96,12.05,1.244
75,1074,0,15.03,12.56,0.96,12.07,1.245
76,1074,0,14.89,12.56,0.95,11.98,1.243
77,1076,0,15.33,12.56,0.96,12.12,1.266
78,1076,0,15.42,12.56,0.97,12.13,1.271
79,1078,0,15.71,12.56,0.96,12.10,1.298
80,1078,0,15.93,12.56,0.96,12.08,1.319
81,1080,0,15.86,12.56,0.97,12.22,1.297
82,1080,0,16.48,12.56,0.98,12.27,1.343
