seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.561,0.721
2,1000,0,0.00,12.568,0.736
3,1002,0,0.00,12.562,0.733
4,1002,0,0.00,12.565,0.728
5,1004,0,0.00,12.572,0.725
6,1004,0,0.00,12.567,0.730
7,1006,0,0.00,12.567,0.732
8,1006,0,0.00,12.565,0.731
9,1008,0,0.00,12.562,0.723
10,1008,0,0.00,12.564,0.730
11,1010,0,0.00,12.563,0.730
12,1010,0,0.00,12.564,0.729
13,1012,0,0.00,12.565,0.735
14,1012,0,0.00,12.564,0.734
15,1014,0,0.00,12.562,0.733
16,1014,0,0.00,12.564,0.748
17,1016,0,0.00,12.561,0.745
18,1016,0,0.00,12.559,0.880
19,1018,0,0.00,12.552,1.142
20,1018,0,2.21,12.552,1.256
21,1020,0,3.08,12.554,1.242
22,1020,0,3.61,12.557,1.164
23,1022,0,4.05,12.557,1.090
24,1022,0,5.62,12.554,1.034
25,1024,0,5.62,12.556,0.993
26,1024,0,5.71,12.559,0.977
27,1026,0,6.01,12.554,0.955
28,1026,0,6.36,12.557,0.958
29,1028,0,6.27,12.562,0.936
30,1028,0,6.97,12.560,0.913
31,1030,0,7.39,12.561,0.910
32,1030,0,7.67,12.557,0.906
33,1032,0,8.13,12.557,0.889
34,1032,0,7.88,12.560,0.894
35,1034,0,8.68,12.562,0.899
36,1034,0,8.74,12.560,0.881
37,1036,0,9.16,12.561,0.891
38,1036,0,8.83,12.558,0.901
39,1038,0,8.97,12.557,0.893
40,1038,0,9.35,12.555,0.891
41,1040,0,9.44,12.560,0.894
42,1040,0,9.97,12.554,0.894
43,1042,0,9.83,12.560,0.899
44,1042,0,10.20,12.557,0.899
45,1044,0,10.33,12.562,0.897
46,1044,0,10.85,12.560,0.903
47,1046,0,10.85,12.556,0.895
48,1046,0,10.92,12.558,0.911
49,1048,0,11.11,12.555,0.904
50,1048,0,10.79,12.559,0.913
51,1050,0,10.95,12.556,0.913
52,1050,0,11.05,12.561,0.915
53,1052,0,10.88,12.556,0.921
54,1052,0,11.28,12.561,0.918
55,1054,0,11.59,12.558,0.914
56,1054,0,11.57,12.558,0.919
57,1056,0,11.84,12.558,0.920
58,1056,0,11.74,12.557,0.931
59,1058,0,11.69,12.557,0.924
60,1058,0,12.03,12.562,0.934
61,1060,0,12.17,12.557,0.927
62,1060,0,12.27,12.559,0.923
63,1062,0,12.45,12.556,0.925
64,1062,0,12.17,12.559,0.944
65,1064,0,12.28,12.561,0.933
66,1064,0,12.63,12.560,0.945
67,1066,0,12.62,12.557,0.947
68,1066,0,12.73,12.557,0.945
69,1068,0,12.79,12.558,0.939
70,1068,0,12.63,12.557,0.954
71,1070,0,12.94,12.558,0.944
72,1070,0,13.14,12.558,0.952
73,1072,0,13.76,12.556,0.959
74,1072,0,14.11,12.556,0.963
75,1074,0,14.13,12.554,0.959
76,1074,0,13.99,12.555,0.951
77,1076,0,14.20,12.558,0.963
78,1076,0,14.26,12.558,0.970
79,1078,0,14.56,12.557,0.970
80,1078,0,14.97,12.557,0.961
81,1080,0,15.01,12.555,0.973
82,1080,0,15.94,12.553,0.975
83,1082,0,16.31,12.555,0.977
84,1082,0,15.89,12.563,0.978
85,1084,0,16.45,12.554,0.974
86,1084,0,16.80,12.555,0.992
87,1086,0,16.81,12.559,0.991
88,1086,0,16.73,12.557,0.990
89,1088,0,17.00,12.558,1.002
90,1088,0,17.03,12.558,0.995
91,1090,0,17.34,12.557,0.997
92,1090,4028,17.57,12.555,1.001
93,1092,4054,17.56,12.556,1.008
94,1092,4097,17.74,12.554,1.001
