seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.75,0.73,12.30,0.000
2,1000,0,0.00,16.75,0.74,12.40,0.000
3,1002,0,0.00,16.75,0.73,12.25,0.000
4,1002,0,0.00,16.75,0.74,12.35,0.000
5,1004,0,0.00,16.75,0.73,12.24,0.000
6,1004,0,0.00,16.75,0.74,12.47,0.000
7,1006,0,0.00,16.75,0.74,12.36,0.000
8,1006,0,0.00,16.75,0.74,12.35,0.000
9,1008,0,0.00,16.75,0.73,12.27,0.000
10,1008,0,0.00,16.75,0.74,12.34,0.000
11,1010,0,0.00,16.75,0.73,12.22,0.000
12,1010,0,0.00,16.75,0.73,12.28,0.000
13,1012,0,0.00,16.75,0.73,12.23,0.000
14,1012,0,0.00,16.75,0.73,12.20,0.000
15,1014,0,0.00,16.74,0.75,12.57,0.000
16,1014,0,0.00,16.74,0.76,12.67,0.000
17,1016,0,0.00,16.74,0.76,12.75,0.000
18,1016,0,0.00,16.74,0.92,15.42,0.000
19,1018,0,0.00,16.73,1.30,21.70,0.000
20,1018,0,1.61,16.74,1.41,23.61,0.068
21,1020,0,2.80,16.74,1.35,22.61,0.124
22,1020,0,3.88,16.74,1.27,21.23,0.183
23,1022,0,5.73,16.73,1.17,19.57,0.293
24,1022,0,6.31,16.74,1.11,18.51,0.341
25,1024,0,6.89,16.74,1.08,17.99,0.383
26,1024,0,7.65,16.74,1.05,17.65,0.433
27,1026,0,8.18,16.74,1.03,17.29,0.473
28,1026,0,8.82,16.74,1.00,16.72,0.527
29,1028,0,9.54,16.74,0.99,16.60,0.575
30,1028,0,10.32,16.74,0.97,16.20,0.637
31,1030,0,10.83,16.74,0.97,16.16,0.670
32,1030,0,11.00,16.74,0.96,16.04,0.686
33,1032,0,11.07,16.74,0.95,15.84,0.699
34,1032,0,11.57,16.74,0.94,15.65,0.740
35,1034,0,11.66,16.74,0.94,15.76,0.740
36,1034,0,11.95,16.74,0.94,15.76,0.758
37,1036,0,12.41,16.75,0.95,15.90,0.781
38,1036,0,12.71,16.74,0.94,15.81,0.804
39,1038,0,13.13,16.74,0.95,15.83,0.829
40,1038,0,13.47,16.74,0.94,15.78,0.854
41,1040,0,13.77,16.74,0.94,15.78,0.873
42,1040,0,13.61,16.74,0.95,15.99,0.851
43,1042,0,13.97,16.74,0.95,15.88,0.880
44,1042,0,14.50,16.74,0.96,16.05,0.903
45,1044,0,15.18,16.74,0.96,16.08,0.944
46,1044,0,15.34,16.74,0.96,16.00,0.958
47,1046,0,15.31,16.74,0.96,16.10,0.951
48,1046,0,15.54,16.74,0.97,16.22,0.958
49,1048,0,16.00,16.74,0.97,16.28,0.983
50,1048,0,16.25,16.74,0.97,16.16,1.005
51,1050,0,16.31,16.74,0.97,16.21,1.006
52,1050,0,16.66,16.74,0.98,16.42,1.015
53,1052,0,17.05,16.74,0.98,16.45,1.036
54,1052,0,17.12,16.74,0.99,16.64,1.029
55,1054,0,17.62,16.74,0.99,16.61,1.061
56,1054,0,18.04,16.74,0.99,16.55,1.090
57,1056,0,18.32,16.74,0.99,16.55,1.107
58,1056,0,18.77,16.74,1.00,16.72,1.123
59,1058,0,18.95,16.74,1.00,16.81,1.127
60,1058,0,18.98,16.74,1.01,16.85,1.126
61,1060,0,19.26,16.74,1.01,16.92,1.138
62,1060,0,19.80,16.74,1.00,16.75,1.182
63,1062,0,20.43,16.74,1.01,16.90,1.208
64,1062,0,20.62,16.74,1.02,17.04,1.210
65,1064,0,20.93,16.74,1.02,17.08,1.225
66,1064,0,21.31,16.74,1.03,17.23,1.237
67,1066,0,22.04,16.74,1.03,17.19,1.282
68,1066,0,22.60,16.74,1.04,17.36,1.302
69,1068,0,23.21,16.74,1.03,17.32,1.341
70,1068,0,23.59,16.74,1.04,17.38,1.357
71,1070,0,23.94,16.74,1.04,17.44,1.373
72,1070,0,24.14,16.74,1.04,17.47,1.382
73,1072,0,24.26,16.74,1.04,17.38,1.396
74,1072,0,24.88,16.74,1.05,17.65,1.410
75,1074,0,25.41,16.74,1.05,17.52,1.451
76,1074,0,25.93,16.74,1.06,17.74,1.461
77,1076,0,25.93,16.74,1.06,17.71,1.464
78,1076,0,25.96,16.74,1.06,17.66,1.470
