seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.720,0.641
2,1000,0,0.00,16.725,0.582
3,1002,0,0.00,16.722,0.616
4,1002,0,0.00,16.720,0.612
5,1004,0,0.00,16.721,0.611
6,1004,0,0.00,16.725,0.605
7,1006,0,1.63,16.736,0.625
8,1006,0,0.00,16.733,0.626
9,1008,0,0.00,16.737,0.626
10,1008,0,0.00,16.727,0.614
11,1010,0,0.00,16.722,0.616
12,1010,0,0.00,16.733,0.591
13,1012,0,0.00,16.727,0.617
14,1012,0,1.53,16.728,0.618
15,1014,0,1.69,16.737,0.593
16,1014,0,0.00,16.735,0.587
17,1016,0,0.00,16.732,0.598
18,1016,0,1.53,16.720,0.619
19,1018,0,0.00,16.723,0.594
20,1018,0,0.00,16.717,0.637
21,1020,0,0.00,16.721,0.594
22,1020,0,0.00,16.709,0.615
23,1022,0,0.00,16.715,0.608
24,1022,0,0.00,16.720,0.599
25,1024,0,0.00,16.729,0.616
26,1024,0,1.77,16.736,0.605
27,1026,0,2.06,16.730,0.616
28,1026,0,1.61,16.720,0.598
29,1028,0,1.73,16.744,0.593
30,1028,0,0.00,16.720,0.573
31,1030,0,1.54,16.717,0.606
32,1030,0,0.00,16.706,0.617
33,1032,0,0.00,16.724,0.644
34,1032,0,0.00,16.732,0.585
35,1034,0,1.61,16.721,0.580
36,1034,0,0.00,16.719,0.623
37,1036,0,0.00,16.721,0.628
38,1036,0,0.00,16.718,0.623
39,1038,0,0.00,16.725,0.629
40,1038,0,0.00,16.718,0.608
41,1040,0,0.00,16.718,0.606
42,1040,0,0.00,16.722,0.635
43,1042,0,0.00,16.725,0.627
44,1042,0,0.00,16.711,0.602
45,1044,0,0.00,16.711,0.607
46,1044,0,0.00,16.736,0.658
47,1046,0,1.70,16.728,0.751
48,1046,0,2.57,16.727,0.800
49,1048,0,3.51,16.706,0.777
50,1048,0,4.53,16.706,0.786
51,1050,0,5.65,16.680,0.884
52,1050,0,6.39,16.699,0.858
53,1052,0,6.88,16.705,0.923
54,1052,0,7.42,16.729,0.920
55,1054,0,7.15,16.710,0.891
56,1054,0,6.53,16.701,0.934
57,1056,0,6.52,16.716,1.018
58,1056,0,7.27,16.728,0.988
59,1058,0,8.64,16.724,1.001
60,1058,0,8.90,16.695,0.946
61,1060,0,9.02,16.687,0.975
62,1060,0,8.91,16.722,0.957
63,1062,0,9.36,16.689,1.128
64,1062,0,9.68,16.685,1.137
65,1064,0,9.28,16.717,1.135
66,1064,0,9.75,16.672,1.033
67,1066,0,13.33,16.701,1.005
68,1066,2220,15.60,16.698,0.936
69,1068,2485,16.31,16.698,0.983
70,1068,2674,17.42,16.701,0.969
71,1070,2845,17.08,16.706,0.970
72,1070,2948,17.93,16.724,1.001
73,1072,3060,18.84,16.711,1.015
74,1072,3154,19.95,16.712,1.009
75,1074,3248,21.68,16.710,0.974
76,1074,3334,23.09,16.720,1.005
77,1076,3402,24.33,16.710,0.936
78,1076,3471,25.85,16.708,0.995
79,1078,3540,26.39,16.701,0.976
80,1078,3591,27.07,16.712,0.996
81,1080,3625,28.42,16.705,0.995
82,1080,3685,29.19,16.696,1.045
83,1082,3728,30.06,16.710,1.028
84,1082,3780,30.55,16.695,1.029
85,1084,3831,31.47,16.709,1.033
86,1084,3865,32.19,16.721,1.001
87,1086,3908,32.82,16.724,0.961
88,1086,3942,33.70,16.699,1.042
89,1088,3977,34.97,16.701,1.059
90,1088,4011,34.73,16.711,1.052
91,1090,4062,34.97,16.696,1.079
92,1090,4105,35.53,16.671,1.092
93,1092,4140,36.68,16.697,1.110
94,1092,4182,37.88,16.716,1.052
95,1094,4251,39.08,16.723,1.056
96,1094,4285,41.84,16.695,1.071
97,1096,4345,42.23,16.678,1.128
98,1096,4362,43.08,16.714,1.075
99,1098,4414,43.82,16.697,1.119
100,1098,4422,44.75,16.700,1.060
101,1100,4062,45.36,16.705,1.157
102,1100,4088,45.82,16.708,1.072
103,1102,4122,48.04,16.690,1.130
104,1102,4560,48.00,16.700,1.122
105,1104,4585,48.64,16.709,1.089
106,1104,4611,50.55,16.697,1.176
107,1106,4645,52.32,16.689,1.168
108,1106,4671,52.99,16.698,1.128
