seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.741,0.598
2,1000,0,0.00,16.746,0.609
3,1002,0,0.00,16.748,0.608
4,1002,0,0.00,16.744,0.566
5,1004,0,0.00,16.729,0.598
6,1004,0,0.00,16.738,0.595
7,1006,0,0.00,16.735,0.629
8,1006,0,0.00,16.728,0.595
9,1008,0,0.00,16.764,0.590
10,1008,0,0.00,16.733,0.590
11,1010,0,0.00,16.734,0.603
12,1010,0,0.00,16.734,1.277
13,1012,0,0.00,16.721,1.559
14,1012,0,0.00,16.710,1.577
15,1014,0,0.00,16.687,1.376
16,1014,0,0.00,16.729,1.116
17,1016,0,0.00,16.693,1.045
18,1016,0,0.00,16.732,0.967
19,1018,0,0.00,16.674,1.063
20,1018,0,0.00,16.680,1.031
21,1020,0,1.53,16.718,0.985
22,1020,2211,2.42,16.723,0.974
23,1022,2434,3.42,16.758,0.959
24,1022,2588,3.45,16.726,0.930
25,1024,2717,4.02,16.704,1.004
26,1024,2820,3.78,16.723,0.951
27,1026,2931,4.30,16.731,1.004
28,1026,3034,6.33,16.703,0.958
29,1028,3102,6.26,16.711,0.906
30,1028,3180,7.21,16.732,0.962
31,1030,3240,7.67,16.740,0.866
32,1030,3300,8.65,16.701,0.959
33,1032,3351,9.31,16.687,0.989
34,1032,3394,9.96,16.710,0.943
35,1034,3445,11.03,16.697,0.978
36,1034,3497,10.71,16.735,0.965
37,1036,3531,10.97,16.735,0.962
38,1036,3565,11.62,16.735,0.967
39,1038,3591,11.64,16.734,0.964
40,1038,3625,12.19,16.723,0.921
41,1040,3651,12.55,16.715,0.944
42,1040,3677,13.45,16.683,0.959
43,1042,3711,13.56,16.743,0.952
44,1042,3737,13.71,16.733,0.902
45,1044,3762,14.11,16.739,0.951
46,1044,3797,14.55,16.723,1.027
47,1046,3814,14.70,16.739,1.004
48,1046,3848,15.43,16.730,0.986
49,1048,3882,16.23,16.720,1.018
50,1048,3908,16.78,16.700,1.042
51,1050,3925,17.15,16.729,1.024
52,1050,3960,17.14,16.735,0.942
53,1052,3985,17.89,16.687,1.061
54,1052,4028,18.38,16.697,1.050
55,1054,4062,18.92,16.753,0.967
56,1054,4088,19.37,16.744,1.056
57,1056,4131,20.16,16.733,1.043
58,1056,4157,21.12,16.703,1.083
59,1058,4182,21.07,16.733,0.955
60,1058,4208,21.45,16.728,1.070
61,1060,4225,22.33,16.735,0.977
62,1060,4260,22.86,16.744,1.002
63,1062,4285,23.14,16.664,1.111
64,1062,4311,23.96,16.751,1.089
65,1064,4345,24.72,16.720,1.077
66,1064,4362,25.22,16.725,1.070
67,1066,4388,25.90,16.736,1.023
68,1066,4397,26.26,16.690,1.110
69,1068,4422,27.19,16.670,1.109
70,1068,4457,27.23,16.715,1.108
71,1070,4500,27.65,16.745,1.048
72,1070,4517,28.02,16.723,1.026
73,1072,4542,28.42,16.686,1.130
74,1072,4560,29.39,16.713,1.087
75,1074,4568,30.09,16.722,1.041
76,1074,4594,30.79,16.740,1.019
77,1076,4628,31.69,16.705,1.107
78,1076,4654,32.93,16.680,1.177
79,1078,4680,33.59,16.692,1.153
80,1078,4705,33.68,16.746,1.148
81,1080,4722,34.95,16.705,1.187
82,1080,4731,35.53,16.723,1.041
83,1082,4765,35.70,16.739,1.157
84,1082,4791,36.10,16.692,1.108
85,1084,4825,37.07,16.682,1.165
86,1084,4842,38.20,16.704,1.195
87,1086,4860,38.31,16.737,1.015
88,1086,4885,38.73,16.724,1.168
89,1088,4911,39.18,16.706,1.247
90,1088,4928,39.14,16.706,1.225
91,1090,4937,39.72,16.710,1.193
