seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.687,0.603
2,1000,0,0.00,16.690,0.579
3,1002,0,0.00,16.675,0.644
4,1002,0,0.00,16.702,0.606
5,1004,0,0.00,16.684,0.606
6,1004,0,0.00,16.684,0.582
7,1006,0,0.00,16.679,0.596
8,1006,0,0.00,16.685,0.587
9,1008,0,0.00,16.671,0.593
10,1008,0,0.00,16.664,0.641
11,1010,0,0.00,16.683,0.562
12,1010,0,0.00,16.682,0.604
13,1012,0,0.00,16.691,0.551
14,1012,0,0.00,16.698,0.595
15,1014,0,0.00,16.695,0.587
16,1014,0,0.00,16.675,0.617
17,1016,0,0.00,16.666,0.593
18,1016,0,0.00,16.678,0.598
19,1018,0,0.00,16.690,0.572
20,1018,0,0.00,16.691,0.576
21,1020,0,0.00,16.695,0.599
22,1020,0,0.00,16.690,0.560
23,1022,0,0.00,16.690,0.576
24,1022,0,0.00,16.685,0.613
25,1024,0,0.00,16.685,0.591
26,1024,0,0.00,16.676,0.564
27,1026,0,0.00,16.694,0.623
28,1026,0,0.00,16.668,0.612
29,1028,0,0.00,16.679,0.580
30,1028,0,0.00,16.686,0.587
31,1030,0,0.00,16.682,0.576
32,1030,0,0.00,16.668,0.612
33,1032,0,0.00,16.687,0.618
34,1032,0,0.00,16.696,0.612
35,1034,0,0.00,16.683,0.574
36,1034,0,0.00,16.684,0.603
37,1036,0,0.00,16.680,0.609
38,1036,0,0.00,16.715,0.604
39,1038,0,0.00,16.690,0.617
40,1038,0,0.00,16.698,0.582
41,1040,0,0.00,16.678,0.626
42,1040,0,0.00,16.699,0.569
43,1042,0,0.00,16.692,0.592
44,1042,0,0.00,16.682,0.614
45,1044,0,0.00,16.690,0.563
46,1044,0,0.00,16.679,0.573
47,1046,0,0.00,16.700,0.596
48,1046,0,0.00,16.667,0.753
49,1048,0,0.00,16.699,0.719
50,1048,0,0.00,16.696,0.726
51,1050,0,0.00,16.678,0.757
52,1050,0,0.00,16.658,0.880
53,1052,0,0.00,16.642,0.802
54,1052,0,1.96,16.690,0.773
55,1054,0,3.01,16.705,0.977
56,1054,0,3.39,16.671,0.794
57,1056,0,3.74,16.654,0.828
58,1056,0,4.33,16.662,0.959
59,1058,0,4.43,16.654,1.194
60,1058,0,5.02,16.652,1.055
61,1060,0,5.08,16.642,1.000
62,1060,0,5.16,16.639,1.094
63,1062,0,5.87,16.663,1.214
64,1062,0,6.33,16.666,1.150
65,1064,0,6.87,16.659,1.034
66,1064,0,6.99,16.631,0.978
67,1066,0,7.26,16.663,1.042
68,1066,0,6.63,16.679,0.935
69,1068,0,6.75,16.648,1.002
70,1068,0,8.11,16.594,1.757
71,1070,0,7.84,16.592,1.715
72,1070,0,7.25,16.670,1.366
73,1072,0,11.69,16.688,1.146
74,1072,0,12.56,16.662,1.028
75,1074,0,12.91,16.645,1.053
76,1074,2151,16.04,16.679,1.098
77,1076,2605,17.95,16.693,1.052
78,1076,2828,18.20,16.697,0.959
79,1078,3034,19.18,16.664,0.953
80,1078,3188,19.45,16.672,0.919
81,1080,3308,21.03,16.676,0.963
82,1080,3411,21.48,16.651,0.953
83,1082,3505,22.77,16.678,1.030
84,1082,3582,23.84,16.671,1.017
85,1084,3668,24.72,16.659,1.004
86,1084,3737,26.33,16.668,0.932
87,1086,3814,27.27,16.636,0.837
88,1086,3882,27.81,16.651,0.937
89,1088,3942,28.39,16.699,0.984
90,1088,3985,29.67,16.641,0.921
91,1090,4037,30.74,16.670,1.027
92,1090,4080,32.26,16.696,1.004
93,1092,4131,33.08,16.733,1.095
94,1092,4191,34.44,16.670,1.032
95,1094,4225,35.04,16.657,1.078
96,1094,4277,35.53,16.639,1.040
97,1096,4320,35.48,16.661,1.000
98,1096,4380,36.67,16.669,1.035
99,1098,4405,38.54,16.684,0.991
100,1098,4440,39.66,16.663,0.989
101,1100,4465,41.34,16.684,1.032
102,1100,4500,41.04,16.665,1.078
103,1102,4525,41.05,16.649,1.113
104,1102,4551,42.70,16.664,0.963
105,1104,4560,44.26,16.666,1.066
106,1104,4594,45.45,16.678,1.033
107,1106,4611,46.10,16.690,1.132
108,1106,4637,47.08,16.647,0.915
109,1108,4645,46.72,16.657,0.975
110,1108,4645,46.78,16.682,0.919
111,1110,4662,47.59,16.666,1.065
112,1110,4688,48.64,16.646,0.956
113,1112,4705,49.16,16.684,1.039
114,1112,4731,50.57,16.663,1.044
115,1114,4740,50.64,16.677,1.087
116,1114,4774,50.82,16.643,1.106
117,1116,4817,52.03,16.687,1.088
118,1116,4834,52.51,16.650,1.043
119,1118,4851,53.16,16.654,1.000
120,1118,4860,53.54,16.659,1.116
121,1120,4877,53.61,16.701,1.212
122,1120,4911,55.30,16.612,0.993
123,1122,4945,55.42,16.686,1.118
124,1122,4954,56.05,16.656,1.153
125,1124,4954,56.31,16.619,1.055
126,1124,4971,56.35,16.671,1.052
127,1126,5005,56.44,16.619,1.094
128,1126,5040,57.62,16.707,1.183
129,1128,5082,58.39,16.656,1.176
130,1128,5117,59.81,16.622,1.128
131,1130,5151,60.39,16.670,1.266
132,1130,5185,61.23,16.649,1.185
133,1132,5245,60.95,16.640,1.129
134,1132,5271,61.00,16.664,1.093
135,1134,5297,63.03,16.655,1.267
136,1134,5314,62.59,16.647,1.187
137,1136,5374,63.41,16.658,1.297
138,1136,5417,65.29,16.644,1.195
139,1138,5451,66.46,16.656,1.201
140,1138,5468,66.22,16.673,1.215
141,1140,5511,66.40,16.660,1.190
142,1140,5537,67.06,16.644,1.152
143,1142,5562,68.45,16.615,1.234
144,1142,5588,68.74,16.636,1.273
145,1144,5614,68.69,16.686,1.354
146,1144,5657,69.68,16.626,1.294
147,1146,5682,70.55,16.634,1.227
148,1146,5700,71.41,16.678,1.173
149,1148,5734,72.19,16.672,1.343
150,1148,5751,73.79,16.640,1.192
151,1150,5760,74.62,16.645,1.203
152,1150,5768,75.81,16.623,1.351
153,1152,5811,75.79,16.634,1.342
154,1152,5837,76.96,16.658,1.294
155,1154,5854,79.65,16.627,1.504
156,1154,5871,80.94,16.662,1.330
157,1156,5905,82.56,16.643,1.297
