seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.704,0.588
2,1000,0,0.00,16.716,0.617
3,1002,0,0.00,16.696,0.585
4,1002,0,0.00,16.695,0.606
5,1004,0,0.00,16.724,0.598
6,1004,0,0.00,16.697,0.579
7,1006,0,0.00,16.711,0.559
8,1006,0,0.00,16.713,0.684
9,1008,0,0.00,16.736,0.625
10,1008,0,0.00,16.710,0.576
11,1010,0,0.00,16.724,0.616
12,1010,0,0.00,16.700,0.552
13,1012,0,0.00,16.728,0.594
14,1012,0,0.00,16.706,0.605
15,1014,0,0.00,16.733,0.615
16,1014,0,0.00,16.732,0.585
17,1016,0,0.00,16.694,0.651
18,1016,0,0.00,16.741,1.231
19,1018,0,0.95,16.708,1.489
20,1018,0,2.81,16.655,1.417
21,1020,0,2.17,16.663,1.202
22,1020,0,3.84,16.703,0.890
23,1022,0,4.82,16.719,1.100
24,1022,0,5.42,16.725,0.925
25,1024,0,6.35,16.705,1.050
26,1024,0,8.26,16.682,1.033
27,1026,2451,9.33,16.705,0.611
28,1026,2657,10.41,16.731,0.910
29,1028,2845,10.91,16.714,0.950
30,1028,2982,11.66,16.710,0.869
31,1030,3068,11.77,16.780,0.882
32,1030,3154,11.98,16.708,0.655
33,1032,3222,12.99,16.699,0.850
34,1032,3274,14.16,16.665,0.870
35,1034,3325,14.30,16.701,0.967
36,1034,3360,14.85,16.713,0.940
37,1036,3394,15.48,16.718,0.902
38,1036,3428,15.20,16.626,0.871
39,1038,3454,16.03,16.705,0.717
40,1038,3488,16.74,16.739,0.878
41,1040,3514,16.66,16.706,1.030
42,1040,3548,17.41,16.694,0.959
43,1042,3574,18.16,16.715,0.619
44,1042,3600,18.19,16.653,0.902
45,1044,3634,17.46,16.714,0.898
46,1044,3651,17.80,16.692,0.715
47,1046,3677,18.79,16.750,0.895
48,1046,3702,18.83,16.680,0.897
49,1048,3720,19.26,16.597,0.902
50,1048,3745,19.06,16.694,0.684
51,1050,3771,19.77,16.726,0.889
52,1050,3788,19.95,16.763,0.914
53,1052,3814,20.44,16.712,0.812
54,1052,3831,20.50,16.705,0.730
55,1054,3857,20.71,16.700,0.838
56,1054,3891,21.01,16.774,0.977
57,1056,3917,21.62,16.701,1.053
58,1056,3934,22.27,16.687,0.778
59,1058,3960,22.81,16.655,0.989
60,1058,3985,22.43,16.699,1.043
61,1060,4020,23.29,16.725,1.004
62,1060,4054,24.23,16.612,0.987
63,1062,4080,24.10,16.659,1.001
64,1062,4105,24.59,16.764,0.965
65,1064,4122,25.07,16.619,1.031
66,1064,4148,25.58,16.700,0.728
67,1066,4174,26.24,16.723,1.028
68,1066,4191,27.15,16.674,0.945
69,1068,4225,27.24,16.711,0.995
70,1068,4234,27.32,16.712,0.842
71,1070,4268,27.97,16.588,1.028
72,1070,4285,27.77,16.700,0.699
73,1072,4320,28.54,16.756,1.027
74,1072,4354,28.88,16.669,1.248
75,1074,4371,28.90,16.715,1.155
76,1074,4397,29.03,16.717,0.756
77,1076,4414,29.20,16.656,1.067
78,1076,4448,29.89,16.714,1.212
79,1078,4465,31.45,16.656,1.055
80,1078,4500,32.28,16.604,1.074
81,1080,4534,32.58,16.741,1.008
82,1080,4560,33.13,16.808,1.139
83,1082,4585,33.79,16.569,1.135
84,1082,4611,34.09,16.760,1.081
85,1084,4645,35.24,16.708,1.115
86,1084,4680,35.90,16.709,0.857
87,1086,4705,36.74,16.697,0.854
88,1086,4731,37.87,16.687,1.124
89,1088,4765,38.68,16.694,0.842
90,1088,4774,39.17,16.706,1.056
91,1090,4800,39.84,16.658,1.214
92,1090,4808,40.46,16.724,1.062
93,1092,4842,41.47,16.747,0.995
94,1092,4860,42.42,16.635,1.144
95,1094,4877,42.22,16.697,0.899
96,1094,4902,41.99,16.773,1.164
97,1096,4937,43.16,16.708,1.237
98,1096,4962,44.05,16.553,1.151
99,1098,4988,44.65,16.811,1.147
100,1098,5014,45.35,16.583,1.169
101,1100,5031,45.79,16.709,0.806
102,1100,5040,45.86,16.724,1.177
103,1102,5074,45.95,16.596,1.205
104,1102,5091,45.81,16.705,0.858
105,1104,5117,46.08,16.802,1.196
106,1104,5151,46.87,16.625,1.216
107,1106,5177,47.30,16.698,1.431
108,1106,5202,48.50,16.673,1.239
109,1108,5211,48.52,16.621,1.237
110,1108,5228,49.01,16.716,1.031
111,1110,5262,49.58,16.600,1.247
112,1110,5271,49.12,16.714,1.073
113,1112,5288,49.04,16.552,1.283
114,1112,5305,48.87,16.642,1.247
115,1114,5331,50.15,16.694,0.939
116,1114,5357,51.26,16.793,1.222
117,1116,5382,50.95,16.697,1.048
118,1116,5408,50.77,16.719,1.286
119,1118,5434,50.64,16.571,1.313
120,1118,5451,54.54,16.764,1.087
121,1120,5477,53.99,16.610,1.291
122,1120,5494,53.97,16.700,0.970
123,1122,5511,54.72,16.788,1.293
124,1122,5528,55.04,16.708,0.955
125,1124,5554,55.66,16.747,1.021
126,1124,5571,55.66,16.683,1.275
127,1126,5588,55.68,16.717,1.012
128,1126,5614,56.46,16.791,1.324
