seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.751,0.561
2,1000,0,1.06,16.750,0.605
3,1002,0,1.19,16.740,0.599
4,1002,0,1.10,16.755,0.584
5,1004,0,0.00,16.767,0.594
6,1004,0,0.00,16.750,0.605
7,1006,0,0.00,16.756,0.592
8,1006,0,0.00,16.766,0.592
9,1008,0,0.00,16.787,0.551
10,1008,0,1.18,16.753,0.570
11,1010,0,1.43,16.748,0.615
12,1010,0,0.00,16.757,0.562
13,1012,0,0.00,16.762,0.622
14,1012,0,0.00,16.776,0.607
15,1014,0,0.00,16.749,0.584
16,1014,0,0.00,16.749,0.591
17,1016,0,0.00,16.752,0.628
18,1016,0,0.00,16.768,0.547
19,1018,0,0.00,16.750,0.623
20,1018,0,0.00,16.774,0.652
21,1020,0,0.00,16.756,0.670
22,1020,0,0.00,16.766,0.776
23,1022,0,0.00,16.782,0.684
24,1022,0,0.00,16.760,0.743
25,1024,0,1.45,16.715,0.852
26,1024,0,1.35,16.747,0.895
27,1026,0,0.00,16.783,0.801
28,1026,0,0.00,16.759,0.727
29,1028,0,1.23,16.775,0.809
30,1028,0,0.00,16.710,0.800
31,1030,0,0.00,16.725,0.990
32,1030,0,1.12,16.739,0.900
33,1032,0,0.00,16.705,1.009
34,1032,0,0.00,16.655,0.889
35,1034,0,0.00,16.783,0.874
36,1034,0,2.65,16.706,0.860
37,1036,0,3.70,16.717,0.900
38,1036,0,2.70,16.727,1.093
39,1038,0,1.70,16.692,0.918
40,1038,0,1.50,16.688,0.844
41,1040,0,3.70,16.755,0.874
42,1040,0,4.45,16.796,0.808
43,1042,0,4.64,16.733,0.863
44,1042,0,5.32,16.763,0.781
45,1044,0,6.91,16.763,0.862
46,1044,1920,6.80,16.762,0.811
47,1046,2117,7.56,16.744,0.865
48,1046,2220,7.65,16.756,0.842
49,1048,2331,8.66,16.753,0.826
50,1048,2434,9.12,16.752,0.784
51,1050,2528,10.21,16.729,0.808
52,1050,2597,10.33,16.754,0.809
53,1052,2682,10.93,16.778,0.869
54,1052,2751,9.64,16.772,0.762
55,1054,2845,10.23,16.698,0.893
56,1054,2914,10.66,16.737,0.803
57,1056,3000,11.15,16.739,0.892
58,1056,3060,13.11,16.755,0.822
59,1058,3128,13.85,16.771,0.802
60,1058,3197,14.41,16.729,0.856
61,1060,3248,14.62,16.768,0.914
62,1060,3300,14.47,16.756,0.866
63,1062,3334,16.82,16.741,0.854
64,1062,3368,17.20,16.723,0.820
65,1064,3411,17.20,16.758,0.972
66,1064,3445,18.05,16.772,0.860
67,1066,3480,18.22,16.764,0.764
68,1066,3522,19.04,16.737,0.902
69,1068,3574,19.14,16.732,0.914
70,1068,3608,19.21,16.772,0.950
71,1070,3642,20.17,16.750,0.895
72,1070,3685,21.48,16.756,0.946
73,1072,3711,22.13,16.728,0.939
74,1072,3754,21.85,16.698,0.757
75,1074,3788,21.84,16.721,0.882
76,1074,3805,22.41,16.710,0.904
77,1076,3840,22.84,16.727,1.016
78,1076,3874,24.58,16.765,0.922
79,1078,3891,24.94,16.739,0.845
80,1078,3925,25.66,16.684,0.929
81,1080,3960,26.78,16.729,0.978
82,1080,3985,27.04,16.733,0.925
83,1082,4011,27.14,16.734,1.032
84,1082,4037,27.44,16.721,0.969
85,1084,4062,27.75,16.764,1.023
86,1084,4080,28.14,16.754,0.994
87,1086,4105,28.04,16.739,1.103
88,1086,4131,29.06,16.731,0.999
89,1088,4157,28.84,16.727,0.862
90,1088,4182,29.31,16.750,0.915
91,1090,4208,30.00,16.758,1.010
92,1090,4234,31.59,16.769,0.884
93,1092,4260,31.91,16.684,1.129
94,1092,4311,31.64,16.681,1.098
95,1094,4362,32.48,16.776,0.998
96,1094,4431,34.44,16.725,0.978
97,1096,4474,36.83,16.783,1.209
98,1096,4525,38.61,16.710,1.138
99,1098,4568,41.62,16.719,1.160
100,1098,4611,42.66,16.720,1.125
101,1100,4645,44.33,16.729,1.116
102,1100,4680,44.81,16.672,1.022
103,1102,4714,44.95,16.687,1.153
104,1102,4731,45.39,16.752,1.082
105,1104,4748,47.11,16.746,0.939
106,1104,4774,47.69,16.713,1.070
107,1106,4808,49.21,16.708,1.007
108,1106,4825,48.68,16.707,1.210
109,1108,4851,49.82,16.734,1.063
110,1108,4885,50.68,16.717,1.147
111,1110,4920,50.06,16.737,1.055
112,1110,4937,49.82,16.757,1.104
113,1112,4962,51.73,16.715,1.098
114,1112,4971,53.62,16.774,1.267
115,1114,4997,52.90,16.728,0.996
116,1114,5031,52.28,16.690,1.183
117,1116,5065,54.14,16.808,1.107
118,1116,5082,55.45,16.752,1.102
119,1118,5108,54.32,16.764,1.174
120,1118,5142,54.59,16.702,1.236
121,1120,5177,56.53,16.702,1.034
122,1120,5211,56.88,16.719,1.126
123,1122,5237,59.18,16.749,1.228
124,1122,5262,59.05,16.783,1.114
125,1124,5297,59.16,16.750,1.137
126,1124,5322,59.79,16.717,1.135
127,1126,5331,59.68,16.768,1.008
128,1126,5357,61.24,16.767,1.294
129,1128,5382,62.77,16.718,1.115
130,1128,5400,63.69,16.762,1.043
131,1130,5417,62.92,16.724,1.122
132,1130,5425,63.42,16.725,1.188
133,1132,5442,63.59,16.780,1.158
134,1132,5477,63.10,16.688,1.116
135,1134,5485,62.79,16.762,1.271
136,1134,5502,63.64,16.699,1.076
137,1136,5511,63.48,16.757,1.333
138,1136,5537,63.99,16.737,1.225
139,1138,5554,65.19,16.717,1.238
140,1138,5571,64.36,16.689,1.212
141,1140,5580,64.58,16.639,1.110
142,1140,5597,65.36,16.737,1.182
143,1142,5605,67.68,16.743,1.277
144,1142,5640,65.86,16.730,1.165
145,1144,5657,65.29,16.746,1.344
146,1144,5682,66.40,16.756,1.334
147,1146,5700,68.09,16.707,1.295
148,1146,5725,67.35,16.725,1.153
149,1148,5742,67.59,16.733,1.241
150,1148,5751,71.40,16.670,1.264
151,1150,5768,73.72,16.705,1.288
152,1150,5785,72.73,16.639,1.230
153,1152,5811,72.61,16.725,1.316
154,1152,5820,74.98,16.769,1.294
155,1154,5845,76.47,16.720,1.239
156,1154,5862,77.39,16.741,1.271
157,1156,5905,78.36,16.722,1.199
158,1156,5940,79.54,16.737,1.234
159,1158,5965,81.22,16.779,1.395
160,1158,5991,82.76,16.713,1.180
161,1160,6025,82.80,16.710,1.347
162,1160,6051,84.94,16.740,1.458
163,1162,6077,85.76,16.722,1.431
164,1162,6120,84.01,16.722,1.305
165,1164,6145,88.01,16.709,1.319
166,1164,6188,88.00,16.656,1.544
167,1166,6240,88.09,16.763,1.496
