seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.550,0.733
2,1000,0,0.00,12.549,0.737
3,1002,0,0.00,12.555,0.736
4,1002,0,0.00,12.554,0.732
5,1004,0,0.00,12.553,0.737
6,1004,0,0.00,12.557,0.741
7,1006,0,0.00,12.555,0.730
8,1006,0,0.00,12.553,0.733
9,1008,0,0.00,12.553,0.731
10,1008,0,0.00,12.555,0.740
11,1010,0,0.00,12.561,0.732
12,1010,0,0.00,12.559,0.737
13,1012,0,0.00,12.558,0.736
14,1012,0,0.00,12.554,0.733
15,1014,0,0.00,12.549,0.740
16,1014,0,0.00,12.552,0.743
17,1016,0,0.00,12.551,0.755
18,1016,0,0.00,12.547,0.855
19,1018,0,0.00,12.541,1.050
20,1018,0,1.83,12.547,1.089
21,1020,0,3.12,12.550,1.051
22,1020,0,4.17,12.547,0.987
23,1022,0,4.80,12.551,0.942
24,1022,0,5.09,12.544,0.908
25,1024,0,5.81,12.547,0.918
26,1024,0,6.00,12.544,0.914
27,1026,0,5.80,12.546,0.894
28,1026,0,5.77,12.547,0.886
29,1028,0,6.27,12.549,0.882
30,1028,0,6.82,12.549,0.877
31,1030,0,6.52,12.546,0.864
32,1030,0,6.37,12.549,0.872
33,1032,0,6.86,12.548,0.869
34,1032,0,6.98,12.545,0.862
35,1034,0,7.13,12.549,0.856
36,1034,0,7.29,12.552,0.864
37,1036,0,7.40,12.555,0.860
38,1036,0,7.26,12.550,0.859
39,1038,0,7.45,12.543,0.858
40,1038,0,7.61,12.546,0.867
41,1040,0,7.53,12.550,0.857
42,1040,0,7.82,12.547,0.864
43,1042,0,7.75,12.546,0.870
44,1042,0,7.71,12.549,0.873
45,1044,0,7.73,12.549,0.877
46,1044,0,7.68,12.548,0.869
47,1046,0,8.00,12.548,0.875
48,1046,0,8.17,12.548,0.868
49,1048,0,8.26,12.548,0.867
50,1048,0,8.31,12.546,0.871
51,1050,0,8.48,12.543,0.878
52,1050,0,8.01,12.550,0.881
53,1052,0,8.00,12.549,0.883
54,1052,0,8.03,12.546,0.891
