seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.78,0.74,12.36,0.000
2,1000,0,0.00,16.78,0.74,12.39,0.000
3,1002,0,0.00,16.79,0.73,12.25,0.000
4,1002,0,0.00,16.78,0.74,12.42,0.000
5,1004,0,0.00,16.78,0.74,12.44,0.000
6,1004,0,0.00,16.79,0.74,12.41,0.000
7,1006,0,0.00,16.79,0.73,12.30,0.000
8,1006,0,0.00,16.78,0.74,12.37,0.000
9,1008,0,0.00,16.78,0.73,12.34,0.000
10,1008,0,0.00,16.79,0.74,12.35,0.000
11,1010,0,0.00,16.78,0.74,12.41,0.000
12,1010,0,0.00,16.78,0.74,12.40,0.000
13,1012,0,0.00,16.78,0.73,12.29,0.000
14,1012,0,0.00,16.78,0.74,12.35,0.000
15,1014,0,0.00,16.78,0.75,12.60,0.000
16,1014,0,0.00,16.78,0.76,12.73,0.000
17,1016,0,0.00,16.78,0.76,12.82,0.000
18,1016,0,0.00,16.77,0.93,15.51,0.000
19,1018,0,0.00,16.77,1.20,20.07,0.000
20,1018,0,6.40,16.77,1.25,21.04,0.304
21,1020,0,11.25,16.76,1.20,20.14,0.559
22,1020,0,15.97,16.77,1.10,18.52,0.863
23,1022,0,17.57,16.77,1.04,17.42,1.008
24,1022,0,18.57,16.77,1.01,16.99,1.093
25,1024,0,19.29,16.77,0.99,16.63,1.160
26,1024,0,20.15,16.77,0.98,16.44,1.225
27,1026,0,21.41,16.77,0.95,16.01,1.338
28,1026,0,22.16,16.77,0.93,15.67,1.414
29,1028,0,22.82,16.77,0.92,15.39,1.483
30,1028,0,22.88,16.77,0.91,15.34,1.492
31,1030,0,23.15,16.77,0.91,15.22,1.521
32,1030,0,23.41,16.78,0.90,15.16,1.545
33,1032,0,23.59,16.77,0.89,15.00,1.573
34,1032,0,23.57,16.77,0.89,14.99,1.573
35,1034,0,23.74,16.77,0.90,15.04,1.579
36,1034,0,23.65,16.77,0.89,15.00,1.576
37,1036,0,23.53,16.78,0.89,14.96,1.572
