seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.794,0.735
2,1000,0,0.00,16.799,0.730
3,1002,0,0.00,16.802,0.727
4,1002,0,0.00,16.798,0.737
5,1004,0,0.00,16.797,0.740
6,1004,0,0.00,16.802,0.743
7,1006,0,0.00,16.801,0.733
8,1006,0,0.00,16.797,0.746
9,1008,0,0.00,16.798,0.736
10,1008,0,0.00,16.799,0.732
11,1010,0,0.00,16.798,0.737
12,1010,0,0.00,16.798,0.737
13,1012,0,0.00,16.798,0.730
14,1012,0,0.00,16.795,0.737
15,1014,0,0.00,16.793,0.753
16,1014,0,0.00,16.796,0.766
17,1016,0,0.00,16.793,0.762
18,1016,0,0.00,16.786,0.960
19,1018,0,0.00,16.783,1.189
20,1018,0,9.23,16.781,1.211
21,1020,0,12.77,16.783,1.155
22,1020,0,15.46,16.785,1.067
23,1022,0,16.65,16.786,1.014
24,1022,0,17.88,16.783,1.003
25,1024,0,18.52,16.786,0.982
26,1024,0,19.70,16.785,0.972
27,1026,0,21.04,16.784,0.940
28,1026,0,21.17,16.787,0.932
29,1028,0,21.47,16.787,0.922
30,1028,0,21.50,16.788,0.908
31,1030,0,21.66,16.788,0.907
32,1030,0,21.95,16.792,0.904
33,1032,0,22.38,16.792,0.892
34,1032,0,22.45,16.784,0.892
35,1034,0,22.16,16.790,0.894
36,1034,0,22.08,16.790,0.891
37,1036,0,21.88,16.796,0.891
38,1036,0,21.93,16.790,0.895
39,1038,0,22.32,16.787,0.909
40,1038,0,22.63,16.788,0.898
41,1040,0,22.78,16.789,0.891
42,1040,0,22.66,16.792,0.909
43,1042,0,22.75,16.788,0.909
44,1042,0,22.78,16.787,0.910
45,1044,0,22.66,16.788,0.910
46,1044,0,22.53,16.787,0.913
47,1046,0,22.90,16.789,0.902
48,1046,0,22.88,16.791,0.918
49,1048,0,22.96,16.785,0.920
50,1048,0,22.95,16.787,0.928
51,1050,0,22.88,16.782,0.922
52,1050,0,22.78,16.785,0.929
53,1052,0,23.08,16.784,0.934
54,1052,0,22.81,16.786,0.932
55,1054,0,22.95,16.789,0.939
56,1054,0,22.93,16.784,0.928
57,1056,0,23.32,16.786,0.930
58,1056,0,23.39,16.790,0.933
59,1058,0,23.26,16.787,0.930
60,1058,0,23.30,16.789,0.942
61,1060,0,23.79,16.783,0.943
62,1060,0,24.66,16.789,0.954
63,1062,0,24.75,16.785,0.948
64,1062,0,25.32,16.783,0.964
65,1064,0,25.91,16.784,0.964
66,1064,0,26.18,16.785,0.958
67,1066,0,25.85,16.785,0.965
68,1066,0,25.93,16.783,0.958
69,1068,0,26.25,16.788,0.963
70,1068,0,26.07,16.786,0.965
71,1070,0,26.30,16.784,0.969
72,1070,0,26.14,16.787,0.971
73,1072,0,26.39,16.788,0.976
74,1072,0,26.54,16.789,0.973
75,1074,0,26.81,16.788,0.968
76,1074,0,26.68,16.784,0.980
77,1076,0,26.83,16.786,0.991
78,1076,0,26.67,16.782,0.972
79,1078,0,26.41,16.783,0.974
80,1078,0,26.53,16.782,0.979
81,1080,0,26.84,16.789,0.993
82,1080,0,27.65,16.785,1.000
83,1082,0,27.68,16.783,0.998
84,1082,0,27.39,16.784,0.988
85,1084,0,28.00,16.782,0.998
86,1084,0,28.45,16.786,1.005
87,1086,0,28.48,16.785,1.006
88,1086,0,28.54,16.788,1.003
89,1088,0,28.85,16.788,1.012
90,1088,0,28.77,16.784,1.025
91,1090,0,28.90,16.782,1.017
92,1090,0,29.06,16.784,1.033
93,1092,0,29.24,16.782,1.022
94,1092,0,29.51,16.782,1.027
95,1094,0,29.99,16.784,1.042
96,1094,0,29.65,16.785,1.042
97,1096,0,30.11,16.781,1.033
98,1096,0,30.04,16.786,1.038
99,1098,0,29.83,16.786,1.023
100,1098,0,30.22,16.783,1.042
101,1100,0,30.18,16.783,1.040
102,1100,0,30.50,16.781,1.061
103,1102,0,30.83,16.788,1.058
104,1102,0,31.39,16.782,1.054
105,1104,0,31.60,16.784,1.058
106,1104,0,32.01,16.783,1.066
107,1106,0,32.61,16.783,1.070
108,1106,0,32.46,16.786,1.082
109,1108,0,32.97,16.783,1.088
110,1108,0,33.24,16.781,1.067
111,1110,0,33.64,16.783,1.078
112,1110,0,34.08,16.783,1.076
113,1112,0,34.43,16.786,1.087
114,1112,0,34.78,16.779,1.070
115,1114,0,35.49,16.782,1.093
116,1114,0,35.20,16.785,1.084
117,1116,0,34.90,16.785,1.095
118,1116,0,35.24,16.782,1.114
119,1118,0,35.34,16.782,1.098
120,1118,0,35.25,16.773,1.100
121,1120,0,35.13,16.779,1.106
122,1120,0,35.48,16.783,1.101
123,1122,0,35.69,16.783,1.105
124,1122,0,35.71,16.784,1.101
125,1124,0,35.99,16.780,1.114
126,1124,0,36.25,16.778,1.117
127,1126,0,36.06,16.780,1.124
128,1126,0,36.21,16.782,1.119
129,1128,0,36.83,16.781,1.110
130,1128,0,37.26,16.780,1.132
131,1130,0,36.99,16.783,1.121
132,1130,0,36.74,16.779,1.120
133,1132,0,36.62,16.783,1.121
134,1132,0,36.57,16.779,1.121
135,1134,0,36.99,16.785,1.129
136,1134,0,37.94,16.785,1.136
137,1136,0,38.70,16.777,1.139
138,1136,0,39.20,16.778,1.144
139,1138,0,39.04,16.780,1.141
140,1138,0,38.96,16.776,1.140
141,1140,0,39.42,16.779,1.144
