seq,pwm,rpm,thrust,voltage,current
1,1000,0,13.24,12.616,0.733
2,1000,0,12.94,12.610,0.737
3,1002,0,13.06,12.614,0.725
4,1002,0,12.96,12.614,0.728
5,1004,0,12.65,12.613,0.728
6,1004,0,12.86,12.612,0.738
7,1006,0,13.20,12.616,0.723
8,1006,0,13.16,12.612,0.728
9,1008,0,12.98,12.611,0.733
10,1008,0,12.83,12.610,0.735
11,1010,0,12.81,12.613,0.727
12,1010,0,12.76,12.614,0.736
13,1012,0,12.65,12.609,0.728
14,1012,0,12.73,12.614,0.736
15,1014,0,12.73,12.609,0.742
16,1014,0,12.80,12.613,0.748
17,1016,0,12.78,12.608,0.751
18,1016,0,12.83,12.609,0.825
19,1018,0,12.83,12.604,1.054
20,1018,0,12.73,12.598,1.076
21,1020,0,13.04,12.607,1.002
22,1020,0,13.58,12.600,0.944
23,1022,0,13.41,12.606,0.886
24,1022,0,13.43,12.608,0.875
25,1024,0,13.29,12.608,0.876
26,1024,0,13.84,12.605,0.873
27,1026,0,13.89,12.606,0.854
28,1026,0,14.79,12.605,0.852
29,1028,0,14.25,12.607,0.852
30,1028,0,14.84,12.609,0.841
31,1030,0,14.24,12.609,0.830
32,1030,0,14.39,12.612,0.833
33,1032,0,14.61,12.608,0.843
34,1032,0,14.37,12.608,0.835
35,1034,0,14.95,12.605,0.823
36,1034,0,14.65,12.608,0.833
37,1036,0,14.90,12.612,0.836
38,1036,0,14.77,12.605,0.837
39,1038,0,14.87,12.607,0.838
40,1038,0,14.46,12.606,0.843
41,1040,0,14.63,12.604,0.849
42,1040,0,14.35,12.607,0.846
43,1042,0,14.74,12.610,0.842
44,1042,0,14.93,12.608,0.856
45,1044,0,14.70,12.607,0.847
46,1044,0,14.72,12.609,0.849
47,1046,0,14.74,12.610,0.845
48,1046,0,14.99,12.606,0.846
49,1048,0,15.01,12.605,0.854
50,1048,0,15.22,12.608,0.851
51,1050,0,15.17,12.606,0.850
52,1050,0,14.95,12.606,0.851
53,1052,0,15.09,12.611,0.846
54,1052,0,15.04,12.604,0.860
55,1054,0,15.33,12.612,0.857
56,1054,0,15.08,12.610,0.862
57,1056,0,15.26,12.606,0.860
58,1056,0,15.21,12.609,0.858
59,1058,0,15.18,12.606,0.860
60,1058,0,15.17,12.607,0.870
61,1060,0,15.20,12.605,0.862
62,1060,0,15.35,12.603,0.860
63,1062,0,15.49,12.608,0.867
64,1062,0,15.37,12.609,0.864
65,1064,0,15.33,12.607,0.863
66,1064,0,15.47,12.606,0.865
67,1066,0,15.26,12.607,0.860
68,1066,0,15.45,12.607,0.871
69,1068,0,15.50,12.603,0.874
70,1068,0,15.74,12.606,0.875
71,1070,0,15.53,12.605,0.865
72,1070,0,15.47,12.605,0.878
73,1072,0,15.56,12.608,0.871
74,1072,0,15.57,12.608,0.874
75,1074,0,15.75,12.602,0.885
76,1074,0,16.08,12.606,0.888
77,1076,0,16.02,12.608,0.890
78,1076,0,16.11,12.607,0.887
79,1078,3942,16.30,12.603,0.878
80,1078,3977,16.33,12.601,0.890
81,1080,4002,16.21,12.608,0.889
82,1080,4028,15.95,12.603,0.903
83,1082,4062,16.11,12.605,0.892
84,1082,4097,16.11,12.608,0.906
85,1084,4122,16.17,12.602,0.902
86,1084,4148,16.44,12.606,0.895
87,1086,4182,16.46,12.607,0.890
88,1086,4208,16.31,12.610,0.895
89,1088,4234,16.41,12.603,0.896
90,1088,4260,16.37,12.604,0.902
91,1090,4294,16.40,12.604,0.908
92,1090,4320,16.84,12.607,0.904
93,1092,4354,17.08,12.605,0.902
94,1092,4371,16.86,12.607,0.914
95,1094,4405,17.16,12.604,0.902
96,1094,4431,17.38,12.604,0.918
97,1096,4457,17.16,12.605,0.915
98,1096,4482,17.28,12.602,0.913
99,1098,4508,17.76,12.610,0.910
100,1098,4517,17.75,12.604,0.914
101,1100,4517,17.72,12.607,0.922
102,1100,4525,17.80,12.606,0.922
103,1102,4551,17.93,12.608,0.914
104,1102,4568,18.45,12.601,0.924
105,1104,4594,18.51,12.607,0.933
106,1104,4628,18.33,12.603,0.927
107,1106,4662,18.49,12.608,0.934
108,1106,4688,18.90,12.608,0.929
109,1108,4697,19.26,12.609,0.943
110,1108,4714,19.50,12.607,0.941
111,1110,4714,19.44,12.605,0.927
112,1110,4714,19.43,12.602,0.932
113,1112,4740,19.66,12.607,0.932
114,1112,4757,20.00,12.608,0.934
115,1114,4765,19.47,12.605,0.928
116,1114,4808,19.93,12.605,0.943
117,1116,4860,20.08,12.601,0.938
118,1116,4868,19.70,12.600,0.951
119,1118,4868,19.70,12.601,0.944
120,1118,4868,20.04,12.604,0.941
121,1120,4868,20.59,12.605,0.950
122,1120,4868,20.83,12.608,0.944
123,1122,4868,20.47,12.605,0.946
124,1122,4868,20.21,12.606,0.951
125,1124,4894,20.31,12.605,0.959
126,1124,4902,20.42,12.604,0.953
127,1126,4902,19.98,12.606,0.960
128,1126,4902,20.47,12.607,0.946
129,1128,4902,20.72,12.608,0.949
130,1128,4902,20.60,12.605,0.965
131,1130,4902,20.38,12.606,0.958
132,1130,4902,20.69,12.607,0.963
133,1132,4902,20.49,12.604,0.971
134,1132,4902,20.62,12.608,0.976
135,1134,4902,20.66,12.603,0.972
136,1134,4902,20.80,12.605,0.976
137,1136,4902,20.83,12.606,0.972
138,1136,4902,20.83,12.603,0.970
139,1138,4902,21.04,12.606,0.969
140,1138,4902,21.32,12.606,0.984
141,1140,4920,21.50,12.603,0.981
142,1140,5022,21.35,12.603,0.981
143,1142,5040,21.22,12.607,0.979
144,1142,5040,21.39,12.604,0.985
145,1144,5040,21.24,12.604,0.988
146,1144,5040,21.46,12.606,0.986
147,1146,5040,21.55,12.606,0.986
148,1146,5040,21.59,12.605,0.991
149,1148,5040,21.38,12.608,0.988
150,1148,5040,21.76,12.604,0.996
151,1150,5065,22.09,12.606,0.995
152,1150,5108,21.92,12.606,1.002
153,1152,5108,22.15,12.606,1.005
154,1152,5108,22.57,12.604,1.000
155,1154,5108,22.98,12.605,1.013
156,1154,5108,22.71,12.608,1.005
157,1156,5108,22.78,12.609,1.011
158,1156,5108,23.00,12.603,1.012
159,1158,5108,23.40,12.607,1.009
160,1158,5108,23.56,12.607,1.026
161,1160,5108,23.42,12.603,1.034
162,1160,5108,23.20,12.605,1.024
163,1162,5108,23.46,12.607,1.021
164,1162,5108,23.64,12.603,1.021
165,1164,5108,23.41,12.603,1.015
166,1164,5108,23.66,12.614,1.026
167,1166,5108,23.79,12.606,1.024
168,1166,5108,24.08,12.603,1.024
169,1168,5108,24.09,12.605,1.030
170,1168,5108,23.82,12.606,1.036
171,1170,5108,24.10,12.607,1.034
172,1170,5108,24.28,12.605,1.034
173,1172,5108,23.88,12.605,1.026
174,1172,5142,23.90,12.604,1.018
175,1174,5314,24.29,12.602,1.020
176,1174,5477,24.33,12.606,1.015
177,1176,5640,24.48,12.601,1.014
178,1176,5691,24.64,12.603,1.035
179,1178,5691,24.74,12.601,1.041
180,1178,5691,24.77,12.608,1.043
181,1180,5691,25.03,12.602,1.037
182,1180,5691,24.88,12.601,1.048
183,1182,5691,24.90,12.602,1.033
184,1182,5691,24.92,12.603,1.047
185,1184,5691,24.89,12.604,1.054
186,1184,5691,25.11,12.600,1.043
187,1186,5691,24.85,12.603,1.048
188,1186,5691,24.93,12.605,1.048
189,1188,5691,25.09,12.607,1.058
190,1188,5691,25.36,12.605,1.071
191,1190,5691,25.58,12.601,1.060
192,1190,5691,25.62,12.601,1.059
193,1192,5691,25.69,12.607,1.056
194,1192,5691,26.04,12.600,1.059
195,1194,5691,26.21,12.604,1.068
196,1194,5691,26.22,12.604,1.062
197,1196,5691,26.00,12.605,1.062
198,1196,5691,26.06,12.604,1.070
199,1198,5691,26.02,12.605,1.070
200,1198,5691,26.33,12.604,1.075
201,1200,5691,26.78,12.603,1.069
202,1200,5691,26.60,12.604,1.074
203,1202,5691,26.69,12.604,1.080
204,1202,5691,26.70,12.599,1.082
205,1204,5691,27.22,12.603,1.092
206,1204,5691,27.42,12.607,1.098
207,1206,5691,27.45,12.602,1.095
208,1206,5691,28.05,12.607,1.110
209,1208,5691,28.23,12.605,1.096
210,1208,5691,28.59,12.604,1.094
211,1210,5691,29.41,12.599,1.107
212,1210,5691,29.51,12.600,1.104
213,1212,5691,29.48,12.603,1.111
214,1212,5691,29.69,12.601,1.100
215,1214,5691,29.42,12.606,1.093
216,1214,5742,29.34,12.606,1.105
217,1216,5742,29.96,12.602,1.102
218,1216,5742,30.45,12.601,1.120
219,1218,5742,30.37,12.603,1.124
220,1218,5742,30.40,12.598,1.129
221,1220,5742,30.86,12.604,1.130
222,1220,5802,31.04,12.602,1.109
223,1222,6000,31.85,12.603,1.115
224,1222,6000,32.19,12.604,1.129
225,1224,6000,32.57,12.602,1.148
226,1224,6000,32.99,12.605,1.147
227,1226,6000,33.12,12.601,1.138
228,1226,6154,33.47,12.607,1.151
229,1228,6154,33.71,12.611,1.141
230,1228,6154,33.86,12.602,1.130
231,1230,6154,34.30,12.602,1.129
232,1230,6154,34.75,12.603,1.132
233,1232,6154,34.99,12.599,1.147
234,1232,6154,35.32,12.600,1.154
235,1234,6154,35.13,12.604,1.156
236,1234,6188,35.42,12.603,1.175
237,1236,6222,35.82,12.602,1.164
238,1236,6282,36.33,12.602,1.168
239,1238,6325,36.69,12.601,1.162
240,1238,6325,36.76,12.602,1.160
241,1240,6360,36.82,12.604,1.159
242,1240,6428,37.30,12.602,1.159
243,1242,6428,37.24,12.605,1.190
244,1242,6505,37.74,12.605,1.188
245,1244,6651,37.97,12.605,1.190
246,1244,6728,38.41,12.602,1.182
247,1246,6917,38.52,12.604,1.184
248,1246,7165,38.67,12.600,1.175
249,1248,7337,38.64,12.603,1.194
250,1248,7500,38.76,12.604,1.197
251,1250,7602,38.91,12.599,1.214
252,1250,7680,39.26,12.602,1.192
253,1252,7680,39.72,12.598,1.194
254,1252,7877,39.44,12.601,1.212
255,1254,8057,39.83,12.601,1.203
256,1254,8151,39.82,12.603,1.207
257,1256,8177,39.79,12.602,1.204
258,1256,8202,39.33,12.604,1.209
259,1258,8237,39.08,12.602,1.202
260,1258,8245,39.44,12.598,1.256
261,1260,8262,39.41,12.601,1.230
262,1260,8314,39.47,12.606,1.217
263,1262,8382,39.59,12.600,1.215
264,1262,8460,39.98,12.602,1.234
265,1264,8502,40.07,12.602,1.230
266,1264,8537,40.62,12.598,1.231
267,1266,8588,40.81,12.601,1.231
268,1266,8614,41.36,12.600,1.237
269,1268,8640,41.09,12.599,1.242
270,1268,8648,41.12,12.604,1.243
271,1270,8657,41.63,12.600,1.249
272,1270,8682,42.03,12.602,1.253
