seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.806,0.742
2,1000,0,0.00,16.805,0.734
3,1002,0,0.00,16.804,0.735
4,1002,0,0.00,16.808,0.730
5,1004,0,0.00,16.806,0.741
6,1004,0,0.00,16.805,0.737
7,1006,0,0.00,16.807,0.741
8,1006,0,0.00,16.808,0.736
9,1008,0,0.00,16.804,0.728
10,1008,0,0.00,16.807,0.737
11,1010,0,0.00,16.804,0.732
12,1010,0,0.00,16.809,0.732
13,1012,0,0.00,16.808,0.734
14,1012,0,0.00,16.803,0.731
15,1014,0,0.00,16.802,0.750
16,1014,0,0.00,16.801,0.758
17,1016,0,0.00,16.803,0.764
18,1016,0,0.00,16.795,0.884
19,1018,0,0.00,16.785,1.225
20,1018,0,2.85,16.784,1.310
21,1020,0,13.72,16.790,1.217
22,1020,0,16.19,16.792,1.101
23,1022,0,17.99,16.792,1.013
24,1022,0,19.18,16.796,0.991
25,1024,0,19.60,16.798,0.968
26,1024,0,20.52,16.795,0.946
27,1026,0,21.39,16.796,0.926
28,1026,0,21.88,16.796,0.912
29,1028,0,22.21,16.797,0.892
30,1028,0,22.37,16.800,0.892
31,1030,0,22.84,16.796,0.881
32,1030,0,22.81,16.797,0.887
33,1032,0,22.93,16.798,0.876
34,1032,0,22.95,16.795,0.886
35,1034,0,23.06,16.797,0.887
36,1034,0,23.13,16.802,0.877
37,1036,0,23.19,16.798,0.888
38,1036,0,23.13,16.796,0.892
39,1038,0,23.18,16.796,0.892
40,1038,0,23.11,16.797,0.886
41,1040,0,23.60,16.798,0.887
42,1040,0,23.52,16.797,0.892
43,1042,0,23.80,16.801,0.890
44,1042,0,24.29,16.798,0.891
45,1044,0,24.30,16.795,0.898
46,1044,0,24.02,16.797,0.906
47,1046,0,23.96,16.797,0.912
48,1046,0,24.11,16.799,0.908
49,1048,0,23.98,16.792,0.905
50,1048,0,24.42,16.792,0.910
51,1050,0,24.88,16.797,0.911
52,1050,0,24.89,16.795,0.918
53,1052,0,25.00,16.799,0.925
54,1052,0,25.15,16.795,0.925
55,1054,0,25.33,16.799,0.925
56,1054,0,25.24,16.795,0.930
57,1056,0,25.55,16.794,0.910
58,1056,0,25.48,16.791,0.918
59,1058,0,25.55,16.792,0.924
60,1058,0,25.69,16.791,0.927
61,1060,0,26.22,16.795,0.937
62,1060,0,26.41,16.795,0.939
63,1062,0,27.04,16.796,0.942
64,1062,0,27.51,16.794,0.945
65,1064,0,27.74,16.797,0.951
66,1064,0,28.31,16.792,0.969
67,1066,0,28.48,16.792,0.958
68,1066,0,29.04,16.797,0.951
69,1068,0,29.06,16.794,0.953
70,1068,0,29.21,16.796,0.958
71,1070,0,29.22,16.796,0.955
72,1070,0,29.44,16.795,0.951
73,1072,0,29.76,16.796,0.953
74,1072,0,29.70,16.797,0.959
75,1074,0,29.70,16.795,0.964
76,1074,0,30.12,16.794,0.967
77,1076,0,30.29,16.797,0.968
78,1076,0,30.48,16.795,0.972
79,1078,0,30.45,16.794,0.968
80,1078,0,30.37,16.796,0.970
81,1080,0,30.28,16.790,0.987
82,1080,0,30.56,16.797,0.975
83,1082,0,30.95,16.794,0.979
84,1082,0,31.06,16.794,0.989
85,1084,0,31.05,16.794,0.995
86,1084,0,31.61,16.795,1.000
87,1086,0,31.41,16.795,1.002
88,1086,0,31.36,16.794,0.993
89,1088,0,31.48,16.795,1.001
90,1088,0,32.01,16.794,1.007
91,1090,0,32.18,16.797,1.001
92,1090,0,32.40,16.796,1.008
93,1092,0,32.04,16.790,1.009
94,1092,0,32.08,16.792,1.017
95,1094,0,32.49,16.792,1.012
96,1094,0,32.90,16.793,1.016
97,1096,0,33.83,16.795,1.023
98,1096,0,35.20,16.794,1.036
99,1098,0,35.17,16.792,1.030
100,1098,0,35.13,16.795,1.029
101,1100,0,35.46,16.791,1.047
102,1100,0,35.78,16.793,1.044
103,1102,0,35.66,16.793,1.041
104,1102,0,35.87,16.799,1.045
105,1104,0,35.94,16.790,1.043
106,1104,0,36.46,16.795,1.047
107,1106,0,36.82,16.784,1.056
108,1106,0,36.70,16.794,1.058
109,1108,0,37.03,16.794,1.062
110,1108,0,37.06,16.791,1.056
111,1110,0,37.28,16.790,1.057
112,1110,0,37.50,16.791,1.067
113,1112,0,37.73,16.791,1.074
114,1112,0,38.26,16.791,1.084
115,1114,0,38.61,16.792,1.072
116,1114,0,39.10,16.794,1.087
117,1116,0,39.13,16.791,1.085
118,1116,0,39.15,16.791,1.086
