seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.58,0.72,9.11,0.000
2,1000,0,0.00,12.59,0.73,9.16,0.000
3,1002,0,0.00,12.58,0.72,9.11,0.000
4,1002,0,0.00,12.58,0.72,9.09,0.000
5,1004,0,0.00,12.59,0.73,9.14,0.000
6,1004,0,0.00,12.58,0.73,9.22,0.000
7,1006,0,0.00,12.59,0.73,9.19,0.000
8,1006,0,0.00,12.58,0.72,9.11,0.000
9,1008,0,0.00,12.58,0.72,9.08,0.000
10,1008,0,0.00,12.58,0.72,9.10,0.000
11,1010,0,0.00,12.58,0.73,9.17,0.000
12,1010,0,0.00,12.58,0.73,9.19,0.000
13,1012,0,0.00,12.58,0.73,9.14,0.000
14,1012,0,0.00,12.58,0.72,9.10,0.000
15,1014,0,0.00,12.58,0.73,9.24,0.000
16,1014,0,0.00,12.58,0.74,9.35,0.000
17,1016,0,0.00,12.58,0.75,9.42,0.000
18,1016,0,0.00,12.58,0.86,10.83,0.000
19,1018,0,0.00,12.58,1.01,12.70,0.000
20,1018,0,3.67,12.57,1.01,12.72,0.288
21,1020,0,6.63,12.58,0.96,12.11,0.548
22,1020,0,8.23,12.58,0.92,11.53,0.714
23,1022,0,9.18,12.57,0.88,11.09,0.827
24,1022,0,9.35,12.57,0.88,11.03,0.848
25,1024,0,9.18,12.58,0.88,11.01,0.834
26,1024,0,9.56,12.58,0.87,10.91,0.876
27,1026,0,9.73,12.58,0.86,10.85,0.897
28,1026,0,9.93,12.58,0.86,10.77,0.922
29,1028,0,10.06,12.58,0.85,10.68,0.942
30,1028,0,10.04,12.58,0.84,10.57,0.950
31,1030,0,10.12,12.58,0.84,10.60,0.955
32,1030,0,10.32,12.58,0.85,10.66,0.969
33,1032,0,10.31,12.58,0.84,10.55,0.978
34,1032,0,10.53,12.58,0.84,10.61,0.992
35,1034,0,10.44,12.58,0.83,10.45,0.999
36,1034,0,10.69,12.58,0.85,10.64,1.005
37,1036,0,10.59,12.58,0.84,10.54,1.004
38,1036,0,10.62,12.58,0.84,10.61,1.001
39,1038,0,10.77,12.58,0.85,10.70,1.006
40,1038,0,11.05,12.58,0.85,10.63,1.040
41,1040,0,10.88,12.58,0.85,10.66,1.021
42,1040,0,10.82,12.57,0.86,10.77,1.005
43,1042,0,10.84,12.58,0.85,10.68,1.015
44,1042,0,11.22,12.58,0.86,10.79,1.041
45,1044,0,11.23,12.57,0.86,10.85,1.035
46,1044,0,11.16,12.58,0.86,10.77,1.037
47,1046,0,11.39,12.57,0.85,10.69,1.066
48,1046,0,11.56,12.58,0.85,10.74,1.076
49,1048,0,11.59,12.58,0.85,10.73,1.080
50,1048,0,11.48,12.58,0.86,10.85,1.058
51,1050,0,11.45,12.57,0.86,10.80,1.060
52,1050,0,11.47,12.58,0.87,10.89,1.054
53,1052,0,11.59,12.58,0.87,10.92,1.062
54,1052,0,11.49,12.58,0.86,10.88,1.057
55,1054,0,11.82,12.58,0.86,10.86,1.089
56,1054,0,11.95,12.58,0.86,10.84,1.103
57,1056,0,11.89,12.58,0.87,10.94,1.087
58,1056,0,11.84,12.58,0.87,10.98,1.077
59,1058,0,11.97,12.58,0.88,11.01,1.087
60,1058,0,11.95,12.58,0.87,10.97,1.089
