seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.80,0.77,12.89,0.000
2,1000,0,0.00,16.80,0.77,12.86,0.000
3,1002,0,0.00,16.80,0.77,12.94,0.000
4,1002,0,0.00,16.80,0.77,12.97,0.000
5,1004,0,0.00,16.80,0.77,12.90,0.000
6,1004,0,0.00,16.81,0.77,12.97,0.000
7,1006,0,0.00,16.80,0.77,12.85,0.000
8,1006,0,0.00,16.80,0.77,12.96,0.000
9,1008,0,0.00,16.80,0.77,12.95,0.000
10,1008,0,0.00,16.80,0.78,13.02,0.000
11,1010,0,0.00,16.80,0.77,12.87,0.000
12,1010,0,0.00,16.80,0.77,12.94,0.000
13,1012,0,0.00,16.81,0.77,12.89,0.000
14,1012,0,0.00,16.80,0.77,12.88,0.000
15,1014,0,0.00,16.80,0.78,13.15,0.000
16,1014,0,0.00,16.80,0.79,13.28,0.000
17,1016,0,0.00,16.79,0.80,13.37,0.000
18,1016,0,0.00,16.79,0.93,15.68,0.000
19,1018,0,1.96,16.78,1.27,21.34,0.092
20,1018,0,6.43,16.79,1.40,23.44,0.274
21,1020,0,8.00,16.79,1.35,22.66,0.353
22,1020,0,8.83,16.79,1.27,21.39,0.413
23,1022,0,9.35,16.79,1.18,19.87,0.471
24,1022,0,9.79,16.79,1.11,18.66,0.525
25,1024,0,10.32,16.79,1.08,18.18,0.568
26,1024,0,11.50,16.79,1.07,18.04,0.637
27,1026,0,12.60,16.79,1.05,17.66,0.714
28,1026,0,13.34,16.79,1.03,17.23,0.774
29,1028,0,13.80,16.79,1.00,16.84,0.820
30,1028,0,14.39,16.80,0.98,16.53,0.870
31,1030,0,14.88,16.79,0.98,16.38,0.908
32,1030,0,15.06,16.79,0.97,16.26,0.926
33,1032,0,15.23,16.79,0.96,16.12,0.945
34,1032,0,15.84,16.80,0.95,16.00,0.990
35,1034,0,16.18,16.79,0.95,16.00,1.011
36,1034,0,16.50,16.80,0.95,15.97,1.033
37,1036,0,16.57,16.79,0.95,15.97,1.037
38,1036,0,16.77,16.80,0.95,15.98,1.049
39,1038,0,17.11,16.79,0.95,15.91,1.075
40,1038,0,17.30,16.80,0.95,16.00,1.081
41,1040,0,17.77,16.79,0.95,15.89,1.119
42,1040,0,17.84,16.80,0.96,16.07,1.110
43,1042,0,18.11,16.79,0.96,16.05,1.129
44,1042,0,18.54,16.79,0.96,16.15,1.148
45,1044,0,18.84,16.80,0.96,16.07,1.172
46,1044,0,19.31,16.80,0.96,16.05,1.203
47,1046,0,19.72,16.80,0.96,16.17,1.220
48,1046,0,20.38,16.79,0.97,16.22,1.256
49,1048,0,20.39,16.79,0.97,16.26,1.254
50,1048,0,20.74,16.79,0.97,16.28,1.274
51,1050,0,21.02,16.79,0.98,16.47,1.276
52,1050,0,21.02,16.79,0.98,16.48,1.275
53,1052,0,21.34,16.79,0.98,16.50,1.293
54,1052,0,21.73,16.79,0.99,16.71,1.301
55,1054,0,21.95,16.79,0.98,16.47,1.333
56,1054,0,22.80,16.79,0.99,16.58,1.375
57,1056,0,22.98,16.79,0.99,16.57,1.387
58,1056,0,23.45,16.79,0.99,16.69,1.405
59,1058,0,23.87,16.79,1.00,16.81,1.420
60,1058,0,24.12,16.79,1.00,16.83,1.433
61,1060,0,24.49,16.79,1.00,16.87,1.452
62,1060,0,24.98,16.79,1.01,16.94,1.475
63,1062,0,26.05,16.80,1.01,16.94,1.538
64,1062,0,25.98,16.79,1.01,17.04,1.524
65,1064,0,26.16,16.79,1.01,16.99,1.540
66,1064,0,26.54,16.79,1.02,17.06,1.555
67,1066,0,27.11,16.80,1.02,17.06,1.589
68,1066,0,27.68,16.79,1.02,17.09,1.620
69,1068,0,28.06,16.80,1.02,17.13,1.638
70,1068,0,28.92,16.79,1.02,17.15,1.687
71,1070,0,29.32,16.79,1.03,17.25,1.700
72,1070,0,29.70,16.79,1.03,17.26,1.721
73,1072,0,30.05,16.79,1.03,17.25,1.741
74,1072,0,30.42,16.79,1.04,17.43,1.745
75,1074,0,30.72,16.79,1.04,17.47,1.758
76,1074,0,30.80,16.79,1.04,17.52,1.758
77,1076,0,31.29,16.79,1.05,17.64,1.774
78,1076,0,31.67,16.79,1.05,17.56,1.804
79,1078,0,31.97,16.79,1.04,17.44,1.833
80,1078,0,32.08,16.79,1.05,17.57,1.825
81,1080,0,32.21,16.79,1.05,17.61,1.829
82,1080,0,32.64,16.80,1.06,17.74,1.840
83,1082,0,32.66,16.79,1.06,17.86,1.829
84,1082,0,32.80,16.79,1.06,17.88,1.835
85,1084,0,33.03,16.79,1.07,18.02,1.833
86,1084,0,33.40,16.79,1.07,18.03,1.852
87,1086,0,33.61,16.79,1.08,18.06,1.861
88,1086,0,33.89,16.79,1.07,18.02,1.881
89,1088,0,34.08,16.79,1.09,18.24,1.869
90,1088,0,34.28,16.79,1.09,18.24,1.880
91,1090,0,34.48,16.79,1.09,18.26,1.889
92,1090,0,35.13,16.79,1.09,18.29,1.921
93,1092,0,35.38,16.79,1.10,18.39,1.924
94,1092,0,35.70,16.79,1.10,18.48,1.932
95,1094,0,36.05,16.79,1.09,18.37,1.962
96,1094,0,36.08,16.79,1.10,18.55,1.944
97,1096,0,36.08,16.79,1.11,18.68,1.931
98,1096,0,36.12,16.79,1.12,18.78,1.923
99,1098,0,36.53,16.79,1.11,18.62,1.962
100,1098,0,36.55,16.79,1.11,18.66,1.959
101,1100,0,36.86,16.79,1.11,18.70,1.971
102,1100,0,37.23,16.79,1.12,18.80,1.981
103,1102,0,37.45,16.79,1.12,18.83,1.988
104,1102,0,38.15,16.79,1.13,18.90,2.018
105,1104,0,38.67,16.79,1.12,18.88,2.048
106,1104,0,39.22,16.79,1.13,18.90,2.075
107,1106,0,39.78,16.79,1.13,19.01,2.092
108,1106,0,40.37,16.79,1.15,19.23,2.099
109,1108,0,40.95,16.79,1.15,19.30,2.121
110,1108,0,41.54,16.79,1.14,19.18,2.165
111,1110,0,42.16,16.79,1.15,19.29,2.186
112,1110,0,42.39,16.79,1.15,19.37,2.188
113,1112,0,42.61,16.79,1.16,19.45,2.191
114,1112,0,43.16,16.79,1.16,19.51,2.212
115,1114,0,43.58,16.79,1.17,19.69,2.213
116,1114,0,43.81,16.79,1.17,19.68,2.226
117,1116,0,44.00,16.79,1.17,19.72,2.232
118,1116,0,44.43,16.79,1.18,19.76,2.248
119,1118,0,44.60,16.79,1.18,19.76,2.257
120,1118,0,44.83,16.79,1.19,20.00,2.242
121,1120,0,44.98,16.79,1.19,19.97,2.252
122,1120,0,45.45,16.79,1.19,20.07,2.265
123,1122,0,45.91,16.79,1.19,20.02,2.294
124,1122,0,46.67,16.79,1.19,20.05,2.328
125,1124,0,47.05,16.79,1.20,20.12,2.339
126,1124,0,47.07,16.79,1.20,20.13,2.338
127,1126,0,47.38,16.79,1.20,20.16,2.350
128,1126,0,47.83,16.79,1.20,20.21,2.366
129,1128,0,48.17,16.79,1.20,20.13,2.393
130,1128,0,48.30,16.79,1.21,20.29,2.381
131,1130,0,48.48,16.79,1.21,20.38,2.379
132,1130,0,49.17,16.79,1.21,20.32,2.420
133,1132,0,49.55,16.79,1.21,20.25,2.446
134,1132,0,49.50,16.79,1.22,20.54,2.410
135,1134,0,49.74,16.79,1.22,20.54,2.422
136,1134,0,50.05,16.79,1.23,20.58,2.432
137,1136,0,50.54,16.79,1.23,20.70,2.441
138,1136,0,50.93,16.79,1.23,20.63,2.469
139,1138,0,51.12,16.79,1.24,20.75,2.464
140,1138,0,51.63,16.79,1.24,20.77,2.486
