seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.60,0.76,9.58,0.000
2,1000,0,0.00,12.60,0.76,9.60,0.000
3,1002,0,0.00,12.60,0.76,9.63,0.000
4,1002,0,0.00,12.60,0.76,9.62,0.000
5,1004,0,0.00,12.60,0.76,9.58,0.000
6,1004,0,0.00,12.60,0.77,9.67,0.000
7,1006,0,0.00,12.60,0.76,9.55,0.000
8,1006,0,0.00,12.60,0.76,9.51,0.000
9,1008,0,0.00,12.60,0.76,9.61,0.000
10,1008,0,0.00,12.60,0.76,9.54,0.000
11,1010,0,0.00,12.60,0.77,9.65,0.000
12,1010,0,0.00,12.60,0.76,9.60,0.000
13,1012,0,0.00,12.60,0.76,9.59,0.000
14,1012,0,0.00,12.60,0.76,9.55,0.000
15,1014,0,0.00,12.60,0.77,9.72,0.000
16,1014,0,0.00,12.59,0.78,9.85,0.000
17,1016,0,0.00,12.59,0.78,9.85,0.000
18,1016,0,0.00,12.59,0.89,11.24,0.000
19,1018,0,0.00,12.59,1.12,14.10,0.000
20,1018,0,4.00,12.59,1.18,14.87,0.269
21,1020,0,5.10,12.59,1.15,14.47,0.352
22,1020,0,5.68,12.59,1.09,13.76,0.413
23,1022,0,6.37,12.59,1.03,12.99,0.490
24,1022,0,6.87,12.59,0.99,12.43,0.552
25,1024,0,7.30,12.59,0.97,12.16,0.601
26,1024,0,7.37,12.59,0.96,12.09,0.609
27,1026,0,7.79,12.59,0.96,12.05,0.647
28,1026,0,7.92,12.59,0.95,11.96,0.663
29,1028,0,8.00,12.59,0.93,11.76,0.681
30,1028,0,8.59,12.59,0.92,11.59,0.741
31,1030,0,8.91,12.59,0.91,11.47,0.777
32,1030,0,8.96,12.59,0.91,11.51,0.779
33,1032,0,9.14,12.59,0.91,11.43,0.800
34,1032,0,9.29,12.59,0.90,11.37,0.817
35,1034,0,9.27,12.59,0.90,11.33,0.818
36,1034,0,9.29,12.59,0.90,11.38,0.816
37,1036,0,9.39,12.59,0.90,11.38,0.825
