seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.77,0.77,12.88,0.000
2,1000,0,0.00,16.77,0.77,12.95,0.000
3,1002,0,0.00,16.77,0.77,12.96,0.000
4,1002,0,0.00,16.77,0.78,13.01,0.000
5,1004,0,0.00,16.77,0.78,13.04,0.000
6,1004,0,0.00,16.77,0.77,12.95,0.000
7,1006,0,0.00,16.77,0.77,12.98,0.000
8,1006,0,0.00,16.77,0.78,13.04,0.000
9,1008,0,0.00,16.77,0.77,12.92,0.000
10,1008,0,0.00,16.77,0.77,12.92,0.000
11,1010,0,0.00,16.77,0.78,13.00,0.000
12,1010,0,0.00,16.77,0.77,12.94,0.000
13,1012,0,0.00,16.77,0.78,13.03,0.000
14,1012,0,0.00,16.77,0.77,12.94,0.000
15,1014,0,0.00,16.77,0.79,13.21,0.000
16,1014,0,0.00,16.76,0.79,13.31,0.000
17,1016,0,0.00,16.76,0.80,13.38,0.000
18,1016,0,0.00,16.76,0.97,16.29,0.000
19,1018,0,0.00,16.75,1.29,21.53,0.000
20,1018,0,4.81,16.76,1.38,23.05,0.209
21,1020,0,11.55,16.75,1.34,22.51,0.513
22,1020,0,13.00,16.76,1.27,21.32,0.609
23,1022,0,13.62,16.76,1.17,19.60,0.695
24,1022,0,14.21,16.76,1.11,18.54,0.766
25,1024,0,14.98,16.76,1.09,18.22,0.822
26,1024,0,15.56,16.76,1.09,18.21,0.855
27,1026,0,15.48,16.76,1.06,17.69,0.875
28,1026,0,16.68,16.76,1.04,17.35,0.961
29,1028,0,17.86,16.76,1.01,16.95,1.054
30,1028,0,17.66,16.76,0.99,16.61,1.063
31,1030,0,18.32,16.76,0.98,16.47,1.113
32,1030,0,18.86,16.76,0.97,16.29,1.158
33,1032,0,19.20,16.76,0.97,16.29,1.178
34,1032,0,19.41,16.76,0.97,16.20,1.198
35,1034,0,19.86,16.76,0.96,16.03,1.239
36,1034,0,20.45,16.76,0.95,15.97,1.281
37,1036,0,20.91,16.76,0.95,15.94,1.312
