seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.830,0.794
2,1000,0,0.00,16.838,0.792
3,1002,0,0.00,16.833,0.794
4,1002,0,0.00,16.836,0.791
5,1004,0,0.00,16.832,0.791
6,1004,0,0.00,16.835,0.787
7,1006,0,0.00,16.833,0.795
8,1006,0,0.00,16.830,0.786
9,1008,0,0.00,16.829,0.789
10,1008,0,0.00,16.832,0.788
11,1010,0,0.00,16.835,0.793
12,1010,0,0.00,16.834,0.792
13,1012,0,0.00,16.830,0.786
14,1012,0,0.00,16.832,0.793
15,1014,0,0.00,16.828,0.809
16,1014,0,0.00,16.829,0.821
17,1016,0,0.00,16.827,0.811
18,1016,0,0.00,16.820,1.002
19,1018,0,2.28,16.816,1.318
20,1018,0,6.85,16.820,1.407
21,1020,0,10.16,16.817,1.353
22,1020,0,12.22,16.820,1.276
23,1022,0,13.60,16.823,1.186
24,1022,0,13.96,16.819,1.115
25,1024,0,15.00,16.822,1.114
26,1024,0,15.32,16.823,1.095
27,1026,0,15.84,16.823,1.077
28,1026,0,15.73,16.822,1.048
29,1028,0,16.00,16.820,1.029
30,1028,0,16.14,16.825,1.018
31,1030,0,16.73,16.829,0.999
32,1030,0,17.20,16.827,0.989
33,1032,0,17.91,16.823,0.979
34,1032,0,17.73,16.826,0.970
35,1034,0,17.42,16.822,0.972
36,1034,0,17.38,16.824,0.970
37,1036,0,18.00,16.825,0.972
38,1036,0,18.52,16.826,0.983
39,1038,0,19.05,16.821,0.977
40,1038,0,19.92,16.820,0.969
41,1040,0,20.33,16.826,0.978
42,1040,0,20.34,16.826,0.979
43,1042,0,20.62,16.825,0.979
44,1042,0,21.12,16.827,0.985
45,1044,0,21.38,16.822,0.977
46,1044,0,22.33,16.826,0.980
47,1046,0,24.21,16.824,0.976
48,1046,0,24.64,16.821,0.991
49,1048,0,24.97,16.821,0.991
50,1048,0,25.37,16.821,0.996
51,1050,0,25.81,16.825,0.997
52,1050,0,25.85,16.824,1.001
53,1052,0,25.94,16.822,0.993
54,1052,0,25.99,16.826,1.009
55,1054,0,25.93,16.824,1.006
56,1054,0,25.87,16.822,1.010
57,1056,0,26.17,16.824,1.011
58,1056,0,26.58,16.824,1.012
59,1058,0,27.12,16.820,1.021
60,1058,0,27.56,16.822,1.019
61,1060,0,28.05,16.822,1.024
62,1060,0,28.91,16.820,1.023
63,1062,0,29.28,16.823,1.023
64,1062,0,29.04,16.822,1.039
65,1064,0,29.19,16.823,1.044
66,1064,0,29.16,16.827,1.043
67,1066,0,29.38,16.824,1.027
68,1066,0,29.50,16.821,1.044
69,1068,0,29.58,16.824,1.050
70,1068,0,29.43,16.832,1.044
71,1070,0,30.13,16.821,1.045
72,1070,0,31.33,16.823,1.052
73,1072,0,31.72,16.823,1.055
74,1072,0,31.79,16.817,1.062
75,1074,0,32.08,16.821,1.055
76,1074,0,32.26,16.818,1.069
77,1076,0,32.89,16.823,1.067
78,1076,0,33.30,16.822,1.063
79,1078,0,33.35,16.822,1.070
80,1078,0,33.48,16.819,1.074
81,1080,0,33.59,16.823,1.074
82,1080,0,33.58,16.822,1.083
83,1082,0,34.64,16.820,1.078
84,1082,0,34.85,16.822,1.080
85,1084,0,35.28,16.821,1.088
86,1084,0,35.54,16.819,1.093
87,1086,0,35.38,16.819,1.094
88,1086,0,35.78,16.824,1.094
89,1088,0,35.93,16.823,1.104
90,1088,0,36.18,16.820,1.112
91,1090,0,36.45,16.822,1.108
92,1090,0,36.78,16.822,1.116
93,1092,0,37.37,16.821,1.121
